X,Y,delta_x,delta_y,Time
2625.0,971.0,0.0,0.0,0.09763598442077637
2625.0,971.0,0.0,0.0,0.18471813201904297
2625.0,971.0,0.0,0.0,0.23598384857177734
2625.0,971.0,0.0,0.0,0.27750706672668457
2625.0,971.0,0.0,0.0,0.31633687019348145
2625.0,971.0,0.0,0.0,0.35614895820617676
2625.0,971.0,0.0,0.0,0.3966400623321533
2625.0,971.0,0.0,0.0,0.4382898807525635
2625.0,971.0,0.0,0.0,0.47983217239379883
2625.0,971.0,0.0,0.0,0.5226249694824219
2625.0,971.0,0.0,0.0,0.5656740665435791
2625.0,971.0,0.0,0.0,0.6291589736938477
2625.0,971.0,0.0,0.0,0.6823430061340332
2625.1714,971.0,-0.17138672,0.0,0.722531795501709
2625.1533,971.0,-0.15332031,0.0,0.7602708339691162
2625.1367,971.0,-0.13671875,0.0,0.801224946975708
2625.1223,971.0,-0.12231445,0.0,0.8405609130859375
2625.1091,971.0,-0.10913086,0.0,0.8841469287872314
2625.0977,971.0,-0.09765625,0.0,0.9311549663543701
2625.0874,971.0,-0.087402344,0.0,0.9743249416351318
2625.0774,971.0,-0.07739258,0.0,1.018221139907837
2625.0686,971.0,-0.068603516,0.0,1.0567569732666016
2625.0605,971.0,-0.060546875,0.0,1.096796989440918
2625.0535,971.0,-0.053466797,0.0,1.1372108459472656
2625.047,971.0,-0.04711914,0.0,1.1840319633483887
2625.0415,971.0,-0.041503906,0.0,1.2311129570007324
2625.0364,971.0,-0.036376953,0.0,1.2774159908294678
2625.0315,971.0,-0.03149414,0.0,1.3377621173858643
2625.027,971.0,-0.02709961,0.0,1.3906598091125488
2625.0232,971.0,-0.02319336,0.0,1.4327960014343262
2625.0198,971.0,-0.01977539,0.0,1.474107027053833
2625.0166,971.0,-0.016601562,0.0,1.5145201683044434
2625.014,971.0,-0.013916016,0.0,1.5572009086608887
2625.0117,971.0,-0.01171875,0.0,1.5999469757080078
2625.0095,971.0,-0.009521484,0.0,1.6416521072387695
2625.0076,971.0,-0.0075683594,0.0,1.682516098022461
2625.0059,971.0,-0.005859375,0.0,1.7221791744232178
