X,Y,delta_x,delta_y,Time
2559.0,1013.0,6.0,0.0,4.769268035888672
2559.0,1013.0,6.0,0.0,4.816361904144287
2559.0,1013.0,6.0,0.0,4.867966890335083
2559.0,1013.0,6.0,0.0,4.9106550216674805
2559.0,1013.0,6.0,0.0,4.950348138809204
2563.0,1013.0,2.0,0.0,4.992071866989136
2563.0,1013.0,2.0,0.0,5.057286024093628
2563.0,1013.0,2.0,0.0,5.10348916053772
2564.0,1013.0,1.0,0.0,5.149103164672852
2560.0,1013.0,5.0,0.0,5.195142984390259
2560.0,1013.0,5.0,0.0,5.250555992126465
2560.0,1013.0,5.0,0.0,5.30151104927063
2560.0,1013.0,5.0,0.0,5.345542907714844
2560.0,1013.0,5.0,0.0,5.394721984863281
2565.0,1013.0,0.0,0.0,5.434830188751221
2565.0,1013.0,0.0,0.0,5.483631134033203
2565.0,1013.0,0.0,0.0,5.536792039871216
2557.0,1013.0,8.0,0.0,5.574083089828491
2557.0,1013.0,8.0,0.0,5.613729000091553
2556.0,1013.0,9.0,0.0,5.652088165283203
2556.0,1013.0,9.0,0.0,5.693325042724609
2557.0,1013.0,8.0,0.0,5.756836175918579
2568.0,1013.0,-3.0,0.0,5.799371957778931
2568.0,1013.0,-3.0,0.0,5.843703031539917
2568.0,1013.0,-3.0,0.0,5.881703853607178
2568.0,1013.0,-3.0,0.0,5.934746980667114
2554.0,1013.0,11.0,0.0,5.988786935806274
2555.0,1013.0,10.0,0.0,6.028012990951538
2555.0,1013.0,10.0,0.0,6.069477081298828
2555.0,1013.0,10.0,0.0,6.113071918487549
2572.0,1013.0,-7.0,0.0,6.163007974624634
2572.0,1013.0,-7.0,0.0,6.221524000167847
2567.0,1013.0,-2.0,0.0,6.2674219608306885
2555.0,1013.0,10.0,0.0,6.311023950576782
2555.0,1013.0,10.0,0.0,6.358716011047363
2555.0,1013.0,10.0,0.0,6.422468185424805
2557.0,1013.0,8.0,0.0,6.468303203582764
2557.0,1013.0,8.0,0.0,6.672515153884888
2566.0,1013.0,-1.0,0.0,6.752569198608398
2567.0,1013.0,-2.0,0.0,6.831927061080933
2567.0,1013.0,-2.0,0.0,6.88131308555603
2567.0,1013.0,-2.0,0.0,6.971120834350586
2559.0,1013.0,6.0,0.0,7.03043794631958
2557.0,1013.0,8.0,0.0,7.076496839523315
2557.0,1013.0,8.0,0.0,7.1236701011657715
2557.0,1013.0,8.0,0.0,7.1703150272369385
2565.0,1013.0,0.0,0.0,7.22851300239563
