X,Y,delta_x,delta_y,Time
2723.0,890.0,0.0,-1.0,2.585606813430786
2723.0,889.32886,0.0,-0.32885742,2.6342790126800537
2723.0,889.19244,0.0,-0.19244385,2.682138204574585
2568.6948,1003.00116,154.30518,-114.00116,2.7467682361602783
2476.6453,1070.763,246.35474,-181.76294,2.7945778369903564
2414.1196,1116.7352,308.88037,-227.73523,2.837110996246338
2367.7166,1150.8531,355.28345,-261.85315,2.8806772232055664
2329.8345,1178.5293,393.16553,-289.5293,2.9265289306640625
2297.7478,1201.9716,425.2522,-312.97156,2.9726340770721436
2270.278,1222.1602,452.72192,-333.16016,3.0178849697113037
2246.789,1239.424,476.21094,-350.42395,3.059612989425659
2227.7585,1253.4122,495.24146,-364.41223,3.1036810874938965
2210.9963,1265.6914,512.00366,-376.6914,3.1455469131469727
2197.3423,1275.691,525.6577,-386.69104,3.2052438259124756
2180.989,1287.6732,542.011,-398.67322,3.2521729469299316
2171.5024,1294.7357,551.49756,-405.73572,3.2947280406951904
2164.7778,1299.7596,558.22217,-410.75964,3.3395278453826904
2159.5007,1303.7108,563.49927,-414.71082,3.3863658905029297
2154.6343,1307.2004,568.3657,-418.20044,3.4279520511627197
2152.171,1308.9341,570.8291,-419.93408,3.474334955215454
2149.3438,1311.0493,573.65625,-422.04932,3.5170390605926514
2148.0203,1312.056,574.97974,-423.05603,3.560971975326538
2147.07,1312.7847,575.92993,-423.78467,3.6074790954589844
2146.0735,1313.5442,576.9265,-424.5442,3.6500139236450195
2146.1816,1313.4889,576.81836,-424.4889,3.69352388381958
2146.4287,1313.2952,576.5713,-424.29517,3.7365660667419434
2146.7515,1313.047,576.24854,-424.047,3.7824220657348633
2146.6592,1313.1049,576.3408,-424.10486,3.839755058288574
2146.095,1313.6001,576.905,-424.6001,3.8873069286346436
2146.6738,1313.2478,576.3262,-424.2478,3.935012102127075
2147.9,1312.2955,575.1001,-423.29553,3.9804179668426514
2149.0972,1311.3694,573.90283,-422.3694,4.022288084030151
2150.8193,1310.0616,572.18066,-421.06165,4.089948892593384
2149.5005,1311.074,573.4995,-422.07397,4.135777950286865
2151.4036,1309.6052,571.59644,-420.60522,4.177470922470093
2153.4543,1308.035,569.54565,-419.03503,4.224413871765137
2154.923,1306.9731,568.0769,-417.97314,4.268805027008057
2156.3774,1305.9204,566.62256,-416.9204,4.312712907791138
2158.1084,1304.663,564.8916,-415.66296,4.356076002120972
2159.5693,1303.6028,563.43066,-414.60278,4.3976850509643555
2161.1016,1302.489,561.89844,-413.489,4.442751884460449
2162.3184,1301.6719,560.68164,-412.67188,4.491227865219116
2163.2896,1301.0299,559.71045,-412.0299,4.533334970474243
2164.742,1299.942,558.25806,-410.94202,4.5764360427856445
2166.0671,1299.0109,556.93286,-410.01086,4.622657060623169
2167.0732,1298.3116,555.92676,-409.31165,4.668889999389648
2168.085,1297.6052,554.91504,-408.60522,4.715347051620483
2169.0554,1296.9268,553.9446,-407.92676,4.7589991092681885
2170.1577,1296.1484,552.8423,-407.14844,4.801735877990723
2171.3494,1295.2817,551.65063,-406.28174,4.843293905258179
2172.4875,1294.4536,550.51245,-405.4536,4.889624118804932
2173.3494,1293.8289,549.65063,-404.82886,4.935771226882935
2174.1692,1293.2343,548.8308,-404.23425,4.978385925292969
2175.1685,1292.5063,547.83154,-403.50635,5.023190021514893
2176.0364,1291.8567,546.9636,-402.8567,5.065101146697998
2177.0247,1291.1188,545.97534,-402.11877,5.111433029174805
2177.7976,1290.5405,545.2024,-401.54053,5.157851934432983
2178.531,1289.9918,544.469,-400.99182,5.200987100601196
2179.4258,1289.3074,543.5742,-400.30737,5.244899034500122
2180.2537,1288.6737,542.74634,-399.6737,5.289334058761597
2181.0227,1288.0847,541.9773,-399.08472,5.337005138397217
2181.7146,1287.5537,541.2854,-398.5537,5.385008096694946
2182.3906,1287.0804,540.6094,-398.08044,5.426603078842163
2183.2715,1286.4548,539.7285,-397.45483,5.471022129058838
2183.9907,1285.9471,539.0093,-396.94714,5.515633821487427
2184.6646,1285.4718,538.33545,-396.4718,5.560406923294067
2185.3948,1284.8962,537.6052,-395.89624,5.608126878738403
2186.0483,1284.4209,536.95166,-395.4209,5.650748014450073
2186.781,1283.8868,536.219,-394.88684,5.696042060852051
2187.4482,1283.4009,535.55176,-394.40088,5.741363048553467
2188.0325,1282.976,534.9675,-393.97595,5.786553144454956
2188.7573,1282.4326,534.2427,-393.43262,5.831603050231934
2189.3945,1281.9543,533.60547,-392.95435,5.873676061630249
2190.1157,1281.4146,532.8843,-392.41455,5.916347026824951
2190.81,1280.9327,532.18994,-391.93274,5.959925889968872
2191.4497,1280.4901,531.5503,-391.4901,6.007850885391235
2192.0256,1280.0931,530.97437,-391.09314,6.0517659187316895
2192.685,1279.6204,530.31494,-390.62036,6.095311164855957
2193.3347,1279.1539,529.6653,-390.15393,6.1621339321136475
2193.4949,1279.0497,529.5051,-390.04968,6.229956150054932
2193.6663,1278.937,529.33374,-389.937,6.282857894897461
2194.1707,1278.5771,528.82935,-389.57715,6.358978033065796
2194.2507,1278.5315,528.74927,-389.5315,6.444859027862549
2194.3113,1278.4873,528.6887,-389.4873,6.5084757804870605
2194.785,1278.1368,528.2151,-389.13684,6.565647125244141
2195.3252,1277.7369,527.6748,-388.73694,6.622387886047363
2195.9055,1277.3071,527.0945,-388.30713,6.678852081298828
2196.547,1276.8192,526.4529,-387.8192,6.7263500690460205
2197.3418,1276.2542,525.6582,-387.25415,6.78043794631958
2197.999,1275.7899,525.001,-386.78992,6.832093000411987
2198.6602,1275.3218,524.33984,-386.32178,6.88575005531311
2199.285,1274.8799,523.7151,-385.87988,6.951150178909302
2199.7842,1274.5653,523.2158,-385.5653,7.007227897644043
2200.4023,1274.1603,522.59766,-385.16028,7.080703973770142
2200.766,1273.8972,522.2339,-384.89722,7.159106016159058
2201.1365,1273.6292,521.8635,-384.62915,7.216722011566162
2201.7146,1273.2056,521.2854,-384.20557,7.278165102005005
2202.3513,1272.772,520.6487,-383.77197,7.386713027954102
2202.4292,1272.7096,520.5708,-383.7096,7.486266136169434
2202.6824,1272.5161,520.3176,-383.5161,7.5579140186309814
2203.2507,1272.1221,519.74927,-383.12207,7.629114151000977
2203.8735,1271.6863,519.12646,-382.68628,7.68307089805603
2204.6016,1271.1704,518.39844,-382.1704,7.731154918670654
2205.354,1270.6348,517.646,-381.63477,7.777295112609863
2206.1304,1270.0685,516.8696,-381.06848,7.837654113769531
2206.7449,1269.6233,516.2551,-380.6233,7.8985090255737305
2207.3147,1269.211,515.6853,-380.21106,7.978816032409668
2207.651,1268.9744,515.3491,-379.97437,8.053434133529663
2208.2942,1268.4952,514.7058,-379.49524,8.106184005737305
2208.9583,1268.0004,514.04175,-379.00037,8.172383069992065
2209.5112,1267.5889,513.4888,-378.58887,8.246991157531738
2209.975,1267.2444,513.0249,-378.2444,8.317316055297852
2210.5327,1266.8605,512.4673,-377.86047,8.371548891067505
2211.1555,1266.4258,511.84448,-377.42578,8.42788290977478
2211.7405,1265.9778,511.25952,-376.97778,8.477482080459595
2212.327,1265.5289,510.6731,-376.52893,8.54227900505066
2212.8567,1265.153,510.1433,-376.15295,8.617552995681763
2213.3335,1264.8164,509.6665,-375.8164,8.679437160491943
2213.8457,1264.4132,509.1543,-375.4132,8.739493131637573
2214.4082,1264.0018,508.5918,-375.00183,8.783520936965942
2215.0134,1263.5573,507.98657,-374.55725,8.828616857528687
2215.591,1263.1328,507.40894,-374.1328,8.879168033599854
2216.148,1262.7516,506.85205,-373.7516,8.933841943740845
2216.6643,1262.3997,506.3357,-373.39966,8.98113203048706
2217.1934,1262.0365,505.80664,-373.0365,9.036560773849487
2217.6895,1261.6971,505.31055,-372.69714,9.090105056762695
2218.1584,1261.3768,504.84155,-372.37683,9.14807915687561
2218.5908,1261.049,504.40918,-372.04895,9.208137035369873
2219.0574,1260.721,503.94263,-371.72095,9.27064299583435
2219.486,1260.4215,503.51392,-371.4215,9.358458042144775
2219.842,1260.1437,503.15796,-371.14368,9.416231870651245
2220.3098,1259.8053,502.6902,-370.8053,9.481900930404663
2220.7358,1259.4987,502.26416,-370.49866,9.57070803642273
2221.1438,1259.2319,501.8562,-370.23193,9.621834993362427
2221.6335,1258.8997,501.36646,-369.89966,9.676317930221558
2222.0967,1258.5537,500.90332,-369.5537,9.732252836227417
2222.5452,1258.2188,500.45483,-369.21875,9.791976928710938
2222.9724,1257.9,500.0276,-368.90002,9.839107036590576
2223.4385,1257.5752,499.56152,-368.5752,9.919227838516235
2223.8264,1257.3113,499.17358,-368.31128,9.979995965957642
2224.253,1257.0154,498.74707,-368.01538,10.026154041290283
2224.6858,1256.7128,498.3142,-367.71277,10.080816984176636
2225.0933,1256.3982,497.90674,-367.3982,10.128294944763184
2225.5288,1256.0853,497.4712,-367.08533,10.17061710357666
2225.9558,1255.7778,497.0442,-366.77783,10.21920108795166
2226.359,1255.4884,496.6411,-366.4884,10.265666961669922
2226.7502,1255.2074,496.24976,-366.2074,10.310050964355469
2227.163,1254.931,495.8369,-365.93103,10.353288888931274
2227.562,1254.6355,495.438,-365.6355,10.400140047073364
2227.9424,1254.3545,495.05762,-365.3545,10.459182977676392
2228.3032,1254.0887,494.69678,-365.08875,10.50583815574646
2228.6924,1253.8217,494.30762,-364.82166,10.548518896102905
2229.0725,1253.5602,493.9275,-364.56018,10.59476900100708
2229.4385,1253.2816,493.56152,-364.28162,10.640193939208984
2229.7935,1253.0114,493.20654,-364.01135,10.682949781417847
2230.167,1252.7467,492.833,-363.7467,10.726558923721313
2230.5293,1252.4902,492.4707,-363.49023,10.77455997467041
2230.878,1252.2443,492.12207,-363.24426,10.8207848072052
2231.2188,1252.0033,491.78125,-363.0033,10.868216037750244
2231.5496,1251.7443,491.45044,-362.74426,10.910153865814209
2231.873,1251.4901,491.12695,-362.4901,10.96207308769226
2232.21,1251.2466,490.79004,-362.24658,11.012219905853271
2232.5403,1251.0073,490.45972,-362.00732,11.05665898323059
2232.8633,1250.7726,490.13672,-361.77258,11.099544048309326
2233.202,1250.5443,489.7981,-361.5443,11.149689197540283
2233.5317,1250.3231,489.46826,-361.32312,11.206005096435547
2233.8542,1250.107,489.14575,-361.10706,11.279505968093872
2234.1724,1249.897,488.82764,-360.89697,11.330480098724365
2234.5068,1249.6638,488.49316,-360.66382,11.385041952133179
2234.8352,1249.4362,488.1648,-360.43616,11.42758297920227
2235.1533,1249.2137,487.84668,-360.21375,11.472561836242676
2235.464,1248.9734,487.5359,-359.9734,11.513931035995483
2235.7673,1248.739,487.23267,-359.739,11.562288999557495
2236.063,1248.5104,486.937,-359.51038,11.611215114593506
2236.3767,1248.2863,486.6233,-359.28625,11.661092042922974
2236.6848,1248.0663,486.3152,-359.06628,11.715351104736328
2236.987,1247.8507,486.01294,-358.8507,11.774049043655396
2237.309,1247.6377,485.69092,-358.6377,11.846671104431152
2237.6343,1247.4012,485.36572,-358.40125,11.916498899459839
2237.9539,1247.1686,485.04614,-358.16858,11.994446992874146
2238.2744,1246.936,484.7256,-357.93604,12.070275068283081
2238.614,1246.7057,484.386,-357.7057,12.149819135665894
2238.9512,1246.4547,484.04883,-357.4547,12.205427885055542
2239.287,1246.218,483.7129,-357.21802,12.268712043762207
2239.6257,1245.9803,483.37427,-356.98035,12.321185111999512
2239.946,1245.7542,483.05396,-356.75415,12.384958028793335
2240.2698,1245.5266,482.73022,-356.5266,12.429829835891724
2240.5703,1245.3137,482.4297,-356.31372,12.472400903701782
2240.8616,1245.107,482.13843,-356.10706,12.518496036529541
2241.1497,1244.9032,481.85034,-355.9032,12.573153972625732
2241.462,1244.6766,481.5381,-355.67664,12.622382164001465
2241.763,1244.4576,481.23706,-355.45764,12.672046184539795
2242.0576,1244.2433,480.94238,-355.2433,12.720378160476685
2242.3457,1244.0336,480.6543,-355.03357,12.772186040878296
2242.653,1243.8257,480.34692,-354.82568,12.82866621017456
2242.9592,1243.5979,480.04077,-354.5979,12.88293981552124
2243.279,1243.3751,479.72095,-354.37512,12.942598819732666
2243.6003,1243.131,479.39966,-354.13098,12.997302055358887
2243.9075,1242.8964,479.09253,-353.89636,13.045091152191162
2244.199,1242.6726,478.80103,-353.6726,13.092906951904297
2244.506,1242.4526,478.4939,-353.45264,13.135545015335083
2244.7993,1242.2422,478.20068,-353.2422,13.177578926086426
2245.0854,1242.0369,477.91455,-353.03687,13.222856044769287
2245.3718,1241.8317,477.62817,-352.83167,13.269059181213379
2245.6516,1241.6312,477.3484,-352.63123,13.319422960281372
2245.9531,1241.4297,477.04688,-352.4297,13.36548900604248
2246.2432,1241.236,476.75684,-352.23596,13.413474082946777
2246.5286,1241.045,476.47144,-352.04504,13.465243816375732
2246.8367,1240.8326,476.16333,-351.83264,13.509651899337769
2247.1267,1240.6324,475.8733,-351.63245,13.555798053741455
2247.4114,1240.436,475.58862,-351.43604,13.600902795791626
2247.6924,1240.2422,475.30762,-351.2422,13.643748998641968
2247.962,1240.0371,475.0381,-351.0371,13.688163995742798
2248.2466,1239.8348,474.75342,-350.83484,13.732824087142944
2248.531,1239.6332,474.469,-350.63318,13.80180811882019
2248.8506,1239.4083,474.1494,-350.40833,13.847965002059937
2249.1423,1239.1959,473.85767,-350.19592,13.893131017684937
2249.4292,1238.9872,473.5708,-349.98718,13.937404870986938
2249.7058,1238.7856,473.2942,-349.78564,13.98446011543274
2249.9912,1238.5785,473.0088,-349.5785,14.030481815338135
2250.258,1238.3839,472.74194,-349.3839,14.078519105911255
2250.5283,1238.1873,472.47168,-349.18726,14.126979112625122
2250.8147,1237.9742,472.1853,-348.97424,14.169697046279907
2251.083,1237.7738,471.917,-348.7738,14.21380090713501
2251.3684,1237.5741,471.6316,-348.5741,14.258843898773193
2251.6536,1237.3746,471.34644,-348.37463,14.304480075836182
2251.9275,1237.183,471.0725,-348.18298,14.354288101196289
2252.211,1236.9849,470.78906,-347.98486,14.405213832855225
2252.4946,1236.7867,470.50537,-347.78674,14.458475112915039
2252.7722,1236.5927,470.22778,-347.59265,14.505079984664917
2253.0518,1236.3918,469.94824,-347.39185,14.547322034835815
2253.317,1236.201,469.6831,-347.20105,14.595378875732422
2253.5894,1236.0052,469.41064,-347.00525,14.640899181365967
2253.856,1235.8137,469.14404,-346.81372,14.682737827301025
2254.106,1235.6337,468.89404,-346.63367,14.726485013961792
2254.3718,1235.4379,468.62817,-346.43787,14.76831316947937
2254.6309,1235.2467,468.36914,-346.2467,14.812669038772583
2254.8914,1235.0714,468.10864,-346.0714,14.857127904891968
2255.1487,1234.8982,467.85132,-345.8982,14.900643110275269
2255.4143,1234.7142,467.5857,-345.71423,14.945705890655518
2255.6807,1234.5295,467.31934,-345.52954,14.987770080566406
2255.9368,1234.352,467.06323,-345.35205,15.032688856124878
2256.2124,1234.1562,466.7876,-345.15625,15.080550909042358
2256.4868,1233.9613,466.51318,-344.9613,15.1229829788208
2256.7446,1233.7777,466.25537,-344.7777,15.167864084243774
2257.0056,1233.5922,465.9944,-344.59216,15.209939956665039
2257.2578,1233.4127,465.7422,-344.41272,15.255734920501709
2257.527,1233.2167,465.4729,-344.21667,15.300457954406738
2257.7942,1233.0223,465.2058,-344.02234,15.344434022903442
2258.051,1232.8351,464.94897,-343.83508,15.390743970870972
2258.315,1232.6433,464.68506,-343.6433,15.432766914367676
2258.5613,1232.4635,464.43872,-343.4635,15.476923942565918
2258.8213,1232.2853,464.1787,-343.28528,15.519402027130127
2259.0842,1232.105,463.91577,-343.10498,15.568667888641357
2259.3472,1231.9246,463.65283,-342.92456,15.614460945129395
2259.619,1231.7334,463.3811,-342.7334,15.655881881713867
2259.8752,1231.553,463.12476,-342.55298,15.699800968170166
2260.1362,1231.3694,462.86377,-342.3694,15.743427038192749
2260.3906,1231.1903,462.60938,-342.1903,15.788217067718506
2260.642,1230.998,462.3579,-341.99805,15.831746101379395
2260.8901,1230.8085,462.10986,-341.80847,15.873634099960327
2261.1306,1230.6246,461.8694,-341.62463,15.91609811782837
2261.382,1230.4437,461.61792,-341.44373,15.957893133163452
2261.6301,1230.265,461.36987,-341.265,16.004908084869385
2261.9006,1230.0813,461.09937,-341.0813,16.05500316619873
2262.178,1229.878,460.82202,-340.87805,16.097322940826416
2262.4307,1229.6919,460.56934,-340.6919,16.143213987350464
2262.6895,1229.5016,460.31055,-340.5016,16.187216997146606
2262.9404,1229.3169,460.05957,-340.3169,16.230865955352783
2263.1855,1229.1365,459.81445,-340.13647,16.2768771648407
2263.448,1228.9541,459.552,-339.9541,16.317896842956543
2263.6936,1228.7836,459.3064,-339.78357,16.361536979675293
2263.9592,1228.609,459.04077,-339.609,16.405232191085815
2264.2217,1228.4366,458.77832,-339.43665,16.448641061782837
2264.4749,1228.2563,458.52515,-339.25635,16.495938062667847
2264.7397,1228.068,458.26025,-339.068,16.537710189819336
2264.9844,1227.8937,458.01562,-338.89368,16.58269214630127
2265.2378,1227.7134,457.7622,-338.71338,16.624253034591675
2265.4734,1227.5453,457.5266,-338.5453,16.67522096633911
2265.7388,1227.3566,457.26123,-338.35657,16.726603984832764
2266.0117,1227.1583,456.98828,-338.15833,16.77085590362549
2266.2634,1226.9751,456.73657,-337.9751,16.81730604171753
2266.5156,1226.7915,456.48438,-337.7915,16.86362099647522
2266.7646,1226.6104,456.23535,-337.61035,16.910516023635864
2267.0276,1226.4291,455.9724,-337.42908,16.96432614326477
2267.309,1226.2212,455.69092,-337.2212,17.017035961151123
2267.5847,1226.0176,455.41528,-337.01758,17.065922021865845
2267.8486,1225.8221,455.15137,-336.82214,17.12069606781006
2268.132,1225.6229,454.86792,-336.62292,17.16450309753418
2268.3801,1225.4481,454.61987,-336.44812,17.207068920135498
2268.6228,1225.2772,454.3772,-336.27722,17.252376079559326
2268.8855,1225.102,454.1145,-336.10205,17.29969310760498
2269.161,1224.9177,453.8391,-335.91772,17.351408004760742
2269.431,1224.7234,453.5691,-335.7234,17.404069185256958
2269.7068,1224.525,453.2932,-335.52502,17.461353063583374
2270.0076,1224.319,452.99243,-335.31897,17.51130485534668
2270.2825,1224.131,452.71753,-335.13098,17.562783002853394
2270.559,1223.9418,452.44092,-334.94177,17.61282992362976
2270.8406,1223.745,452.15942,-334.745,17.660181045532227
2271.1172,1223.5515,451.8828,-334.5515,17.710978031158447
2271.3875,1223.3624,451.61255,-334.36243,17.761986017227173
2271.6619,1223.1705,451.33813,-334.17053,17.809194087982178
2271.9326,1222.9813,451.06738,-333.98132,17.862625122070312
2272.199,1222.7815,450.80103,-333.7815,17.910040140151978
2272.4688,1222.5887,450.53125,-333.58875,17.962795972824097
2272.7517,1222.387,450.2483,-333.38696,18.012014150619507
2273.0156,1222.1985,449.98438,-333.1985,18.06095004081726
2273.2864,1222.0054,449.71362,-333.00537,18.110898971557617
2273.5435,1221.8217,449.45654,-332.82166,18.16109299659729
2273.8064,1221.634,449.1936,-332.63403,18.21248698234558
2274.094,1221.4344,448.906,-332.43445,18.263874053955078
2274.386,1221.2319,448.614,-332.23193,18.312730073928833
2274.6492,1221.0496,448.35083,-332.04956,18.36168599128723
2274.9197,1220.8484,448.08032,-331.8484,18.41080093383789
2275.1926,1220.6459,447.80737,-331.64587,18.46101403236389
2275.4573,1220.4491,447.54272,-331.4491,18.509057998657227
2275.7268,1220.2584,447.2732,-331.25842,18.552614212036133
2275.9792,1220.0797,447.02075,-331.0797,18.596821069717407
2276.2302,1219.8889,446.76978,-330.88892,18.646286010742188
2276.5103,1219.687,446.48975,-330.687,18.688815116882324
2276.763,1219.5045,446.23706,-330.50452,18.732679843902588
2277.0173,1219.3209,445.98267,-330.32092,18.776927947998047
2277.2695,1219.1387,445.73047,-330.13867,18.822137117385864
2277.5198,1218.9579,445.48022,-329.9579,18.866153955459595
2277.7798,1218.7795,445.2202,-329.77954,18.90793800354004
2278.0237,1218.6124,444.97632,-329.61243,18.9516019821167
2278.28,1218.4235,444.71997,-329.42346,19.00523281097412
2278.5642,1218.2151,444.4358,-329.2151,19.054968118667603
2278.8386,1218.0227,444.16138,-329.0227,19.10693097114563
2279.1235,1217.8232,443.87646,-328.82324,19.15080714225769
2279.3784,1217.6447,443.62158,-328.64465,19.19393801689148
2279.6223,1217.4738,443.3777,-328.47375,19.238072156906128
2279.881,1217.2886,443.1189,-328.28857,19.27965807914734
2280.1274,1217.112,442.87256,-328.11206,19.323419094085693
2280.3796,1216.9315,442.62036,-327.93152,19.36612296104431
2280.6309,1216.7516,442.36914,-327.7516,19.412703037261963
2280.8801,1216.5732,442.11987,-327.57324,19.45678400993347
