X,Y,delta_x,delta_y,Time
2558.0,1013.0,0.0,0.0,2.7376530170440674
2558.0,1013.0,0.0,0.0,8.340744256973267
2558.0,1013.0,0.0,0.0,10.139687299728394
2557.0,1013.0,1.0,0.0,12.046415090560913
2558.0,1013.0,0.0,0.0,14.46364426612854
2558.0,1013.0,0.0,0.0,16.80740714073181
2572.0,1012.0,-14.0,1.0,20.28285527229309
2573.0,1012.0,-15.0,1.0,25.486589193344116
2563.0,1012.0,-5.0,1.0,30.57969617843628
2562.0,1012.0,-4.0,1.0,33.556071281433105
2569.0,1011.0,-11.0,2.0,35.61217021942139
2570.0,1011.0,-12.0,2.0,38.01547622680664
2565.0,1011.0,-7.0,2.0,39.7694993019104
2564.0,1011.0,-6.0,2.0,41.502036333084106
2568.0,1011.0,-10.0,2.0,43.48867607116699
2569.0,1011.0,-11.0,2.0,45.748558044433594
2566.0,1011.0,-8.0,2.0,51.39219307899475
2565.0,1011.0,-7.0,2.0,53.25798320770264
2567.0,1011.0,-9.0,2.0,54.921173334121704
2568.0,1011.0,-10.0,2.0,56.619365215301514
2567.0,1011.0,-9.0,2.0,58.38828802108765
2566.0,1011.0,-8.0,2.0,60.23407816886902
