X,Y,delta_x,delta_y,Time
2557.0,1013.0,1.0,0.0,7.265984058380127
2557.0,1013.0,1.0,0.0,13.595433950424194
2559.0,1013.0,-1.0,0.0,15.912447929382324
2559.0,1013.0,-1.0,0.0,17.940711975097656
2557.0,1013.0,1.0,0.0,19.996304035186768
2556.0,1013.0,2.0,0.0,22.094177722930908
2559.0,1013.0,-1.0,0.0,24.372623920440674
2560.0,1013.0,-2.0,0.0,26.17489218711853
2556.0,1013.0,2.0,0.0,27.93715000152588
2555.0,1013.0,3.0,0.0,29.835317134857178
2560.0,1013.0,-2.0,0.0,31.754254817962646
2561.0,1013.0,-3.0,0.0,33.742079973220825
2555.0,1013.0,3.0,0.0,35.764233112335205
2554.0,1013.0,4.0,0.0,41.078152894973755
2561.0,1013.0,-3.0,0.0,43.257752895355225
2562.0,1013.0,-4.0,0.0,48.51875901222229
2554.0,1013.0,4.0,0.0,50.65179395675659
2553.0,1013.0,5.0,0.0,52.583640813827515
2562.0,1013.0,-4.0,0.0,54.76200294494629
2563.0,1013.0,-5.0,0.0,56.84596586227417
2553.0,1013.0,5.0,0.0,59.27900815010071
2552.0,1013.0,6.0,0.0,61.30953884124756
2563.0,1013.0,-5.0,0.0,63.42599892616272
2564.0,1013.0,-6.0,0.0,65.79833388328552
2552.0,1013.0,6.0,0.0,68.13626885414124
2551.0,1013.0,7.0,0.0,70.38443398475647
2564.0,1013.0,-6.0,0.0,72.54582095146179
2565.0,1013.0,-7.0,0.0,74.88810086250305
2551.0,1013.0,7.0,0.0,79.86600995063782
2565.0,1012.0,-7.0,1.0,86.30181789398193
2580.0,1012.0,-22.0,1.0,89.82832479476929
2565.0,1011.0,-7.0,2.0,114.645437002182
2550.0,1012.0,8.0,1.0,127.0601909160614
2565.0,1010.0,-7.0,3.0,133.3552210330963
2581.0,1011.0,-23.0,2.0,139.2974190711975
2565.0,1009.0,-7.0,4.0,146.34014296531677
2549.0,1011.0,9.0,2.0,169.1536238193512
2565.0,1008.0,-7.0,5.0,176.89617013931274
2583.0,1010.0,-25.0,3.0,185.77472400665283
2566.0,1007.0,-8.0,6.0,194.4048879146576
2547.0,1010.0,11.0,3.0,240.72632884979248
2564.0,1006.0,-6.0,7.0,307.7074468135834
