X,Y,delta_x,delta_y,Time
2572.0,1012.0,-6.0,0.0,31.988106966018677
2572.0,1012.0,-6.0,0.0,32.045634031295776
2572.0,1012.0,-6.0,0.0,32.106887102127075
2573.0,1012.0,-7.0,0.0,32.15882611274719
2566.0,1012.0,0.0,0.0,32.20313215255737
2566.0,1012.0,0.0,0.0,32.265960931777954
2566.0,1012.0,0.0,0.0,32.30803918838501
2566.0,1012.0,0.0,0.0,32.351911306381226
2566.0,1012.0,0.0,0.0,32.39402914047241
2574.0,1012.0,-8.0,0.0,32.44536113739014
2574.0,1012.0,-8.0,0.0,32.49597692489624
2574.0,1012.0,-8.0,0.0,32.53839111328125
2574.0,1012.0,-8.0,0.0,32.577556133270264
2574.0,1012.0,-8.0,0.0,32.62011504173279
2564.0,1012.0,2.0,0.0,32.66278290748596
2564.0,1012.0,2.0,0.0,32.722148180007935
2564.0,1012.0,2.0,0.0,32.76805090904236
2565.0,1012.0,1.0,0.0,32.809781074523926
2576.0,1012.0,-10.0,0.0,32.851598024368286
2576.0,1012.0,-10.0,0.0,32.90018010139465
2575.0,1012.0,-9.0,0.0,32.9522922039032
2575.0,1012.0,-9.0,0.0,32.99315404891968
2566.0,1012.0,0.0,0.0,33.037949323654175
2563.0,1012.0,3.0,0.0,33.07717299461365
2563.0,1012.0,3.0,0.0,33.120814085006714
2564.0,1012.0,2.0,0.0,33.180063009262085
2575.0,1012.0,-9.0,0.0,33.223637104034424
2575.0,1012.0,-9.0,0.0,33.26455020904541
2574.0,1012.0,-8.0,0.0,33.30602312088013
2574.0,1012.0,-8.0,0.0,33.35855221748352
2574.0,1012.0,-8.0,0.0,33.4126501083374
2563.0,1012.0,3.0,0.0,33.45251512527466
2563.0,1012.0,3.0,0.0,33.493577003479004
2564.0,1012.0,2.0,0.0,33.53409218788147
2564.0,1012.0,2.0,0.0,33.585729122161865
2575.0,1012.0,-9.0,0.0,33.64383316040039
2574.0,1012.0,-8.0,0.0,33.68509006500244
2574.0,1012.0,-8.0,0.0,33.7268431186676
2572.0,1012.0,-6.0,0.0,33.7710862159729
2562.0,1012.0,4.0,0.0,33.82282114028931
2562.0,1012.0,4.0,0.0,33.8784921169281
2563.0,1012.0,3.0,0.0,33.9227340221405
2563.0,1012.0,3.0,0.0,33.96065902709961
2574.0,1012.0,-8.0,0.0,34.00254797935486
