X,Y,delta_x,delta_y,Time
2565.0,1013.0,0.0,0.0,9.007547855377197
2565.0,1013.0,0.0,0.0,9.048106908798218
2565.0,1013.0,0.0,0.0,9.093065977096558
2565.0,1013.0,0.0,0.0,9.137104034423828
2565.0,1013.0,0.0,0.0,9.182536840438843
2564.0,1013.0,1.0,0.0,9.230511903762817
2564.0,1013.0,1.0,0.0,9.288564920425415
2564.0,1013.0,1.0,0.0,9.336659908294678
2563.0,1013.0,2.0,0.0,9.381340980529785
2564.0,1013.0,1.0,0.0,9.425067901611328
2564.0,1013.0,1.0,0.0,9.481302976608276
2563.0,1013.0,2.0,0.0,9.531321048736572
2563.0,1013.0,2.0,0.0,9.572805166244507
2563.0,1013.0,2.0,0.0,9.617038011550903
2563.0,1013.0,2.0,0.0,9.661988019943237
2563.0,1013.0,2.0,0.0,9.707946062088013
2563.0,1013.0,2.0,0.0,9.769206047058105
2564.0,1013.0,1.0,0.0,9.813386917114258
2564.0,1013.0,1.0,0.0,9.855298042297363
2564.0,1013.0,1.0,0.0,9.900047063827515
2563.0,1013.0,2.0,0.0,9.95169997215271
2563.0,1013.0,2.0,0.0,10.00437879562378
2563.0,1013.0,2.0,0.0,10.046985864639282
2563.0,1013.0,2.0,0.0,10.08757996559143
2563.0,1013.0,2.0,0.0,10.132207155227661
2562.0,1013.0,3.0,0.0,10.179014921188354
2562.0,1013.0,3.0,0.0,10.23595905303955
2562.0,1013.0,3.0,0.0,10.2812659740448
2562.0,1013.0,3.0,0.0,10.324631929397583
2562.0,1013.0,3.0,0.0,10.368570804595947
2562.0,1013.0,3.0,0.0,10.421285152435303
2562.0,1013.0,3.0,0.0,10.47698187828064
2562.0,1013.0,3.0,0.0,10.523055791854858
2562.0,1013.0,3.0,0.0,10.564182043075562
2563.0,1013.0,2.0,0.0,10.60305404663086
2563.0,1013.0,2.0,0.0,10.648468017578125
2563.0,1013.0,2.0,0.0,10.710731983184814
2562.0,1013.0,3.0,0.0,10.763690948486328
2562.0,1013.0,3.0,0.0,10.818217992782593
2562.0,1013.0,3.0,0.0,10.874461889266968
2562.0,1013.0,3.0,0.0,10.9407958984375
2562.0,1013.0,3.0,0.0,11.012622117996216
2561.0,1013.0,4.0,0.0,11.068768978118896
2561.0,1013.0,4.0,0.0,11.122483015060425
2561.0,1013.0,4.0,0.0,11.169822931289673
2562.0,1013.0,3.0,0.0,11.213626146316528
2562.0,1013.0,3.0,0.0,11.257370948791504
2562.0,1013.0,3.0,0.0,11.300899028778076
2562.0,1013.0,3.0,0.0,11.364805936813354
2562.0,1013.0,3.0,0.0,11.418901920318604
2562.0,1013.0,3.0,0.0,11.472858190536499
2562.0,1013.0,3.0,0.0,11.529230117797852
2562.0,1013.0,3.0,0.0,11.571050882339478
2562.0,1013.0,3.0,0.0,11.62749195098877
2562.0,1013.0,3.0,0.0,11.673145055770874
2562.0,1013.0,3.0,0.0,11.713249921798706
2562.0,1013.0,3.0,0.0,11.75547480583191
2562.0,1013.0,3.0,0.0,11.795877933502197
2562.0,1013.0,3.0,0.0,11.843353033065796
2562.0,1013.0,3.0,0.0,11.903110980987549
2562.0,1013.0,3.0,0.0,11.94512677192688
2562.0,1013.0,3.0,0.0,11.990432024002075
2562.0,1013.0,3.0,0.0,12.035407066345215
2562.0,1013.0,3.0,0.0,12.092591762542725
2562.0,1013.0,3.0,0.0,12.147433996200562
2562.0,1013.0,3.0,0.0,12.191514015197754
2562.0,1013.0,3.0,0.0,12.232544898986816
2562.0,1013.0,3.0,0.0,12.27724289894104
