X,Y,delta_x,delta_y,Time
2559.0,1013.0,6.0,-1.0,2.7016730308532715
2559.0,1013.0,6.0,-1.0,2.7538981437683105
2558.0,1013.0,7.0,-1.0,2.8042800426483154
2558.0,1013.0,7.0,-1.0,2.846039056777954
2558.0,1013.0,7.0,-1.0,2.8907251358032227
2558.0,1013.0,7.0,-1.0,2.933894157409668
2558.0,1013.0,7.0,-1.0,2.97434401512146
2558.0,1013.0,7.0,-1.0,3.017125129699707
2559.0,1013.0,6.0,-1.0,3.0571110248565674
2559.0,1013.0,6.0,-1.0,3.0965962409973145
2558.0,1013.0,7.0,-1.0,3.1412131786346436
2558.0,1013.0,7.0,-1.0,3.1952171325683594
2559.0,1013.0,6.0,-1.0,3.24353289604187
2559.0,1013.0,6.0,-1.0,3.284083127975464
2559.0,1013.0,6.0,-1.0,3.32509708404541
2559.0,1013.0,6.0,-1.0,3.3647332191467285
2559.0,1013.0,6.0,-1.0,3.411371946334839
2559.0,1013.0,6.0,-1.0,3.4607698917388916
2559.0,1013.0,6.0,-1.0,3.506563901901245
2559.0,1013.0,6.0,-1.0,3.5520339012145996
2559.0,1013.0,6.0,-1.0,3.592039108276367
2559.0,1013.0,6.0,-1.0,3.6329851150512695
2559.0,1013.0,6.0,-1.0,3.6758601665496826
2559.0,1013.0,6.0,-1.0,3.722264051437378
2560.0,1013.0,5.0,-1.0,3.7739880084991455
2560.0,1013.0,5.0,-1.0,3.824502944946289
2560.0,1013.0,5.0,-1.0,3.871251106262207
2560.0,1013.0,5.0,-1.0,3.9171559810638428
2560.0,1013.0,5.0,-1.0,3.9575390815734863
2560.0,1013.0,5.0,-1.0,4.010282039642334
2560.0,1013.0,5.0,-1.0,4.054144859313965
2561.0,1013.0,4.0,-1.0,4.09514307975769
2561.0,1013.0,4.0,-1.0,4.136122941970825
2561.0,1013.0,4.0,-1.0,4.176359176635742
2561.0,1013.0,4.0,-1.0,4.222172021865845
2561.0,1013.0,4.0,-1.0,4.274424076080322
2561.0,1013.0,4.0,-1.0,4.313573122024536
2561.0,1013.0,4.0,-1.0,4.359551906585693
2561.0,1013.0,4.0,-1.0,4.402994155883789
2561.0,1013.0,4.0,-1.0,4.450141191482544
2562.0,1013.0,3.0,-1.0,4.495054006576538
2562.0,1013.0,3.0,-1.0,4.538723945617676
2562.0,1013.0,3.0,-1.0,4.5806660652160645
