X,Y,delta_x,delta_y,Time
2571.0,1012.0,-6.0,1.0,4.429275989532471
2571.0,1012.0,-6.0,1.0,4.4676830768585205
2571.0,1012.0,-6.0,1.0,4.508035182952881
2571.0,1012.0,-6.0,1.0,4.549938917160034
2571.0,1012.0,-6.0,1.0,4.594429969787598
2566.0,1012.0,-1.0,1.0,4.635676860809326
2566.0,1012.0,-1.0,1.0,4.695616006851196
2566.0,1012.0,-1.0,1.0,4.741382122039795
2567.0,1012.0,-2.0,1.0,4.7830891609191895
2573.0,1012.0,-8.0,1.0,4.825000047683716
2573.0,1012.0,-8.0,1.0,4.872809886932373
2573.0,1012.0,-8.0,1.0,4.923667907714844
2573.0,1012.0,-8.0,1.0,4.964509963989258
2572.0,1012.0,-7.0,1.0,5.006052017211914
2572.0,1012.0,-7.0,1.0,5.048614978790283
2568.0,1012.0,-3.0,1.0,5.101491928100586
2567.0,1012.0,-2.0,1.0,5.1699230670928955
2568.0,1012.0,-3.0,1.0,5.209588050842285
2568.0,1012.0,-3.0,1.0,5.2510950565338135
2571.0,1012.0,-6.0,1.0,5.290191173553467
2571.0,1012.0,-6.0,1.0,5.344465970993042
2572.0,1012.0,-7.0,1.0,5.393301010131836
2572.0,1012.0,-7.0,1.0,5.432358264923096
2572.0,1012.0,-7.0,1.0,5.474747180938721
2570.0,1012.0,-5.0,1.0,5.5153889656066895
2570.0,1012.0,-5.0,1.0,5.557412147521973
2569.0,1012.0,-4.0,1.0,5.61597204208374
2569.0,1012.0,-4.0,1.0,5.6558918952941895
2569.0,1012.0,-4.0,1.0,5.69847297668457
2569.0,1012.0,-4.0,1.0,5.7386510372161865
2569.0,1012.0,-4.0,1.0,5.784999847412109
2569.0,1012.0,-4.0,1.0,5.8387110233306885
2569.0,1012.0,-4.0,1.0,5.876977920532227
2569.0,1012.0,-4.0,1.0,5.917776823043823
2570.0,1012.0,-5.0,1.0,5.956739187240601
2570.0,1012.0,-5.0,1.0,5.997549057006836
2570.0,1012.0,-5.0,1.0,6.059120178222656
2570.0,1012.0,-5.0,1.0,6.097301006317139
2570.0,1012.0,-5.0,1.0,6.138021230697632
2570.0,1012.0,-5.0,1.0,6.17563009262085
2570.0,1012.0,-5.0,1.0,6.223766088485718
2569.0,1012.0,-4.0,1.0,6.2793169021606445
2569.0,1012.0,-4.0,1.0,6.317538022994995
2569.0,1012.0,-4.0,1.0,6.358188152313232
2569.0,1012.0,-4.0,1.0,6.396363019943237
2569.0,1012.0,-4.0,1.0,6.441678047180176
2568.0,1012.0,-3.0,1.0,6.499652147293091
2568.0,1012.0,-3.0,1.0,6.539833068847656
2568.0,1012.0,-3.0,1.0,6.581578016281128
2568.0,1012.0,-3.0,1.0,6.620522975921631
2568.0,1012.0,-3.0,1.0,6.671589136123657
2568.0,1012.0,-3.0,1.0,6.7232019901275635
2568.0,1012.0,-3.0,1.0,6.762769937515259
2568.0,1012.0,-3.0,1.0,6.804410219192505
2568.0,1012.0,-3.0,1.0,6.844876050949097
2568.0,1012.0,-3.0,1.0,6.891225099563599
2568.0,1012.0,-3.0,1.0,6.957941055297852
2568.0,1012.0,-3.0,1.0,7.005526065826416
2567.0,1012.0,-2.0,1.0,7.053808212280273
2567.0,1012.0,-2.0,1.0,7.094170093536377
2567.0,1012.0,-2.0,1.0,7.147045135498047
2567.0,1012.0,-2.0,1.0,7.190637111663818
2567.0,1012.0,-2.0,1.0,7.232601165771484
2567.0,1012.0,-2.0,1.0,7.270931005477905
2567.0,1012.0,-2.0,1.0,7.31009316444397
2567.0,1012.0,-2.0,1.0,7.348362922668457
2567.0,1012.0,-2.0,1.0,7.406256198883057
2566.0,1012.0,-1.0,1.0,7.453300952911377
2566.0,1012.0,-1.0,1.0,7.491931200027466
2566.0,1012.0,-1.0,1.0,7.530383110046387
2566.0,1012.0,-1.0,1.0,7.568899154663086
2566.0,1012.0,-1.0,1.0,7.608274936676025
2565.0,1012.0,0.0,1.0,7.658658027648926
2565.0,1012.0,0.0,1.0,7.709307909011841
2565.0,1012.0,0.0,1.0,7.75075101852417
2565.0,1012.0,0.0,1.0,7.789439916610718
2565.0,1012.0,0.0,1.0,7.827932834625244
2565.0,1012.0,0.0,1.0,7.8665080070495605
2565.0,1012.0,0.0,1.0,7.923421859741211
2565.0,1012.0,0.0,1.0,7.971792936325073
2565.0,1012.0,0.0,1.0,8.008907079696655
2565.0,1012.0,0.0,1.0,8.050779104232788
2565.0,1012.0,0.0,1.0,8.089862823486328
2565.0,1012.0,0.0,1.0,8.13330602645874
2564.0,1012.0,1.0,1.0,8.204478979110718
