X,Y,delta_x,delta_y,Time
2559.0,1013.0,6.0,-1.0,10.447103023529053
2559.0,1013.0,6.0,-1.0,10.488173246383667
2559.0,1013.0,6.0,-1.0,10.527549982070923
2559.0,1013.0,6.0,-1.0,10.573318243026733
2559.0,1013.0,6.0,-1.0,10.61404013633728
2559.0,1013.0,6.0,-1.0,10.65700626373291
2564.0,1014.0,1.0,-2.0,10.716645240783691
2564.0,1014.0,1.0,-2.0,10.756586074829102
2564.0,1014.0,1.0,-2.0,10.801690101623535
2564.0,1014.0,1.0,-2.0,10.845826148986816
2558.0,1015.0,7.0,-3.0,10.905109167098999
2558.0,1015.0,7.0,-3.0,10.954421997070312
2558.0,1016.0,7.0,-4.0,10.998337030410767
2568.0,1016.0,-3.0,-4.0,11.039393186569214
2568.0,1016.0,-3.0,-4.0,11.08507227897644
2568.0,1016.0,-3.0,-4.0,11.133292198181152
2568.0,1016.0,-3.0,-4.0,11.193335056304932
2568.0,1017.0,-3.0,-5.0,11.235063076019287
2555.0,1017.0,10.0,-5.0,11.27501916885376
2555.0,1017.0,10.0,-5.0,11.317573308944702
2555.0,1017.0,10.0,-5.0,11.361988067626953
2570.0,1018.0,-5.0,-6.0,11.427011251449585
2570.0,1018.0,-5.0,-6.0,11.473478317260742
2568.0,1018.0,-3.0,-6.0,11.515571355819702
2569.0,1018.0,-4.0,-6.0,11.556525230407715
2569.0,1018.0,-4.0,-6.0,11.606664180755615
2557.0,1019.0,8.0,-7.0,11.662065267562866
2557.0,1019.0,8.0,-7.0,11.702474117279053
2558.0,1019.0,7.0,-7.0,11.743869304656982
2556.0,1019.0,9.0,-7.0,11.782799243927002
2556.0,1019.0,9.0,-7.0,11.823694229125977
2564.0,1020.0,1.0,-8.0,11.888111114501953
2565.0,1020.0,0.0,-8.0,11.929602146148682
2565.0,1020.0,0.0,-8.0,11.970743179321289
2570.0,1020.0,-5.0,-8.0,12.008780002593994
2570.0,1020.0,-5.0,-8.0,12.061334133148193
2559.0,1020.0,6.0,-8.0,12.125682353973389
2555.0,1021.0,10.0,-9.0,12.193687200546265
2555.0,1021.0,10.0,-9.0,12.24259614944458
2555.0,1021.0,10.0,-9.0,12.295428276062012
2568.0,1021.0,-3.0,-9.0,12.349870204925537
2573.0,1021.0,-8.0,-9.0,12.388597011566162
2573.0,1021.0,-8.0,-9.0,12.430390119552612
2573.0,1021.0,-8.0,-9.0,12.472491025924683
2573.0,1021.0,-8.0,-9.0,12.513946294784546
2558.0,1022.0,7.0,-10.0,12.574556350708008
2552.0,1022.0,13.0,-10.0,12.61678433418274
2552.0,1022.0,13.0,-10.0,12.658864259719849
2553.0,1022.0,12.0,-10.0,12.701764106750488
2554.0,1022.0,11.0,-10.0,12.754610300064087
2554.0,1022.0,11.0,-10.0,12.813843965530396
2579.0,1023.0,-14.0,-11.0,12.856571197509766
2577.0,1023.0,-12.0,-11.0,12.895170211791992
2577.0,1023.0,-12.0,-11.0,12.937677145004272
2576.0,1023.0,-11.0,-11.0,12.981154203414917
2576.0,1023.0,-11.0,-11.0,13.040423154830933
2552.0,1024.0,13.0,-12.0,13.08184814453125
2554.0,1024.0,11.0,-12.0,13.120622158050537
2554.0,1024.0,11.0,-12.0,13.162127256393433
2554.0,1024.0,11.0,-12.0,13.20575737953186
2554.0,1024.0,11.0,-12.0,13.265738010406494
2571.0,1024.0,-6.0,-12.0,13.30871295928955
2573.0,1024.0,-8.0,-12.0,13.351651191711426
2573.0,1024.0,-8.0,-12.0,13.394981145858765
2576.0,1024.0,-11.0,-12.0,13.44645619392395
2576.0,1024.0,-11.0,-12.0,13.49426007270813
2578.0,1024.0,-13.0,-12.0,13.53815221786499
2560.0,1025.0,5.0,-13.0,13.5799560546875
2560.0,1025.0,5.0,-13.0,13.62148404121399
2555.0,1025.0,10.0,-13.0,13.667291164398193
2553.0,1025.0,12.0,-13.0,13.728299140930176
2553.0,1025.0,12.0,-13.0,13.769930124282837
2570.0,1025.0,-5.0,-13.0,13.812317371368408
2579.0,1025.0,-14.0,-13.0,13.851084232330322
2579.0,1025.0,-14.0,-13.0,13.89520001411438
2582.0,1025.0,-17.0,-13.0,13.955193281173706
2582.0,1025.0,-17.0,-13.0,13.997366189956665
2553.0,1026.0,12.0,-14.0,14.039745092391968
2554.0,1026.0,11.0,-14.0,14.078168153762817
2554.0,1026.0,11.0,-14.0,14.125188112258911
2550.0,1026.0,15.0,-14.0,14.194486141204834
2578.0,1026.0,-13.0,-14.0,14.24086308479309
2578.0,1026.0,-13.0,-14.0,14.288395166397095
2580.0,1026.0,-15.0,-14.0,14.334023237228394
2588.0,1026.0,-23.0,-14.0,14.400367259979248
2588.0,1026.0,-23.0,-14.0,14.448766946792603
2561.0,1027.0,4.0,-15.0,14.494671106338501
2556.0,1027.0,9.0,-15.0,14.540630102157593
2556.0,1027.0,9.0,-15.0,14.585193157196045
2545.0,1027.0,20.0,-15.0,14.641625165939331
2571.0,1027.0,-6.0,-15.0,14.699082136154175
2580.0,1027.0,-15.0,-15.0,14.742149114608765
2580.0,1027.0,-15.0,-15.0,14.787438154220581
2593.0,1027.0,-28.0,-15.0,14.829114198684692
2593.0,1027.0,-28.0,-15.0,14.88883924484253
2570.0,1027.0,-5.0,-15.0,14.942569017410278
2558.0,1027.0,7.0,-15.0,14.988097190856934
2544.0,1028.0,21.0,-16.0,15.03277325630188
2544.0,1028.0,21.0,-16.0,15.074701070785522
2562.0,1028.0,3.0,-16.0,15.128572225570679
2562.0,1028.0,3.0,-16.0,15.181636095046997
2577.0,1027.0,-12.0,-15.0,15.225865125656128
2593.0,1028.0,-28.0,-16.0,15.268460035324097
2593.0,1028.0,-28.0,-16.0,15.31521201133728
2580.0,1028.0,-15.0,-16.0,15.379547119140625
2544.0,1029.0,21.0,-17.0,15.441036224365234
2544.0,1029.0,21.0,-17.0,15.483045101165771
2544.0,1029.0,21.0,-17.0,15.52704119682312
2555.0,1029.0,10.0,-17.0,15.57023811340332
2555.0,1029.0,10.0,-17.0,15.626786231994629
2591.0,1029.0,-26.0,-17.0,15.682926177978516
2594.0,1029.0,-29.0,-17.0,15.730741024017334
2594.0,1029.0,-29.0,-17.0,15.778618097305298
2586.0,1029.0,-21.0,-17.0,15.8284752368927
2551.0,1030.0,14.0,-18.0,15.900118112564087
2545.0,1030.0,20.0,-18.0,15.952744960784912
2543.0,1030.0,22.0,-18.0,16.001071214675903
2543.0,1030.0,22.0,-18.0,16.048453092575073
2551.0,1030.0,14.0,-18.0,16.09141707420349
2551.0,1030.0,14.0,-18.0,16.145715951919556
2596.0,1030.0,-31.0,-18.0,16.201555967330933
2596.0,1030.0,-31.0,-18.0,16.246812343597412
2596.0,1030.0,-31.0,-18.0,16.29075813293457
2587.0,1030.0,-22.0,-18.0,16.334567308425903
2587.0,1030.0,-22.0,-18.0,16.385016202926636
2587.0,1030.0,-22.0,-18.0,16.443060159683228
2545.0,1031.0,20.0,-19.0,16.492480039596558
2549.0,1031.0,16.0,-19.0,16.536543130874634
2549.0,1031.0,16.0,-19.0,16.581931114196777
2549.0,1031.0,16.0,-19.0,16.635822057724
2586.0,1031.0,-21.0,-19.0,16.694237232208252
2586.0,1031.0,-21.0,-19.0,16.739304304122925
2584.0,1031.0,-19.0,-19.0,16.785548210144043
2587.0,1031.0,-22.0,-19.0,16.826850175857544
2587.0,1031.0,-22.0,-19.0,16.88856601715088
2556.0,1032.0,9.0,-20.0,16.942569971084595
2555.0,1032.0,10.0,-20.0,16.987383127212524
2549.0,1032.0,16.0,-20.0,17.032448053359985
2549.0,1032.0,16.0,-20.0,17.075152158737183
2548.0,1032.0,17.0,-20.0,17.126288175582886
2548.0,1032.0,17.0,-20.0,17.18468928337097
2577.0,1032.0,-12.0,-20.0,17.232620239257812
2588.0,1032.0,-23.0,-20.0,17.278863191604614
2588.0,1032.0,-23.0,-20.0,17.324657201766968
2589.0,1032.0,-24.0,-20.0,17.393766164779663
2563.0,1032.0,2.0,-20.0,17.445605278015137
2548.0,1033.0,17.0,-21.0,17.488410234451294
2548.0,1033.0,17.0,-21.0,17.53536820411682
2548.0,1033.0,17.0,-21.0,17.589202165603638
2566.0,1033.0,-1.0,-21.0,17.667120218276978
2584.0,1033.0,-19.0,-21.0,17.713633060455322
2584.0,1033.0,-19.0,-21.0,17.761677026748657
