X,Y,delta_x,delta_y,Time
2210.0,1276.0,358.0,-261.0,0.09231019020080566
2210.0,1276.0,358.0,-261.0,0.16016507148742676
2210.0,1275.9541,358.0,-260.9541,0.215468168258667
2210.0,1275.9559,358.0,-260.95593,0.27089405059814453
2210.0435,1275.9142,357.95654,-260.91418,0.3444051742553711
2210.1277,1275.7886,357.8723,-260.78857,0.4172942638397217
2210.2517,1275.6245,357.7483,-260.6245,0.46275901794433594
2210.3728,1275.4647,357.6272,-260.46472,0.5131158828735352
2210.534,1275.1802,357.46606,-260.18018,0.5677812099456787
2210.7358,1274.8562,357.26416,-259.8562,0.644287109375
2210.9807,1274.49,357.0193,-259.49,0.7048561573028564
2211.3137,1274.036,356.68628,-259.036,0.7487051486968994
2211.6458,1273.5834,356.35425,-258.58337,0.802278995513916
2211.9778,1273.0853,356.02222,-258.08533,0.8718621730804443
2212.4512,1272.3984,355.54883,-257.39844,0.9304890632629395
2212.9727,1271.6635,355.02734,-256.66345,0.9767241477966309
2213.4927,1270.9305,354.50732,-255.93054,1.0373919010162354
2214.0112,1270.1498,353.98877,-255.14978,1.1327412128448486
2214.5815,1269.3169,353.41846,-254.3169,1.1805639266967773
2215.2505,1268.3882,352.7495,-253.38818,1.2229440212249756
2215.9634,1267.4193,352.03662,-252.41931,1.2714481353759766
2216.666,1266.4652,351.33398,-251.46521,1.3414499759674072
2217.4136,1265.4155,350.58643,-250.41553,1.4000990390777588
2218.2007,1264.2769,349.79932,-249.27686,1.4423339366912842
2219.0237,1263.1113,348.97632,-248.11133,1.4814982414245605
2219.822,1261.9805,348.17798,-246.98047,1.5406551361083984
2220.6555,1260.8241,347.34448,-245.8241,1.6141271591186523
2221.5808,1259.47,346.4192,-244.46997,1.6630580425262451
2222.5325,1258.1031,345.46753,-243.10315,1.713517189025879
2223.451,1256.784,344.54907,-241.78406,1.797720193862915
2224.3994,1255.3884,343.6006,-240.38843,1.8502521514892578
2225.369,1253.9891,342.6311,-238.98914,1.897247076034546
2226.3567,1252.5894,341.6433,-237.58936,1.9557991027832031
2227.4233,1251.068,340.57666,-236.068,2.0446550846099854
2228.51,1249.5436,339.49,-234.54358,2.08605694770813
2229.5474,1248.0887,338.45264,-233.08875,2.137861967086792
2230.5962,1246.6415,337.4038,-231.64148,2.2074849605560303
2231.601,1245.1967,336.39893,-230.19666,2.2835190296173096
2232.68,1243.6382,335.32007,-228.63818,2.346215009689331
2233.768,1242.0922,334.23193,-227.09216,2.386281967163086
2234.8025,1240.6224,333.1975,-225.62244,2.4442949295043945
2235.845,1239.1077,332.15503,-224.10767,2.523603916168213
2236.8418,1237.602,331.1582,-222.60205,2.579335927963257
2237.903,1236.1129,330.09692,-221.11292,2.6304240226745605
2238.968,1234.5287,329.03198,-219.52869,2.6785330772399902
2239.9807,1233.0216,328.0193,-218.0216,2.7855350971221924
2241.0645,1231.4633,326.93555,-216.46326,2.8324081897735596
2242.0938,1229.9829,325.90625,-214.98291,2.8842520713806152
2243.126,1228.4677,324.87402,-213.46765,2.9668760299682617
2244.1143,1227.0168,323.88574,-212.01685,3.0397751331329346
2245.2175,1225.4729,322.78247,-210.4729,3.0871870517730713
2246.2654,1224.0065,321.73462,-209.00647,3.1310012340545654
2247.2598,1222.6156,320.74023,-207.6156,3.193182945251465
