X,Y,delta_x,delta_y,Time
2212.0,1274.0,0.0,0.0,0.09311223030090332
2212.0,1274.0,0.0,0.0,0.16001415252685547
2211.0,1274.0,1.0,0.0,0.21229219436645508
2211.0,1274.0,1.0,0.0,0.25476813316345215
2211.0,1274.0,1.0,0.0,0.3048121929168701
2212.0,1273.0,0.0,1.0,0.3570859432220459
2211.0,1272.0,1.0,2.0,0.41003918647766113
2214.0,1270.0,-2.0,4.0,0.4591372013092041
2214.0,1270.0,-2.0,4.0,0.5028228759765625
2217.0,1266.0,-5.0,8.0,0.5465631484985352
2217.0,1266.0,-5.0,8.0,0.5896990299224854
2212.0,1269.0,0.0,5.0,0.634429931640625
2219.0,1262.0,-7.0,12.0,0.681887149810791
2219.0,1262.0,-7.0,12.0,0.72943115234375
2220.0,1261.0,-8.0,13.0,0.7713601589202881
2222.0,1258.0,-10.0,16.0,0.8143570423126221
2222.0,1258.0,-10.0,16.0,0.8576400279998779
2215.0,1261.0,-3.0,13.0,0.9011199474334717
2215.0,1261.0,-3.0,13.0,0.9471008777618408
2218.0,1258.0,-6.0,16.0,0.989077091217041
2218.0,1258.0,-6.0,16.0,1.0312330722808838
2219.0,1256.0,-7.0,18.0,1.0822908878326416
2225.0,1252.0,-13.0,22.0,1.1335170269012451
2225.0,1252.0,-13.0,22.0,1.1881651878356934
2227.0,1249.0,-15.0,25.0,1.233341932296753
2228.0,1248.0,-16.0,26.0,1.274749994277954
2228.0,1248.0,-16.0,26.0,1.3205580711364746
2230.0,1246.0,-18.0,28.0,1.36564302444458
2230.0,1246.0,-18.0,28.0,1.4071791172027588
2230.0,1243.0,-18.0,31.0,1.4509940147399902
2231.0,1242.0,-19.0,32.0,1.4939379692077637
2231.0,1242.0,-19.0,32.0,1.5383491516113281
2233.0,1239.0,-21.0,35.0,1.585489273071289
2236.0,1236.0,-24.0,38.0,1.6293771266937256
2236.0,1236.0,-24.0,38.0,1.6690449714660645
2237.0,1235.0,-25.0,39.0,1.7070910930633545
2237.0,1235.0,-25.0,39.0,1.7499752044677734
2232.0,1237.0,-20.0,37.0,1.7989492416381836
2232.0,1237.0,-20.0,37.0,1.849329948425293
2239.0,1231.0,-27.0,43.0,1.896028995513916
2241.0,1227.0,-29.0,47.0,1.9363040924072266
2241.0,1227.0,-29.0,47.0,1.9807679653167725
2242.0,1226.0,-30.0,48.0,2.0242760181427
2242.0,1226.0,-30.0,48.0,2.069545030593872
2237.0,1228.0,-25.0,46.0,2.114854097366333
2244.0,1223.0,-32.0,51.0,2.155761957168579
2244.0,1223.0,-32.0,51.0,2.200618028640747
2245.0,1221.0,-33.0,53.0,2.2416770458221436
2245.0,1221.0,-33.0,53.0,2.2898130416870117
2248.0,1218.0,-36.0,56.0,2.3352131843566895
2249.0,1216.0,-37.0,58.0,2.375716209411621
2249.0,1216.0,-37.0,58.0,2.4197020530700684
2250.0,1214.0,-38.0,60.0,2.4608840942382812
2250.0,1214.0,-38.0,60.0,2.506361246109009
2251.0,1213.0,-39.0,61.0,2.5561132431030273
2252.0,1211.0,-40.0,63.0,2.597693920135498
2252.0,1211.0,-40.0,63.0,2.63948917388916
2255.0,1207.0,-43.0,67.0,2.6795971393585205
2255.0,1207.0,-43.0,67.0,2.7280020713806152
2250.0,1208.0,-38.0,66.0,2.7749040126800537
2250.0,1208.0,-38.0,66.0,2.816318988800049
2257.0,1204.0,-45.0,70.0,2.8620779514312744
2258.0,1202.0,-46.0,72.0,2.9082491397857666
2258.0,1202.0,-46.0,72.0,2.9554359912872314
2259.0,1200.0,-47.0,74.0,3.0005040168762207
2261.0,1197.0,-49.0,77.0,3.039856195449829
2261.0,1197.0,-49.0,77.0,3.086315155029297
2263.0,1195.0,-51.0,79.0,3.1262781620025635
2263.0,1195.0,-51.0,79.0,3.1699321269989014
2264.0,1194.0,-52.0,80.0,3.214468240737915
2260.0,1194.0,-48.0,80.0,3.2563111782073975
2260.0,1194.0,-48.0,80.0,3.296082019805908
2266.0,1190.0,-54.0,84.0,3.3376991748809814
2266.0,1190.0,-54.0,84.0,3.3802990913391113
2268.0,1187.0,-56.0,87.0,3.4227871894836426
2268.0,1187.0,-56.0,87.0,3.466431140899658
2269.0,1184.0,-57.0,90.0,3.508697032928467
2271.0,1183.0,-59.0,91.0,3.5510761737823486
2271.0,1183.0,-59.0,91.0,3.5931901931762695
2272.0,1182.0,-60.0,92.0,3.6342782974243164
2272.0,1182.0,-60.0,92.0,3.6922881603240967
2273.0,1178.0,-61.0,96.0,3.748126983642578
2276.0,1174.0,-64.0,100.0,3.804476261138916
2276.0,1174.0,-64.0,100.0,3.858098030090332
2276.0,1174.0,-64.0,100.0,3.92608904838562
2277.0,1173.0,-65.0,101.0,3.9840481281280518
2278.0,1172.0,-66.0,102.0,4.073859214782715
2279.0,1170.0,-67.0,104.0,4.155602931976318
2276.0,1169.0,-64.0,105.0,4.221481084823608
2276.0,1169.0,-64.0,105.0,4.286864280700684
