X,Y,delta_x,delta_y,Time
2568.0,1014.0,0.0,0.0,0.08029317855834961
2568.0,1014.0,0.0,0.0,0.2083592414855957
2567.0,1015.0,1.0,-1.0,0.3582918643951416
2567.0,1015.0,1.0,-1.0,0.40639686584472656
2567.0,1014.0,1.0,0.0,0.45438098907470703
2567.0,1015.0,1.0,-1.0,0.5031909942626953
2567.0,1015.0,1.0,-1.0,0.551584005355835
2568.0,1014.0,0.0,0.0,0.594959020614624
2568.0,1014.0,0.0,0.0,0.6408171653747559
2568.0,1014.0,0.0,0.0,0.6905410289764404
2568.0,1014.0,0.0,0.0,0.742009162902832
2568.0,1014.0,0.0,0.0,0.7856240272521973
2568.0,1014.0,0.0,0.0,0.8298161029815674
2568.0,1014.0,0.0,0.0,0.8702859878540039
2568.0,1014.0,0.0,0.0,0.9121890068054199
2568.0,1014.0,0.0,0.0,0.9577012062072754
2568.0,1014.0,0.0,0.0,1.0014729499816895
2568.0,1014.0,0.0,0.0,1.0534441471099854
2568.0,1014.0,0.0,0.0,1.104423999786377
2568.0,1014.0,0.0,0.0,1.1646859645843506
2569.0,1013.0,-1.0,1.0,1.2116599082946777
2569.0,1013.0,-1.0,1.0,1.2584161758422852
2569.0,1013.0,-1.0,1.0,1.3044929504394531
2569.0,1013.0,-1.0,1.0,1.346074104309082
2569.0,1013.0,-1.0,1.0,1.390549898147583
2569.0,1013.0,-1.0,1.0,1.436372995376587
2570.0,1013.0,-2.0,1.0,1.478180170059204
2570.0,1013.0,-2.0,1.0,1.5201568603515625
2570.0,1012.0,-2.0,2.0,1.5692977905273438
2570.0,1012.0,-2.0,2.0,1.6146240234375
2570.0,1012.0,-2.0,2.0,1.6600780487060547
2570.0,1013.0,-2.0,1.0,1.7087578773498535
2571.0,1012.0,-3.0,2.0,1.757007122039795
2571.0,1012.0,-3.0,2.0,1.7979121208190918
2571.0,1012.0,-3.0,2.0,1.8436000347137451
2571.0,1012.0,-3.0,2.0,1.8959009647369385
2571.0,1013.0,-3.0,1.0,1.9424660205841064
2571.0,1013.0,-3.0,1.0,1.9852972030639648
2571.0,1013.0,-3.0,1.0,2.035244941711426
2571.0,1013.0,-3.0,1.0,2.077972888946533
2571.0,1012.0,-3.0,2.0,2.1216330528259277
2571.0,1012.0,-3.0,2.0,2.1672141551971436
2571.0,1012.0,-3.0,2.0,2.2076621055603027
2571.0,1012.0,-3.0,2.0,2.2564821243286133
2571.0,1012.0,-3.0,2.0,2.305148124694824
