X,Y,delta_x,delta_y,Time
842.0,2388.0,1230.0,-978.0,0.07422900199890137
836.301,2538.6672,1235.699,-1128.6672,0.13573241233825684
1135.6248,2583.7756,936.37524,-1173.7756,0.17818713188171387
1066.8729,2641.654,1005.1271,-1231.654,0.21707534790039062
1019.26324,2681.7734,1052.7368,-1271.7734,0.26101136207580566
1373.799,2688.3435,698.20105,-1278.3435,0.3193483352661133
1649.3749,2693.986,422.62512,-1283.9861,0.3828012943267822
1684.7456,2688.7192,387.2544,-1278.7192,0.43059420585632324
1584.5726,2705.9856,487.42737,-1295.9856,0.4701991081237793
1465.7881,2721.8513,606.2119,-1311.8513,0.5088882446289062
1371.5236,2734.3848,700.47644,-1324.3848,0.5560052394866943
1091.7129,2692.4878,980.2871,-1282.4878,0.6327643394470215
924.42145,2578.3774,1147.5786,-1168.3774,0.6894631385803223
837.76587,2586.5557,1234.2341,-1176.5557,0.7355430126190186
772.6384,2593.6267,1299.3616,-1183.6267,0.7829911708831787
1052.7968,2628.0608,1019.20325,-1218.0608,0.8511381149291992
1336.9379,2649.6426,735.06213,-1239.6426,0.9077470302581787
1050.423,2647.519,1021.577,-1237.519,0.9499011039733887
826.3307,2645.7656,1245.6693,-1235.7656,0.9900360107421875
744.6101,2678.9297,1327.3899,-1268.9297,1.044039249420166
675.70264,2705.9014,1396.2974,-1295.9014,1.1140422821044922
667.53845,2716.8962,1404.4615,-1306.8962,1.1689484119415283
700.5435,2740.3281,1371.4565,-1330.3281,1.2220044136047363
1044.3036,2678.2148,1027.6964,-1268.2148,1.2842161655426025
1215.0786,2639.4226,856.9214,-1229.4226,1.34908127784729
1352.2977,2608.1082,719.7023,-1198.1082,1.4287443161010742
1234.929,2656.5525,837.07104,-1246.5525,1.5033271312713623
1018.5855,2571.7908,1053.4146,-1161.7908,1.560941219329834
1772.5233,2627.9663,299.47668,-1217.9663,1.6121373176574707
1791.9188,2599.004,280.08118,-1189.0039,1.7049190998077393
1583.5989,2650.3381,488.40112,-1240.3381,1.7668201923370361
1953.3098,2678.7556,118.690186,-1268.7556,1.8189401626586914
1944.9932,2674.06,127.006836,-1264.06,1.857459306716919
1933.5953,2670.259,138.40466,-1260.259,1.9011151790618896
2121.307,2667.0916,-49.306885,-1257.0916,1.9654121398925781
1765.6898,2692.4329,306.31018,-1282.4329,2.034105062484741
1751.7421,2678.9912,320.25793,-1268.9912,2.0786972045898438
1734.904,2667.964,337.09595,-1257.9641,2.1282081604003906
1360.4502,2661.654,711.5498,-1251.654,2.1802732944488525
1578.6073,2676.1594,493.3927,-1266.1594,2.2458670139312744
1758.7615,2688.2122,313.23853,-1278.2122,2.31303334236145
2075.1646,2707.6665,-3.1645508,-1297.6665,2.3660500049591064
2317.854,2722.49,-245.854,-1312.49,2.4275591373443604
2000.5258,2739.0703,71.47424,-1329.0703,2.5012800693511963
1651.2661,2750.197,420.7339,-1340.197,2.553105115890503
1360.5889,2413.1191,711.41113,-1003.11914,2.600050210952759
1134.5428,2151.2625,937.45715,-741.26245,2.6552844047546387
855.47644,2252.989,1216.5236,-842.989,2.738469123840332
1515.6919,2293.145,556.3081,-883.145,2.7950541973114014
1216.3655,2386.8406,855.6345,-976.8406,2.8444321155548096
1880.5587,2475.967,191.44128,-1065.967,2.89914608001709
1894.3507,2448.5752,177.64929,-1038.5752,2.9632351398468018
1808.3856,2508.9773,263.61438,-1098.9773,3.0471091270446777
1730.1188,2558.4165,341.88123,-1148.4165,3.0875141620635986
1474.7986,2596.6387,597.2014,-1186.6387,3.130307197570801
2041.7257,2553.537,30.274292,-1143.5371,3.1706302165985107
2480.6016,2520.0364,-408.60156,-1110.0364,3.2114980220794678
2264.8184,2537.3726,-192.81836,-1127.3726,3.2809572219848633
1870.981,2581.1929,201.01904,-1171.1929,3.3403172492980957
1547.4639,2616.0994,524.53613,-1206.0994,3.3823471069335938
1333.0203,2641.498,738.97974,-1231.498,3.4302210807800293
1065.9119,2669.0295,1006.08813,-1259.0295,3.482532262802124
848.51526,2691.6619,1223.4847,-1281.6619,3.5521950721740723
709.4622,2575.3416,1362.5378,-1165.3416,3.5966861248016357
1467.2288,2618.864,604.77124,-1208.864,3.6365203857421875
2060.4219,2652.844,11.578125,-1242.844,3.6988799571990967
1793.1664,2593.0083,278.83362,-1183.0083,3.7630581855773926
1559.0253,2514.678,512.97473,-1104.678,3.8052141666412354
1742.766,2562.9294,329.234,-1152.9294,3.8462860584259033
1885.8691,2600.6584,186.13086,-1190.6584,3.886589288711548
2149.497,2638.2979,-77.49707,-1228.2979,3.9371230602264404
2366.314,2669.001,-294.31396,-1259.001,4.003874063491821
1935.2866,2357.6895,136.71338,-947.68945,4.053147315979004
1827.7478,2435.4116,244.2522,-1025.4116,4.0960211753845215
2310.9646,2425.0012,-238.9646,-1015.0012,4.134242057800293
2688.323,2417.3035,-616.323,-1007.30347,4.184100151062012
2183.7485,2357.425,-111.748535,-947.42505,4.250827074050903
2021.6449,2405.842,50.355103,-995.84204,4.292280197143555
1889.3446,2446.9878,182.6554,-1036.9878,4.333697080612183
2357.1577,2505.153,-285.1577,-1095.1531,4.372112274169922
2724.29,2551.0447,-652.29004,-1141.0447,4.421943187713623
2172.3467,2596.75,-100.34668,-1186.75,4.4892799854278564
2298.9922,2611.829,-226.99219,-1201.8291,4.5360472202301025
2263.7192,2636.9578,-191.71924,-1226.9578,4.576156139373779
2233.8354,2656.1711,-161.83545,-1246.1711,4.61689019203186
1747.6282,2654.53,324.37183,-1244.53,4.664059162139893
1358.0933,2653.6404,713.90674,-1243.6404,4.727328062057495
1502.8705,2670.1165,569.1295,-1260.1165,4.772180080413818
1333.9612,2705.7307,738.0388,-1295.7307,4.812843084335327
1202.7102,2733.3613,869.2898,-1323.3613,4.8638410568237305
963.8989,2735.173,1108.1011,-1325.1731,4.9458770751953125
799.37506,2751.3762,1272.625,-1341.3762,5.037233114242554
597.01495,2759.306,1474.9851,-1349.3059,5.091614246368408
618.89453,2776.978,1453.1055,-1366.978,5.133536100387573
895.3542,2760.4192,1176.6458,-1350.4192,5.178558349609375
1107.062,2747.9873,964.938,-1337.9873,5.244930028915405
871.17737,2753.3687,1200.8226,-1343.3687,5.295792102813721
1623.164,2751.6372,448.83606,-1341.6372,5.334349155426025
2207.1572,2749.6323,-135.15723,-1339.6323,5.3769941329956055
1714.4188,2729.385,357.58118,-1319.385,5.4385600090026855
2274.4753,2724.1697,-202.47534,-1314.1697,5.504332065582275
2311.7468,2727.9133,-239.74683,-1317.9133,5.544382333755493
2335.8467,2730.334,-263.84668,-1320.334,5.584319114685059
2360.1624,2732.7764,-288.16235,-1322.7764,5.623214244842529
2383.0273,2735.073,-311.02734,-1325.073,5.671882152557373
2413.41,2738.1248,-341.4099,-1328.1248,5.736136198043823
2452.72,2742.073,-380.71997,-1332.073,5.785992383956909
2481.99,2745.013,-409.99,-1335.013,5.8262481689453125
2505.4224,2747.3665,-433.42236,-1337.3665,5.870510101318359
2532.1914,2750.0552,-460.1914,-1340.0552,5.920899152755737
2563.2192,2753.1716,-491.21924,-1343.1716,5.983747243881226
2601.18,2756.9844,-529.17993,-1346.9844,6.027956247329712
2626.987,2759.5764,-554.98706,-1349.5764,6.066525220870972
2650.4097,2761.929,-578.40967,-1351.929,6.107759237289429
2675.1711,2764.416,-603.17114,-1354.416,6.153074264526367
2704.0212,2767.3137,-632.02124,-1357.3137,6.218905210494995
2743.4802,2771.277,-671.4802,-1361.2771,6.271324157714844
2773.463,2774.2886,-701.4629,-1364.2886,6.313966274261475
2799.2688,2776.8806,-727.2688,-1366.8806,6.352312088012695
2822.3372,2779.1978,-750.33716,-1369.1978,6.39989709854126
