X,Y,delta_x,delta_y,Time
2210.0,1275.0,0.0,0.0,0.07314491271972656
2210.0,1275.0,0.0,0.0,0.12682390213012695
2210.0,1275.0,0.0,0.0,0.183060884475708
2210.0,1275.0,0.0,0.0,0.2440178394317627
2210.2104,1274.7896,-0.21044922,0.21044922,0.305405855178833
2210.37,1274.4325,-0.3701172,0.5675049,0.3638777732849121
2210.6868,1273.7689,-0.6867676,1.2310791,0.4178488254547119
2211.3105,1273.0503,-1.3105469,1.949707,0.45758581161499023
2211.8145,1272.4714,-1.8144531,2.5285645,0.496628999710083
2212.4053,1271.8192,-2.4052734,3.1807861,0.5441718101501465
2212.9197,1271.2488,-2.9196777,3.7512207,0.620938777923584
2213.7583,1269.991,-3.7583008,5.009033,0.6728537082672119
2214.613,1268.6091,-4.613037,6.390869,0.7165477275848389
2215.4988,1267.285,-5.4987793,7.714966,0.7596616744995117
2216.2468,1266.1667,-6.246826,8.833252,0.8253467082977295
2217.147,1264.9165,-7.1469727,10.083496,0.8884680271148682
2218.255,1263.3381,-8.254883,11.661865,0.9335918426513672
2219.501,1261.7198,-9.500977,13.280151,0.975780725479126
2220.5205,1260.3978,-10.520508,14.602173,1.0395317077636719
2221.6963,1258.9188,-11.696289,16.081177,1.0987200736999512
2222.827,1257.3657,-12.826904,17.634277,1.1380836963653564
2223.667,1256.2113,-13.666992,18.788696,1.1858136653900146
2224.6436,1254.9387,-14.643555,20.06128,1.2741398811340332
2225.8672,1253.3933,-15.8671875,21.60669,1.3566269874572754
2227.2441,1251.3712,-17.24414,23.628784,1.4237289428710938
2228.3616,1249.7216,-18.361572,25.278442,1.5018136501312256
2229.453,1248.2002,-19.45288,26.799805,1.5427720546722412
2230.285,1247.1136,-20.284912,27.886353,1.5842089653015137
2230.9712,1246.2168,-20.971191,28.783203,1.6272149085998535
2231.725,1244.9154,-21.725098,30.084595,1.6923537254333496
2232.7593,1243.3353,-22.759277,31.664673,1.7597568035125732
2233.954,1241.5103,-23.954102,33.489746,1.8025789260864258
2234.7314,1240.2975,-24.731445,34.702515,1.8468148708343506
2235.576,1239.0852,-25.575928,35.914795,1.8881478309631348
2236.2607,1238.1018,-26.260742,36.898193,1.9433107376098633
2237.1438,1236.9153,-27.143799,38.084717,2.016618013381958
2238.3784,1235.1915,-28.378418,39.80847,2.062586784362793
2239.3225,1233.7671,-29.32251,41.23291,2.1024389266967773
2240.0525,1232.6608,-30.05249,42.339233,2.1457338333129883
2240.6711,1231.5444,-30.671143,43.455566,2.2067699432373047
2241.7817,1229.9124,-31.781738,45.087646,2.2762670516967773
2242.9094,1228.342,-32.909424,46.65796,2.316704034805298
2243.5544,1227.4569,-33.554443,47.54309,2.360017776489258
2244.4717,1226.1509,-34.47168,48.84912,2.40183687210083
2245.233,1225.0674,-35.23291,49.932617,2.4549319744110107
2246.1746,1223.6213,-36.17456,51.378662,2.522592067718506
2247.252,1221.8885,-37.251953,53.11145,2.5672767162323
2248.0967,1220.6001,-38.09668,54.399902,2.606726884841919
2248.7139,1219.6525,-38.713867,55.347534,2.6477489471435547
2249.4297,1218.6506,-39.429688,56.349365,2.696082830429077
2250.1924,1217.5753,-40.192383,57.424683,2.762136697769165
2251.2588,1215.8538,-41.25879,59.14624,2.8111019134521484
2252.294,1214.5518,-42.293945,60.448242,2.8539958000183105
2253.1643,1213.2762,-43.164307,61.723755,2.8973336219787598
2253.8027,1212.3392,-43.802734,62.660767,2.953861951828003
2254.7456,1210.8627,-44.745605,64.13733,3.0211689472198486
2255.9585,1209.1747,-45.958496,65.82532,3.061978816986084
2256.6682,1208.206,-46.668213,66.793945,3.10644268989563
2257.6377,1206.833,-47.637695,68.16699,3.148810625076294
2258.4282,1205.714,-48.428223,69.28601,3.2047998905181885
2259.4468,1204.343,-49.446777,70.65698,3.275441884994507
2260.6199,1202.4464,-50.619873,72.55359,3.3196139335632324
2261.4436,1201.1691,-51.443604,73.83093,3.359524726867676
2262.062,1200.2037,-52.06201,74.796265,3.4033496379852295
2262.804,1199.1512,-52.803955,75.848755,3.461594820022583
2264.0684,1197.1332,-54.06836,77.86682,3.5376358032226562
2265.328,1195.2303,-55.32788,79.76965,3.585108995437622
2266.0967,1194.0557,-56.09668,80.944336,3.626878023147583
2266.7864,1193.0914,-56.786377,81.90857,3.669337749481201
2267.4329,1192.1826,-57.43286,82.81738,3.7283897399902344
2268.3594,1190.7588,-58.359375,84.24121,3.7929270267486572
2269.236,1189.5042,-59.236084,85.49585,3.836190938949585
2270.1272,1188.2115,-60.127197,86.78845,3.8758418560028076
2270.8225,1187.2037,-60.82251,87.796265,3.939954996109009
2271.9026,1185.7167,-61.902588,89.283325,4.0025107860565186
2272.9023,1184.234,-62.902344,90.76599,4.046627759933472
2273.6917,1182.9633,-63.69165,92.03674,4.085450649261475
2274.2756,1182.013,-64.275635,92.98706,4.145665645599365
2275.235,1180.6095,-65.23511,94.3905,4.206914901733398
2276.3408,1178.9795,-66.34082,96.02051,4.247666835784912
2277.0093,1177.9933,-67.00928,97.006714,4.2910966873168945
2277.7607,1176.7899,-67.76074,98.21008,4.351941823959351
2278.8586,1175.1755,-68.85864,99.82446,4.422213792800903
2279.9558,1173.6512,-69.95581,101.348755,4.461890697479248
2280.491,1172.94,-70.49097,102.06006,4.505244970321655
2281.3481,1171.7316,-71.348145,103.26843,4.571948766708374
2282.6348,1169.7871,-72.634766,105.21289,4.641665697097778
2283.7378,1168.0187,-73.73779,106.98132,4.680868864059448
2284.3176,1167.0455,-74.31763,107.95447,4.722834825515747
2285.0066,1166.0184,-75.00659,108.98157,4.784689903259277
2286.1467,1164.4137,-76.14673,110.5863,4.8458099365234375
2286.8328,1163.4688,-76.83276,111.53125,4.88811182975769
2287.595,1162.3914,-77.59497,112.60864,4.930564880371094
