X,Y,delta_x,delta_y,Time
2214.0,1296.0,0.0,0.0,0.06737995147705078
2214.0,1296.0,0.0,0.0,0.1149148941040039
2214.0,1296.0,0.0,0.0,0.158203125
2214.0,1296.0,0.0,0.0,0.20677804946899414
2214.0,1296.0,0.0,0.0,0.2588939666748047
2214.0,1296.0,0.0,0.0,0.31218791007995605
2214.0,1296.0,0.0,0.0,0.3688828945159912
2214.0,1296.0,0.0,0.0,0.4179229736328125
2214.0,1296.0,0.0,0.0,0.4675769805908203
2214.0,1296.0,0.0,0.0,0.5146439075469971
2215.0,1296.0,-1.0,0.0,0.568248987197876
2215.0,1296.0,-1.0,0.0,0.6172158718109131
2215.0,1296.0,-1.0,0.0,0.6913409233093262
2215.0,1295.0,-1.0,1.0,0.7405080795288086
2215.0,1295.0,-1.0,1.0,0.7904760837554932
2215.0,1295.0,-1.0,1.0,0.8448259830474854
2215.0,1295.0,-1.0,1.0,0.8935470581054688
2215.0,1295.0,-1.0,1.0,0.9511868953704834
2216.0,1295.0,-2.0,1.0,1.0006730556488037
2216.0,1295.0,-2.0,1.0,1.049807071685791
2216.0,1295.0,-2.0,1.0,1.1152639389038086
2216.0,1295.0,-2.0,1.0,1.1750819683074951
2216.0,1295.0,-2.0,1.0,1.222472906112671
2216.0,1295.0,-2.0,1.0,1.272226095199585
2216.0,1295.0,-2.0,1.0,1.3266379833221436
2216.0,1295.0,-2.0,1.0,1.3783631324768066
2216.0,1295.0,-2.0,1.0,1.4276299476623535
2216.0,1295.0,-2.0,1.0,1.4747200012207031
2216.0,1295.0,-2.0,1.0,1.5188610553741455
2216.0,1295.0,-2.0,1.0,1.563370943069458
2216.0,1295.0,-2.0,1.0,1.6107919216156006
2216.0,1295.0,-2.0,1.0,1.6629900932312012
2216.0,1295.0,-2.0,1.0,1.704615831375122
2216.0,1295.0,-2.0,1.0,1.746269941329956
2217.0,1294.0,-3.0,2.0,1.7922108173370361
2217.0,1294.0,-3.0,2.0,1.8380529880523682
2217.0,1294.0,-3.0,2.0,1.880769968032837
2217.0,1294.0,-3.0,2.0,1.9212260246276855
2217.0,1294.0,-3.0,2.0,1.9614019393920898
2217.0,1294.0,-3.0,2.0,2.0015389919281006
2217.0,1294.0,-3.0,2.0,2.0431060791015625
2217.0,1294.0,-3.0,2.0,2.0839688777923584
2217.0,1294.0,-3.0,2.0,2.1253650188446045
2217.0,1294.0,-3.0,2.0,2.1709539890289307
2217.0,1294.0,-3.0,2.0,2.211071014404297
2218.0,1293.0,-4.0,3.0,2.2542030811309814
2218.0,1293.0,-4.0,3.0,2.2952160835266113
2218.0,1293.0,-4.0,3.0,2.3386600017547607
2218.0,1293.0,-4.0,3.0,2.3785951137542725
2218.0,1293.0,-4.0,3.0,2.422438859939575
2218.0,1293.0,-4.0,3.0,2.4707438945770264
2218.0,1293.0,-4.0,3.0,2.5128958225250244
2218.0,1293.0,-4.0,3.0,2.559614896774292
2218.0,1293.0,-4.0,3.0,2.608258008956909
2218.0,1293.0,-4.0,3.0,2.657867908477783
2218.0,1293.0,-4.0,3.0,2.708163022994995
2219.0,1293.0,-5.0,3.0,2.751081943511963
2219.0,1293.0,-5.0,3.0,2.7935001850128174
2219.0,1293.0,-5.0,3.0,2.839203119277954
2219.0,1293.0,-5.0,3.0,2.88247013092041
2219.0,1293.0,-5.0,3.0,2.926635980606079
2219.0,1293.0,-5.0,3.0,2.9666647911071777
2219.0,1293.0,-5.0,3.0,3.011012077331543
2219.0,1293.0,-5.0,3.0,3.0545551776885986
2220.0,1292.0,-6.0,4.0,3.101186990737915
2220.0,1292.0,-6.0,4.0,3.1438751220703125
2220.0,1292.0,-6.0,4.0,3.1879401206970215
2220.0,1292.0,-6.0,4.0,3.233607769012451
2220.0,1292.0,-6.0,4.0,3.278182029724121
2220.0,1292.0,-6.0,4.0,3.323491096496582
2220.0,1292.0,-6.0,4.0,3.3652219772338867
2220.0,1292.0,-6.0,4.0,3.405668020248413
2220.0,1292.0,-6.0,4.0,3.446989059448242
2220.0,1292.0,-6.0,4.0,3.4861838817596436
2220.0,1292.0,-6.0,4.0,3.5326268672943115
