X,Y,delta_x,delta_y,Time
2214.0,1296.0,0.0,0.0,0.06877803802490234
2214.0,1296.5007,0.0,-0.5007324,0.12748003005981445
2214.0,1296.2502,0.0,-0.25024414,0.17159605026245117
2214.0,1296.1248,0.0,-0.12475586,0.2160050868988037
2214.0,1296.5643,0.0,-0.56433105,0.26028919219970703
2214.0,1296.7847,0.0,-0.78466797,0.33260321617126465
2214.0,1296.3889,0.0,-0.38891602,0.4088320732116699
2214.0,1296.1885,0.0,-0.18847656,0.46372509002685547
2214.0,1296.0891,0.0,-0.08911133,0.522407054901123
2214.0,1296.0393,0.0,-0.03930664,0.5860450267791748
2214.0,1296.0137,0.0,-0.013671875,0.6567959785461426
2214.517,1296.0011,-0.51708984,-0.0010986328,0.7063419818878174
2214.7727,1295.9961,-0.7727051,0.00390625,0.7548801898956299
2214.8987,1295.9941,-0.89868164,0.005859375,0.8116879463195801
2214.9644,1295.9923,-0.96435547,0.0076904297,0.8880350589752197
2215.0015,1295.4656,-1.0014648,0.5344238,0.948422908782959
2215.0137,1295.2087,-1.0136719,0.79125977,0.9968490600585938
2215.0178,1295.0844,-1.0178223,0.9156494,1.0532481670379639
2215.5408,1295.0195,-1.5407715,0.98046875,1.1226019859313965
2215.8098,1294.9829,-1.8098145,1.0170898,1.178544282913208
2215.9324,1294.9736,-1.932373,1.0263672,1.2293381690979004
2215.9944,1294.9681,-1.9943848,1.0318604,1.2828071117401123
2216.0225,1294.9674,-2.022461,1.0325928,1.3508570194244385
2216.043,1294.9629,-2.0429688,1.0371094,1.4136252403259277
2216.0496,1294.963,-2.0495605,1.0369873,1.460684061050415
2216.045,1294.9683,-2.0449219,1.0317383,1.5088701248168945
2216.0452,1294.9692,-2.045166,1.0307617,1.6022772789001465
2216.0574,1294.9619,-2.057373,1.0380859,1.6618120670318604
2216.0466,1294.9692,-2.0466309,1.0307617,1.7124049663543701
2216.0393,1294.9742,-2.0393066,1.0257568,1.7836182117462158
2216.0435,1294.9714,-2.043457,1.0285645,1.848917007446289
2216.5686,1294.4451,-2.5686035,1.5549316,1.9018750190734863
2216.8228,1294.1892,-2.822754,1.810791,1.9567670822143555
2216.953,1294.0587,-2.9528809,1.9412842,2.0521979331970215
2217.037,1293.9767,-3.0371094,2.0233154,2.1144912242889404
2217.0486,1293.962,-3.048584,2.0379639,2.159041166305542
2217.0479,1293.9604,-3.0478516,2.0395508,2.2282721996307373
2217.0618,1293.9473,-3.0617676,2.0527344,2.2909152507781982
2217.0605,1293.9478,-3.0605469,2.052246,2.3412811756134033
2217.0552,1293.9521,-3.0551758,2.0478516,2.4115352630615234
2217.0586,1293.9492,-3.0585938,2.0507812,2.483544111251831
2217.0583,1293.9493,-3.0583496,2.0506592,2.534576892852783
2217.0476,1293.9586,-3.0476074,2.0413818,2.5825300216674805
2217.0417,1293.9637,-3.041748,2.036255,2.6317341327667236
2217.562,1293.9651,-3.5620117,2.034912,2.7169580459594727
2217.846,1293.9572,-3.8459473,2.0428467,2.7732322216033936
2217.9595,1293.9656,-3.9594727,2.0344238,2.8236539363861084
2218.013,1293.9706,-4.0129395,2.029419,2.88602614402771
2218.0496,1293.4414,-4.0495605,2.5585938,2.9692752361297607
2218.072,1293.1681,-4.0720215,2.8319092,3.021771192550659
2218.065,1293.0502,-4.0649414,2.949829,3.0677011013031006
2218.0588,1292.995,-4.058838,3.005005,3.125559091567993
2218.059,1292.9639,-4.059082,3.0361328,3.204596996307373
2218.0664,1292.9398,-4.0664062,3.0601807,3.2608320713043213
2218.0571,1292.9425,-4.057129,3.057495,3.309784173965454
2218.572,1292.9478,-4.5720215,3.052246,3.3596951961517334
2218.8325,1292.9474,-4.8325195,3.0526123,3.4425361156463623
2218.9778,1292.9393,-4.977783,3.060669,3.4980690479278564
2219.026,1292.9497,-5.025879,3.050293,3.545706033706665
2219.0469,1292.9562,-5.046875,3.0438232,3.6020450592041016
2219.068,1292.9535,-5.068115,3.0465088,3.687375068664551
2219.0798,1292.9517,-5.079834,3.0483398,3.7378320693969727
2219.069,1292.96,-5.069092,3.040039,3.7899882793426514
2219.0615,1292.9652,-5.0615234,3.03479,3.84915828704834
2219.0627,1292.4391,-5.062744,3.560913,3.9200611114501953
2219.5989,1292.1694,-5.598877,3.8305664,3.9760940074920654
2219.8496,1292.0481,-5.8496094,3.9519043,4.021783113479614
2219.9644,1291.995,-5.9643555,4.005005,4.07337498664856
2220.0283,1291.9634,-6.0283203,4.036621,4.155172109603882
2220.077,1291.9355,-6.0769043,4.064453,4.212251901626587
2220.078,1291.9388,-6.077881,4.061157,4.260266065597534
2220.0752,1291.9427,-6.0751953,4.057251,4.3221471309661865
2220.08,1291.9401,-6.080078,4.0599365,4.392935037612915
2220.0789,1291.9414,-6.0788574,4.0585938,4.440155982971191
2220.0657,1291.9514,-6.065674,4.048584,4.483966112136841
2220.0579,1291.9574,-6.0578613,4.0426025,4.5258331298828125
2220.0513,1291.9623,-6.0512695,4.0377197,4.595916032791138
2220.0635,1291.9534,-6.0634766,4.046631,4.661191940307617
2220.5913,1291.9552,-6.5913086,4.0448,4.712712049484253
2220.845,1291.4336,-6.8449707,4.5664062,4.784380912780762
2220.9954,1291.1521,-6.9953613,4.8479004,4.866796016693115
2221.049,1291.0286,-7.0490723,4.9714355,4.914035081863403
2221.0608,1290.981,-7.060791,5.019043,4.9659130573272705
2221.0664,1290.9575,-7.0664062,5.0424805,5.025731086730957
2221.0757,1290.94,-7.0756836,5.0600586,5.112322092056274
2221.0896,1290.9229,-7.0895996,5.0771484,5.167224168777466
2221.0762,1290.9327,-7.076172,5.0672607,5.218002080917358
2221.0674,1290.9395,-7.067383,5.060547,5.2782371044158936
2221.0823,1290.9254,-7.0822754,5.074585,5.3829991817474365
2221.6064,1290.9368,-7.6064453,5.0632324,5.4286110401153564
2221.8455,1290.9507,-7.845459,5.0493164,5.481027126312256
2221.973,1290.953,-7.9729004,5.046997,5.560665130615234
2222.0505,1290.9481,-8.050537,5.05188,5.63704514503479
2222.0803,1290.9501,-8.080322,5.0499268,5.693822145462036
2222.0886,1290.9539,-8.088623,5.0461426,5.766694068908691
2222.079,1290.4329,-8.079102,5.5671387,5.846549034118652
2222.0857,1290.6981,-8.085693,5.30188,5.9038920402526855
2222.0757,1290.8376,-8.075684,5.1623535,5.972520112991333
2222.072,1290.376,-8.0720215,5.6240234,6.074872255325317
2222.6304,1290.1272,-8.630371,5.8728027,6.130902051925659
2222.8665,1290.032,-8.866455,5.9680176,6.207592010498047
2223.0042,1289.9712,-9.00415,6.0288086,6.3613152503967285
2223.1091,1289.9185,-9.109131,6.081543,6.4289281368255615
2223.099,1289.9315,-9.099121,6.0684814,6.531570911407471
2223.1108,1289.3727,-9.11084,6.6273193,6.593651056289673
2223.0835,1289.1403,-9.083496,6.859741,6.642583131790161
2223.0671,1289.5541,-9.067139,6.445923,6.698806047439575
2223.0637,1289.7542,-9.063721,6.2458496,6.7505879402160645
2223.0579,1289.8574,-9.057861,6.142578,6.796366214752197
2223.051,1289.912,-9.051025,6.0880127,6.837376117706299
2223.0457,1289.9407,-9.045654,6.059326,6.89311408996582
2223.5662,1289.9512,-9.566162,6.048828,6.961923122406006
2223.8342,1289.9543,-9.8342285,6.0456543,7.00817608833313
2223.953,1289.9629,-9.952881,6.0371094,7.049979209899902
2224.0076,1289.9688,-10.007568,6.03125,7.094583034515381
2224.0435,1289.9681,-10.043457,6.0318604,7.167675256729126
2224.0679,1289.4375,-10.067871,6.5625,7.230130910873413
2224.0686,1289.1799,-10.0686035,6.8200684,7.270334959030151
