X,Y,delta_x,delta_y,Time
5146.0,2061.0,3.0,0.0,0.23700618743896484
5143.0,2062.0,6.0,-1.0,0.39441990852355957
5143.0,2062.0,6.0,-1.0,0.5871191024780273
5141.0,2062.0,8.0,-1.0,0.7610299587249756
5140.0,2062.0,9.0,-1.0,0.9615590572357178
5140.0,2062.0,9.0,-1.0,1.3957700729370117
5137.0,2062.0,12.0,-1.0,1.5613648891448975
5137.0,2062.0,12.0,-1.0,1.7327821254730225
5136.0,2063.0,13.0,-2.0,1.963961124420166
5136.0,2063.0,13.0,-2.0,2.203221082687378
5136.0,2062.0,13.0,-1.0,2.361793041229248
5136.0,2062.0,13.0,-1.0,2.608428955078125
5137.0,2062.0,12.0,-1.0,2.8135130405426025
5137.0,2062.0,12.0,-1.0,3.046952962875366
5138.0,2062.0,11.0,-1.0,3.2427561283111572
5139.0,2062.0,10.0,-1.0,3.4468159675598145
5142.0,2062.0,7.0,-1.0,3.706204891204834
5142.0,2062.0,7.0,-1.0,3.976300001144409
5145.0,2062.0,4.0,-1.0,4.324087142944336
5148.0,2062.0,1.0,-1.0,4.674578905105591
5150.0,2061.0,-1.0,0.0,4.941133975982666
5152.0,2061.0,-3.0,0.0,5.241211891174316
5156.0,2061.0,-7.0,0.0,5.562175989151001
5158.0,2061.0,-9.0,0.0,5.912858963012695
5159.0,2060.0,-10.0,1.0,6.245155096054077
5162.0,2061.0,-13.0,0.0,6.652132034301758
5162.0,2061.0,-13.0,0.0,7.002807140350342
5163.0,2060.0,-14.0,1.0,7.329034090042114
5163.0,2060.0,-14.0,1.0,7.671037912368774
5162.0,2060.0,-13.0,1.0,8.196063041687012
5161.0,2061.0,-12.0,0.0,8.51937985420227
5157.0,2062.0,-8.0,-1.0,8.906028985977173
5155.0,2061.0,-6.0,0.0,9.558085918426514
5149.0,2061.0,0.0,0.0,9.846359014511108
5147.0,2062.0,2.0,-1.0,10.172889947891235
5146.0,2062.0,3.0,-1.0,10.569406986236572
5140.0,2062.0,9.0,-1.0,10.886893033981323
5139.0,2062.0,10.0,-1.0,11.20695185661316
5137.0,2063.0,12.0,-2.0,11.962692022323608
5136.0,2062.0,13.0,-1.0,12.86217188835144
5137.0,2062.0,12.0,-1.0,13.363945960998535
5139.0,2062.0,10.0,-1.0,14.103039026260376
5144.0,2062.0,5.0,-1.0,14.483245134353638
5149.0,2062.0,0.0,-1.0,14.886053800582886
5151.0,2062.0,-2.0,-1.0,15.404975175857544
5157.0,2061.0,-8.0,0.0,15.74740719795227
5158.0,2060.0,-9.0,1.0,16.18738293647766
5162.0,2061.0,-13.0,0.0,16.55524516105652
5163.0,2060.0,-14.0,1.0,16.985794067382812
5163.0,2060.0,-14.0,1.0,17.269699096679688
5163.0,2061.0,-14.0,0.0,17.440778017044067
5163.0,2060.0,-14.0,1.0,17.628628969192505
5163.0,2060.0,-14.0,1.0,18.040050983428955
5160.0,2060.0,-11.0,1.0,18.319831132888794
5159.0,2061.0,-10.0,0.0,18.64510202407837
5156.0,2061.0,-7.0,0.0,18.861070156097412
5154.0,2061.0,-5.0,0.0,19.10871982574463
5154.0,2061.0,-5.0,0.0,19.34686803817749
5152.0,2061.0,-3.0,0.0,19.65569519996643
5149.0,2062.0,0.0,-1.0,19.879908084869385
5147.0,2062.0,2.0,-1.0,20.10538387298584
5145.0,2061.0,4.0,0.0,20.44875693321228
5141.0,2062.0,8.0,-1.0,20.75012516975403
5140.0,2062.0,9.0,-1.0,21.01978588104248
5139.0,2062.0,10.0,-1.0,21.22823977470398
5137.0,2062.0,12.0,-1.0,21.407615900039673
5137.0,2062.0,12.0,-1.0,21.59341788291931
5136.0,2062.0,13.0,-1.0,21.92048215866089
5136.0,2062.0,13.0,-1.0,22.15753197669983
5136.0,2063.0,13.0,-2.0,22.541078090667725
5136.0,2062.0,13.0,-1.0,22.851930856704712
5138.0,2062.0,11.0,-1.0,23.24159598350525
5139.0,2062.0,10.0,-1.0,23.78300189971924
5143.0,2061.0,6.0,0.0,24.0574369430542
5145.0,2062.0,4.0,-1.0,24.34248399734497
5146.0,2062.0,3.0,-1.0,24.64031195640564
5150.0,2062.0,-1.0,-1.0,25.004791975021362
5152.0,2061.0,-3.0,0.0,25.350421905517578
5154.0,2060.0,-5.0,1.0,25.754719972610474
5159.0,2061.0,-10.0,0.0,26.02339196205139
5160.0,2060.0,-11.0,1.0,26.236507892608643
5160.0,2060.0,-11.0,1.0,26.44378089904785
5162.0,2061.0,-13.0,0.0,26.621740102767944
5163.0,2060.0,-14.0,1.0,26.8162579536438
5163.0,2060.0,-14.0,1.0,27.025999784469604
5163.0,2061.0,-14.0,0.0,27.219876050949097
5163.0,2060.0,-14.0,1.0,27.408879041671753
5163.0,2060.0,-14.0,1.0,27.60146403312683
5163.0,2060.0,-14.0,1.0,27.797422170639038
5161.0,2060.0,-12.0,1.0,27.98460292816162
5161.0,2060.0,-12.0,1.0,28.20264983177185
5160.0,2061.0,-11.0,0.0,28.42149806022644
5159.0,2061.0,-10.0,0.0,28.631221055984497
5159.0,2061.0,-10.0,0.0,28.844501972198486
5155.0,2061.0,-6.0,0.0,29.069536924362183
5154.0,2061.0,-5.0,0.0,29.321091175079346
5152.0,2061.0,-3.0,0.0,29.522214889526367
5152.0,2061.0,-3.0,0.0,29.710842847824097
5148.0,2061.0,1.0,0.0,29.915709972381592
5146.0,2061.0,3.0,0.0,30.08891797065735
5146.0,2061.0,3.0,0.0,30.279451847076416
5144.0,2061.0,5.0,0.0,30.467052936553955
5141.0,2061.0,8.0,0.0,30.639466047286987
5141.0,2061.0,8.0,0.0,30.818222045898438
5139.0,2062.0,10.0,-1.0,30.9892520904541
5139.0,2062.0,10.0,-1.0,31.159383058547974
5138.0,2062.0,11.0,-1.0,31.33724808692932
5136.0,2062.0,13.0,-1.0,31.5376079082489
5136.0,2062.0,13.0,-1.0,31.74907898902893
5136.0,2062.0,13.0,-1.0,31.962960958480835
5136.0,2062.0,13.0,-1.0,32.160324811935425
5136.0,2062.0,13.0,-1.0,32.34252119064331
5136.0,2062.0,13.0,-1.0,32.55869197845459
5137.0,2062.0,12.0,-1.0,32.795759201049805
5137.0,2062.0,12.0,-1.0,33.00607895851135
5138.0,2062.0,11.0,-1.0,33.20637392997742
5139.0,2062.0,10.0,-1.0,33.39040398597717
5139.0,2062.0,10.0,-1.0,33.56906199455261
5141.0,2061.0,8.0,0.0,33.72586488723755
5144.0,2061.0,5.0,0.0,33.87961196899414
5144.0,2061.0,5.0,0.0,34.04943799972534
