X,Y,delta_x,delta_y,Time
2209.0,1273.0,0.0,0.0,0.053820133209228516
2209.0,1273.0,0.0,0.0,0.10624003410339355
2209.0,1273.0,0.0,0.0,0.14763712882995605
2209.0,1273.0,0.0,0.0,0.18598008155822754
2209.0,1273.0,0.0,0.0,0.22788405418395996
2209.0,1272.9999,0.0,0.00012207031,0.2685890197753906
2208.9998,1272.9996,0.00024414062,0.00036621094,0.337360143661499
2208.998,1272.9979,0.001953125,0.0020751953,0.4123959541320801
2208.9949,1272.9946,0.005126953,0.0053710938,0.4590909481048584
2208.9878,1272.9875,0.012207031,0.012451172,0.5110311508178711
2208.9746,1272.9742,0.025390625,0.025756836,0.5685670375823975
2208.9539,1272.9535,0.046142578,0.04650879,0.6108710765838623
2208.9194,1272.9191,0.080566406,0.08093262,0.6522612571716309
2208.872,1272.8717,0.12792969,0.1282959,0.6913270950317383
2208.7996,1272.7993,0.20043945,0.2006836,0.7364380359649658
2208.6992,1272.6991,0.30078125,0.30090332,0.7920560836791992
2208.553,1272.5529,0.44702148,0.44714355,0.8516669273376465
2208.3462,1272.3461,0.6538086,0.65393066,0.9038982391357422
2208.1003,1272.1002,0.8996582,0.8997803,0.9830610752105713
2207.716,1271.7161,1.2839355,1.2839355,1.0605530738830566
2207.2776,1271.2777,1.7224121,1.72229,1.1034371852874756
2206.9187,1270.9188,2.0812988,2.0811768,1.1419761180877686
2206.5942,1270.5944,2.4057617,2.4056396,1.1810932159423828
2206.1582,1270.1584,2.8417969,2.8415527,1.2323682308197021
2205.6685,1269.6687,3.331543,3.3312988,1.303339958190918
2205.095,1269.0952,3.9050293,3.9047852,1.364372968673706
2204.6572,1268.6573,4.3427734,4.3426514,1.4189629554748535
2204.2188,1268.2189,4.78125,4.781128,1.469365119934082
2203.8086,1267.8087,5.1914062,5.191284,1.5287742614746094
2203.4695,1267.4697,5.5305176,5.5302734,1.5745000839233398
2203.1775,1267.1777,5.82251,5.8222656,1.617314100265503
2202.9116,1266.9119,6.088379,6.088135,1.6578669548034668
2202.73,1266.7301,6.2700195,6.2698975,1.7059261798858643
2202.4097,1266.4099,6.590332,6.590088,1.7662169933319092
2202.068,1266.0684,6.931885,6.9316406,1.8108680248260498
2201.8303,1265.8304,7.1696777,7.1695557,1.8523530960083008
2201.6294,1265.6294,7.3706055,7.3706055,1.891310214996338
2201.4758,1265.4757,7.52417,7.524292,1.9371600151062012
2201.2715,1265.2715,7.7285156,7.7285156,2.0129451751708984
2200.873,1264.873,8.126953,8.126953,2.0589492321014404
2200.647,1264.647,8.353027,8.353027,2.1008989810943604
2200.5144,1264.5145,8.485596,8.485474,2.1413140296936035
2200.3162,1264.3163,8.683838,8.683716,2.1925361156463623
2200.0454,1264.0457,8.95459,8.954346,2.2547152042388916
2199.8218,1263.822,9.178223,9.1779785,2.2984392642974854
2199.673,1263.6733,9.326904,9.32666,2.3361170291900635
2199.5686,1263.5686,9.4313965,9.4313965,2.3771820068359375
2199.4636,1263.4637,9.536377,9.536255,2.4267032146453857
2199.3237,1263.3239,9.67627,9.676147,2.4895801544189453
2199.0793,1263.0793,9.920654,9.920654,2.5440821647644043
2198.9102,1262.9102,10.089844,10.089844,2.585761070251465
2198.7998,1262.7998,10.200195,10.200195,2.629613161087036
2198.7017,1262.7017,10.29834,10.29834,2.6882119178771973
2198.559,1262.559,10.440918,10.44104,2.744999885559082
2198.403,1262.4027,10.596924,10.59729,2.786540985107422
2198.334,1262.3336,10.666016,10.666382,2.83022403717041
2198.2864,1262.286,10.713623,10.713989,2.872911214828491
2198.0742,1262.0741,10.925781,10.925903,2.9269309043884277
2197.8794,1261.8792,11.120605,11.12085,2.989955186843872
2197.698,1261.6976,11.302002,11.302368,3.0425798892974854
2197.578,1261.5776,11.422119,11.422363,3.094088077545166
2197.4028,1261.4027,11.597168,11.59729,3.1369049549102783
2197.299,1261.2988,11.700928,11.701172,3.1804542541503906
2197.2134,1261.213,11.786621,11.786987,3.2193150520324707
2197.1523,1261.1521,11.847656,11.8479,3.2598090171813965
2197.0247,1261.0244,11.975342,11.975586,3.298901081085205
2196.9226,1260.9225,12.077393,12.077515,3.3404059410095215
2196.6807,1260.6805,12.319336,12.319458,3.386392116546631
2196.4526,1260.4525,12.547363,12.547485,3.4275529384613037
2196.2798,1260.2798,12.720215,12.720215,3.4704110622406006
2196.0461,1260.0461,12.953857,12.953857,3.5091440677642822
2195.855,1259.855,13.14502,13.14502,3.5487558841705322
2195.6897,1259.6897,13.310303,13.310303,3.5868279933929443
2195.551,1259.5511,13.448975,13.448853,3.6302809715270996
2195.2715,1259.2717,13.728516,13.7282715,3.6690680980682373
2195.0393,1259.0396,13.960693,13.960449,3.7108709812164307
2194.7542,1258.7543,14.24585,14.245728,3.749876022338867
2194.5076,1258.5077,14.492432,14.49231,3.7933812141418457
2194.2798,1258.2799,14.720215,14.720093,3.8381409645080566
2194.075,1258.075,14.925049,14.925049,3.880836009979248
2193.908,1257.9078,15.092041,15.092163,3.924916982650757
2193.767,1257.7668,15.23291,15.233154,3.9653942584991455
2193.6594,1257.659,15.340576,15.340942,4.009329080581665
2193.4092,1257.4088,15.59082,15.591187,4.055346965789795
2193.1797,1257.1792,15.8203125,15.820801,4.098100900650024
2192.928,1256.9275,16.072021,16.07251,4.1440582275390625
2192.6863,1256.6858,16.31372,16.314209,4.188819885253906
2192.49,1256.4895,16.51001,16.510498,4.240386009216309
2192.1418,1256.1412,16.858154,16.858765,4.287600040435791
2191.845,1255.8444,17.15503,17.15564,4.329975128173828
2191.6206,1255.6198,17.379395,17.380249,4.373447895050049
2191.3438,1255.3429,17.65625,17.657104,4.413294076919556
2191.105,1255.104,17.89502,17.895996,4.45858097076416
2190.9077,1254.9066,18.092285,18.093384,4.501126289367676
2190.6392,1254.6382,18.36084,18.361816,4.549350261688232
2190.424,1254.4231,18.575928,18.576904,4.590901136398315
2190.252,1254.251,18.748047,18.749023,4.630332946777344
2190.1123,1254.1113,18.887695,18.888672,4.676390171051025
2189.8984,1253.8973,19.101562,19.102661,4.722970247268677
2189.5435,1253.5422,19.456543,19.457764,4.769625186920166
2189.2673,1253.2661,19.732666,19.733887,4.813868045806885
