X,Y,delta_x,delta_y,Time
2208.0,1273.0,0.0,0.0,0.052873849868774414
2208.0,1273.0,0.0,0.0,0.10669970512390137
2208.0,1273.0,0.0,0.0,0.15044879913330078
2208.0,1273.0,0.0,0.0,0.18915581703186035
2208.0,1273.0,0.0,0.0,0.2291419506072998
2208.0,1273.0,0.0,0.0,0.270993709564209
2208.0,1273.0,0.0,0.0,0.3405587673187256
2207.8716,1272.8716,0.12841797,0.12841797,0.41346192359924316
2207.4966,1272.4965,0.50341797,0.50354004,0.46477365493774414
2207.2458,1272.2458,0.7541504,0.7541504,0.5145626068115234
2207.01,1272.0101,0.98999023,0.98986816,0.5771210193634033
2206.8337,1271.8339,1.1662598,1.1661377,0.6251709461212158
2206.7556,1271.7557,1.2443848,1.2442627,0.6691699028015137
2206.3726,1271.3726,1.6274414,1.6274414,0.7084667682647705
2206.1064,1271.1066,1.8935547,1.8934326,0.7601499557495117
2205.8506,1270.8508,2.149414,2.14917,0.8216876983642578
2205.4678,1270.4681,2.5322266,2.5318604,0.8734169006347656
2205.2466,1270.247,2.753418,2.7530518,0.9155216217041016
2204.977,1269.9773,3.0229492,3.022705,0.9608068466186523
2204.7734,1269.7737,3.2265625,3.2263184,1.0095946788787842
2204.6257,1269.626,3.3742676,3.3740234,1.069544792175293
2204.3394,1269.3395,3.6606445,3.6605225,1.1137259006500244
2204.048,1269.0485,3.9519043,3.951538,1.1545898914337158
2203.8608,1268.8611,4.13916,4.138916,1.196035623550415
2203.7327,1268.7328,4.267334,4.267212,1.2376430034637451
2203.655,1268.6554,4.3449707,4.3446045,1.3006248474121094
2203.5854,1268.5859,4.414551,4.4140625,1.352076768875122
2203.433,1268.4337,4.5668945,4.566284,1.394446849822998
2203.3584,1268.3591,4.6416016,4.640869,1.4373939037322998
2203.152,1268.1528,4.8479004,4.847168,1.4943969249725342
2202.976,1267.9767,5.023926,5.0233154,1.5566446781158447
2202.6755,1267.676,5.324463,5.3239746,1.600740671157837
2202.5261,1267.5266,5.473877,5.4733887,1.6401667594909668
2202.4316,1267.4321,5.5683594,5.567871,1.6781036853790283
2202.3743,1267.3748,5.6257324,5.625244,1.7223186492919922
2202.1704,1267.1707,5.82959,5.8293457,1.784139633178711
2201.8027,1266.803,6.1972656,6.1970215,1.8311259746551514
2201.586,1266.5863,6.4140625,6.4136963,1.8741366863250732
2201.6216,1266.6218,6.378418,6.378174,1.91556978225708
2201.3215,1266.322,6.678467,6.6779785,1.9655578136444092
2201.09,1266.0903,6.909912,6.909668,2.0241637229919434
2200.9124,1265.9126,7.0876465,7.0874023,2.0725009441375732
2200.654,1265.6543,7.3459473,7.345703,2.110595703125
2200.4983,1265.4984,7.501709,7.501587,2.149627685546875
2200.3872,1265.3873,7.612793,7.612671,2.190952777862549
2200.31,1265.3103,7.6899414,7.6896973,2.2549686431884766
2199.8684,1264.8688,8.131592,8.131226,2.3074097633361816
2199.5852,1264.5856,8.414795,8.414429,2.3469529151916504
2199.4233,1264.4237,8.57666,8.576294,2.3913087844848633
2199.318,1264.3185,8.681885,8.681519,2.4482028484344482
2199.0369,1264.0371,8.963135,8.962891,2.5046846866607666
2198.8662,1263.8665,9.133789,9.133545,2.548722743988037
2198.8,1263.8003,9.199951,9.199707,2.589942693710327
2198.598,1263.5979,9.4021,9.4021,2.6280477046966553
2198.4648,1263.4647,9.535156,9.535278,2.671745777130127
2198.2,1263.1998,9.800049,9.800171,2.7319416999816895
2197.9546,1262.9546,10.04541,10.04541,2.7904977798461914
2197.8323,1262.8323,10.167725,10.167725,2.8383028507232666
2197.6003,1262.6003,10.399658,10.399658,2.8829376697540283
2197.258,1262.2579,10.741943,10.742065,2.943560838699341
2196.9905,1261.9902,11.0095215,11.009766,3.005098819732666
2196.6377,1261.6373,11.362305,11.362671,3.05033278465271
2196.441,1261.4406,11.559082,11.559448,3.103231906890869
2196.2776,1261.2771,11.722412,11.7229,3.189168691635132
2196.1682,1261.1677,11.831787,11.832275,3.2394537925720215
2196.2046,1261.2041,11.79541,11.795898,3.287109851837158
2196.059,1261.0585,11.940918,11.941528,3.340547800064087
2195.7676,1260.7671,12.232422,12.23291,3.4118289947509766
2195.3389,1260.3383,12.661133,12.661743,3.4585747718811035
2195.1038,1260.1033,12.89624,12.8967285,3.501098871231079
2194.9592,1259.9587,13.0407715,13.04126,3.542510747909546
2194.8564,1259.8561,13.143555,13.143921,3.595059871673584
2194.7856,1259.7854,13.214355,13.2146,3.656430721282959
2194.3757,1259.3755,13.624268,13.624512,3.700330972671509
2194.1267,1259.1263,13.873291,13.873657,3.7388668060302734
2193.9744,1258.9741,14.025635,14.025879,3.7906877994537354
2193.8257,1258.8254,14.174316,14.174561,3.8554186820983887
2193.5486,1258.5483,14.451416,14.45166,3.8965675830841064
2193.4192,1258.419,14.580811,14.581055,3.938678741455078
2193.336,1258.3358,14.6640625,14.664185,3.9786128997802734
2193.2905,1258.2903,14.709473,14.709717,4.024561882019043
2192.9292,1257.9287,15.070801,15.071289,4.082870721817017
2192.6206,1257.6201,15.379395,15.379883,4.133028745651245
2192.441,1257.4404,15.559082,15.55957,4.172483682632446
2192.3503,1257.3499,15.649658,15.6501465,4.21515679359436
2191.9531,1256.9525,16.046875,16.047485,4.2616119384765625
2191.6394,1256.6389,16.360596,16.361084,4.323768615722656
2191.3674,1256.3667,16.632568,16.6333,4.371851682662964
2191.0723,1256.0713,16.927734,16.92871,4.412207841873169
2190.9006,1255.8998,17.099365,17.10022,4.452645778656006
2190.7852,1255.7842,17.214844,17.21582,4.496572732925415
2190.6934,1255.6925,17.30664,17.307495,4.5562827587127686
2190.4675,1255.4667,17.53247,17.533325,4.605830907821655
2190.1626,1255.1617,17.837402,17.838257,4.644429683685303
2189.9858,1254.9852,18.01416,18.01477,4.684427738189697
2189.7012,1254.7006,18.298828,18.299438,4.732428789138794
2189.4543,1254.4539,18.545654,18.546143,4.796997785568237
2189.2715,1254.2711,18.728516,18.728882,4.845336675643921
2189.0437,1254.0432,18.956299,18.956787,4.88533878326416
2188.7354,1253.735,19.264648,19.265015,4.923328876495361
2188.5261,1253.5255,19.473877,19.474487,4.972276926040649
2188.2573,1253.2566,19.742676,19.743408,5.037048816680908
2187.9124,1252.9117,20.087646,20.088257,5.079237699508667
2187.6895,1252.6888,20.310547,20.311157,5.121808767318726
2187.458,1252.4573,20.541992,20.542725,5.1630637645721436
2187.2275,1252.2269,20.77246,20.773071,5.2129998207092285
2186.945,1251.9445,21.054932,21.055542,5.273784637451172
2186.5952,1251.5947,21.404785,21.405273,5.323262929916382
2186.3274,1251.3269,21.672607,21.673096,5.363396644592285
2186.096,1251.0955,21.904053,21.904541,5.403059959411621
2185.8662,1250.8658,22.13379,22.134155,5.4476799964904785
2185.6018,1250.6014,22.398193,22.39856,5.520979881286621
2185.1597,1250.1592,22.840332,22.84082,5.585141897201538
2184.7673,1249.7667,23.232666,23.233276,5.639484882354736
2184.4546,1249.4539,23.54541,23.546143,5.693859815597534
2184.087,1249.0862,23.913086,23.913818,5.75673770904541
2183.7163,1248.7157,24.283691,24.284302,5.801065921783447
2183.4524,1248.4518,24.547607,24.548218,5.843576669692993
2183.1873,1248.1866,24.812744,24.813354,5.881686687469482
2182.9446,1247.944,25.05542,25.05603,5.928424835205078
2182.629,1247.6284,25.371094,25.371582,5.989807844161987
2182.201,1247.2006,25.799072,25.799438,6.03869891166687
2181.924,1246.9237,26.075928,26.076294,6.078115701675415
2181.6667,1246.6664,26.333252,26.333618,6.117625713348389
2181.4036,1246.4032,26.596436,26.596802,6.165437936782837
2181.074,1246.0736,26.926025,26.926392,6.228237628936768
2180.649,1245.6486,27.351074,27.35144,6.277308702468872
2180.3174,1245.317,27.682617,27.682983,6.318445682525635
2180.0388,1245.0385,27.961182,27.961548,6.362088918685913
2179.7383,1244.7379,28.261719,28.262085,6.413580656051636
2179.3723,1244.372,28.627686,28.628052,6.477898836135864
2178.9263,1243.926,29.07373,29.073975,6.522764682769775
2178.603,1243.6029,29.396973,29.397095,6.5619378089904785
2178.3252,1243.3251,29.674805,29.674927,6.605263710021973
2178.0125,1243.0123,29.987549,29.98767,6.655698776245117
2177.5967,1242.5966,30.40332,30.403442,6.719777584075928
2177.1455,1242.1454,30.854492,30.854614,6.769982814788818
2176.8025,1241.8024,31.19751,31.197632,6.81098484992981
2176.4976,1241.4974,31.502441,31.502563,6.84982967376709
2176.2036,1241.2036,31.796387,31.796387,6.8996357917785645
2175.8108,1240.8108,32.18921,32.18921,6.963688850402832
2175.3342,1240.3342,32.66577,32.66577,7.006659746170044
2175.0093,1240.0093,32.990723,32.990723,7.0490217208862305
2174.6765,1239.6764,33.323486,33.32361,7.091886758804321
2174.343,1239.3429,33.656982,33.657104,7.140570878982544
2173.9487,1238.9487,34.05127,34.05127,7.199930667877197
2173.4778,1238.4777,34.522217,34.52234,7.249030828475952
2173.104,1238.1038,34.895996,34.89624,7.287352800369263
2172.7969,1237.7965,35.203125,35.20349,7.326900959014893
2172.4739,1237.4735,35.526123,35.52649,7.372124910354614
2172.105,1237.1046,35.89502,35.895386,7.434477806091309
2171.579,1236.5786,36.4209,36.421387,7.488946914672852
2171.155,1236.1547,36.84497,36.845337,7.5273756980896
2170.8208,1235.8203,37.1792,37.179688,7.569321870803833
2170.485,1235.4846,37.514893,37.51538,7.62261176109314
2170.028,1235.0276,37.971924,37.972412,7.682924747467041
2169.4949,1234.4944,38.505127,38.505615,7.728394985198975
2169.1348,1234.1344,38.865234,38.8656,7.76923680305481
2168.784,1233.7837,39.216064,39.21631,7.808752775192261
2168.4407,1233.4406,39.559326,39.55945,7.851538896560669
2168.0637,1233.0637,39.93628,39.93628,7.910295724868774
2167.4915,1232.4915,40.508545,40.508545,7.965535879135132
2167.0674,1232.0673,40.932617,40.93274,8.00752878189087
2166.694,1231.694,41.30591,41.30603,8.04912281036377
2166.3223,1231.3223,41.677734,41.677734,8.100641012191772
2165.8433,1230.8431,42.15674,42.15686,8.163334846496582
2165.2996,1230.2994,42.70044,42.70056,8.210043907165527
2164.8728,1229.8726,43.127197,43.12744,8.249254703521729
2164.5164,1229.5161,43.483643,43.483887,8.29024362564087
2164.1384,1229.1383,43.861572,43.861694,8.33365774154663
2163.7124,1228.7124,44.287598,44.287598,8.399942874908447
2163.094,1228.0941,44.906006,44.905884,8.44941782951355
2162.655,1227.6553,45.34497,45.344727,8.487462759017944
2162.2788,1227.2789,45.72119,45.72107,8.530026912689209
2161.8928,1226.893,46.107178,46.107056,8.589430570602417
2161.299,1226.2993,46.700928,46.700684,8.654149770736694
2160.6853,1225.6855,47.314697,47.314453,8.696579694747925
2160.29,1225.2904,47.70996,47.709595,8.736741781234741
2159.9014,1224.9017,48.098633,48.098267,8.77552580833435
2159.5205,1224.5208,48.479492,48.479248,8.82362174987793
2159.024,1224.0242,48.976074,48.97583,8.887730836868286
2158.3906,1223.3907,49.609375,49.609253,8.938046932220459
2157.9104,1222.9106,50.0896,50.089355,8.977155685424805
2157.5208,1222.521,50.479248,50.479004,9.020617961883545
2157.0676,1222.0679,50.932373,50.93213,9.06904673576355
2156.5784,1221.5787,51.42163,51.421265,9.131398677825928
2155.9585,1220.959,52.041504,52.041016,9.176771640777588
2155.4966,1220.4971,52.503418,52.50293,9.216023683547974
2155.0884,1220.0889,52.91162,52.911133,9.256556749343872
2154.6724,1219.6729,53.327637,53.32715,9.303366899490356
2154.1506,1219.151,53.849365,53.849,9.363771677017212
2153.5374,1218.5377,54.462646,54.46228,9.501028776168823
2152.0764,1217.0768,55.923584,55.923218,9.63078498840332
2150.6755,1215.6759,57.324463,57.324097,9.67261791229248
2150.2617,1215.2622,57.73828,57.737793,9.712763786315918
2149.8254,1214.8259,58.17456,58.174072,9.750748872756958
2149.4067,1214.4071,58.59326,58.592896,9.790499687194824
2148.975,1213.9755,59.024902,59.024536,9.828028917312622
2148.5605,1213.561,59.439453,59.438965,9.878368854522705
2147.9998,1213.0002,60.000244,59.999756,9.942052841186523
2147.2834,1212.2838,60.716553,60.716187,9.982366800308228
2146.8462,1211.8464,61.15381,61.153564,10.023958683013916
2146.3772,1211.3774,61.622803,61.62256,10.06145977973938
2145.9382,1210.9386,62.061768,62.0614,10.10794186592102
2145.3962,1210.3965,62.60376,62.603516,10.168986797332764
2144.7126,1209.7129,63.287354,63.28711,10.222148656845093
2144.1133,1209.1135,63.88672,63.886475,10.261865854263306
2143.6602,1208.6605,64.33984,64.33948,10.303850889205933
2143.1763,1208.1765,64.82373,64.82349,10.348921775817871
2142.6306,1207.6307,65.369385,65.36926,10.413902759552002
2141.8843,1206.8844,66.11572,66.1156,10.463660717010498
2141.3066,1206.3068,66.69336,66.69324,10.502705812454224
2140.8455,1205.8455,67.15454,67.15454,10.543900728225708
2140.357,1205.357,67.64307,67.642944,10.595003843307495
2139.715,1204.7152,68.28491,68.28479,10.655560731887817
2138.9414,1203.9415,69.05859,69.05847,10.707563877105713
2138.3984,1203.3984,69.60156,69.60156,10.749730587005615
2137.8848,1202.8848,70.115234,70.115234,10.788143873214722
2137.4214,1202.4214,70.57861,70.57861,10.836890697479248
2136.8115,1201.8115,71.18848,71.18848,10.900583744049072
2135.9697,1200.9697,72.03027,72.03027,10.948262691497803
2135.4614,1200.4613,72.538574,72.5387,10.989780902862549
2134.9475,1199.9475,73.05249,73.05249,11.030893802642822
2134.4265,1199.4264,73.57349,73.57361,11.083510637283325
2133.7273,1198.727,74.272705,74.27295,11.154534816741943
2132.8892,1197.8889,75.11084,75.111084,11.196484804153442
2132.356,1197.3557,75.64404,75.64429,11.23580265045166
2131.8506,1196.8503,76.149414,76.14966,11.280317783355713
2131.2874,1196.2872,76.71265,76.71277,11.33765459060669
2130.4492,1195.4491,77.55078,77.5509,11.420615911483765
2129.4897,1194.4895,78.510254,78.5105,11.47759485244751
2128.722,1193.7216,79.278076,79.27844,11.526113748550415
2128.1174,1193.1171,79.88257,79.882935,11.572860717773438
2127.5085,1192.5083,80.491455,80.4917,11.637365818023682
2126.558,1191.5579,81.441895,81.44214,11.689188718795776
2125.9802,1190.9801,82.019775,82.0199,11.730892658233643
2125.4307,1190.4304,82.569336,82.56958,11.772701740264893
2124.864,1189.8638,83.13599,83.13623,11.827343702316284
2124.1252,1189.125,83.874756,83.875,11.889042854309082
2123.318,1188.3177,84.681885,84.68225,11.933352947235107
2122.7131,1187.7126,85.286865,85.28735,11.97156572341919
