X,Y,delta_x,delta_y,Time
2208.0,1273.0,0.0,0.0,0.10300993919372559
2208.0,1273.0,0.0,0.0,0.19527173042297363
2208.0,1273.0,0.0,0.0,0.24141478538513184
2208.0,1273.0,0.0,0.0,0.2830986976623535
2208.2131,1272.7869,-0.21313477,0.21313477,0.33464789390563965
2208.365,1272.6351,-0.36499023,0.36486816,0.3976259231567383
2208.6533,1271.9897,-0.6533203,1.0102539,0.45722007751464844
2209.05,1271.285,-1.0500488,1.7149658,0.5009608268737793
2209.6843,1270.3878,-1.6843262,2.6121826,0.5459036827087402
2210.2297,1269.6056,-2.2297363,3.3944092,0.607158899307251
2210.9197,1268.6562,-2.9196777,4.34375,0.6782209873199463
2211.877,1267.2329,-3.8769531,5.76709,0.7221980094909668
2212.79,1265.7437,-4.790039,7.2563477,0.7655620574951172
2213.5903,1264.4458,-5.590332,8.554199,0.824091911315918
2214.4148,1263.0962,-6.414795,9.903809,0.8937888145446777
2215.3591,1261.3916,-7.359131,11.608398,0.9427130222320557
2216.447,1260.0808,-8.4470215,12.919189,0.9874618053436279
2217.4006,1258.9673,-9.400635,14.032715,1.065948724746704
2218.6724,1256.8181,-10.672363,16.181885,1.1244468688964844
2219.7122,1255.2931,-11.712158,17.70691,1.166382074356079
2220.8464,1253.8658,-12.846436,19.134155,1.2087700366973877
2221.8706,1252.597,-13.870605,20.402954,1.2782609462738037
2223.0188,1250.8516,-15.018799,22.148438,1.3363518714904785
2224.2249,1249.2887,-16.224854,23.711304,1.3828558921813965
2225.4294,1247.6226,-17.429443,25.377441,1.427276849746704
2226.4702,1246.2413,-18.470215,26.758667,1.4939477443695068
2227.9172,1244.391,-19.917236,28.609009,1.5612108707427979
2229.322,1242.7583,-21.322021,30.2417,1.6072089672088623
2230.107,1241.4008,-22.106934,31.599243,1.655357837677002
2230.9097,1240.1193,-22.909668,32.880737,1.7241997718811035
2232.0718,1238.4893,-24.071777,34.510742,1.7776989936828613
2233.1997,1236.8744,-25.199707,36.12561,1.8264389038085938
2234.2197,1235.4869,-26.219727,37.51306,1.8829057216644287
2235.2473,1234.1578,-27.247314,38.842163,1.997039794921875
2237.2046,1231.1083,-29.20459,41.891724,2.052004098892212
2238.1267,1229.7476,-30.126709,43.25244,2.0963568687438965
2238.7776,1228.8417,-30.777588,44.158325,2.1586287021636963
2239.8872,1227.4404,-31.887207,45.55957,2.2223668098449707
2240.85,1226.3522,-32.850098,46.647827,2.2726237773895264
2241.6199,1225.2792,-33.619873,47.720825,2.31504487991333
2242.1873,1224.5237,-34.187256,48.47632,2.375584840774536
2243.179,1223.3245,-35.178955,49.675537,2.4308278560638428
2244.2483,1221.8998,-36.24829,51.10022,2.471606969833374
2244.966,1220.9719,-36.966064,52.028076,2.5278127193450928
