measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2587.0,1032.0,2587.0,1032.0,-6.0,1.0,0.0450129508972168
2587.0,1032.0,2587.0,1032.0,-6.0,1.0,0.08747076988220215
2587.0,1032.0,2587.0,1032.0,-6.0,1.0,0.12692785263061523
2587.0,1032.0,2587.0,1032.0,-6.0,1.0,0.1640787124633789
2586.0,1032.0,2586.0,1032.0,-5.0,1.0,0.20038676261901855
2586.0,1032.0,2586.0,1032.0,-5.0,1.0,0.2385237216949463
2579.0,1026.0,2579.0,1026.0,2.0,7.0,0.27808380126953125
2579.0,1026.0,2579.0,1026.0,2.0,7.0,0.3203110694885254
2582.0,1032.0,2582.0,1032.0,-1.0,1.0,0.36196470260620117
2582.0,1032.0,2582.0,1032.0,-1.0,1.0,0.407214879989624
2587.0,1027.0,2587.0,1027.0,-6.0,6.0,0.45554304122924805
2586.0,1030.0,2586.0,1030.0,-5.0,3.0,0.4955778121948242
2586.0,1030.0,2586.0,1030.0,-5.0,3.0,0.5340049266815186
2586.0,1032.0,2586.0,1032.0,-5.0,1.0,0.5773708820343018
2586.0,1032.0,2586.0,1032.0,-5.0,1.0,0.6197628974914551
2580.0,1028.0,2580.0,1028.0,1.0,5.0,0.6593608856201172
2580.0,1028.0,2580.0,1028.0,1.0,5.0,0.7083268165588379
2582.0,1032.0,2582.0,1032.0,-1.0,1.0,0.7556798458099365
2582.0,1032.0,2582.0,1032.0,-1.0,1.0,0.7930548191070557
2582.0,1032.0,2582.0,1032.0,-1.0,1.0,0.8304507732391357
2584.0,1029.0,2584.0,1029.0,-3.0,4.0,0.868985652923584
2584.0,1029.0,2584.0,1029.0,-3.0,4.0,0.9139628410339355
2584.0,1032.0,2584.0,1032.0,-3.0,1.0,0.9557318687438965
2584.0,1032.0,2584.0,1032.0,-3.0,1.0,1.0050008296966553
2584.0,1032.0,2584.0,1032.0,-3.0,1.0,1.0547897815704346
2582.0,1030.0,2582.0,1030.0,-1.0,3.0,1.1049368381500244
2582.0,1030.0,2582.0,1030.0,-1.0,3.0,1.1618869304656982
2582.0,1032.0,2582.0,1032.0,-1.0,1.0,1.20570969581604
2581.0,1032.0,2581.0,1032.0,0.0,1.0,1.2476227283477783
2581.0,1032.0,2581.0,1032.0,0.0,1.0,1.2911458015441895
2581.0,1031.0,2581.0,1031.0,0.0,2.0,1.3352408409118652
2581.0,1031.0,2581.0,1031.0,0.0,2.0,1.3780426979064941
2582.0,1031.0,2582.0,1031.0,-1.0,2.0,1.424067735671997
2581.0,1032.0,2581.0,1032.0,0.0,1.0,1.4670448303222656
2581.0,1032.0,2581.0,1032.0,0.0,1.0,1.5118658542633057
2581.0,1032.0,2581.0,1032.0,0.0,1.0,1.5582668781280518
2581.0,1032.0,2581.0,1032.0,0.0,1.0,1.6000697612762451
2581.0,1032.0,2581.0,1032.0,0.0,1.0,1.6460390090942383
2581.0,1032.0,2581.0,1032.0,0.0,1.0,1.686889886856079
2581.0,1032.0,2581.0,1032.0,0.0,1.0,1.7313809394836426
2581.0,1032.0,2581.0,1032.0,0.0,1.0,1.7743167877197266
2581.0,1032.0,2581.0,1032.0,0.0,1.0,1.8175408840179443
2581.0,1032.0,2581.0,1032.0,0.0,1.0,1.8642387390136719
2581.0,1032.0,2581.0,1032.0,0.0,1.0,1.908390760421753
2581.0,1032.0,2581.0,1032.0,0.0,1.0,1.9531326293945312
2580.0,1032.0,2580.0,1032.0,1.0,1.0,2.005462884902954
2580.0,1032.0,2580.0,1032.0,1.0,1.0,2.0477428436279297
2580.0,1032.0,2580.0,1032.0,1.0,1.0,2.0876638889312744
2580.0,1032.0,2580.0,1032.0,1.0,1.0,2.1259238719940186
2580.0,1032.0,2580.0,1032.0,1.0,1.0,2.166181802749634
2579.0,1032.0,2579.0,1032.0,2.0,1.0,2.204495668411255
2579.0,1032.0,2579.0,1032.0,2.0,1.0,2.246957778930664
2579.0,1032.0,2579.0,1032.0,2.0,1.0,2.288949966430664
2579.0,1032.0,2579.0,1032.0,2.0,1.0,2.3337976932525635
2579.0,1032.0,2579.0,1032.0,2.0,1.0,2.379267692565918
2579.0,1032.0,2579.0,1032.0,2.0,1.0,2.424738645553589
2579.0,1032.0,2579.0,1032.0,2.0,1.0,2.469204902648926
2579.0,1032.0,2579.0,1032.0,2.0,1.0,2.51041579246521
2579.0,1032.0,2579.0,1032.0,2.0,1.0,2.556837797164917
2579.0,1032.0,2579.0,1032.0,2.0,1.0,2.6033618450164795
2579.0,1033.0,2579.0,1033.0,2.0,0.0,2.6440649032592773
2579.0,1033.0,2579.0,1033.0,2.0,0.0,2.6860978603363037
2578.0,1032.0,2578.0,1032.0,3.0,1.0,2.729008913040161
2578.0,1032.0,2578.0,1032.0,3.0,1.0,2.7749829292297363
