measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2216.0,1295.0,2216.0,1295.0,0.0,-1.0,0.10258102416992188
2217.0,1294.0,2216.502,1294.4979,-0.5019531,-0.4979248,0.1673600673675537
2217.0,1294.0,2216.7527,1294.2473,-0.75268555,-0.24731445,0.21300125122070312
2216.0,1294.0,2216.376,1294.1222,-0.37597656,-0.12219238,0.271636962890625
2216.0,1294.0,2216.1868,1294.0586,-0.18676758,-0.05859375,0.3235921859741211
2216.0,1295.0,2216.092,1294.5317,-0.092041016,-0.5317383,0.368192195892334
2217.0,1294.0,2216.5496,1294.2638,-0.54956055,-0.26379395,0.40761423110961914
2217.0,1294.0,2216.7783,1294.1299,-0.7783203,-0.12988281,0.4519312381744385
2219.0,1293.0,2217.9053,1293.5565,-1.9052734,0.44348145,0.5087571144104004
2221.0,1292.0,2219.494,1292.7572,-3.4938965,1.2427979,0.55820631980896
2222.0,1290.0,2220.7974,1291.3383,-4.7973633,2.6617432,0.5976321697235107
2222.0,1290.0,2221.4368,1290.6382,-5.4367676,3.3618164,0.6378700733184814
2222.0,1290.0,2221.7585,1290.2866,-5.758545,3.713379,0.6780781745910645
2222.0,1290.0,2221.9197,1290.1105,-5.9196777,3.8895264,0.7317659854888916
2223.0,1290.0,2222.5244,1290.0132,-6.524414,3.9868164,0.7853503227233887
2224.0,1289.0,2223.3438,1289.4496,-7.34375,4.550415,0.825141191482544
2224.0,1289.0,2223.7283,1289.1854,-7.7282715,4.814575,0.8625242710113525
2222.0,1290.0,2222.8965,1289.5659,-6.8964844,4.434082,0.9055039882659912
2222.0,1290.0,2222.4885,1289.7499,-6.4885254,4.250122,0.9784471988677979
2224.0,1289.0,2223.3503,1289.3024,-7.350342,4.697632,1.0438883304595947
2225.0,1289.0,2224.2942,1289.0892,-8.294189,4.9107666,1.0920491218566895
2226.0,1288.0,2225.2588,1288.4769,-9.258789,5.5230713,1.1472551822662354
2226.0,1288.0,2225.7498,1288.1655,-9.749756,5.8344727,1.2162542343139648
2225.0,1288.0,2225.4893,1287.9955,-9.489258,6.0045166,1.2707781791687012
2226.0,1287.0,2225.8447,1287.4133,-9.844727,6.58667,1.3261120319366455
2226.0,1288.0,2226.025,1287.6453,-10.024902,6.3547363,1.390531063079834
2227.0,1286.0,2226.6575,1286.6959,-10.657471,7.304077,1.47670316696167
2227.0,1287.0,2226.999,1286.7351,-10.999023,7.2648926,1.5298659801483154
2228.0,1286.0,2227.6235,1286.2783,-11.623535,7.7216797,1.5676021575927734
2228.0,1286.0,2227.899,1286.0764,-11.898926,7.923584,1.6057391166687012
2229.0,1285.0,2228.551,1285.4609,-12.551025,8.5390625,1.6567060947418213
2229.0,1285.0,2228.9116,1285.1273,-12.911621,8.872681,1.7150893211364746
2229.0,1285.0,2229.0842,1284.966,-13.0842285,9.034058,1.7563881874084473
2230.0,1285.0,2229.6538,1284.9113,-13.653809,9.088745,1.793790340423584
2230.0,1285.0,2229.9246,1284.8921,-13.924561,9.10791,1.8363840579986572
2229.0,1285.0,2229.5618,1284.8701,-13.561768,9.129883,1.8958122730255127
2231.0,1284.0,2230.4495,1284.3176,-14.449463,9.682373,1.9446711540222168
2231.0,1284.0,2230.85,1284.072,-14.850098,9.9279785,1.9833412170410156
2231.0,1284.0,2231.029,1283.9639,-15.029053,10.036133,2.020843029022217
