model_uncertainty,measurement_uncertainty,error_x,error_y
0.05,0.001,0.0077160643,0.0074957274
0.05,0.002,0.014942627,0.014788819
0.05,0.005,0.03225952,0.031434327
0.05,0.008,0.047027588,0.047030028
0.05,0.01,0.053095702,0.054180298
0.08,0.001,0.004675293,0.0046746824
0.08,0.002,0.009233398,0.009194946
0.08,0.005,0.021481933,0.021934815
0.08,0.008,0.032243654,0.03320862
0.08,0.01,0.03778076,0.038722534
0.1,0.001,0.003909912,0.0038745117
0.1,0.002,0.0075048828,0.0076446533
0.1,0.005,0.016520996,0.01713257
0.1,0.008,0.026606446,0.027093505
0.1,0.01,0.032286376,0.031828612
0.15,0.001,0.0025622558,0.0025646973
0.15,0.002,0.005037842,0.0050842287
0.15,0.005,0.012650146,0.012206421
0.15,0.008,0.018631592,0.018793335
0.15,0.01,0.022907715,0.02321106
0.2,0.001,0.0019628906,0.0019506835
0.2,0.002,0.0038244629,0.0037866211
0.2,0.005,0.009304199,0.009461059
0.2,0.008,0.014598388,0.014463501
0.2,0.01,0.017636718,0.017719116
