measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2075.0,1320.0,2075.0,1320.0,0.0,0.0,0.07886219024658203
2075.0,1320.0,2075.0,1320.0,0.0,0.0,0.11927914619445801
2075.0,1320.0,2075.0,1320.0,0.0,0.0,0.16039800643920898
2075.0,1320.0,2075.0,1320.0,0.0,0.0,0.1985609531402588
2075.0,1320.0,2075.0,1320.0,0.0,0.0,0.23966526985168457
2075.0,1320.0,2075.0,1320.0,0.0,0.0,0.28868722915649414
2076.0,1319.0,2075.9805,1319.0194,-1.0,1.0,0.34482502937316895
2076.0,1319.0,2076.0007,1318.9994,-1.0,1.0,0.40911006927490234
2077.0,1318.0,2076.982,1318.0181,-2.0,2.0,0.4509749412536621
2077.0,1318.0,2077.0012,1317.9987,-2.0,2.0,0.4888570308685303
2077.0,1318.0,2077.0015,1317.9985,-2.0,2.0,0.5454630851745605
2078.0,1317.0,2077.9832,1317.017,-3.0,3.0,0.6099400520324707
2078.0,1317.0,2078.003,1316.997,-3.0,3.0,0.6540191173553467
2078.0,1317.0,2078.0024,1316.9976,-3.0,3.0,0.6915900707244873
2079.0,1316.0,2078.982,1316.0181,-4.0,4.0,0.7338540554046631
2079.0,1316.0,2079.0024,1315.9977,-4.0,4.0,0.7767701148986816
2079.0,1316.0,2079.0027,1315.9972,-4.0,4.0,0.8337652683258057
2079.0,1316.0,2079.0034,1315.9966,-4.0,4.0,0.8859362602233887
2080.0,1315.0,2079.9832,1315.0167,-5.0,5.0,0.9233322143554688
2080.0,1315.0,2080.0024,1314.9977,-5.0,5.0,0.9606211185455322
2080.0,1315.0,2080.0027,1314.9973,-5.0,5.0,1.0018692016601562
2080.0,1315.0,2080.003,1314.9971,-5.0,5.0,1.0575439929962158
2081.0,1314.0,2080.9844,1314.0156,-6.0,6.0,1.1099610328674316
2082.0,1313.0,2081.9844,1313.0155,-7.0,7.0,1.148550271987915
2082.0,1313.0,2082.0037,1312.9963,-7.0,7.0,1.188241958618164
2082.0,1313.0,2082.004,1312.9961,-7.0,7.0,1.236652135848999
2082.0,1313.0,2082.005,1312.995,-7.0,7.0,1.300633192062378
2082.0,1312.0,2082.0051,1312.0139,-7.0,8.0,1.350182056427002
2083.0,1312.0,2082.9844,1311.9952,-8.0,8.0,1.3898110389709473
2083.0,1312.0,2083.0037,1311.9958,-8.0,8.0,1.427839994430542
2083.0,1311.0,2083.0037,1311.0162,-8.0,9.0,1.4788391590118408
2084.0,1311.0,2083.9856,1310.9945,-9.0,9.0,1.530184030532837
2084.0,1311.0,2084.0054,1310.9944,-9.0,9.0,1.5797481536865234
2084.0,1310.0,2084.0051,1310.0146,-9.0,10.0,1.6275970935821533
2085.0,1310.0,2084.9844,1309.9956,-10.0,10.0,1.6649839878082275
2085.0,1310.0,2085.004,1309.9958,-10.0,10.0,1.708280086517334
2085.0,1309.0,2085.0046,1309.015,-10.0,11.0,1.7630672454833984
2085.0,1309.0,2085.006,1308.9934,-10.0,11.0,1.8132569789886475
2086.0,1309.0,2085.9846,1308.9949,-11.0,11.0,1.8536241054534912
2087.0,1308.0,2086.984,1308.0157,-12.0,12.0,1.8909351825714111
2087.0,1308.0,2087.0042,1307.9958,-12.0,12.0,1.933053970336914
2087.0,1308.0,2087.0051,1307.995,-12.0,12.0,1.9858412742614746
2087.0,1308.0,2087.006,1307.9941,-12.0,12.0,2.0422351360321045
2088.0,1308.0,2087.9866,1307.9944,-13.0,12.0,2.083958148956299
2088.0,1307.0,2088.005,1307.0156,-13.0,13.0,2.121835947036743
2088.0,1307.0,2088.0046,1306.9961,-13.0,13.0,2.1687800884246826
2089.0,1307.0,2088.986,1306.9948,-14.0,13.0,2.2258059978485107
2089.0,1306.0,2089.0068,1306.0134,-14.0,14.0,2.2781600952148438
