measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2502.0,1177.0,2502.0,1177.0,24.0,3.0,0.13040924072265625
2505.0,1178.0,2505.0,1178.0,21.0,2.0,0.20162510871887207
2506.0,1178.0,2506.0,1178.0,20.0,2.0,0.2487630844116211
2523.0,1178.0,2523.0,1178.0,3.0,2.0,0.29007625579833984
2523.0,1178.0,2523.0,1178.0,3.0,2.0,0.3345792293548584
2516.0,1179.0,2516.0,1179.0,10.0,1.0,0.37777018547058105
2516.0,1179.0,2516.0,1179.0,10.0,1.0,0.44112730026245117
2518.0,1179.0,2518.0,1179.0,8.0,1.0,0.48787498474121094
2510.0,1179.0,2510.0,1179.0,16.0,1.0,0.5262141227722168
2510.0,1179.0,2510.0,1179.0,16.0,1.0,0.5680639743804932
2519.0,1179.0,2519.0,1179.0,7.0,1.0,0.6186580657958984
2519.0,1179.0,2519.0,1179.0,7.0,1.0,0.7192990779876709
2523.0,1179.0,2523.0,1179.0,3.0,1.0,0.7857210636138916
2514.0,1179.0,2514.0,1179.0,12.0,1.0,0.8442201614379883
2514.0,1179.0,2514.0,1179.0,12.0,1.0,0.9238681793212891
2519.0,1179.0,2519.0,1179.0,7.0,1.0,0.9708023071289062
2519.0,1179.0,2519.0,1179.0,7.0,1.0,1.0117301940917969
2531.0,1179.0,2531.0,1179.0,-5.0,1.0,1.0502190589904785
2531.0,1179.0,2531.0,1179.0,-5.0,1.0,1.1057300567626953
2525.0,1179.0,2525.0,1179.0,1.0,1.0,1.165020227432251
2523.0,1179.0,2523.0,1179.0,3.0,1.0,1.206172227859497
2523.0,1179.0,2523.0,1179.0,3.0,1.0,1.2457189559936523
2519.0,1179.0,2519.0,1179.0,7.0,1.0,1.287560224533081
2520.0,1180.0,2520.0,1180.0,6.0,0.0,1.3343071937561035
2520.0,1180.0,2520.0,1180.0,6.0,0.0,1.3925201892852783
2527.0,1180.0,2527.0,1180.0,-1.0,0.0,1.461987018585205
2531.0,1180.0,2531.0,1180.0,-5.0,0.0,1.5101182460784912
2531.0,1180.0,2531.0,1180.0,-5.0,0.0,1.566087245941162
2530.0,1180.0,2530.0,1180.0,-4.0,0.0,1.6311941146850586
2531.0,1180.0,2531.0,1180.0,-5.0,0.0,1.672640085220337
2526.0,1180.0,2526.0,1180.0,0.0,0.0,1.7103452682495117
2526.0,1180.0,2526.0,1180.0,0.0,0.0,1.751237154006958
2528.0,1180.0,2528.0,1180.0,-2.0,0.0,1.8080661296844482
2529.0,1180.0,2529.0,1180.0,-3.0,0.0,1.8668711185455322
2529.0,1180.0,2529.0,1180.0,-3.0,0.0,1.9148390293121338
2534.0,1180.0,2534.0,1180.0,-8.0,0.0,1.958374261856079
2533.0,1180.0,2533.0,1180.0,-7.0,0.0,1.9967081546783447
2533.0,1180.0,2533.0,1180.0,-7.0,0.0,2.0407092571258545
2535.0,1180.0,2535.0,1180.0,-9.0,0.0,2.102565050125122
2535.0,1180.0,2535.0,1180.0,-9.0,0.0,2.147134304046631
2533.0,1180.0,2533.0,1180.0,-7.0,0.0,2.185636043548584
2534.0,1180.0,2534.0,1180.0,-8.0,0.0,2.223781108856201
2534.0,1180.0,2534.0,1180.0,-8.0,0.0,2.268721103668213
2535.0,1180.0,2535.0,1180.0,-9.0,0.0,2.3250691890716553
2535.0,1180.0,2535.0,1180.0,-9.0,0.0,2.3735411167144775
2536.0,1180.0,2536.0,1180.0,-10.0,0.0,2.416138172149658
2538.0,1180.0,2538.0,1180.0,-12.0,0.0,2.4543261528015137
2538.0,1180.0,2538.0,1180.0,-12.0,0.0,2.5002663135528564
2538.0,1180.0,2538.0,1180.0,-12.0,0.0,2.5624990463256836
2539.0,1180.0,2539.0,1180.0,-13.0,0.0,2.6123321056365967
2539.0,1180.0,2539.0,1180.0,-13.0,0.0,2.651895046234131
2539.0,1180.0,2539.0,1180.0,-13.0,0.0,2.694256067276001
2539.0,1180.0,2539.0,1180.0,-13.0,0.0,2.742586135864258
2539.0,1180.0,2539.0,1180.0,-13.0,0.0,2.800112247467041
2540.0,1179.0,2540.0,1179.0,-14.0,1.0,2.845492362976074
2541.0,1179.0,2541.0,1179.0,-15.0,1.0,2.8825652599334717
2541.0,1179.0,2541.0,1179.0,-15.0,1.0,2.9212992191314697
2542.0,1179.0,2542.0,1179.0,-16.0,1.0,2.9619431495666504
2542.0,1179.0,2542.0,1179.0,-16.0,1.0,3.0188562870025635
2542.0,1179.0,2542.0,1179.0,-16.0,1.0,3.0733642578125
2542.0,1179.0,2542.0,1179.0,-16.0,1.0,3.111546039581299
2542.0,1179.0,2542.0,1179.0,-16.0,1.0,3.150853157043457
2543.0,1179.0,2543.0,1179.0,-17.0,1.0,3.1937131881713867
2543.0,1179.0,2543.0,1179.0,-17.0,1.0,3.256981372833252
2543.0,1179.0,2543.0,1179.0,-17.0,1.0,3.3031091690063477
2543.0,1179.0,2543.0,1179.0,-17.0,1.0,3.341102123260498
