measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2535.0,1180.0,2535.0,1180.0,-10.0,0.0,0.036811113357543945
2537.0,1180.0,2537.0,1180.0,-12.0,0.0,0.17873692512512207
2523.0,1181.0,2523.0,1181.0,2.0,-1.0,0.3235132694244385
2534.0,1180.0,2534.0,1180.0,-9.0,0.0,0.46783018112182617
2543.0,1180.0,2543.0,1180.0,-18.0,0.0,0.6158919334411621
2537.0,1180.0,2537.0,1180.0,-12.0,0.0,0.7657971382141113
2534.0,1179.0,2534.0,1179.0,-9.0,1.0,0.911005973815918
2546.0,1179.0,2546.0,1179.0,-21.0,1.0,1.0550410747528076
2546.0,1178.0,2546.0,1178.0,-21.0,2.0,1.2026700973510742
2536.0,1179.0,2536.0,1179.0,-11.0,1.0,1.3531560897827148
2542.0,1178.0,2542.0,1178.0,-17.0,2.0,1.5025100708007812
2549.0,1178.0,2549.0,1178.0,-24.0,2.0,1.650866985321045
2543.0,1178.0,2543.0,1178.0,-18.0,2.0,1.8006961345672607
2540.0,1178.0,2540.0,1178.0,-15.0,2.0,1.9484789371490479
2549.0,1178.0,2549.0,1178.0,-24.0,2.0,2.096904993057251
2547.0,1178.0,2547.0,1178.0,-22.0,2.0,2.2452402114868164
2537.0,1178.0,2537.0,1178.0,-12.0,2.0,2.4057869911193848
2549.0,1178.0,2549.0,1178.0,-24.0,2.0,2.549222946166992
2548.0,1178.0,2548.0,1178.0,-23.0,2.0,2.698014974594116
2535.0,1178.0,2535.0,1178.0,-10.0,2.0,2.838778257369995
2539.0,1178.0,2539.0,1178.0,-14.0,2.0,2.9867022037506104
2545.0,1178.0,2545.0,1178.0,-20.0,2.0,3.1360509395599365
2538.0,1178.0,2538.0,1178.0,-13.0,2.0,3.2822279930114746
2533.0,1178.0,2533.0,1178.0,-8.0,2.0,3.424481153488159
2540.0,1178.0,2540.0,1178.0,-15.0,2.0,3.574714183807373
2538.0,1178.0,2538.0,1178.0,-13.0,2.0,3.7219150066375732
2527.0,1178.0,2527.0,1178.0,-2.0,2.0,3.8675830364227295
2531.0,1178.0,2531.0,1178.0,-6.0,2.0,4.016122102737427
2533.0,1178.0,2533.0,1178.0,-8.0,2.0,4.170316219329834
2525.0,1178.0,2525.0,1178.0,0.0,2.0,4.31577205657959
2523.0,1178.0,2523.0,1178.0,2.0,2.0,4.462430953979492
2528.0,1179.0,2528.0,1179.0,-3.0,1.0,4.609429121017456
2524.0,1178.0,2524.0,1178.0,1.0,2.0,4.756815195083618
2516.0,1179.0,2516.0,1179.0,9.0,1.0,4.905193090438843
2519.0,1178.0,2519.0,1178.0,6.0,2.0,5.059641122817993
2523.0,1179.0,2523.0,1179.0,2.0,1.0,5.203325033187866
2514.0,1178.0,2514.0,1178.0,11.0,2.0,5.349909067153931
2509.0,1178.0,2509.0,1178.0,16.0,2.0,5.4971091747283936
2517.0,1177.0,2517.0,1177.0,8.0,3.0,5.642155170440674
2513.0,1177.0,2513.0,1177.0,12.0,3.0,5.793267011642456
2503.0,1176.0,2503.0,1176.0,22.0,4.0,5.944111108779907
2508.0,1175.0,2508.0,1175.0,17.0,5.0,6.089529275894165
2511.0,1174.0,2511.0,1174.0,14.0,6.0,6.236368894577026
2502.0,1174.0,2502.0,1174.0,23.0,6.0,6.387696266174316
2501.0,1173.0,2501.0,1173.0,24.0,7.0,6.534138202667236
2508.0,1173.0,2508.0,1173.0,17.0,7.0,6.680490970611572
2505.0,1172.0,2505.0,1172.0,20.0,8.0,6.8264501094818115
2498.0,1172.0,2498.0,1172.0,27.0,8.0,6.974066972732544
2504.0,1172.0,2504.0,1172.0,21.0,8.0,7.122107028961182
2508.0,1171.0,2508.0,1171.0,17.0,9.0,7.2682130336761475
2500.0,1172.0,2500.0,1172.0,25.0,8.0,7.424302101135254
2501.0,1172.0,2501.0,1172.0,24.0,8.0,7.570363998413086
2511.0,1172.0,2511.0,1172.0,14.0,8.0,7.716739177703857
2506.0,1172.0,2506.0,1172.0,19.0,8.0,7.863749980926514
2502.0,1173.0,2502.0,1173.0,23.0,7.0,8.010318040847778
2512.0,1173.0,2512.0,1173.0,13.0,7.0,8.158750057220459
2514.0,1174.0,2514.0,1174.0,11.0,6.0,8.307461977005005
2507.0,1175.0,2507.0,1175.0,18.0,5.0,8.451927185058594
2510.0,1176.0,2510.0,1176.0,15.0,4.0,8.601069211959839
2522.0,1177.0,2522.0,1177.0,3.0,3.0,8.748085975646973
2517.0,1178.0,2517.0,1178.0,8.0,2.0,8.892161130905151
2515.0,1179.0,2515.0,1179.0,10.0,1.0,9.042190074920654
2525.0,1179.0,2525.0,1179.0,0.0,1.0,9.190283060073853
2526.0,1180.0,2526.0,1180.0,-1.0,0.0,9.338575839996338
2522.0,1180.0,2522.0,1180.0,3.0,0.0,9.488149166107178
2524.0,1180.0,2524.0,1180.0,1.0,0.0,9.637267112731934
2532.0,1180.0,2532.0,1180.0,-7.0,0.0,9.785786867141724
2531.0,1180.0,2531.0,1180.0,-6.0,0.0,9.933637142181396
2527.0,1180.0,2527.0,1180.0,-2.0,0.0,10.081740140914917
2534.0,1180.0,2534.0,1180.0,-9.0,0.0,10.22928524017334
2538.0,1180.0,2538.0,1180.0,-13.0,0.0,10.376085042953491
2533.0,1180.0,2533.0,1180.0,-8.0,0.0,10.52369213104248
2535.0,1180.0,2535.0,1180.0,-10.0,0.0,10.671987056732178
2544.0,1179.0,2544.0,1179.0,-19.0,1.0,10.817884922027588
2540.0,1179.0,2540.0,1179.0,-15.0,1.0,10.967851161956787
2536.0,1178.0,2536.0,1178.0,-11.0,2.0,11.11660122871399
2545.0,1179.0,2545.0,1179.0,-20.0,1.0,11.262287855148315
2547.0,1178.0,2547.0,1178.0,-22.0,2.0,11.412029027938843
2538.0,1179.0,2538.0,1179.0,-13.0,1.0,11.5593421459198
2542.0,1178.0,2542.0,1178.0,-17.0,2.0,11.70674991607666
