model_uncertainty,measurement_uncertainty,error_x,error_y
1e-06,0.01,0.37016115,0.4080542
1e-06,0.1,0.4728711,0.44878602
1e-06,1.0,0.55344605,0.52272093
1e-06,10.0,1.6732336,1.6228064
1e-06,100.0,5.13116,5.032893
1e-05,0.01,0.33734375,0.3818506
1e-05,0.1,0.36908937,0.40068358
1e-05,1.0,0.55224365,0.5576575
1e-05,10.0,1.5655811,1.4953247
1e-05,100.0,5.2644653,5.1836696
0.0001,0.01,0.29282105,0.32015565
0.0001,0.1,0.792229,0.7888074
0.0001,1.0,0.5825122,0.5432178
0.0001,10.0,1.5401746,1.4573126
0.0001,100.0,5.306073,5.167469
0.001,0.01,0.23465088,0.27900085
0.001,0.1,0.32530153,0.32497314
0.001,1.0,0.51564574,0.58660585
0.001,10.0,1.4974316,1.4867669
0.001,100.0,5.039612,4.915257
0.01,0.01,0.13988769,0.13797912
0.01,0.1,0.28867555,0.31664917
0.01,1.0,0.48774415,0.49237242
0.01,10.0,1.1355237,1.1135968
0.01,100.0,3.878047,3.7974389
0.0020000000949949026,0.004999999888241291,0.17649536,0.20013306
0.0020000000949949026,0.007499999832361937,0.20509888,0.2070514
0.0020000000949949026,0.009999999776482582,0.21404785,0.21912171
0.0020000000949949026,0.012500000186264515,0.22657348,0.24582276
0.0020000000949949026,0.014999999664723873,0.23412597,0.25202638
0.006000000052154064,0.004999999888241291,0.121616215,0.12291138
0.006000000052154064,0.007499999832361937,0.14426513,0.15095581
0.006000000052154064,0.009999999776482582,0.15991089,0.16156617
0.006000000052154064,0.012500000186264515,0.17370117,0.18350159
0.006000000052154064,0.014999999664723873,0.18445435,0.19034667
0.009999999776482582,0.004999999888241291,0.09818604,0.095115356
0.009999999776482582,0.007499999832361937,0.12292725,0.121202394
0.009999999776482582,0.009999999776482582,0.1375293,0.1351416
0.009999999776482582,0.012500000186264515,0.14330688,0.15344055
0.009999999776482582,0.014999999664723873,0.16685058,0.15672669
0.014000000432133675,0.004999999888241291,0.08375244,0.08172546
0.014000000432133675,0.007499999832361937,0.099656984,0.10286438
0.014000000432133675,0.009999999776482582,0.113410644,0.117491454
0.014000000432133675,0.012500000186264515,0.12766479,0.13171081
0.014000000432133675,0.014999999664723873,0.13606201,0.13839416
0.017999999225139618,0.004999999888241291,0.06850342,0.06783752
0.017999999225139618,0.007499999832361937,0.08541138,0.086922
0.017999999225139618,0.009999999776482582,0.10278687,0.10778442
0.017999999225139618,0.012500000186264515,0.11576538,0.1167218
0.017999999225139618,0.014999999664723873,0.12371338,0.13005005
0.003599999938160181,0.0024999999441206455,0.11620117,0.11469787
0.003599999938160181,0.0037499999161809683,0.13639282,0.1444696
0.003599999938160181,0.004999999888241291,0.14809936,0.15984009
0.003599999938160181,0.00624999962747097,0.16685914,0.1705481
0.003599999938160181,0.007499999832361937,0.1660437,0.17944641
0.010799999348819256,0.0024999999441206455,0.06118286,0.061845705
0.010799999348819256,0.0037499999161809683,0.0794458,0.08130188
0.010799999348819256,0.004999999888241291,0.0946814,0.09737549
0.010799999348819256,0.00624999962747097,0.10467529,0.10539551
0.010799999348819256,0.007499999832361937,0.115340576,0.118717045
0.017999999225139618,0.0024999999441206455,0.042668458,0.04225647
0.017999999225139618,0.0037499999161809683,0.057075195,0.056171264
0.017999999225139618,0.004999999888241291,0.070717774,0.07131714
0.017999999225139618,0.00624999962747097,0.07859253,0.07841125
0.017999999225139618,0.007499999832361937,0.089644775,0.08880554
0.025199998170137405,0.0024999999441206455,0.032301024,0.03248474
0.025199998170137405,0.0037499999161809683,0.045015868,0.04453186
0.025199998170137405,0.004999999888241291,0.054396972,0.053048097
0.025199998170137405,0.00624999962747097,0.06344482,0.062937625
0.025199998170137405,0.007499999832361937,0.07105957,0.07384155
0.03239999711513519,0.0024999999441206455,0.026292725,0.026188964
0.03239999711513519,0.0037499999161809683,0.03672241,0.03606262
0.03239999711513519,0.004999999888241291,0.04543579,0.0459552
0.03239999711513519,0.00624999962747097,0.05493164,0.053098146
0.03239999711513519,0.007499999832361937,0.059195556,0.06254333
0.006479999516159296,0.0012499999720603228,0.05503418,0.053673707
0.006479999516159296,0.0018749999580904841,0.074385986,0.072954714
0.006479999516159296,0.0024999999441206455,0.08721557,0.08794007
0.006479999516159296,0.003124999813735485,0.094903566,0.092894286
0.006479999516159296,0.0037499999161809683,0.107263185,0.105772704
0.019439999014139175,0.0012499999720603228,0.02267334,0.02289978
0.019439999014139175,0.0018749999580904841,0.03229736,0.031834107
0.019439999014139175,0.0024999999441206455,0.041419677,0.04016968
0.019439999014139175,0.003124999813735485,0.048415527,0.04897095
0.019439999014139175,0.0037499999161809683,0.05425049,0.05572632
0.03239999711513519,0.0012499999720603228,0.014100342,0.014125977
0.03239999711513519,0.0018749999580904841,0.020709228,0.020836182
0.03239999711513519,0.0024999999441206455,0.026334228,0.025841676
0.03239999711513519,0.003124999813735485,0.032125246,0.031467285
0.03239999711513519,0.0037499999161809683,0.03748657,0.03660095
0.04535999521613121,0.0012499999720603228,0.010466308,0.010534057
0.04535999521613121,0.0018749999580904841,0.01564331,0.01475708
0.04535999521613121,0.0024999999441206455,0.019594727,0.019677125
0.04535999521613121,0.003124999813735485,0.023261718,0.023359986
0.04535999521613121,0.0037499999161809683,0.027469482,0.027623901
0.05831999331712723,0.0012499999720603228,0.008408203,0.008173828
0.05831999331712723,0.0018749999580904841,0.012181397,0.011781006
0.05831999331712723,0.0024999999441206455,0.015491944,0.015436402
0.05831999331712723,0.003124999813735485,0.019136963,0.019064331
0.05831999331712723,0.0037499999161809683,0.022769775,0.02215271
