measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
1977.0,1177.0,1977.0,1177.0,-13.0,0.0,0.026075124740600586
1977.0,1177.0,1977.0,1177.0,-13.0,0.0,0.05942487716674805
1976.0,1177.0,1976.0,1177.0,-12.0,0.0,0.08830714225769043
1976.0,1177.0,1976.0,1177.0,-12.0,0.0,0.118408203125
1966.0,1177.0,1966.0,1177.0,-2.0,0.0,0.14539098739624023
1966.0,1177.0,1966.0,1177.0,-2.0,0.0,0.1741039752960205
1951.0,1177.0,1951.0,1177.0,13.0,0.0,0.20426583290100098
1951.0,1177.0,1951.0,1177.0,13.0,0.0,0.23129796981811523
1951.0,1177.0,1951.0,1177.0,13.0,0.0,0.2609372138977051
1947.0,1177.0,1947.0,1177.0,17.0,0.0,0.29447317123413086
1947.0,1177.0,1947.0,1177.0,17.0,0.0,0.42629218101501465
1971.0,1177.0,1971.0,1177.0,-7.0,0.0,0.46506309509277344
1971.0,1177.0,1971.0,1177.0,-7.0,0.0,0.5145840644836426
1989.0,1176.0,1989.0,1176.0,-25.0,1.0,0.5557370185852051
1988.0,1176.0,1988.0,1176.0,-24.0,1.0,0.5840301513671875
1988.0,1176.0,1988.0,1176.0,-24.0,1.0,0.6116011142730713
1980.0,1176.0,1980.0,1176.0,-16.0,1.0,0.6391370296478271
1980.0,1176.0,1980.0,1176.0,-16.0,1.0,0.669842004776001
1980.0,1176.0,1980.0,1176.0,-16.0,1.0,0.6963400840759277
1959.0,1178.0,1959.0,1178.0,5.0,-1.0,0.7253129482269287
1959.0,1178.0,1959.0,1178.0,5.0,-1.0,0.76072096824646
1940.0,1179.0,1940.0,1179.0,24.0,-2.0,0.8063070774078369
1920.0,1181.0,1920.0,1181.0,44.0,-4.0,0.8364078998565674
1920.0,1181.0,1920.0,1181.0,44.0,-4.0,0.866004228591919
1924.0,1180.0,1924.0,1180.0,40.0,-3.0,0.8937819004058838
1924.0,1180.0,1924.0,1180.0,40.0,-3.0,0.9221348762512207
1961.0,1176.0,1961.0,1176.0,3.0,1.0,0.9486160278320312
1961.0,1176.0,1961.0,1176.0,3.0,1.0,0.9821600914001465
2002.0,1172.0,2002.0,1172.0,-38.0,5.0,1.0255999565124512
2002.0,1172.0,2002.0,1172.0,-38.0,5.0,1.0688560009002686
2006.0,1172.0,2006.0,1172.0,-42.0,5.0,1.1138780117034912
1975.0,1176.0,1975.0,1176.0,-11.0,1.0,1.1439359188079834
1975.0,1176.0,1975.0,1176.0,-11.0,1.0,1.1761820316314697
1970.0,1176.0,1970.0,1176.0,-6.0,1.0,1.2103049755096436
1970.0,1176.0,1970.0,1176.0,-6.0,1.0,1.2441198825836182
1925.0,1182.0,1925.0,1182.0,39.0,-5.0,1.3008689880371094
1912.0,1184.0,1912.0,1184.0,52.0,-7.0,1.3323118686676025
