measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
1943.0,1175.0,1943.0,1175.0,20.0,2.0,0.037876129150390625
1942.0,1175.0,1942.0,1175.0,21.0,2.0,0.07380104064941406
1941.0,1175.0,1941.0,1175.0,22.0,2.0,0.1056671142578125
1941.0,1175.0,1941.0,1175.0,22.0,2.0,0.1365969181060791
1940.0,1175.0,1940.0,1175.0,23.0,2.0,0.1642591953277588
1940.0,1175.0,1940.0,1175.0,23.0,2.0,0.19201111793518066
1962.0,1175.0,1962.0,1175.0,1.0,2.0,0.2193460464477539
1962.0,1175.0,1962.0,1175.0,1.0,2.0,0.2476789951324463
1962.0,1175.0,1962.0,1175.0,1.0,2.0,0.2750101089477539
1984.0,1176.0,1984.0,1176.0,-21.0,1.0,0.303577184677124
1984.0,1176.0,1984.0,1176.0,-21.0,1.0,0.34102296829223633
1983.0,1176.0,1983.0,1176.0,-20.0,1.0,0.3827199935913086
1965.0,1179.0,1965.0,1179.0,-2.0,-2.0,0.412168025970459
1965.0,1179.0,1965.0,1179.0,-2.0,-2.0,0.4419100284576416
1963.0,1179.0,1963.0,1179.0,0.0,-2.0,0.4699552059173584
1963.0,1179.0,1963.0,1179.0,0.0,-2.0,0.49855995178222656
1957.0,1177.0,1957.0,1177.0,6.0,0.0,0.5256609916687012
1957.0,1177.0,1957.0,1177.0,6.0,0.0,0.5543980598449707
1957.0,1177.0,1957.0,1177.0,6.0,0.0,0.58296799659729
1956.0,1174.0,1956.0,1174.0,7.0,3.0,0.6104152202606201
1956.0,1174.0,1956.0,1174.0,7.0,3.0,0.6440119743347168
1955.0,1174.0,1955.0,1174.0,8.0,3.0,0.6886501312255859
2016.0,1172.0,2016.0,1172.0,-53.0,5.0,0.7244999408721924
2016.0,1172.0,2016.0,1172.0,-53.0,5.0,0.7549490928649902
2100.0,1169.0,2100.0,1169.0,-137.0,8.0,0.7823491096496582
2100.0,1169.0,2100.0,1169.0,-137.0,8.0,0.8096199035644531
2133.0,1169.0,2133.0,1169.0,-170.0,8.0,0.8367979526519775
2133.0,1169.0,2133.0,1169.0,-170.0,8.0,0.8655810356140137
2133.0,1169.0,2133.0,1169.0,-170.0,8.0,0.8922491073608398
