measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2528.0,1177.0,2528.0,1177.0,1.0,0.0,0.041307926177978516
2528.0,1177.0,2528.0,1177.0,1.0,0.0,0.0949101448059082
2529.0,1177.0,2528.144,1177.0,0.0,0.0,0.13972997665405273
2528.0,1177.0,2528.1265,1177.0,1.0,0.0,0.17792916297912598
2528.0,1177.0,2528.1125,1177.0,1.0,0.0,0.22158122062683105
2530.0,1177.0,2528.3105,1177.0,-1.0,0.0,0.26954126358032227
2532.0,1177.0,2528.6738,1177.0,-3.0,0.0,0.33199524879455566
2533.0,1176.0,2529.0881,1176.9067,-4.0,1.0,0.3824131488800049
2533.0,1175.0,2529.4563,1176.7343,-4.0,2.0,0.42620325088500977
2533.0,1175.0,2529.7869,1176.5789,-4.0,2.0,0.47623610496520996
2530.0,1175.0,2529.8372,1176.4368,-1.0,2.0,0.5407731533050537
2553.0,1174.0,2531.8298,1176.2135,-24.0,3.0,0.6005771160125732
2551.0,1175.0,2533.578,1176.0845,-22.0,2.0,0.6450471878051758
2552.0,1175.0,2535.2488,1175.9727,-23.0,2.0,0.6938350200653076
2532.0,1176.0,2535.1904,1175.9475,-3.0,1.0,0.7460789680480957
2532.0,1176.0,2535.1484,1175.9214,-3.0,1.0,0.7975969314575195
2497.0,1179.0,2532.1616,1176.1503,32.0,-2.0,0.8404102325439453
2506.0,1180.0,2530.0576,1176.4532,23.0,-3.0,0.8815951347351074
2501.0,1181.0,2527.668,1176.8206,28.0,-4.0,0.9263150691986084
2501.0,1181.0,2525.3752,1177.1722,28.0,-4.0,0.9817500114440918
2502.0,1181.0,2523.1768,1177.521,27.0,-4.0,1.0376701354980469
2525.0,1177.0,2523.0435,1177.515,4.0,0.0,1.0848629474639893
2557.0,1172.0,2525.5996,1177.0906,-28.0,5.0,1.1263620853424072
2557.0,1171.0,2528.0393,1176.6049,-28.0,6.0,1.1802051067352295
2563.0,1171.0,2530.8765,1176.1351,-34.0,6.0,1.2524831295013428
2563.0,1170.0,2533.7073,1175.5787,-34.0,7.0,1.29876708984375
2536.0,1175.0,2534.0532,1175.4901,-7.0,2.0,1.3411471843719482
2536.0,1175.0,2534.343,1175.416,-7.0,2.0,1.3815722465515137
2499.0,1182.0,2531.599,1175.9169,30.0,-5.0,1.439643144607544
2491.0,1184.0,2528.2703,1176.5615,38.0,-7.0,1.5147662162780762
2491.0,1184.0,2525.0579,1177.1893,38.0,-7.0,1.5583162307739258
2520.0,1178.0,2524.4897,1177.2759,9.0,-1.0,1.5995960235595703
2520.0,1178.0,2523.9666,1177.3557,9.0,-1.0,1.6428470611572266
2522.0,1178.0,2523.6418,1177.4297,7.0,-1.0,1.7007942199707031
2563.0,1170.0,2526.5398,1176.8707,-34.0,7.0,1.7633380889892578
2572.0,1167.0,2530.0535,1176.0928,-43.0,10.0,1.809319019317627
2572.0,1167.0,2533.3616,1175.3639,-43.0,10.0,1.8531861305236816
2542.0,1173.0,2534.1462,1175.1438,-13.0,4.0,1.8991951942443848
2542.0,1173.0,2534.8613,1174.9437,-13.0,4.0,1.964759111404419
2495.0,1184.0,2532.038,1175.5662,34.0,-7.0,2.034524917602539
2478.0,1188.0,2527.958,1176.487,51.0,-11.0,2.0816662311553955
2478.0,1188.0,2524.161,1177.3518,51.0,-11.0,2.1260149478912354
2507.0,1181.0,2522.751,1177.6423,22.0,-4.0,2.171103000640869
2510.0,1181.0,2521.6611,1177.9119,19.0,-4.0,2.231145143508911
2564.0,1168.0,2524.425,1177.2454,-35.0,9.0,2.303711175918579
2565.0,1168.0,2527.1975,1176.5983,-36.0,9.0,2.3541970252990723
2584.0,1162.0,2531.182,1175.56,-55.0,15.0,2.394498109817505
2584.0,1162.0,2534.889,1174.5963,-55.0,15.0,2.4409239292144775
2542.0,1174.0,2535.5037,1174.509,-13.0,3.0,2.5037691593170166
2550.0,1170.0,2536.6887,1174.1356,-21.0,7.0,2.564362049102783
2491.0,1186.0,2533.8145,1174.8676,38.0,-9.0,2.6087722778320312
