model_uncertainty,measurement_uncertainty,error_x,error_y,sane_rate
1e-06,0.01,0.44218627,0.3201227,0.22
1e-06,0.1,0.5008191,0.4788971,0.67
1e-06,1.0,1.6575036,1.3371814,0.69
1e-06,10.0,2.071482,1.3709484,0.995
1e-06,100.0,6.399198,4.5192385,0.995
1e-05,0.01,0.7830737,0.5812793,0.09
1e-05,0.1,0.35849854,0.3564453,0.875
1e-05,1.0,0.6332898,0.55330384,0.97
1e-05,10.0,1.8886756,1.405307,0.995
1e-05,100.0,7.002648,4.928467,0.995
0.0001,0.01,0.38721558,0.31384522,0.19
0.0001,0.1,0.7239014,0.6113245,0.67
0.0001,1.0,0.6033508,0.5013629,0.975
0.0001,10.0,1.9549572,1.3629432,0.995
0.0001,100.0,6.680753,4.7228336,0.995
0.001,0.01,0.2516748,0.23597229,0.285
0.001,0.1,0.3299414,0.33753785,0.905
0.001,1.0,0.6201306,0.506413,0.975
0.001,10.0,2.0140808,1.4055291,0.995
0.001,100.0,6.9991846,4.9351983,0.995
0.01,0.01,0.1499646,0.13946411,0.325
0.01,0.1,0.28364745,0.24671143,0.925
0.01,1.0,0.5012927,0.42555663,0.995
0.01,10.0,1.3920374,1.0518194,0.995
0.01,100.0,3.750387,2.7727058,0.995
0.0020000000949949026,0.5,0.5497766,0.4240448,0.99
0.0020000000949949026,0.75,0.49218017,0.42714477,0.985
0.0020000000949949026,1.0,0.573739,0.4762964,0.985
0.0020000000949949026,1.25,0.6527344,0.53663146,0.975
0.0020000000949949026,1.5,0.69520265,0.5643872,0.99
0.006000000052154064,0.5,0.5628003,0.47780395,0.935
0.006000000052154064,0.75,0.49273315,0.4214435,0.97
0.006000000052154064,1.0,0.5703223,0.47998658,0.985
0.006000000052154064,1.25,0.605387,0.5172351,0.99
0.006000000052154064,1.5,0.6462024,0.5354016,0.995
0.009999999776482582,0.5,0.41213012,0.37731385,0.975
0.009999999776482582,0.75,0.4627954,0.39771423,0.985
0.009999999776482582,1.0,0.53211915,0.45127136,0.99
0.009999999776482582,1.25,0.5731775,0.47295043,0.99
0.009999999776482582,1.5,0.612572,0.5218622,0.99
0.014000000432133675,0.5,0.41391358,0.34957337,0.965
0.014000000432133675,0.75,0.4636963,0.39869508,0.99
0.014000000432133675,1.0,0.5087561,0.42958802,0.99
0.014000000432133675,1.25,0.5461157,0.4360852,0.99
0.014000000432133675,1.5,0.59110963,0.4899402,0.995
0.017999999225139618,0.5,0.3882727,0.34222656,0.975
