measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.0806269645690918
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.13722705841064453
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.1893620491027832
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.24397897720336914
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.31321120262145996
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.3624119758605957
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.4070570468902588
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.4543631076812744
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.5149071216583252
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.5826559066772461
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.6259398460388184
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.6804301738739014
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.7950670719146729
2168.0,1442.0,2167.6448,1442.3552,-1.0,1.0,0.8408119678497314
2168.0,1442.0,2167.904,1442.096,-1.0,1.0,0.8859429359436035
2168.0,1442.0,2168.0537,1441.9462,-1.0,1.0,0.942756175994873
2168.0,1442.0,2168.1877,1441.8123,-1.0,1.0,1.0112390518188477
2168.0,1442.0,2168.268,1441.7319,-1.0,1.0,1.0584449768066406
2168.0,1442.0,2168.286,1441.7142,-1.0,1.0,1.1107308864593506
2168.0,1442.0,2168.2898,1441.7102,-1.0,1.0,1.1785929203033447
2168.0,1442.0,2168.305,1441.6952,-1.0,1.0,1.237334966659546
2168.0,1442.0,2168.2864,1441.7139,-1.0,1.0,1.2867021560668945
2168.0,1442.0,2168.2534,1441.7468,-1.0,1.0,1.339228868484497
2168.0,1442.0,2168.234,1441.7661,-1.0,1.0,1.4114789962768555
2168.0,1442.0,2168.2192,1441.7805,-1.0,1.0,1.4642648696899414
2169.0,1442.0,2168.5034,1441.8177,-2.0,1.0,1.5077459812164307
2169.0,1441.0,2168.6934,1441.564,-2.0,2.0,1.5713672637939453
2169.0,1441.0,2168.8818,1441.3322,-2.0,2.0,1.648719072341919
2169.0,1441.0,2169.0332,1441.1375,-2.0,2.0,1.6994290351867676
2169.0,1441.0,2169.1025,1441.027,-2.0,2.0,1.7479112148284912
2169.0,1441.0,2169.1553,1440.942,-2.0,2.0,1.7979388236999512
2169.0,1441.0,2169.1987,1440.8722,-2.0,2.0,1.8646841049194336
2169.0,1441.0,2169.248,1440.7986,-2.0,2.0,1.917780876159668
2169.0,1441.0,2169.2576,1440.7706,-2.0,2.0,1.9619801044464111
2170.0,1441.0,2169.5005,1440.7803,-3.0,2.0,2.0046141147613525
2170.0,1441.0,2169.695,1440.7878,-3.0,2.0,2.0674209594726562
2170.0,1441.0,2169.8965,1440.7789,-3.0,2.0,2.1279690265655518
2170.0,1441.0,2170.0542,1440.7806,-3.0,2.0,2.173902988433838
