measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2166.0,1443.0,2166.0,1443.0,1.0,0.0,0.07730507850646973
2167.0,1443.0,2166.0388,1443.0,0.0,0.0,0.13654613494873047
2167.0,1443.0,2166.0754,1443.0,0.0,0.0,0.19968008995056152
2167.0,1443.0,2166.1104,1443.0,0.0,0.0,0.268841028213501
2167.0,1443.0,2166.1445,1443.0,0.0,0.0,0.35251903533935547
2167.0,1443.0,2166.1794,1443.0,0.0,0.0,0.4485640525817871
2167.0,1443.0,2166.2144,1443.0,0.0,0.0,0.5175931453704834
2167.0,1443.0,2166.2493,1443.0,0.0,0.0,0.5939619541168213
2167.0,1443.0,2166.2856,1443.0,0.0,0.0,0.6667110919952393
2167.0,1443.0,2166.3235,1443.0,0.0,0.0,0.7310819625854492
2167.0,1443.0,2166.3606,1443.0,0.0,0.0,0.7915270328521729
2167.0,1443.0,2166.3975,1443.0,0.0,0.0,0.8507299423217773
2167.0,1443.0,2166.4355,1443.0,0.0,0.0,0.9149079322814941
2167.0,1443.0,2166.4744,1443.0,0.0,0.0,0.9625940322875977
2167.0,1443.0,2166.5095,1443.0,0.0,0.0,1.003396987915039
2168.0,1442.0,2166.5952,1442.9482,-1.0,1.0,1.0439329147338867
2168.0,1442.0,2166.6797,1442.8971,-1.0,1.0,1.090656042098999
2168.0,1442.0,2166.7664,1442.8455,-1.0,1.0,1.1553831100463867
2168.0,1442.0,2166.8616,1442.7902,-1.0,1.0,1.2071921825408936
2168.0,1442.0,2166.9487,1442.7372,-1.0,1.0,1.24853515625
2168.0,1442.0,2167.0305,1442.6864,-1.0,1.0,1.2894458770751953
2168.0,1442.0,2167.1104,1442.6367,-1.0,1.0,1.3382010459899902
2168.0,1442.0,2167.1958,1442.5846,-1.0,1.0,1.4078309535980225
2168.0,1442.0,2167.292,1442.5269,-1.0,1.0,1.4526910781860352
2168.0,1442.0,2167.3684,1442.4785,-1.0,1.0,1.493251085281372
2168.0,1442.0,2167.4397,1442.4327,-1.0,1.0,1.5331940650939941
2168.0,1442.0,2167.5083,1442.3887,-1.0,1.0,1.5816981792449951
2168.0,1442.0,2167.5835,1442.3413,-1.0,1.0,1.6494081020355225
2169.0,1442.0,2167.743,1442.2861,-2.0,1.0,1.6973590850830078
2169.0,1441.0,2167.8733,1442.1749,-2.0,2.0,1.7399439811706543
2169.0,1441.0,2167.9968,1442.0687,-2.0,2.0,1.7793850898742676
2169.0,1441.0,2168.112,1441.9685,-2.0,2.0,1.8312549591064453
2169.0,1441.0,2168.242,1441.8602,-2.0,2.0,1.9012811183929443
2170.0,1441.0,2168.4585,1441.7441,-3.0,2.0,1.9463140964508057
2170.0,1441.0,2168.636,1441.6512,-3.0,2.0,1.9886550903320312
2170.0,1441.0,2168.8,1441.5658,-3.0,2.0,2.0294699668884277
2170.0,1441.0,2168.96,1441.4822,-3.0,2.0,2.081005096435547
