measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.08356404304504395
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.12962698936462402
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.19425320625305176
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.238037109375
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.2850470542907715
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.34185099601745605
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.4093472957611084
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.4626641273498535
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.5146031379699707
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.5634822845458984
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.6321122646331787
2167.0,1443.0,2167.0,1443.0,0.0,0.0,0.6990580558776855
2168.0,1442.0,2167.0137,1442.9862,-1.0,1.0,0.7422060966491699
2168.0,1442.0,2167.028,1442.9718,-1.0,1.0,0.7983701229095459
2168.0,1442.0,2167.0437,1442.9562,-1.0,1.0,0.8695261478424072
2168.0,1442.0,2167.0613,1442.9386,-1.0,1.0,0.9356870651245117
2168.0,1442.0,2167.0803,1442.9196,-1.0,1.0,0.9850761890411377
2168.0,1442.0,2167.0996,1442.9003,-1.0,1.0,1.0496442317962646
2168.0,1442.0,2167.1218,1442.878,-1.0,1.0,1.1220731735229492
2168.0,1442.0,2167.1455,1442.8544,-1.0,1.0,1.1667852401733398
2168.0,1442.0,2167.1687,1442.8312,-1.0,1.0,1.2143430709838867
2168.0,1442.0,2167.193,1442.8068,-1.0,1.0,1.2570431232452393
2168.0,1442.0,2167.218,1442.782,-1.0,1.0,1.326040267944336
2169.0,1442.0,2167.3528,1442.8284,-2.0,1.0,1.3914833068847656
2168.0,1442.0,2167.376,1442.7898,-1.0,1.0,1.762904167175293
2169.0,1441.0,2167.5317,1442.6442,-2.0,2.0,1.8205041885375977
2169.0,1441.0,2167.597,1442.528,-2.0,2.0,1.8696210384368896
2169.0,1441.0,2167.6704,1442.4233,-2.0,2.0,1.920773983001709
2169.0,1441.0,2167.7493,1442.3231,-2.0,2.0,1.9778602123260498
2169.0,1441.0,2167.8333,1442.223,-2.0,2.0,2.090172052383423
2169.0,1441.0,2167.952,1442.0885,-2.0,2.0,2.1476681232452393
2169.0,1441.0,2168.036,1441.9935,-2.0,2.0,2.1981000900268555
2169.0,1441.0,2168.1194,1441.9011,-2.0,2.0,2.258211135864258
2169.0,1441.0,2168.208,1441.8041,-2.0,2.0,2.315214157104492
2170.0,1441.0,2168.424,1441.7826,-3.0,2.0,2.3594980239868164
2170.0,1441.0,2168.6074,1441.7577,-3.0,2.0,2.4029741287231445
2170.0,1441.0,2168.7776,1441.7223,-3.0,2.0,2.4798691272735596
2170.0,1441.0,2168.9846,1441.6632,-3.0,2.0,2.552187919616699
