measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.04648089408874512
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.09322905540466309
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.1502821445465088
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.19951701164245605
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.2453620433807373
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.2879171371459961
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.33387303352355957
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.3808870315551758
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.42630505561828613
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.4697389602661133
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.5159690380096436
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.5600378513336182
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.6036949157714844
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.6488158702850342
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.6993138790130615
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.7392640113830566
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.7815701961517334
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.8231151103973389
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.8651871681213379
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.9069430828094482
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.9500839710235596
2529.0,1177.0,2529.0,1177.0,0.0,0.0,0.9918758869171143
2529.0,1177.0,2529.0,1177.0,0.0,0.0,1.0384089946746826
2529.0,1177.0,2529.0,1177.0,0.0,0.0,1.0850551128387451
2529.0,1177.0,2529.0,1177.0,0.0,0.0,1.1342358589172363
2529.0,1177.0,2529.0,1177.0,0.0,0.0,1.1790940761566162
2512.0,1175.0,2512.0,1175.0,17.0,2.0,1.2229220867156982
2509.0,1175.0,2509.0,1175.0,20.0,2.0,1.2686920166015625
2509.0,1175.0,2509.0,1175.0,20.0,2.0,1.316366195678711
2510.0,1175.0,2510.0,1175.0,19.0,2.0,1.3785312175750732
2510.0,1175.0,2510.0,1175.0,19.0,2.0,1.4240479469299316
2533.0,1175.0,2533.0,1175.0,-4.0,2.0,1.469912052154541
2533.0,1175.0,2533.0,1175.0,-4.0,2.0,1.5098791122436523
2554.0,1177.0,2554.0,1177.0,-25.0,0.0,1.5483200550079346
2554.0,1177.0,2554.0,1177.0,-25.0,0.0,1.5904090404510498
2555.0,1178.0,2555.0,1178.0,-26.0,-1.0,1.6332051753997803
