measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
191.0,169.0,191.0,169.0,14.0,5.0,0.0009281635284423828
191.0,169.0,191.0,169.0,14.0,5.0,0.00751805305480957
191.0,169.0,191.0,169.0,14.0,5.0,0.011895179748535156
191.0,169.0,191.0,169.0,14.0,5.0,0.016314983367919922
191.0,169.0,191.0,169.0,14.0,5.0,0.018629074096679688
205.0,173.0,205.0,173.0,0.0,1.0,0.025404930114746094
205.0,173.0,205.0,173.0,0.0,1.0,0.027827024459838867
224.0,179.0,224.0,179.0,-19.0,-5.0,0.03473687171936035
224.0,179.0,224.0,179.0,-19.0,-5.0,0.039916038513183594
219.0,177.0,219.0,177.0,-14.0,-3.0,0.045423269271850586
201.0,175.0,201.0,175.0,4.0,-1.0,0.054927825927734375
201.0,175.0,201.0,175.0,4.0,-1.0,0.05791115760803223
185.0,171.0,185.0,171.0,20.0,3.0,0.06321525573730469
185.0,171.0,185.0,171.0,20.0,3.0,0.06837296485900879
195.0,172.0,195.0,172.0,10.0,2.0,0.09511303901672363
195.0,171.0,195.0,171.0,10.0,3.0,0.09800195693969727
195.0,172.0,195.0,172.0,10.0,2.0,0.10219597816467285
210.0,173.0,210.0,173.0,-5.0,1.0,0.11449193954467773
209.0,173.0,209.0,173.0,-4.0,1.0,0.11950016021728516
225.0,175.0,225.0,175.0,-20.0,-1.0,0.12245821952819824
225.0,175.0,225.0,175.0,-20.0,-1.0,0.12579798698425293
215.0,176.0,215.0,176.0,-10.0,-2.0,0.12859106063842773
215.0,176.0,215.0,176.0,-10.0,-2.0,0.13109707832336426
215.0,176.0,215.0,176.0,-10.0,-2.0,0.13319993019104004
188.0,176.0,188.0,176.0,17.0,-2.0,0.13735103607177734
188.0,176.0,188.0,176.0,17.0,-2.0,0.1397709846496582
188.0,176.0,188.0,176.0,17.0,-2.0,0.14307618141174316
193.0,175.0,193.0,175.0,12.0,-1.0,0.14771723747253418
193.0,175.0,193.0,175.0,12.0,-1.0,0.15060901641845703
188.0,174.0,188.0,174.0,17.0,0.0,0.15491199493408203
204.0,172.0,204.0,172.0,1.0,2.0,0.15746808052062988
204.0,172.0,204.0,172.0,1.0,2.0,0.15980291366577148
204.0,172.0,204.0,172.0,1.0,2.0,0.16204118728637695
204.0,172.0,204.0,172.0,1.0,2.0,0.16464686393737793
226.0,172.0,226.0,172.0,-21.0,2.0,0.16959214210510254
226.0,172.0,226.0,172.0,-21.0,2.0,0.17252111434936523
220.0,172.0,220.0,172.0,-15.0,2.0,0.17479205131530762
220.0,172.0,220.0,172.0,-15.0,2.0,0.17706918716430664
221.0,174.0,221.0,174.0,-16.0,0.0,0.17980599403381348
221.0,174.0,221.0,174.0,-16.0,0.0,0.18385910987854004
221.0,174.0,221.0,174.0,-16.0,0.0,0.18588495254516602
205.0,176.0,205.0,176.0,0.0,-2.0,0.1887831687927246
205.0,176.0,205.0,176.0,0.0,-2.0,0.19109892845153809
205.0,176.0,205.0,176.0,0.0,-2.0,0.1931772232055664
205.0,176.0,205.0,176.0,0.0,-2.0,0.19596290588378906
186.0,176.0,186.0,176.0,19.0,-2.0,0.1986839771270752
186.0,176.0,186.0,176.0,19.0,-2.0,0.20120501518249512
186.0,176.0,186.0,176.0,19.0,-2.0,0.20352697372436523
194.0,176.0,194.0,176.0,11.0,-2.0,0.2058870792388916
194.0,176.0,194.0,176.0,11.0,-2.0,0.20813393592834473
194.0,176.0,194.0,176.0,11.0,-2.0,0.21094608306884766
195.0,174.0,195.0,174.0,10.0,0.0,0.21312999725341797
195.0,174.0,195.0,174.0,10.0,0.0,0.21536993980407715
205.0,172.0,205.0,172.0,0.0,2.0,0.21827197074890137
205.0,172.0,205.0,172.0,0.0,2.0,0.220473051071167
205.0,172.0,205.0,172.0,0.0,2.0,0.22344303131103516
205.0,172.0,205.0,172.0,0.0,2.0,0.22573208808898926
219.0,172.0,219.0,172.0,-14.0,2.0,0.22802114486694336
219.0,172.0,219.0,172.0,-14.0,2.0,0.23035597801208496
219.0,172.0,219.0,172.0,-14.0,2.0,0.2331700325012207
214.0,172.0,214.0,172.0,-9.0,2.0,0.23547911643981934
214.0,172.0,214.0,172.0,-9.0,2.0,0.23763513565063477
214.0,172.0,214.0,172.0,-9.0,2.0,0.24036717414855957
214.0,174.0,214.0,174.0,-9.0,0.0,0.24268603324890137
214.0,174.0,214.0,174.0,-9.0,0.0,0.24479413032531738
204.0,176.0,204.0,176.0,1.0,-2.0,0.24769902229309082
204.0,176.0,204.0,176.0,1.0,-2.0,0.24995112419128418
204.0,176.0,204.0,176.0,1.0,-2.0,0.2534000873565674
193.0,176.0,193.0,176.0,12.0,-2.0,0.25804591178894043
193.0,176.0,193.0,176.0,12.0,-2.0,0.2606079578399658
193.0,176.0,193.0,176.0,12.0,-2.0,0.26398324966430664
195.0,176.0,195.0,176.0,10.0,-2.0,0.26662707328796387
195.0,176.0,195.0,176.0,10.0,-2.0,0.2693910598754883
197.0,174.0,197.0,174.0,8.0,0.0,0.27208805084228516
197.0,174.0,197.0,174.0,8.0,0.0,0.275162935256958
209.0,173.0,209.0,173.0,-4.0,1.0,0.27832508087158203
209.0,173.0,209.0,173.0,-4.0,1.0,0.28183913230895996
209.0,173.0,209.0,173.0,-4.0,1.0,0.2846860885620117
221.0,173.0,221.0,173.0,-16.0,1.0,0.287855863571167
221.0,173.0,221.0,173.0,-16.0,1.0,0.2909109592437744
221.0,173.0,221.0,173.0,-16.0,1.0,0.2943401336669922
218.0,173.0,218.0,173.0,-13.0,1.0,0.2970011234283447
218.0,173.0,218.0,173.0,-13.0,1.0,0.30192995071411133
214.0,173.0,214.0,173.0,-9.0,1.0,0.3063340187072754
199.0,174.0,199.0,174.0,6.0,0.0,0.30881404876708984
199.0,174.0,199.0,174.0,6.0,0.0,0.31144094467163086
199.0,174.0,199.0,174.0,6.0,0.0,0.3147258758544922
186.0,176.0,186.0,176.0,19.0,-2.0,0.31749510765075684
186.0,176.0,186.0,176.0,19.0,-2.0,0.3201029300689697
186.0,176.0,186.0,176.0,19.0,-2.0,0.32411694526672363
190.0,176.0,190.0,176.0,15.0,-2.0,0.3271660804748535
190.0,176.0,190.0,176.0,15.0,-2.0,0.3301398754119873
193.0,176.0,193.0,176.0,12.0,-2.0,0.3329899311065674
193.0,176.0,193.0,176.0,12.0,-2.0,0.33589816093444824
193.0,176.0,193.0,176.0,12.0,-2.0,0.3383941650390625
209.0,174.0,209.0,174.0,-4.0,0.0,0.3411588668823242
209.0,174.0,209.0,174.0,-4.0,0.0,0.3441181182861328
221.0,172.0,221.0,172.0,-16.0,2.0,0.3468742370605469
221.0,172.0,221.0,172.0,-16.0,2.0,0.349790096282959
221.0,172.0,221.0,172.0,-16.0,2.0,0.35301828384399414
218.0,172.0,218.0,172.0,-13.0,2.0,0.3558342456817627
218.0,172.0,218.0,172.0,-13.0,2.0,0.35876989364624023
216.0,172.0,216.0,172.0,-11.0,2.0,0.3620748519897461
216.0,172.0,216.0,172.0,-11.0,2.0,0.36496591567993164
216.0,172.0,216.0,172.0,-11.0,2.0,0.36801791191101074
204.0,174.0,204.0,174.0,1.0,0.0,0.3705179691314697
204.0,174.0,204.0,174.0,1.0,0.0,0.37421607971191406
193.0,176.0,193.0,176.0,12.0,-2.0,0.3772742748260498
193.0,176.0,193.0,176.0,12.0,-2.0,0.37993407249450684
194.0,176.0,194.0,176.0,11.0,-2.0,0.38297390937805176
194.0,176.0,194.0,176.0,11.0,-2.0,0.3858330249786377
194.0,176.0,194.0,176.0,11.0,-2.0,0.3883788585662842
194.0,176.0,194.0,176.0,11.0,-2.0,0.39162397384643555
211.0,174.0,211.0,174.0,-6.0,0.0,0.39438319206237793
211.0,174.0,211.0,174.0,-6.0,0.0,0.3974599838256836
205.0,174.0,205.0,174.0,0.0,0.0,0.39998507499694824
205.0,174.0,205.0,174.0,0.0,0.0,0.4027900695800781
217.0,172.0,217.0,172.0,-12.0,2.0,0.4066340923309326
