model_uncertainty,measurement_uncertainty,error_x,error_y,sane_rate,cost
1e-06,0.01,0.0048828125,0.0,1.0,0.019728729501366615
1e-06,0.1,0.0,0.0,1.0,0.0
1e-06,1.0,0.0,0.0,1.0,0.0
1e-06,10.0,0.0,0.0,1.0,0.0
1e-06,100.0,0.0,0.0,1.0,0.0
1e-05,0.01,0.0048828125,0.0,1.0,0.019728729501366615
1e-05,0.1,0.0,0.0,1.0,0.0
1e-05,1.0,0.0,0.0,1.0,0.0
1e-05,10.0,0.0,0.0,1.0,0.0
1e-05,100.0,0.49499512,0.0,1.0,2.0
0.0001,0.01,0.0,0.0,1.0,0.0
0.0001,0.1,0.0,0.0,1.0,0.0
0.0001,1.0,0.0,0.0,1.0,0.0
0.0001,10.0,0.0,0.0,1.0,0.0
0.0001,100.0,0.49499512,0.0,1.0,2.0
0.001,0.01,0.0048828125,0.0,1.0,0.019728729501366615
0.001,0.1,0.0,0.0,1.0,0.0
0.001,1.0,0.24963379,0.0,1.0,1.0086313486099243
0.001,10.0,0.45446777,0.0,1.0,1.8362514972686768
0.001,100.0,0.0,0.0,1.0,0.0
0.01,0.01,0.0,0.0,1.0,0.0
0.01,0.1,0.0,0.0,1.0,0.0
0.01,1.0,0.0,0.0,1.0,0.0
0.01,10.0,0.0,0.0,1.0,0.0
0.01,100.0,0.0,0.0,1.0,0.0
