measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2473.0,1332.0,2473.0,1332.0,0.0,0.0,0.06247687339782715
2473.0,1332.0,2473.0,1332.0,0.0,0.0,0.11062192916870117
2473.0,1332.0,2473.0,1332.0,0.0,0.0,0.1543588638305664
2474.0,1332.0,2473.476,1332.0,-1.0,0.0,0.19681692123413086
2473.0,1332.0,2473.326,1332.0,0.0,0.0,0.23476362228393555
2473.0,1332.0,2473.2058,1332.0,0.0,0.0,0.27974987030029297
2474.0,1332.0,2473.5608,1332.0,-1.0,0.0,0.343080997467041
2474.0,1332.0,2473.8435,1332.0,-1.0,0.0,0.40215182304382324
2474.0,1332.0,2474.0044,1332.0,-1.0,0.0,0.4466409683227539
2474.0,1332.0,2474.0803,1332.0,-1.0,0.0,0.4851188659667969
2474.0,1332.0,2474.1287,1332.0,-1.0,0.0,0.5438888072967529
2474.0,1332.0,2474.1719,1332.0,-1.0,0.0,0.6020557880401611
2474.0,1332.0,2474.1865,1332.0,-1.0,0.0,0.6452798843383789
2474.0,1332.0,2474.1707,1332.0,-1.0,0.0,0.6881628036499023
2475.0,1331.0,2474.4744,1331.6782,-2.0,1.0,0.7376499176025391
2475.0,1331.0,2474.728,1331.4044,-2.0,1.0,0.7980308532714844
2475.0,1331.0,2474.936,1331.167,-2.0,1.0,0.8434758186340332
2475.0,1331.0,2475.0466,1331.0232,-2.0,1.0,0.8917558193206787
2475.0,1331.0,2475.1296,1330.9084,-2.0,1.0,0.9348900318145752
2475.0,1331.0,2475.174,1330.8359,-2.0,1.0,0.9843149185180664
2475.0,1331.0,2475.2046,1330.777,-2.0,1.0,1.0462830066680908
2475.0,1331.0,2475.2163,1330.7358,-2.0,1.0,1.0918798446655273
2475.0,1331.0,2475.1914,1330.7474,-2.0,1.0,1.1318848133087158
2475.0,1331.0,2475.165,1330.7637,-2.0,1.0,1.1712477207183838
2475.0,1331.0,2475.1392,1330.78,-2.0,1.0,1.2121636867523193
2475.0,1330.0,2475.113,1330.509,-2.0,2.0,1.2713427543640137
2476.0,1330.0,2475.3938,1330.2526,-3.0,2.0,1.3227829933166504
2476.0,1330.0,2475.6162,1330.0721,-3.0,2.0,1.3683478832244873
2476.0,1331.0,2475.782,1330.2502,-3.0,1.0,1.4065396785736084
2476.0,1331.0,2475.8945,1330.406,-3.0,1.0,1.4554088115692139
2476.0,1330.0,2475.998,1330.2446,-3.0,2.0,1.5117137432098389
2476.0,1330.0,2476.0808,1330.1093,-3.0,2.0,1.5568218231201172
2476.0,1330.0,2476.1167,1330.0266,-3.0,2.0,1.594336748123169
2476.0,1330.0,2476.1355,1329.9708,-3.0,2.0,1.6355206966400146
2476.0,1330.0,2476.146,1329.9305,-3.0,2.0,1.6764307022094727
2476.0,1330.0,2476.1514,1329.9003,-3.0,2.0,1.7327568531036377
2476.0,1330.0,2476.159,1329.8677,-3.0,2.0,1.7922749519348145
2477.0,1330.0,2476.4426,1329.8613,-4.0,2.0,1.8337810039520264
2477.0,1330.0,2476.6394,1329.8763,-4.0,2.0,1.8731117248535156
2477.0,1330.0,2476.7942,1329.8909,-4.0,2.0,1.9235830307006836
2477.0,1329.0,2476.9387,1329.6346,-4.0,3.0,1.9836909770965576
2477.0,1329.0,2477.0684,1329.4025,-4.0,3.0,2.027014970779419
2477.0,1329.0,2477.122,1329.2468,-4.0,3.0,2.06594181060791
2477.0,1329.0,2477.1577,1329.1307,-4.0,3.0,2.10544490814209
2477.0,1329.0,2477.185,1329.0383,-4.0,3.0,2.1451547145843506
2477.0,1329.0,2477.2058,1328.9629,-4.0,3.0,2.2074906826019287
2477.0,1329.0,2477.2349,1328.8816,-4.0,3.0,2.261493682861328
2478.0,1329.0,2477.5034,1328.8398,-5.0,3.0,2.3022937774658203
2478.0,1329.0,2477.6987,1328.8278,-5.0,3.0,2.3436198234558105
2478.0,1329.0,2477.859,1328.8204,-5.0,3.0,2.4020729064941406
2478.0,1329.0,2478.016,1328.8105,-5.0,3.0,2.461423873901367
2478.0,1329.0,2478.1318,1328.8171,-5.0,3.0,2.504382848739624
2478.0,1329.0,2478.1826,1328.8397,-5.0,3.0,2.5440149307250977
2478.0,1329.0,2478.2188,1328.8615,-5.0,3.0,2.58353590965271
2478.0,1329.0,2478.2456,1328.8828,-5.0,3.0,2.6258418560028076
2478.0,1329.0,2478.2654,1328.9044,-5.0,3.0,2.6843667030334473
2478.0,1329.0,2478.2966,1328.9293,-5.0,3.0,2.7360808849334717
2478.0,1328.0,2478.298,1328.7167,-5.0,4.0,2.777888774871826
2479.0,1328.0,2478.5127,1328.5438,-6.0,4.0,2.815142869949341
2479.0,1328.0,2478.6772,1328.4076,-6.0,4.0,2.8620057106018066
2479.0,1328.0,2478.836,1328.285,-6.0,4.0,2.931138753890991
2479.0,1328.0,2479.0073,1328.1619,-6.0,4.0,3.0081636905670166
2479.0,1328.0,2479.1416,1328.0608,-6.0,4.0,3.0553297996520996
2479.0,1327.0,2479.1882,1327.7653,-6.0,5.0,3.1194329261779785
2479.0,1328.0,2479.2551,1327.7405,-6.0,4.0,3.1807687282562256
2479.0,1328.0,2479.284,1327.7405,-6.0,4.0,3.2237279415130615
2480.0,1328.0,2479.512,1327.7592,-7.0,4.0,3.2741429805755615
2480.0,1328.0,2479.711,1327.771,-7.0,4.0,3.318988800048828
2480.0,1328.0,2479.8584,1327.7896,-7.0,4.0,3.3689708709716797
2480.0,1328.0,2479.9907,1327.8055,-7.0,4.0,3.4342169761657715
2480.0,1328.0,2480.1228,1327.821,-7.0,4.0,3.4793426990509033
2480.0,1327.0,2480.188,1327.6364,-7.0,5.0,3.51883602142334
2480.0,1327.0,2480.2297,1327.4889,-7.0,5.0,3.5563669204711914
2480.0,1327.0,2480.2593,1327.3696,-7.0,5.0,3.620987892150879
2480.0,1327.0,2480.3308,1327.2397,-7.0,5.0,3.6828417778015137
2480.0,1327.0,2480.366,1327.1364,-7.0,5.0,3.728756904602051
2480.0,1327.0,2480.3645,1327.0668,-7.0,5.0,3.767023801803589
2480.0,1327.0,2480.352,1327.0165,-7.0,5.0,3.8040719032287598
2480.0,1327.0,2480.3381,1326.9768,-7.0,5.0,3.8503780364990234
2481.0,1327.0,2480.5127,1326.9325,-8.0,5.0,3.913836717605591
2481.0,1326.0,2480.683,1326.7037,-8.0,6.0,3.9630138874053955
2481.0,1326.0,2480.8076,1326.5205,-8.0,6.0,4.0050787925720215
2481.0,1326.0,2480.9058,1326.3694,-8.0,6.0,4.044139623641968
2481.0,1326.0,2480.9783,1326.2506,-8.0,6.0,4.0910937786102295
2481.0,1326.0,2481.0535,1326.1328,-8.0,6.0,4.1456756591796875
2482.0,1326.0,2481.2979,1326.0165,-9.0,6.0,4.194130897521973
2482.0,1326.0,2481.4944,1325.935,-9.0,6.0,4.23143196105957
2482.0,1326.0,2481.6455,1325.8818,-9.0,6.0,4.271498918533325
2482.0,1326.0,2481.7805,1325.8324,-9.0,6.0,4.315173864364624
2482.0,1326.0,2481.9167,1325.7765,-9.0,6.0,4.376979827880859
2482.0,1326.0,2482.0632,1325.7107,-9.0,6.0,4.431786060333252
2482.0,1326.0,2482.1602,1325.6788,-9.0,6.0,4.472047805786133
2482.0,1326.0,2482.2139,1325.6731,-9.0,6.0,4.510751962661743
2482.0,1326.0,2482.262,1325.6674,-9.0,6.0,4.559493780136108
2482.0,1326.0,2482.326,1325.6493,-9.0,6.0,4.618075847625732
2483.0,1325.0,2482.5576,1325.4662,-10.0,7.0,4.666627883911133
2483.0,1325.0,2482.7107,1325.3383,-10.0,7.0,4.707003831863403
2483.0,1325.0,2482.8374,1325.2313,-10.0,7.0,4.748435020446777
2483.0,1325.0,2482.9536,1325.1342,-10.0,7.0,4.794121980667114
2483.0,1325.0,2483.0776,1325.033,-10.0,7.0,4.859665870666504
2483.0,1325.0,2483.2083,1324.928,-10.0,7.0,4.906617879867554
2483.0,1324.0,2483.2742,1324.7225,-10.0,8.0,4.946553707122803
2484.0,1325.0,2483.4663,1324.691,-11.0,7.0,4.987231969833374
2484.0,1324.0,2483.6416,1324.52,-11.0,8.0,5.035035848617554
