measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2474.0,1332.0,2474.0,1332.0,-1.0,0.0,0.08099985122680664
2474.0,1332.0,2474.0,1332.0,-1.0,0.0,0.1315629482269287
2474.0,1332.0,2474.0,1332.0,-1.0,0.0,0.184783935546875
2474.0,1332.0,2474.0,1332.0,-1.0,0.0,0.230759859085083
2474.0,1332.0,2474.0,1332.0,-1.0,0.0,0.30416178703308105
2474.0,1332.0,2474.0,1332.0,-1.0,0.0,0.3533346652984619
2474.0,1332.0,2474.0,1332.0,-1.0,0.0,0.39553284645080566
2474.0,1332.0,2474.0,1332.0,-1.0,0.0,0.43762779235839844
2474.0,1332.0,2474.0,1332.0,-1.0,0.0,0.5385837554931641
2474.0,1332.0,2474.0,1332.0,-1.0,0.0,0.5916287899017334
2474.0,1332.0,2474.0,1332.0,-1.0,0.0,0.6345689296722412
2474.0,1332.0,2474.0,1332.0,-1.0,0.0,0.6856420040130615
2474.0,1331.0,2474.0,1331.6364,-1.0,1.0,0.7811746597290039
2474.0,1332.0,2474.0,1331.7123,-1.0,0.0,0.8251399993896484
2474.0,1331.0,2474.0,1331.4204,-1.0,1.0,0.8684878349304199
2474.0,1331.0,2474.0,1331.219,-1.0,1.0,0.9185938835144043
2475.0,1331.0,2474.3464,1331.0559,-2.0,1.0,1.003105878829956
2475.0,1331.0,2474.686,1330.8854,-2.0,1.0,1.049865961074829
2475.0,1331.0,2474.8804,1330.8392,-2.0,1.0,1.0991268157958984
2475.0,1331.0,2475.022,1330.8076,-2.0,1.0,1.1443378925323486
2475.0,1331.0,2475.1138,1330.7968,-2.0,1.0,1.2089149951934814
2475.0,1331.0,2475.2256,1330.7694,-2.0,1.0,1.2756690979003906
2475.0,1331.0,2475.2708,1330.7804,-2.0,1.0,1.3222086429595947
2475.0,1331.0,2475.2693,1330.81,-2.0,1.0,1.3703749179840088
2475.0,1331.0,2475.2666,1330.836,-2.0,1.0,1.4462568759918213
2476.0,1330.0,2475.6729,1330.4753,-3.0,2.0,1.5220108032226562
2476.0,1331.0,2475.9011,1330.6031,-3.0,1.0,1.5673937797546387
2476.0,1331.0,2476.037,1330.7048,-3.0,1.0,1.6232447624206543
2476.0,1330.0,2476.1794,1330.4504,-3.0,2.0,1.7052907943725586
2476.0,1330.0,2476.2751,1330.2433,-3.0,2.0,1.75203275680542
2476.0,1330.0,2476.282,1330.1196,-3.0,2.0,1.8010146617889404
2476.0,1330.0,2476.2922,1330.0215,-3.0,2.0,1.8518626689910889
2476.0,1330.0,2476.2834,1329.9556,-3.0,2.0,1.93503999710083
2476.0,1330.0,2476.2917,1329.874,-3.0,2.0,1.9975569248199463
2476.0,1330.0,2476.241,1329.863,-3.0,2.0,2.0432868003845215
2476.0,1330.0,2476.1926,1329.865,-3.0,2.0,2.098686933517456
2477.0,1330.0,2476.4583,1329.8633,-4.0,2.0,2.1679539680480957
2477.0,1330.0,2476.6736,1329.8721,-4.0,2.0,2.2138218879699707
2477.0,1329.0,2476.8105,1329.5995,-4.0,3.0,2.2597157955169678
2477.0,1329.0,2476.9133,1329.3903,-4.0,3.0,2.3030507564544678
2476.0,1330.0,2476.7183,1329.4994,-3.0,2.0,2.3570809364318848
2477.0,1330.0,2476.8276,1329.5885,-4.0,2.0,2.430893898010254
2477.0,1330.0,2476.9114,1329.6823,-4.0,2.0,2.4853909015655518
2477.0,1329.0,2476.9634,1329.4808,-4.0,3.0,2.526157855987549
2477.0,1329.0,2476.991,1329.3351,-4.0,3.0,2.57149600982666
2478.0,1329.0,2477.266,1329.2198,-5.0,3.0,2.631903886795044
2478.0,1329.0,2477.5156,1329.1107,-5.0,3.0,2.6882996559143066
2478.0,1329.0,2477.7056,1329.0354,-5.0,3.0,2.731307029724121
2478.0,1329.0,2477.839,1328.9878,-5.0,3.0,2.7697627544403076
2478.0,1329.0,2477.9346,1328.9564,-5.0,3.0,2.824709892272949
2478.0,1329.0,2478.041,1328.917,-5.0,3.0,2.8933310508728027
2478.0,1329.0,2478.125,1328.8893,-5.0,3.0,2.9450509548187256
2478.0,1329.0,2478.166,1328.8821,-5.0,3.0,2.991405725479126
2478.0,1329.0,2478.184,1328.8844,-5.0,3.0,3.036430835723877
2478.0,1329.0,2478.196,1328.8887,-5.0,3.0,3.0988266468048096
2478.0,1329.0,2478.2107,1328.8928,-5.0,3.0,3.1655688285827637
2478.0,1329.0,2478.2063,1328.9047,-5.0,3.0,3.2061069011688232
2478.0,1329.0,2478.1848,1328.921,-5.0,3.0,3.2536017894744873
2479.0,1328.0,2478.3872,1328.714,-6.0,4.0,3.315513849258423
2479.0,1328.0,2478.5737,1328.5262,-6.0,4.0,3.3763489723205566
2479.0,1328.0,2478.7217,1328.3706,-6.0,4.0,3.419233798980713
2479.0,1328.0,2478.8235,1328.257,-6.0,4.0,3.472730875015259
2479.0,1328.0,2478.9182,1328.1517,-6.0,4.0,3.535111904144287
2479.0,1328.0,2479.0046,1328.0531,-6.0,4.0,3.5986428260803223
2479.0,1328.0,2479.0593,1327.9845,-6.0,4.0,3.641627788543701
2479.0,1328.0,2479.0867,1327.9443,-6.0,4.0,3.6871328353881836
2479.0,1328.0,2479.1074,1327.9113,-6.0,4.0,3.7547647953033447
2479.0,1328.0,2479.1357,1327.8661,-6.0,4.0,3.817389726638794
2479.0,1327.0,2479.146,1327.6274,-6.0,5.0,3.862785816192627
2480.0,1327.0,2479.3418,1327.4485,-7.0,5.0,3.9102208614349365
2480.0,1328.0,2479.5068,1327.4906,-7.0,4.0,3.9748659133911133
2480.0,1327.0,2479.664,1327.3137,-7.0,5.0,4.03476095199585
2480.0,1327.0,2479.7852,1327.177,-7.0,5.0,4.0828917026519775
2480.0,1327.0,2479.8748,1327.0757,-7.0,5.0,4.1329710483551025
2480.0,1327.0,2479.954,1326.9827,-7.0,5.0,4.207051753997803
2481.0,1327.0,2480.2449,1326.87,-8.0,5.0,4.266711711883545
2481.0,1327.0,2480.4556,1326.8219,-8.0,5.0,4.3097827434539795
2481.0,1327.0,2480.618,1326.794,-8.0,5.0,4.363526821136475
2481.0,1326.0,2480.7756,1326.5712,-8.0,6.0,4.429333686828613
2481.0,1327.0,2480.9255,1326.5471,-8.0,5.0,4.489914894104004
2481.0,1327.0,2481.0334,1326.5479,-8.0,5.0,4.531354904174805
2481.0,1327.0,2481.0962,1326.5713,-8.0,5.0,4.575746774673462
2481.0,1327.0,2481.1572,1326.5859,-8.0,5.0,4.635783910751343
2481.0,1327.0,2481.2312,1326.5865,-8.0,5.0,4.702810764312744
2481.0,1327.0,2481.2854,1326.5966,-8.0,5.0,4.746058702468872
2481.0,1327.0,2481.301,1326.6251,-8.0,5.0,4.790653944015503
2482.0,1326.0,2481.479,1326.4867,-9.0,6.0,4.8571107387542725
2482.0,1326.0,2481.6665,1326.3451,-9.0,6.0,4.922121047973633
2482.0,1326.0,2481.8179,1326.2278,-9.0,6.0,4.970391750335693
2482.0,1325.0,2481.9248,1325.9788,-9.0,7.0,5.016146898269653
2482.0,1325.0,2482.016,1325.7614,-9.0,7.0,5.082119941711426
2482.0,1325.0,2482.1206,1325.5411,-9.0,7.0,5.139358043670654
2482.0,1325.0,2482.188,1325.3666,-9.0,7.0,5.185484886169434
2482.0,1325.0,2482.2307,1325.2296,-9.0,7.0,5.227129936218262
2482.0,1325.0,2482.2593,1325.1191,-9.0,7.0,5.285827875137329
2483.0,1325.0,2482.4573,1324.9883,-10.0,7.0,5.344555854797363
2483.0,1325.0,2482.6265,1324.8822,-10.0,7.0,5.38539981842041
2483.0,1325.0,2482.7473,1324.8207,-10.0,7.0,5.428741931915283
2483.0,1325.0,2482.8633,1324.755,-10.0,7.0,5.497411727905273
2484.0,1325.0,2483.1523,1324.6565,-11.0,7.0,5.564827919006348
2484.0,1324.0,2483.3958,1324.4435,-11.0,8.0,5.6174609661102295
2484.0,1324.0,2483.5881,1324.2769,-11.0,8.0,5.670683860778809
2484.0,1324.0,2483.8037,1324.0853,-11.0,8.0,5.767976999282837
2484.0,1324.0,2484.0007,1323.9095,-11.0,8.0,5.813718795776367
2484.0,1324.0,2484.0972,1323.8287,-11.0,8.0,5.8548359870910645
2484.0,1324.0,2484.1724,1323.7661,-11.0,8.0,5.900755882263184
2484.0,1324.0,2484.25,1323.6992,-11.0,8.0,5.963204860687256
2484.0,1324.0,2484.353,1323.6061,-11.0,8.0,6.0205628871917725
2484.0,1324.0,2484.418,1323.5483,-11.0,8.0,6.066046953201294
2484.0,1324.0,2484.4543,1323.5177,-11.0,8.0,6.114908933639526
2485.0,1324.0,2484.6255,1323.483,-12.0,8.0,6.176373720169067
2485.0,1323.0,2484.8113,1323.2917,-12.0,9.0,6.239085912704468
2485.0,1323.0,2484.9534,1323.1421,-12.0,9.0,6.286752700805664
2485.0,1323.0,2485.0608,1323.0261,-12.0,9.0,6.331729888916016
2485.0,1323.0,2485.1519,1322.9266,-12.0,9.0,6.413794755935669
2485.0,1323.0,2485.3015,1322.7684,-12.0,9.0,6.473622798919678
2486.0,1323.0,2485.522,1322.6729,-13.0,9.0,6.522634744644165
2486.0,1323.0,2485.6763,1322.6276,-13.0,9.0,6.587130784988403
2486.0,1323.0,2485.8716,1322.5382,-13.0,9.0,6.659081935882568
2486.0,1322.0,2486.037,1322.3368,-13.0,10.0,6.70698094367981
2486.0,1322.0,2486.1377,1322.1981,-13.0,10.0,6.751678943634033
2486.0,1322.0,2486.218,1322.0833,-13.0,10.0,6.795398950576782
2487.0,1322.0,2486.4092,1321.9817,-14.0,10.0,6.8624536991119385
2487.0,1322.0,2486.6462,1321.8334,-14.0,10.0,6.919920921325684
2487.0,1322.0,2486.8135,1321.7429,-14.0,10.0,6.962568044662476
2487.0,1322.0,2486.938,1321.6837,-14.0,10.0,7.006484031677246
2487.0,1322.0,2487.0532,1321.6277,-14.0,10.0,7.06972074508667
2487.0,1322.0,2487.201,1321.5414,-14.0,10.0,7.137225866317749
2487.0,1322.0,2487.3342,1321.4656,-14.0,10.0,7.180541038513184
2487.0,1321.0,2487.3994,1321.3276,-14.0,11.0,7.224475860595703
2488.0,1322.0,2487.57,1321.3145,-15.0,10.0,7.289191007614136
2488.0,1321.0,2487.7852,1321.1454,-15.0,11.0,7.349463701248169
2488.0,1321.0,2487.948,1321.018,-15.0,11.0,7.3927366733551025
2488.0,1321.0,2488.0618,1320.9294,-15.0,11.0,7.435698986053467
2488.0,1321.0,2488.1606,1320.8527,-15.0,11.0,7.503963947296143
2488.0,1321.0,2488.3125,1320.7335,-15.0,11.0,7.56772780418396
2488.0,1321.0,2488.4358,1320.6368,-15.0,11.0,7.613584995269775
2489.0,1321.0,2488.6064,1320.5886,-16.0,11.0,7.658686876296997
2489.0,1320.0,2488.763,1320.4381,-16.0,12.0,7.722009897232056
2489.0,1320.0,2488.9478,1320.267,-16.0,12.0,7.7794318199157715
2489.0,1320.0,2489.0947,1320.1271,-16.0,12.0,7.819744825363159
2489.0,1320.0,2489.188,1320.0319,-16.0,12.0,7.863492965698242
2490.0,1320.0,2489.3845,1319.937,-17.0,12.0,7.924170017242432
2490.0,1320.0,2489.611,1319.8157,-17.0,12.0,7.985841989517212
2490.0,1320.0,2489.8079,1319.7151,-17.0,12.0,8.030021905899048
2490.0,1319.0,2489.9453,1319.5546,-17.0,13.0,8.087519884109497
2490.0,1319.0,2490.116,1319.3717,-17.0,13.0,8.173752784729004
2490.0,1319.0,2490.3337,1319.1521,-17.0,13.0,8.236554861068726
2491.0,1319.0,2490.5674,1319.006,-18.0,13.0,8.293548822402954
2491.0,1318.0,2490.7866,1318.7626,-18.0,14.0,8.371206998825073
2491.0,1319.0,2491.0693,1318.5802,-18.0,13.0,8.437556028366089
2491.0,1319.0,2491.1868,1318.5264,-18.0,13.0,8.481443881988525
2491.0,1319.0,2491.2898,1318.4799,-18.0,13.0,8.534262895584106
2491.0,1319.0,2491.413,1318.4149,-18.0,13.0,8.597683906555176
2491.0,1318.0,2491.5496,1318.2346,-18.0,14.0,8.650246858596802
2492.0,1318.0,2491.729,1318.1056,-19.0,14.0,8.693943738937378
2492.0,1318.0,2491.878,1317.9994,-19.0,14.0,8.736049890518188
2492.0,1318.0,2492.014,1317.9025,-19.0,14.0,8.795253038406372
2492.0,1318.0,2492.1785,1317.7828,-19.0,14.0,8.858945846557617
2492.0,1318.0,2492.3413,1317.6642,-19.0,14.0,8.906019926071167
2492.0,1317.0,2492.4365,1317.5024,-19.0,15.0,8.946728944778442
2493.0,1317.0,2492.601,1317.3665,-20.0,15.0,8.989165782928467
2493.0,1317.0,2492.76,1317.2354,-20.0,15.0,9.037086963653564
2493.0,1317.0,2492.9219,1317.1018,-20.0,15.0,9.105270862579346
