measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2809.0,1093.0,2809.0,1093.0,1.0,0.0,0.11296725273132324
2810.0,1093.0,2809.9902,1093.0,0.0,0.0,0.17479228973388672
2810.0,1093.0,2809.9988,1093.0,0.0,0.0,0.21692800521850586
2810.0,1093.0,2810.002,1093.0,0.0,0.0,0.2570953369140625
2810.0,1093.0,2810.0034,1093.0,0.0,0.0,0.29609227180480957
2810.0,1093.0,2810.004,1093.0,0.0,0.0,0.3426392078399658
2810.0,1093.0,2810.0042,1093.0,0.0,0.0,0.40247440338134766
2810.0,1093.0,2810.004,1093.0,0.0,0.0,0.4599342346191406
2810.0,1093.0,2810.0032,1093.0,0.0,0.0,0.5049152374267578
2810.0,1093.0,2810.0024,1093.0,0.0,0.0,0.5597844123840332
2810.0,1093.0,2810.002,1093.0,0.0,0.0,0.6289951801300049
2810.0,1093.0,2810.0012,1093.0,0.0,0.0,0.6809000968933105
2810.0,1092.0,2810.0007,1092.6323,0.0,1.0,0.7232251167297363
2810.0,1092.0,2810.0002,1092.3761,0.0,1.0,0.7639963626861572
2810.0,1092.0,2810.0,1092.1893,0.0,1.0,0.8124260902404785
2810.0,1092.0,2809.9998,1092.0209,0.0,1.0,0.8773102760314941
2810.0,1092.0,2809.9993,1091.8862,0.0,1.0,0.9197912216186523
2810.0,1092.0,2809.9993,1091.8346,0.0,1.0,0.9600112438201904
2811.0,1092.0,2810.3213,1091.8038,-1.0,1.0,0.9998912811279297
2811.0,1092.0,2810.5715,1091.7869,-1.0,1.0,1.0423181056976318
2811.0,1092.0,2810.777,1091.7764,-1.0,1.0,1.104506254196167
2812.0,1092.0,2811.3174,1091.7639,-2.0,1.0,1.1545803546905518
2812.0,1092.0,2811.701,1091.7867,-2.0,1.0,1.1948742866516113
2812.0,1092.0,2811.9573,1091.817,-2.0,1.0,1.2325842380523682
2812.0,1092.0,2812.138,1091.8455,-2.0,1.0,1.2786972522735596
2812.0,1091.0,2812.3064,1091.5737,-2.0,2.0,1.3375122547149658
2812.0,1092.0,2812.4763,1091.6459,-2.0,1.0,1.3851332664489746
2812.0,1092.0,2812.525,1091.7261,-2.0,1.0,1.422438144683838
2812.0,1092.0,2812.526,1091.7942,-2.0,1.0,1.4635751247406006
2812.0,1092.0,2812.529,1091.8513,-2.0,1.0,1.511951208114624
2812.0,1091.0,2812.5388,1091.6223,-2.0,2.0,1.573998212814331
2812.0,1091.0,2812.5466,1091.4149,-2.0,2.0,1.6246583461761475
2812.0,1092.0,2812.492,1091.5569,-2.0,1.0,1.6629581451416016
2812.0,1092.0,2812.4229,1091.6733,-2.0,1.0,1.7030582427978516
2812.0,1091.0,2812.3638,1091.4999,-2.0,2.0,1.7534091472625732
2812.0,1091.0,2812.3118,1091.3512,-2.0,2.0,1.8169562816619873
2812.0,1091.0,2812.2488,1091.2153,-2.0,2.0,1.867140293121338
2812.0,1091.0,2812.1785,1091.1213,-2.0,2.0,1.9061942100524902
2812.0,1091.0,2812.118,1091.057,-2.0,2.0,1.9449892044067383
2813.0,1091.0,2812.325,1091.0085,-3.0,2.0,1.995112419128418
2813.0,1091.0,2812.4976,1090.9576,-3.0,2.0,2.0568771362304688
2813.0,1091.0,2812.6453,1090.9187,-3.0,2.0,2.105457305908203
2813.0,1091.0,2812.7524,1090.9082,-3.0,2.0,2.144296407699585
2813.0,1091.0,2812.8296,1090.9054,-3.0,2.0,2.1826822757720947
2813.0,1091.0,2812.8867,1090.9053,-3.0,2.0,2.2262773513793945
2813.0,1091.0,2812.9321,1090.9044,-3.0,2.0,2.291032075881958
2813.0,1091.0,2812.9683,1090.9039,-3.0,2.0,2.338947296142578
2813.0,1090.0,2812.9844,1090.6511,-3.0,3.0,2.379237174987793
2813.0,1091.0,2812.9915,1090.7059,-3.0,2.0,2.4207680225372314
2813.0,1091.0,2812.9924,1090.7524,-3.0,2.0,2.466461420059204
2813.0,1091.0,2812.9873,1090.7942,-3.0,2.0,2.5263993740081787
2814.0,1090.0,2813.2305,1090.5786,-4.0,3.0,2.5772953033447266
2814.0,1090.0,2813.4348,1090.3992,-4.0,3.0,2.6172962188720703
2814.0,1090.0,2813.592,1090.2645,-4.0,3.0,2.660654306411743
2814.0,1090.0,2813.7212,1090.1505,-4.0,3.0,2.708275318145752
2814.0,1090.0,2813.8286,1090.0535,-4.0,3.0,2.7692432403564453
2814.0,1091.0,2813.927,1090.2058,-4.0,2.0,2.8167402744293213
2815.0,1090.0,2814.229,1090.1163,-5.0,3.0,2.8558950424194336
2814.0,1090.0,2814.2327,1090.0522,-4.0,3.0,2.894287109375
2814.0,1090.0,2814.232,1090.0016,-4.0,3.0,2.94486927986145
2814.0,1090.0,2814.24,1089.9479,-4.0,3.0,3.0037341117858887
2814.0,1090.0,2814.242,1089.9005,-4.0,3.0,3.053126335144043
2815.0,1090.0,2814.4524,1089.8757,-5.0,3.0,3.0942180156707764
2815.0,1090.0,2814.6196,1089.8627,-5.0,3.0,3.1335244178771973
2815.0,1090.0,2814.7466,1089.8589,-5.0,3.0,3.1776671409606934
2815.0,1090.0,2814.8623,1089.8514,-5.0,3.0,3.2361342906951904
2815.0,1089.0,2814.9792,1089.6259,-5.0,4.0,3.285917282104492
2815.0,1089.0,2815.0544,1089.4436,-5.0,4.0,3.3237383365631104
2815.0,1089.0,2815.0989,1089.3057,-5.0,4.0,3.3629913330078125
2815.0,1090.0,2815.1365,1089.3813,-5.0,3.0,3.4136314392089844
2815.0,1090.0,2815.1804,1089.4385,-5.0,3.0,3.4777090549468994
2815.0,1089.0,2815.2246,1089.2826,-5.0,4.0,3.5249500274658203
2815.0,1089.0,2815.234,1089.1693,-5.0,4.0,3.564953088760376
2815.0,1089.0,2815.2273,1089.0897,-5.0,4.0,3.603938102722168
2815.0,1089.0,2815.2212,1089.0211,-5.0,4.0,3.650012254714966
2816.0,1089.0,2815.4094,1088.9454,-6.0,4.0,3.7125329971313477
2816.0,1089.0,2815.584,1088.8734,-6.0,4.0,3.758432149887085
2815.0,1089.0,2815.5242,1088.8372,-5.0,4.0,3.810258388519287
2815.0,1089.0,2815.4717,1088.801,-5.0,4.0,3.8649721145629883
2815.0,1089.0,2815.4204,1088.7694,-5.0,4.0,3.928680419921875
2815.0,1089.0,2815.369,1088.7388,-5.0,4.0,3.988962173461914
2815.0,1089.0,2815.3125,1088.7242,-5.0,4.0,4.030153274536133
2816.0,1089.0,2815.4448,1088.7339,-6.0,4.0,4.070149183273315
2816.0,1089.0,2815.5542,1088.7421,-6.0,4.0,4.130242109298706
2816.0,1089.0,2815.6572,1088.7351,-6.0,4.0,4.199507236480713
2816.0,1089.0,2815.7473,1088.735,-6.0,4.0,4.25967001914978
2816.0,1089.0,2815.8193,1088.7462,-6.0,4.0,4.308139085769653
2816.0,1089.0,2815.8738,1088.7646,-6.0,4.0,4.372255325317383
2816.0,1089.0,2815.9236,1088.7786,-6.0,4.0,4.424850225448608
2816.0,1089.0,2815.9563,1088.8003,-6.0,4.0,4.4671571254730225
2817.0,1089.0,2816.1519,1088.8224,-7.0,4.0,4.513421058654785
2816.0,1088.0,2816.1533,1088.6741,-6.0,5.0,4.5887610912323
2816.0,1088.0,2816.1638,1088.5253,-6.0,5.0,4.646978139877319
2816.0,1089.0,2816.1567,1088.5806,-6.0,4.0,4.698940277099609
2817.0,1089.0,2816.3176,1088.6333,-7.0,4.0,4.7487592697143555
2817.0,1089.0,2816.4565,1088.6821,-7.0,4.0,4.81974720954895
2816.0,1088.0,2816.4163,1088.555,-6.0,5.0,4.871049404144287
2816.0,1089.0,2816.3667,1088.6176,-6.0,4.0,4.914790153503418
2816.0,1088.0,2816.32,1088.513,-6.0,5.0,4.96195125579834
2817.0,1088.0,2816.4348,1088.4215,-7.0,5.0,5.027493238449097
2816.0,1088.0,2816.3818,1088.3341,-6.0,5.0,5.081520318984985
2817.0,1088.0,2816.4854,1088.263,-7.0,5.0,5.123820066452026
2817.0,1088.0,2816.5725,1088.2048,-7.0,5.0,5.166429281234741
2817.0,1088.0,2816.6458,1088.1567,-7.0,5.0,5.22117018699646
2817.0,1088.0,2816.7144,1088.1082,-7.0,5.0,5.277893304824829
2817.0,1088.0,2816.7744,1088.0659,-7.0,5.0,5.318756103515625
2817.0,1088.0,2816.8206,1088.0371,-7.0,5.0,5.357906341552734
2817.0,1088.0,2816.8599,1088.0123,-7.0,5.0,5.408060312271118
2817.0,1088.0,2816.8972,1087.9867,-7.0,5.0,5.465213298797607
2817.0,1088.0,2816.9316,1087.9622,-7.0,5.0,5.514703273773193
2817.0,1088.0,2816.9565,1087.9468,-7.0,5.0,5.5580363273620605
2817.0,1088.0,2816.976,1087.9355,-7.0,5.0,5.596558094024658
2817.0,1088.0,2816.9907,1087.9285,-7.0,5.0,5.641023397445679
2818.0,1088.0,2817.1316,1087.9198,-8.0,5.0,5.705560207366943
2817.0,1088.0,2817.1392,1087.9086,-7.0,5.0,5.752632141113281
2817.0,1088.0,2817.1375,1087.9054,-7.0,5.0,5.794957160949707
2817.0,1088.0,2817.133,1087.9049,-7.0,5.0,5.833410263061523
2818.0,1088.0,2817.2485,1087.9066,-8.0,5.0,5.8794591426849365
2818.0,1087.0,2817.3567,1087.7856,-8.0,6.0,5.938814401626587
2818.0,1087.0,2817.4639,1087.6666,-8.0,6.0,5.990025281906128
2818.0,1088.0,2817.5537,1087.6873,-8.0,5.0,6.02959418296814
2818.0,1088.0,2817.6296,1087.7097,-8.0,5.0,6.0765581130981445
2818.0,1087.0,2817.702,1087.61,-8.0,6.0,6.13938045501709
2818.0,1087.0,2817.7803,1087.5084,-8.0,6.0,6.2029523849487305
2818.0,1088.0,2817.8472,1087.5417,-8.0,5.0,6.257383346557617
2818.0,1087.0,2817.9026,1087.4525,-8.0,6.0,6.2988362312316895
2818.0,1087.0,2817.9421,1087.3788,-8.0,6.0,6.336640119552612
2818.0,1087.0,2817.9744,1087.3151,-8.0,6.0,6.3836963176727295
2818.0,1087.0,2818.0112,1087.2506,-8.0,6.0,6.445151329040527
2818.0,1087.0,2818.0496,1087.186,-8.0,6.0,6.4974493980407715
2818.0,1087.0,2818.076,1087.1339,-8.0,6.0,6.541175127029419
2818.0,1087.0,2818.0945,1087.0912,-8.0,6.0,6.578548431396484
2818.0,1087.0,2818.1064,1087.0574,-8.0,6.0,6.630390167236328
2818.0,1087.0,2818.1252,1087.017,-8.0,6.0,6.68868613243103
2819.0,1087.0,2818.258,1086.977,-9.0,6.0,6.731536149978638
2819.0,1087.0,2818.3667,1086.9536,-9.0,6.0,6.769567251205444
2819.0,1087.0,2818.4639,1086.9336,-9.0,6.0,6.81039023399353
2818.0,1087.0,2818.4456,1086.9159,-8.0,6.0,6.854557275772095
2819.0,1087.0,2818.5369,1086.8966,-9.0,6.0,6.913012266159058
2819.0,1087.0,2818.6353,1086.8701,-9.0,6.0,6.967073202133179
2819.0,1087.0,2818.7168,1086.8536,-9.0,6.0,7.009048223495483
