measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2474.0,1332.0,2474.0,1332.0,0.0,0.0,0.07247424125671387
2474.0,1332.0,2474.0,1332.0,0.0,0.0,0.13468718528747559
2474.0,1332.0,2474.0,1332.0,0.0,0.0,0.1842191219329834
2474.0,1332.0,2474.0,1332.0,0.0,0.0,0.2299051284790039
2474.0,1332.0,2474.0,1332.0,0.0,0.0,0.2720503807067871
2473.0,1332.0,2473.0,1332.0,1.0,0.0,0.3177452087402344
2473.0,1332.0,2473.0,1332.0,1.0,0.0,0.3861360549926758
2473.0,1332.0,2473.0,1332.0,1.0,0.0,0.4487922191619873
2474.0,1332.0,2474.0,1332.0,0.0,0.0,0.502230167388916
2474.0,1332.0,2474.0,1332.0,0.0,0.0,0.5438442230224609
2474.0,1332.0,2474.0,1332.0,0.0,0.0,0.5952372550964355
2474.0,1332.0,2474.0,1332.0,0.0,0.0,0.6385810375213623
2474.0,1332.0,2474.0,1332.0,0.0,0.0,0.6839370727539062
2474.0,1331.0,2474.0,1331.0,0.0,1.0,0.7233622074127197
2474.0,1331.0,2474.0,1331.0,0.0,1.0,0.7677171230316162
2474.0,1332.0,2474.0,1332.0,0.0,0.0,0.8298771381378174
2474.0,1332.0,2474.0,1332.0,0.0,0.0,0.8835949897766113
2474.0,1331.0,2474.0,1331.0,0.0,1.0,0.930164098739624
2474.0,1331.0,2474.0,1331.0,0.0,1.0,0.9702069759368896
2474.0,1331.0,2474.0,1331.0,0.0,1.0,1.0401442050933838
2475.0,1331.0,2475.0,1331.0,-1.0,1.0,1.0831711292266846
2475.0,1331.0,2475.0,1331.0,-1.0,1.0,1.124068260192871
2476.0,1331.0,2476.0,1331.0,-2.0,1.0,1.1653482913970947
2476.0,1331.0,2476.0,1331.0,-2.0,1.0,1.2178082466125488
2476.0,1330.0,2476.0,1330.0,-2.0,2.0,1.271083116531372
2476.0,1330.0,2476.0,1330.0,-2.0,2.0,1.3152079582214355
2476.0,1330.0,2476.0,1330.0,-2.0,2.0,1.359206199645996
2476.0,1330.0,2476.0,1330.0,-2.0,2.0,1.3982892036437988
2476.0,1330.0,2476.0,1330.0,-2.0,2.0,1.4467551708221436
2476.0,1330.0,2476.0,1330.0,-2.0,2.0,1.5003771781921387
2476.0,1330.0,2476.0,1330.0,-2.0,2.0,1.5447461605072021
2476.0,1330.0,2476.0,1330.0,-2.0,2.0,1.585226058959961
2476.0,1330.0,2476.0,1330.0,-2.0,2.0,1.6293840408325195
2476.0,1331.0,2476.0,1331.0,-2.0,1.0,1.6771063804626465
2476.0,1330.0,2476.0,1330.0,-2.0,2.0,1.732004165649414
2476.0,1329.0,2476.0,1329.0,-2.0,3.0,1.7764360904693604
2476.0,1329.0,2476.0,1329.0,-2.0,3.0,1.8230640888214111
2477.0,1329.0,2477.0,1329.0,-3.0,3.0,1.8698670864105225
2477.0,1329.0,2477.0,1329.0,-3.0,3.0,1.9262301921844482
2477.0,1329.0,2477.0,1329.0,-3.0,3.0,1.9796171188354492
2477.0,1329.0,2477.0,1329.0,-3.0,3.0,2.027961254119873
2477.0,1329.0,2477.0,1329.0,-3.0,3.0,2.0664730072021484
2477.0,1329.0,2477.0,1329.0,-3.0,3.0,2.1069869995117188
2477.0,1329.0,2477.0,1329.0,-3.0,3.0,2.1507070064544678
2478.0,1329.0,2478.0,1329.0,-4.0,3.0,2.205831289291382
2478.0,1329.0,2478.0,1329.0,-4.0,3.0,2.2486422061920166
2478.0,1329.0,2478.0,1329.0,-4.0,3.0,2.2886972427368164
2477.0,1329.0,2477.0,1329.0,-3.0,3.0,2.328979015350342
2477.0,1329.0,2477.0,1329.0,-3.0,3.0,2.3707332611083984
2477.0,1329.0,2477.0,1329.0,-3.0,3.0,2.43765926361084
2477.0,1329.0,2477.0,1329.0,-3.0,3.0,2.478438138961792
2478.0,1329.0,2478.0,1329.0,-4.0,3.0,2.520935297012329
2478.0,1329.0,2478.0,1329.0,-4.0,3.0,2.5639443397521973
2478.0,1329.0,2478.0,1329.0,-4.0,3.0,2.619716167449951
2478.0,1329.0,2478.0,1329.0,-4.0,3.0,2.676316261291504
2479.0,1328.0,2479.0,1328.0,-5.0,4.0,2.724144220352173
2478.0,1328.0,2478.0,1328.0,-4.0,4.0,2.7715511322021484
2478.0,1328.0,2478.0,1328.0,-4.0,4.0,2.8150970935821533
2478.0,1328.0,2478.0,1328.0,-4.0,4.0,2.869055986404419
2479.0,1328.0,2479.0,1328.0,-5.0,4.0,2.9250311851501465
2479.0,1328.0,2479.0,1328.0,-5.0,4.0,2.9799790382385254
2479.0,1328.0,2479.0,1328.0,-5.0,4.0,3.0268101692199707
2479.0,1328.0,2479.0,1328.0,-5.0,4.0,3.071274995803833
2479.0,1328.0,2479.0,1328.0,-5.0,4.0,3.1261110305786133
2479.0,1327.0,2479.0,1327.0,-5.0,5.0,3.179314374923706
2479.0,1328.0,2479.0,1328.0,-5.0,4.0,3.226572036743164
2480.0,1328.0,2480.0,1328.0,-6.0,4.0,3.269444227218628
2479.0,1327.0,2479.0,1327.0,-5.0,5.0,3.3155362606048584
2479.0,1327.0,2479.0,1327.0,-5.0,5.0,3.3647871017456055
2480.0,1327.0,2480.0,1327.0,-6.0,5.0,3.433434247970581
2480.0,1327.0,2480.0,1327.0,-6.0,5.0,3.4793331623077393
2480.0,1327.0,2480.0,1327.0,-6.0,5.0,3.5225632190704346
2480.0,1328.0,2480.0,1328.0,-6.0,4.0,3.56315016746521
2480.0,1328.0,2480.0,1328.0,-6.0,4.0,3.606663942337036
2480.0,1327.0,2480.0,1327.0,-6.0,5.0,3.662353277206421
2480.0,1327.0,2480.0,1327.0,-6.0,5.0,3.7020113468170166
2481.0,1327.0,2481.0,1327.0,-7.0,5.0,3.7409212589263916
2481.0,1327.0,2481.0,1327.0,-7.0,5.0,3.7808141708374023
2481.0,1327.0,2481.0,1327.0,-7.0,5.0,3.821092128753662
2481.0,1326.0,2481.0,1326.0,-7.0,6.0,3.88293719291687
2481.0,1327.0,2481.0,1327.0,-7.0,5.0,3.921452045440674
2481.0,1327.0,2481.0,1327.0,-7.0,5.0,3.9638381004333496
2481.0,1326.0,2481.0,1326.0,-7.0,6.0,4.005720138549805
2482.0,1326.0,2482.0,1326.0,-8.0,6.0,4.050234317779541
2482.0,1326.0,2482.0,1326.0,-8.0,6.0,4.103861093521118
2482.0,1326.0,2482.0,1326.0,-8.0,6.0,4.146460294723511
2482.0,1326.0,2482.0,1326.0,-8.0,6.0,4.187003135681152
2482.0,1326.0,2482.0,1326.0,-8.0,6.0,4.2245073318481445
2482.0,1326.0,2482.0,1326.0,-8.0,6.0,4.265087127685547
2482.0,1325.0,2482.0,1325.0,-8.0,7.0,4.320677280426025
2482.0,1325.0,2482.0,1325.0,-8.0,7.0,4.363661050796509
2482.0,1325.0,2482.0,1325.0,-8.0,7.0,4.403307199478149
2482.0,1325.0,2482.0,1325.0,-8.0,7.0,4.443979024887085
2482.0,1325.0,2482.0,1325.0,-8.0,7.0,4.489216089248657
2482.0,1325.0,2482.0,1325.0,-8.0,7.0,4.543129205703735
2482.0,1325.0,2482.0,1325.0,-8.0,7.0,4.583874225616455
2482.0,1325.0,2482.0,1325.0,-8.0,7.0,4.622790336608887
2483.0,1325.0,2483.0,1325.0,-9.0,7.0,4.660754203796387
2483.0,1325.0,2483.0,1325.0,-9.0,7.0,4.701690196990967
2483.0,1324.0,2483.0,1324.0,-9.0,8.0,4.757166147232056
2483.0,1325.0,2483.0,1325.0,-9.0,7.0,4.801009178161621
2483.0,1325.0,2483.0,1325.0,-9.0,7.0,4.838741064071655
2483.0,1325.0,2483.0,1325.0,-9.0,7.0,4.8788533210754395
2483.0,1324.0,2483.0,1324.0,-9.0,8.0,4.9234843254089355
2484.0,1324.0,2484.0,1324.0,-10.0,8.0,5.058722257614136
2484.0,1324.0,2484.0,1324.0,-10.0,8.0,5.1205949783325195
2485.0,1324.0,2485.0,1324.0,-11.0,8.0,5.177492141723633
2485.0,1323.0,2485.0,1323.0,-11.0,9.0,5.219811201095581
2485.0,1323.0,2485.0,1323.0,-11.0,9.0,5.260679244995117
2485.0,1323.0,2485.0,1323.0,-11.0,9.0,5.301281213760376
2485.0,1323.0,2485.0,1323.0,-11.0,9.0,5.343518018722534
2485.0,1323.0,2485.0,1323.0,-11.0,9.0,5.386245250701904
2485.0,1323.0,2485.0,1323.0,-11.0,9.0,5.444829225540161
2485.0,1322.0,2485.0,1322.0,-11.0,10.0,5.493741035461426
2485.0,1322.0,2485.0,1322.0,-11.0,10.0,5.540276050567627
2485.0,1322.0,2485.0,1322.0,-11.0,10.0,5.580438137054443
2485.0,1322.0,2485.0,1322.0,-11.0,10.0,5.6375412940979
2486.0,1323.0,2486.0,1323.0,-12.0,9.0,5.693187236785889
2486.0,1323.0,2486.0,1323.0,-12.0,9.0,5.739487171173096
2486.0,1322.0,2486.0,1322.0,-12.0,10.0,5.786098957061768
2486.0,1323.0,2486.0,1323.0,-12.0,9.0,5.8269712924957275
2486.0,1323.0,2486.0,1323.0,-12.0,9.0,5.879721164703369
2486.0,1323.0,2486.0,1323.0,-12.0,9.0,5.9412500858306885
2487.0,1322.0,2487.0,1322.0,-13.0,10.0,5.992209196090698
2487.0,1322.0,2487.0,1322.0,-13.0,10.0,6.037773132324219
2487.0,1322.0,2487.0,1322.0,-13.0,10.0,6.081499338150024
2487.0,1322.0,2487.0,1322.0,-13.0,10.0,6.137454271316528
2487.0,1322.0,2487.0,1322.0,-13.0,10.0,6.191941261291504
2487.0,1322.0,2487.0,1322.0,-13.0,10.0,6.2331531047821045
2488.0,1321.0,2488.0,1321.0,-14.0,11.0,6.275166988372803
2488.0,1321.0,2488.0,1321.0,-14.0,11.0,6.313738107681274
2488.0,1321.0,2488.0,1321.0,-14.0,11.0,6.353979110717773
2488.0,1321.0,2488.0,1321.0,-14.0,11.0,6.410483121871948
2488.0,1321.0,2488.0,1321.0,-14.0,11.0,6.454658031463623
2488.0,1320.0,2488.0,1320.0,-14.0,12.0,6.495319128036499
2488.0,1320.0,2488.0,1320.0,-14.0,12.0,6.534786224365234
2489.0,1320.0,2489.0,1320.0,-15.0,12.0,6.577109098434448
2489.0,1320.0,2489.0,1320.0,-15.0,12.0,6.634724140167236
2489.0,1320.0,2489.0,1320.0,-15.0,12.0,6.675127029418945
2489.0,1320.0,2489.0,1320.0,-15.0,12.0,6.71499228477478
2489.0,1320.0,2489.0,1320.0,-15.0,12.0,6.75408411026001
2489.0,1320.0,2489.0,1320.0,-15.0,12.0,6.797177076339722
2489.0,1320.0,2489.0,1320.0,-15.0,12.0,6.852440118789673
2490.0,1320.0,2490.0,1320.0,-16.0,12.0,6.89326024055481
2490.0,1320.0,2490.0,1320.0,-16.0,12.0,6.931732177734375
2490.0,1320.0,2490.0,1320.0,-16.0,12.0,6.976730108261108
2490.0,1319.0,2490.0,1319.0,-16.0,13.0,7.02349591255188
2490.0,1319.0,2490.0,1319.0,-16.0,13.0,7.075606107711792
2490.0,1319.0,2490.0,1319.0,-16.0,13.0,7.1164679527282715
2490.0,1319.0,2490.0,1319.0,-16.0,13.0,7.158148288726807
2491.0,1319.0,2491.0,1319.0,-17.0,13.0,7.198959112167358
2491.0,1319.0,2491.0,1319.0,-17.0,13.0,7.238407373428345
2491.0,1319.0,2491.0,1319.0,-17.0,13.0,7.293463230133057
2491.0,1319.0,2491.0,1319.0,-17.0,13.0,7.335750341415405
2491.0,1318.0,2491.0,1318.0,-17.0,14.0,7.377016067504883
2491.0,1318.0,2491.0,1318.0,-17.0,14.0,7.417280197143555
2491.0,1318.0,2491.0,1318.0,-17.0,14.0,7.457633018493652
2492.0,1318.0,2492.0,1318.0,-18.0,14.0,7.511301279067993
2492.0,1318.0,2492.0,1318.0,-18.0,14.0,7.551652193069458
2492.0,1318.0,2492.0,1318.0,-18.0,14.0,7.5915751457214355
2492.0,1318.0,2492.0,1318.0,-18.0,14.0,7.630762100219727
2493.0,1318.0,2493.0,1318.0,-19.0,14.0,7.669526100158691
2493.0,1318.0,2493.0,1318.0,-19.0,14.0,7.724600076675415
2493.0,1316.0,2493.0,1316.0,-19.0,16.0,7.766242027282715
2493.0,1316.0,2493.0,1316.0,-19.0,16.0,7.808511018753052
2494.0,1316.0,2494.0,1316.0,-20.0,16.0,7.848210334777832
2494.0,1316.0,2494.0,1316.0,-20.0,16.0,7.8898491859436035
2494.0,1315.0,2494.0,1315.0,-20.0,17.0,7.943158149719238
2494.0,1315.0,2494.0,1315.0,-20.0,17.0,7.987691164016724
2494.0,1315.0,2494.0,1315.0,-20.0,17.0,8.028176307678223
2494.0,1316.0,2494.0,1316.0,-20.0,16.0,8.068331003189087
2494.0,1316.0,2494.0,1316.0,-20.0,16.0,8.111013174057007
2494.0,1316.0,2494.0,1316.0,-20.0,16.0,8.162281036376953
2494.0,1316.0,2494.0,1316.0,-20.0,16.0,8.2057363986969
2495.0,1316.0,2495.0,1316.0,-21.0,16.0,8.245031356811523
2495.0,1316.0,2495.0,1316.0,-21.0,16.0,8.282612085342407
2495.0,1316.0,2495.0,1316.0,-21.0,16.0,8.323588132858276
2496.0,1316.0,2496.0,1316.0,-22.0,16.0,8.384462118148804
2496.0,1315.0,2496.0,1315.0,-22.0,17.0,8.435147047042847
2496.0,1316.0,2496.0,1316.0,-22.0,16.0,8.489541292190552
2496.0,1315.0,2496.0,1315.0,-22.0,17.0,8.592680215835571
2496.0,1316.0,2496.0,1316.0,-22.0,16.0,8.687680006027222
2497.0,1314.0,2497.0,1314.0,-23.0,18.0,8.740598201751709
2497.0,1314.0,2497.0,1314.0,-23.0,18.0,8.784929037094116
2497.0,1314.0,2497.0,1314.0,-23.0,18.0,8.852142095565796
2497.0,1314.0,2497.0,1314.0,-23.0,18.0,8.900761127471924
2497.0,1314.0,2497.0,1314.0,-23.0,18.0,8.942360162734985
2497.0,1314.0,2497.0,1314.0,-23.0,18.0,8.988901138305664
2498.0,1314.0,2498.0,1314.0,-24.0,18.0,9.037065982818604
2498.0,1314.0,2498.0,1314.0,-24.0,18.0,9.081690311431885
2498.0,1313.0,2498.0,1313.0,-24.0,19.0,9.141386985778809
2498.0,1313.0,2498.0,1313.0,-24.0,19.0,9.185986042022705
2499.0,1313.0,2499.0,1313.0,-25.0,19.0,9.230489253997803
2499.0,1312.0,2499.0,1312.0,-25.0,20.0,9.268571138381958
2499.0,1312.0,2499.0,1312.0,-25.0,20.0,9.31263017654419
2499.0,1313.0,2499.0,1313.0,-25.0,19.0,9.362879037857056
2499.0,1312.0,2499.0,1312.0,-25.0,20.0,9.405553340911865
2500.0,1312.0,2500.0,1312.0,-26.0,20.0,9.446589946746826
2500.0,1312.0,2500.0,1312.0,-26.0,20.0,9.48543906211853
2500.0,1312.0,2500.0,1312.0,-26.0,20.0,9.528077125549316
2500.0,1312.0,2500.0,1312.0,-26.0,20.0,9.586474180221558
2500.0,1312.0,2500.0,1312.0,-26.0,20.0,9.625439167022705
2500.0,1312.0,2500.0,1312.0,-26.0,20.0,9.664667129516602
2501.0,1312.0,2501.0,1312.0,-27.0,20.0,9.70320725440979
2501.0,1312.0,2501.0,1312.0,-27.0,20.0,9.74318814277649
2501.0,1311.0,2501.0,1311.0,-27.0,21.0,9.80141806602478
2502.0,1311.0,2502.0,1311.0,-28.0,21.0,9.843796014785767
2502.0,1311.0,2502.0,1311.0,-28.0,21.0,9.881487131118774
2502.0,1311.0,2502.0,1311.0,-28.0,21.0,9.923712015151978
