measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2319.0,1355.0,2319.0,1355.0,-1.0,2.0,0.057188987731933594
2319.0,1355.0,2319.0,1355.0,-1.0,2.0,0.09689593315124512
2319.0,1355.0,2319.0,1355.0,-1.0,2.0,0.1339259147644043
2319.0,1355.0,2319.0,1355.0,-1.0,2.0,0.17807698249816895
2320.0,1354.0,2319.4595,1354.5406,-2.0,3.0,0.21663808822631836
2318.0,1357.0,2318.8813,1355.5647,0.0,0.0,0.25364208221435547
2318.0,1357.0,2318.4758,1356.2716,0.0,0.0,0.3012580871582031
2320.0,1354.0,2319.0332,1355.5126,-2.0,3.0,0.3594329357147217
2320.0,1354.0,2319.47,1354.9017,-2.0,3.0,0.4139440059661865
2320.0,1354.0,2319.7659,1354.4714,-2.0,3.0,0.4725940227508545
2319.0,1356.0,2319.5676,1354.9696,-1.0,1.0,0.5317981243133545
2318.0,1357.0,2319.0227,1355.7327,0.0,0.0,0.6024248600006104
2318.0,1357.0,2318.5771,1356.348,0.0,0.0,0.6479949951171875
2319.0,1356.0,2318.6594,1356.3462,-1.0,1.0,0.6852569580078125
2319.0,1356.0,2318.7212,1356.3317,-1.0,1.0,0.7251579761505127
2318.0,1357.0,2318.455,1356.6334,0.0,0.0,0.7729160785675049
2319.0,1357.0,2318.543,1356.894,-1.0,0.0,0.8289549350738525
2320.0,1355.0,2318.9739,1356.4276,-2.0,2.0,0.8822600841522217
2320.0,1355.0,2319.34,1355.9932,-2.0,2.0,0.921043872833252
2321.0,1353.0,2319.9277,1355.0133,-3.0,4.0,0.9599497318267822
2321.0,1353.0,2320.3757,1354.2615,-3.0,4.0,1.0034801959991455
2321.0,1353.0,2320.7615,1353.616,-3.0,4.0,1.0623838901519775
2320.0,1354.0,2320.7847,1353.348,-2.0,3.0,1.1152660846710205
2321.0,1353.0,2321.064,1352.8977,-3.0,4.0,1.164829969406128
2319.0,1356.0,2320.605,1353.5593,-1.0,1.0,1.2065699100494385
2321.0,1353.0,2320.8394,1353.1898,-3.0,4.0,1.2621939182281494
2321.0,1354.0,2321.0713,1353.1406,-3.0,3.0,1.3308770656585693
2320.0,1355.0,2320.9016,1353.484,-2.0,2.0,1.3746178150177002
2320.0,1356.0,2320.7124,1354.15,-2.0,1.0,1.414262056350708
2320.0,1356.0,2320.5576,1354.653,-2.0,1.0,1.4529988765716553
2320.0,1355.0,2320.4375,1354.765,-2.0,2.0,1.4995720386505127
2320.0,1355.0,2320.3335,1354.8722,-2.0,2.0,1.5564758777618408
2320.0,1355.0,2320.2322,1354.9747,-2.0,2.0,1.6041390895843506
2322.0,1352.0,2320.7156,1354.1927,-4.0,5.0,1.644927978515625
2321.0,1356.0,2320.8218,1354.6672,-3.0,1.0,1.693518877029419
2321.0,1354.0,2320.91,1354.5254,-3.0,3.0,1.7490508556365967
2322.0,1354.0,2321.2832,1354.4054,-4.0,3.0,1.8172061443328857
2322.0,1353.0,2321.5955,1353.9923,-4.0,4.0,1.8616440296173096
2322.0,1353.0,2321.803,1353.6748,-4.0,4.0,1.9059548377990723
2321.0,1354.0,2321.6743,1353.7139,-3.0,3.0,1.9462730884552002
2322.0,1353.0,2321.8293,1353.4841,-4.0,4.0,1.9958820343017578
2322.0,1353.0,2321.9817,1353.2717,-4.0,4.0,2.0592100620269775
2323.0,1352.0,2322.3896,1352.8054,-5.0,5.0,2.1035079956054688
2323.0,1352.0,2322.6675,1352.4767,-5.0,5.0,2.1451380252838135
2322.0,1353.0,2322.6064,1352.4976,-4.0,4.0,2.1836159229278564
2321.0,1355.0,2322.3013,1353.0203,-3.0,2.0,2.2284648418426514
2321.0,1355.0,2322.046,1353.4634,-3.0,2.0,2.2851290702819824
2324.0,1351.0,2322.6057,1352.812,-6.0,6.0,2.3385610580444336
2323.0,1353.0,2322.7905,1352.8013,-5.0,4.0,2.378706932067871
2323.0,1352.0,2322.9202,1352.5555,-5.0,5.0,2.419548988342285
2323.0,1352.0,2323.0266,1352.3531,-5.0,5.0,2.466960906982422
2323.0,1352.0,2323.1091,1352.1882,-5.0,5.0,2.5281810760498047
2323.0,1353.0,2323.1985,1352.2798,-5.0,4.0,2.576357841491699
2323.0,1353.0,2323.2295,1352.398,-5.0,4.0,2.614276885986328
2324.0,1351.0,2323.473,1352.0309,-6.0,6.0,2.651693105697632
2324.0,1351.0,2323.665,1351.738,-6.0,6.0,2.696410894393921
2325.0,1350.0,2324.0647,1351.2523,-7.0,7.0,2.7525031566619873
2323.0,1353.0,2323.973,1351.499,-5.0,4.0,2.8031768798828125
2324.0,1351.0,2324.0864,1351.2855,-6.0,6.0,2.8434739112854004
2324.0,1351.0,2324.1523,1351.1355,-6.0,6.0,2.8830389976501465
2324.0,1352.0,2324.2007,1351.2322,-6.0,5.0,2.929965019226074
2323.0,1352.0,2324.0361,1351.3077,-5.0,5.0,2.9908230304718018
2324.0,1352.0,2324.1091,1351.3767,-6.0,5.0,3.0409438610076904
2324.0,1351.0,2324.1448,1351.2405,-6.0,6.0,3.077850818634033
