measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2317.0,1356.0,2317.0,1356.0,1.0,0.0,0.06969022750854492
2317.0,1356.0,2317.0,1356.0,1.0,0.0,0.11345720291137695
2317.0,1356.0,2317.0,1356.0,1.0,0.0,0.15462493896484375
2317.0,1356.0,2317.0,1356.0,1.0,0.0,0.19362115859985352
2318.0,1356.0,2317.444,1356.0,0.0,0.0,0.23352599143981934
2318.0,1355.0,2317.776,1355.544,0.0,1.0,0.28270626068115234
2318.0,1355.0,2318.0093,1355.2,0.0,1.0,0.3744192123413086
2318.0,1355.0,2318.193,1354.9167,0.0,1.0,0.4293551445007324
2318.0,1355.0,2318.2085,1354.8431,0.0,1.0,0.4675590991973877
2318.0,1355.0,2318.1965,1354.8246,0.0,1.0,0.5280470848083496
2318.0,1355.0,2318.2156,1354.7762,0.0,1.0,0.5867681503295898
2318.0,1355.0,2318.202,1354.7725,0.0,1.0,0.632270097732544
2319.0,1355.0,2318.514,1354.7979,-1.0,1.0,0.6713180541992188
2319.0,1355.0,2318.7305,1354.8257,-1.0,1.0,0.7111883163452148
2319.0,1355.0,2318.8926,1354.8531,-1.0,1.0,0.7629611492156982
2319.0,1355.0,2319.033,1354.8828,-1.0,1.0,0.8189351558685303
2319.0,1355.0,2319.1309,1354.9204,-1.0,1.0,0.8659031391143799
2319.0,1354.0,2319.1697,1354.6194,-1.0,2.0,0.9045391082763672
2319.0,1354.0,2319.178,1354.3975,-1.0,2.0,0.943864107131958
2319.0,1354.0,2319.1768,1354.2299,-1.0,2.0,0.985443115234375
2319.0,1354.0,2319.169,1354.0978,-1.0,2.0,1.0408523082733154
2319.0,1354.0,2319.1582,1353.9716,-1.0,2.0,1.1061251163482666
2319.0,1354.0,2319.1277,1353.889,-1.0,2.0,1.1565461158752441
2320.0,1354.0,2319.4343,1353.855,-2.0,2.0,1.205923080444336
2320.0,1354.0,2319.6584,1353.8428,-2.0,2.0,1.2697463035583496
2320.0,1354.0,2319.8572,1353.8271,-2.0,2.0,1.326106071472168
2320.0,1354.0,2319.974,1353.844,-2.0,2.0,1.395488977432251
2320.0,1354.0,2320.0781,1353.8607,-2.0,2.0,1.5105299949645996
2320.0,1354.0,2320.1594,1353.895,-2.0,2.0,1.6561610698699951
2320.0,1353.0,2320.1746,1353.4412,-2.0,3.0,1.719609022140503
2320.0,1353.0,2320.1238,1353.2142,-2.0,3.0,1.85105299949646
2320.0,1353.0,2320.0764,1353.0037,-2.0,3.0,1.9107911586761475
2320.0,1353.0,2320.0356,1352.9451,-2.0,3.0,1.970128059387207
2320.0,1353.0,2319.9998,1352.9008,-2.0,3.0,2.044002056121826
2321.0,1353.0,2320.3245,1352.8745,-3.0,3.0,2.095158100128174
2321.0,1353.0,2320.5522,1352.8733,-3.0,3.0,2.140479326248169
2321.0,1353.0,2320.7153,1352.8773,-3.0,3.0,2.184702157974243
2321.0,1353.0,2320.8337,1352.8855,-3.0,3.0,2.248969316482544
2321.0,1353.0,2320.945,1352.8899,-3.0,3.0,2.308155059814453
2321.0,1353.0,2321.024,1352.9034,-3.0,3.0,2.3492841720581055
2321.0,1353.0,2321.0632,1352.9218,-3.0,3.0,2.392529249191284
2321.0,1353.0,2321.0952,1352.9382,-3.0,3.0,2.4428582191467285
2321.0,1353.0,2321.1243,1352.9551,-3.0,3.0,2.5056910514831543
2321.0,1352.0,2321.1494,1352.6923,-3.0,4.0,2.5459420680999756
2321.0,1352.0,2321.1445,1352.4927,-3.0,4.0,2.5858280658721924
2322.0,1352.0,2321.3892,1352.3364,-4.0,4.0,2.632906198501587
2322.0,1352.0,2321.6143,1352.1898,-4.0,4.0,2.694099187850952
2322.0,1352.0,2321.805,1352.068,-4.0,4.0,2.739100217819214
2322.0,1352.0,2321.9302,1351.9927,-4.0,4.0,2.7808780670166016
2322.0,1352.0,2322.03,1351.9331,-4.0,4.0,2.822462320327759
2322.0,1352.0,2322.1091,1351.8868,-4.0,4.0,2.8643529415130615
2322.0,1352.0,2322.172,1351.8508,-4.0,4.0,2.9242982864379883
2322.0,1352.0,2322.2546,1351.8018,-4.0,4.0,2.978058338165283
2323.0,1352.0,2322.5361,1351.779,-5.0,4.0,3.017714262008667
2323.0,1352.0,2322.7349,1351.7798,-5.0,4.0,3.056504011154175
2323.0,1352.0,2322.8982,1351.7812,-5.0,4.0,3.101680040359497
2323.0,1352.0,2323.045,1351.7808,-5.0,4.0,3.160421133041382
2323.0,1351.0,2323.2031,1351.5538,-5.0,5.0,3.205878973007202
2323.0,1351.0,2323.293,1351.377,-5.0,5.0,3.245380163192749
2323.0,1351.0,2323.35,1351.2382,-5.0,5.0,3.284832000732422
2323.0,1351.0,2323.3918,1351.1256,-5.0,5.0,3.325648069381714
2323.0,1351.0,2323.434,1351.025,-5.0,5.0,3.384237051010132
2324.0,1351.0,2323.7063,1350.9105,-6.0,5.0,3.437623977661133
2324.0,1351.0,2323.9167,1350.8314,-6.0,5.0,3.474673271179199
2324.0,1351.0,2324.0466,1350.7946,-6.0,5.0,3.5162510871887207
2324.0,1351.0,2324.1694,1350.7565,-6.0,5.0,3.569732189178467
2324.0,1351.0,2324.3186,1350.7013,-6.0,5.0,3.6361920833587646
2324.0,1350.0,2324.4583,1350.4489,-6.0,6.0,3.6818811893463135
2325.0,1350.0,2324.7083,1350.2697,-7.0,6.0,3.723374128341675
2325.0,1350.0,2324.9014,1350.1299,-7.0,6.0,3.767425060272217
2325.0,1350.0,2325.0688,1350.009,-7.0,6.0,3.8199942111968994
2325.0,1350.0,2325.257,1349.8757,-7.0,6.0,3.8834779262542725
2325.0,1350.0,2325.436,1349.7493,-7.0,6.0,3.932706117630005
2325.0,1350.0,2325.5244,1349.6835,-7.0,6.0,3.9716391563415527
2325.0,1350.0,2325.5664,1349.6499,-7.0,6.0,4.014446020126343
2325.0,1350.0,2325.611,1349.6155,-7.0,6.0,4.0651562213897705
2325.0,1350.0,2325.6768,1349.5673,-7.0,6.0,4.127824068069458
2325.0,1350.0,2325.76,1349.5077,-7.0,6.0,4.175934314727783
2326.0,1349.0,2325.9407,1349.3254,-8.0,7.0,4.2135961055755615
2326.0,1349.0,2326.067,1349.1895,-8.0,7.0,4.252213001251221
2326.0,1349.0,2326.1802,1349.0688,-8.0,7.0,4.298839092254639
2326.0,1349.0,2326.3162,1348.9347,-8.0,7.0,4.360342979431152
