measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2319.0,1354.0,2319.0,1354.0,1.0,0.0,0.09858417510986328
2320.0,1354.0,2319.9902,1354.0,0.0,0.0,0.14029598236083984
2319.0,1355.0,2319.4502,1354.5475,1.0,-1.0,0.18270492553710938
2319.0,1355.0,2319.2014,1354.7998,1.0,-1.0,0.22346115112304688
2320.0,1354.0,2319.4934,1354.5095,0.0,0.0,0.2669992446899414
2320.0,1353.0,2319.729,1353.8063,0.0,1.0,0.31043505668640137
2320.0,1353.0,2319.886,1353.3379,0.0,1.0,0.3665001392364502
2318.0,1356.0,2319.092,1354.3551,2.0,-2.0,0.42464613914489746
2320.0,1354.0,2319.4124,1354.2185,0.0,0.0,0.470156192779541
2318.0,1357.0,2318.842,1355.3137,2.0,-3.0,0.5136010646820068
2319.0,1356.0,2318.8162,1355.7019,1.0,-2.0,0.5778810977935791
2320.0,1354.0,2319.168,1355.281,0.0,0.0,0.639808177947998
2320.0,1353.0,2319.4644,1354.5183,0.0,1.0,0.6802260875701904
2320.0,1353.0,2319.6685,1353.9808,0.0,1.0,0.7507243156433105
2320.0,1355.0,2319.8782,1354.217,0.0,-1.0,0.8216941356658936
2320.0,1354.0,2320.0298,1354.053,0.0,0.0,0.869678258895874
2321.0,1353.0,2320.4668,1353.5975,-1.0,1.0,0.9129459857940674
2321.0,1353.0,2320.7693,1353.2805,-1.0,1.0,0.9561190605163574
2321.0,1353.0,2320.9985,1353.0393,-1.0,1.0,1.0113670825958252
2321.0,1353.0,2321.2173,1352.8092,-1.0,1.0,1.0788180828094482
2319.0,1356.0,2320.6304,1353.7542,1.0,-2.0,1.1338071823120117
2320.0,1354.0,2320.4812,1353.8131,0.0,0.0,1.1797940731048584
2320.0,1354.0,2320.3567,1353.8641,0.0,0.0,1.2505271434783936
2319.0,1356.0,2319.8623,1354.6753,1.0,-2.0,1.3060081005096436
2319.0,1356.0,2319.5164,1355.2246,1.0,-2.0,1.3470630645751953
2321.0,1353.0,2319.902,1354.6641,-1.0,1.0,1.3918752670288086
2321.0,1353.0,2320.191,1354.2437,-1.0,1.0,1.4556400775909424
2321.0,1354.0,2320.4375,1354.208,-1.0,0.0,1.5137159824371338
2321.0,1354.0,2320.6372,1354.1709,-1.0,0.0,1.5574710369110107
2320.0,1355.0,2320.4744,1354.4447,0.0,-1.0,1.6040592193603516
2320.0,1355.0,2320.3442,1354.6561,0.0,-1.0,1.676673173904419
2321.0,1353.0,2320.545,1354.2262,-1.0,1.0,1.7314751148223877
2322.0,1352.0,2321.021,1353.5309,-2.0,2.0,1.777656078338623
2323.0,1352.0,2321.668,1353.0134,-3.0,2.0,1.8212292194366455
2321.0,1353.0,2321.5999,1352.8944,-1.0,1.0,1.8800170421600342
2322.0,1352.0,2321.8638,1352.4602,-2.0,2.0,1.9380202293395996
2322.0,1352.0,2322.048,1352.1355,-2.0,2.0,1.9798359870910645
2322.0,1352.0,2322.157,1351.925,-2.0,2.0,2.023848056793213
2321.0,1354.0,2321.9612,1352.3143,-1.0,0.0,2.0802299976348877
2321.0,1355.0,2321.8108,1352.9115,-1.0,-1.0,2.146745204925537
2321.0,1354.0,2321.652,1353.1719,-1.0,0.0,2.192560911178589
2322.0,1354.0,2321.7842,1353.3954,-2.0,0.0,2.2386629581451416
2323.0,1352.0,2322.1614,1353.0265,-3.0,2.0,2.2827322483062744
2323.0,1352.0,2322.4663,1352.7264,-3.0,2.0,2.3423011302948
2322.0,1354.0,2322.4617,1353.0177,-2.0,0.0,2.405644178390503
2322.0,1353.0,2322.44,1352.9985,-2.0,1.0,2.4500741958618164
2322.0,1354.0,2322.3853,1353.2623,-2.0,0.0,2.491190195083618
2324.0,1351.0,2322.848,1352.7029,-4.0,3.0,2.543241024017334
2324.0,1351.0,2323.2627,1352.2186,-4.0,3.0,2.608891248703003
2323.0,1351.0,2323.3618,1351.7808,-3.0,3.0,2.6596360206604004
2323.0,1351.0,2323.3906,1351.4573,-3.0,3.0,2.7027242183685303
2324.0,1351.0,2323.6418,1351.2219,-4.0,3.0,2.7438552379608154
2324.0,1351.0,2323.8376,1351.0378,-4.0,3.0,2.798762083053589
2325.0,1350.0,2324.2864,1350.5912,-5.0,4.0,2.8692941665649414
2323.0,1354.0,2324.1843,1351.2126,-3.0,0.0,2.917163133621216
2325.0,1350.0,2324.5117,1350.812,-5.0,4.0,2.9564249515533447
