measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2569.0,1347.0,2569.0,1347.0,0.0,0.0,0.10890793800354004
2569.0,1347.0,2569.0,1347.0,0.0,0.0,0.15356898307800293
2569.0,1347.0,2569.0,1347.0,0.0,0.0,0.19678378105163574
2569.0,1347.0,2569.0,1347.0,0.0,0.0,0.2370927333831787
2569.0,1347.0,2569.0,1347.0,0.0,0.0,0.27585411071777344
2569.0,1347.0,2569.0,1347.0,0.0,0.0,0.3176577091217041
2569.0,1347.0,2569.0,1347.0,0.0,0.0,0.37260985374450684
2569.0,1347.0,2569.0,1347.0,0.0,0.0,0.4520759582519531
2569.0,1347.0,2569.0,1347.0,0.0,0.0,0.501328706741333
2569.0,1347.0,2569.0,1347.0,0.0,0.0,0.5474517345428467
2569.0,1346.0,2569.0,1346.6238,0.0,1.0,0.609583854675293
2570.0,1347.0,2569.3796,1346.7078,-1.0,0.0,0.6597778797149658
2570.0,1347.0,2569.6467,1346.7839,-1.0,0.0,0.6992330551147461
2570.0,1347.0,2569.826,1346.8428,-1.0,0.0,0.7387609481811523
2570.0,1347.0,2569.9595,1346.8883,-1.0,0.0,0.7952220439910889
2570.0,1346.0,2570.1013,1346.5885,-1.0,1.0,0.8667356967926025
2570.0,1346.0,2570.196,1346.3174,-1.0,1.0,0.9126760959625244
2571.0,1346.0,2570.5684,1346.1416,-2.0,1.0,0.9539189338684082
2571.0,1346.0,2570.8237,1346.0232,-2.0,1.0,0.9976329803466797
2571.0,1346.0,2571.021,1345.931,-2.0,1.0,1.0448319911956787
2571.0,1346.0,2571.18,1345.8564,-2.0,1.0,1.1023139953613281
2571.0,1346.0,2571.3071,1345.7971,-2.0,1.0,1.1511406898498535
2571.0,1346.0,2571.3367,1345.7898,-2.0,1.0,1.1909539699554443
2571.0,1345.0,2571.3423,1345.4841,-2.0,2.0,1.2292158603668213
2571.0,1345.0,2571.3384,1345.2534,-2.0,2.0,1.2774248123168945
2571.0,1345.0,2571.3389,1345.0524,-2.0,2.0,1.33815598487854
2571.0,1345.0,2571.3364,1344.861,-2.0,2.0,1.3866918087005615
2572.0,1345.0,2571.6018,1344.7736,-3.0,2.0,1.4283778667449951
2572.0,1345.0,2571.792,1344.7252,-3.0,2.0,1.4650969505310059
2572.0,1345.0,2571.9233,1344.7047,-3.0,2.0,1.5102849006652832
2572.0,1345.0,2572.0417,1344.6747,-3.0,2.0,1.5664420127868652
2572.0,1345.0,2572.141,1344.6519,-3.0,2.0,1.615445852279663
2572.0,1345.0,2572.192,1344.6643,-3.0,2.0,1.6527070999145508
2572.0,1345.0,2572.2036,1344.6992,-3.0,2.0,1.692033052444458
2572.0,1345.0,2572.2095,1344.7302,-3.0,2.0,1.7347769737243652
2572.0,1344.0,2572.215,1344.4886,-3.0,3.0,1.7980279922485352
2572.0,1344.0,2572.2107,1344.2671,-3.0,3.0,1.8532557487487793
2573.0,1344.0,2572.474,1344.1102,-4.0,3.0,1.8931608200073242
2573.0,1344.0,2572.6565,1344.02,-4.0,3.0,1.9323859214782715
2573.0,1344.0,2572.7988,1343.9495,-4.0,3.0,1.978410005569458
2573.0,1344.0,2572.9275,1343.8812,-4.0,3.0,2.0457499027252197
2573.0,1344.0,2573.0435,1343.822,-4.0,3.0,2.090235710144043
2573.0,1344.0,2573.0884,1343.8201,-4.0,3.0,2.130056858062744
2573.0,1344.0,2573.1152,1343.8264,-4.0,3.0,2.167850971221924
2573.0,1344.0,2573.1301,1343.8374,-4.0,3.0,2.2118098735809326
2573.0,1344.0,2573.145,1343.8472,-4.0,3.0,2.2690927982330322
2573.0,1344.0,2573.1523,1343.8639,-4.0,3.0,2.323431968688965
2573.0,1344.0,2573.1387,1343.892,-4.0,3.0,2.364727020263672
2574.0,1343.0,2573.3728,1343.6664,-5.0,4.0,2.4055609703063965
2574.0,1343.0,2573.5605,1343.4854,-5.0,4.0,2.4552550315856934
2574.0,1343.0,2573.7234,1343.3302,-5.0,4.0,2.5157968997955322
2574.0,1343.0,2573.8604,1343.1993,-5.0,4.0,2.5641961097717285
2574.0,1343.0,2573.9539,1343.1066,-5.0,4.0,2.6030657291412354
2574.0,1343.0,2574.0134,1343.0447,-5.0,4.0,2.6407408714294434
2574.0,1343.0,2574.0574,1342.9987,-5.0,4.0,2.683342695236206
2574.0,1343.0,2574.0947,1342.9603,-5.0,4.0,2.7651069164276123
2575.0,1343.0,2574.4216,1342.9066,-6.0,4.0,2.8170859813690186
2575.0,1343.0,2574.6316,1342.9027,-6.0,4.0,2.8595588207244873
2575.0,1342.0,2574.7898,1342.6652,-6.0,5.0,2.9064509868621826
2575.0,1342.0,2574.925,1342.468,-6.0,5.0,2.960477828979492
2575.0,1342.0,2575.0452,1342.2968,-6.0,5.0,3.015749931335449
2575.0,1342.0,2575.1326,1342.1604,-6.0,5.0,3.0549468994140625
2575.0,1342.0,2575.1729,1342.0729,-6.0,5.0,3.0931649208068848
2575.0,1342.0,2575.2026,1342.0043,-6.0,5.0,3.137718915939331
2575.0,1342.0,2575.2388,1341.9369,-6.0,5.0,3.205132007598877
2575.0,1342.0,2575.2864,1341.8615,-6.0,5.0,3.2521119117736816
2576.0,1342.0,2575.4949,1341.8405,-7.0,5.0,3.2947347164154053
2576.0,1342.0,2575.6667,1341.8252,-7.0,5.0,3.334256887435913
2576.0,1342.0,2575.8018,1341.8193,-7.0,5.0,3.378427743911743
2576.0,1342.0,2575.928,1341.8115,-7.0,5.0,3.439054012298584
2576.0,1342.0,2576.0615,1341.8011,-7.0,5.0,3.488186836242676
2576.0,1341.0,2576.13,1341.6127,-7.0,6.0,3.528848886489868
2576.0,1341.0,2576.18,1341.4581,-7.0,6.0,3.569650888442993
2576.0,1341.0,2576.2168,1341.331,-7.0,6.0,3.6147167682647705
2577.0,1341.0,2576.439,1341.2167,-8.0,6.0,3.6749579906463623
2577.0,1341.0,2576.6619,1341.1017,-8.0,6.0,3.7214338779449463
2577.0,1341.0,2576.8171,1341.0275,-8.0,6.0,3.764511823654175
2577.0,1341.0,2576.9421,1340.9698,-8.0,6.0,3.801107883453369
2577.0,1341.0,2577.0352,1340.9292,-8.0,6.0,3.847637891769409
2577.0,1340.0,2577.1316,1340.7126,-8.0,7.0,3.901556968688965
2577.0,1340.0,2577.2295,1340.5072,-8.0,7.0,3.952749013900757
2577.0,1341.0,2577.2913,1340.5184,-8.0,6.0,3.9897379875183105
2577.0,1341.0,2577.3174,1340.548,-8.0,6.0,4.029964923858643
2578.0,1340.0,2577.5088,1340.4066,-9.0,7.0,4.074379920959473
2578.0,1340.0,2577.6868,1340.2765,-9.0,7.0,4.129459857940674
2578.0,1340.0,2577.8657,1340.1477,-9.0,7.0,4.18283486366272
2578.0,1340.0,2578.0056,1340.0464,-9.0,7.0,4.222714900970459
2579.0,1340.0,2578.2615,1339.9783,-10.0,7.0,4.2619969844818115
2579.0,1340.0,2578.4785,1339.9231,-10.0,7.0,4.3041510581970215
2579.0,1340.0,2578.6848,1339.8682,-10.0,7.0,4.361896991729736
2579.0,1340.0,2578.905,1339.8052,-10.0,7.0,4.413274765014648
2579.0,1339.0,2579.0627,1339.61,-10.0,8.0,4.453054904937744
2579.0,1339.0,2579.1729,1339.4536,-10.0,8.0,4.494045972824097
2579.0,1339.0,2579.2788,1339.3107,-10.0,8.0,4.540637969970703
2579.0,1339.0,2579.3743,1339.1825,-10.0,8.0,4.600360870361328
2580.0,1339.0,2579.6414,1339.0493,-11.0,8.0,4.649209022521973
2580.0,1339.0,2579.8442,1338.9535,-11.0,8.0,4.688057899475098
2580.0,1339.0,2579.991,1338.8889,-11.0,8.0,4.724580764770508
2580.0,1339.0,2580.1106,1338.8379,-11.0,8.0,4.772348880767822
2580.0,1338.0,2580.2634,1338.6228,-11.0,9.0,4.840153694152832
2580.0,1338.0,2580.4346,1338.4012,-11.0,9.0,4.8853371143341064
2581.0,1338.0,2580.6565,1338.2524,-12.0,9.0,4.927440881729126
2580.0,1338.0,2580.7083,1338.1208,-11.0,9.0,4.973505020141602
2580.0,1338.0,2580.7476,1338.0077,-11.0,9.0,5.028082847595215
2581.0,1338.0,2580.9612,1337.8796,-12.0,9.0,5.0900139808654785
2581.0,1338.0,2581.155,1337.765,-12.0,9.0,5.136558771133423
2581.0,1337.0,2581.2737,1337.5563,-12.0,10.0,5.179706811904907
2582.0,1338.0,2581.512,1337.5181,-13.0,9.0,5.234747886657715
2582.0,1338.0,2581.7744,1337.455,-13.0,9.0,5.3040008544921875
2582.0,1337.0,2582.024,1337.2493,-13.0,10.0,5.35463809967041
2582.0,1337.0,2582.1963,1337.0981,-13.0,10.0,5.398110866546631
2582.0,1337.0,2582.3132,1336.9883,-13.0,10.0,5.453896999359131
2582.0,1337.0,2582.458,1336.8625,-13.0,10.0,5.503410816192627
2582.0,1337.0,2582.5598,1336.7689,-13.0,10.0,5.546272039413452
2582.0,1337.0,2582.6243,1336.7036,-13.0,10.0,5.583148956298828
2582.0,1337.0,2582.6626,1336.6594,-13.0,10.0,5.63077974319458
2583.0,1337.0,2582.8547,1336.5995,-14.0,10.0,5.693944931030273
2583.0,1336.0,2583.0776,1336.384,-14.0,11.0,5.741542816162109
2583.0,1336.0,2583.2173,1336.2306,-14.0,11.0,5.781703948974609
2583.0,1336.0,2583.32,1336.109,-14.0,11.0,5.81993293762207
2583.0,1336.0,2583.401,1336.0085,-14.0,11.0,5.865596771240234
