measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2319.0,1355.0,2319.0,1355.0,1.0,-1.0,0.07495808601379395
2320.0,1354.0,2319.9902,1354.0099,0.0,0.0,0.1205759048461914
2318.0,1356.0,2318.9155,1355.0845,2.0,-2.0,0.1615769863128662
2320.0,1354.0,2319.334,1354.666,0.0,0.0,0.20074701309204102
2320.0,1354.0,2319.6318,1354.368,0.0,0.0,0.23982596397399902
2320.0,1353.0,2319.8438,1353.7144,0.0,1.0,0.2796189785003662
2320.0,1353.0,2319.9866,1353.2538,0.0,1.0,0.3635571002960205
2319.0,1355.0,2319.5952,1353.8734,1.0,-1.0,0.4131929874420166
2320.0,1353.0,2319.7773,1353.4438,0.0,1.0,0.4593501091003418
2320.0,1353.0,2319.8882,1353.1816,0.0,1.0,0.5024929046630859
2320.0,1354.0,2319.9597,1353.3766,0.0,0.0,0.5625998973846436
2319.0,1355.0,2319.6523,1353.8914,1.0,-1.0,0.6154019832611084
2319.0,1356.0,2319.4104,1354.6543,1.0,-2.0,0.6562318801879883
2319.0,1356.0,2319.239,1355.1973,1.0,-2.0,0.6935019493103027
2319.0,1356.0,2319.1147,1355.5924,1.0,-2.0,0.7391510009765625
2319.0,1356.0,2319.0032,1355.9443,1.0,-2.0,0.7946979999542236
2321.0,1353.0,2319.572,1355.2529,-1.0,1.0,0.8423080444335938
2320.0,1354.0,2319.725,1354.9484,0.0,0.0,0.8792860507965088
2320.0,1354.0,2319.8362,1354.6931,0.0,0.0,0.9184918403625488
2321.0,1353.0,2320.2312,1354.1835,-1.0,1.0,0.963568925857544
2320.0,1355.0,2320.261,1354.3718,0.0,-1.0,1.0230038166046143
2320.0,1355.0,2320.2856,1354.5414,0.0,-1.0,1.0767621994018555
2320.0,1355.0,2320.271,1354.6838,0.0,-1.0,1.1149020195007324
2320.0,1354.0,2320.2424,1354.4735,0.0,0.0,1.154033899307251
2320.0,1354.0,2320.221,1354.3107,0.0,0.0,1.200361967086792
2320.0,1354.0,2320.2087,1354.1653,0.0,0.0,1.2564218044281006
2321.0,1353.0,2320.5063,1353.7258,-1.0,1.0,1.307265043258667
2319.0,1356.0,2320.116,1354.3121,1.0,-2.0,1.348803997039795
2320.0,1356.0,2320.0967,1354.7805,0.0,-2.0,1.388990879058838
2321.0,1354.0,2320.3655,1354.5814,-1.0,0.0,1.433091163635254
2321.0,1354.0,2320.5803,1354.4183,-1.0,0.0,1.491563081741333
2321.0,1355.0,2320.782,1354.5631,-1.0,-1.0,1.5418198108673096
2321.0,1354.0,2320.927,1354.3944,-1.0,0.0,1.5802481174468994
2321.0,1355.0,2321.0183,1354.5427,-1.0,-1.0,1.6167638301849365
2321.0,1355.0,2321.0842,1354.659,-1.0,-1.0,1.6608750820159912
2321.0,1355.0,2321.1484,1354.7576,-1.0,-1.0,1.715047836303711
2321.0,1354.0,2321.2122,1354.5706,-1.0,0.0,1.767247200012207
2321.0,1355.0,2321.2393,1354.6864,-1.0,-1.0,1.8045439720153809
2321.0,1355.0,2321.235,1354.7772,-1.0,-1.0,1.8444480895996094
2321.0,1354.0,2321.2317,1354.5927,-1.0,0.0,1.8913829326629639
2321.0,1354.0,2321.2297,1354.432,-1.0,0.0,1.9511549472808838
2322.0,1353.0,2321.5188,1353.9834,-2.0,1.0,2.0086209774017334
2322.0,1354.0,2321.7314,1353.9097,-2.0,0.0,2.045339822769165
2322.0,1354.0,2321.8694,1353.874,-2.0,0.0,2.0842020511627197
2324.0,1351.0,2322.4924,1353.0737,-4.0,3.0,2.132424831390381
2323.0,1353.0,2322.8088,1352.861,-3.0,1.0,2.19448184967041
2323.0,1352.0,2323.0793,1352.399,-3.0,2.0,2.243025779724121
2323.0,1352.0,2323.2263,1352.0961,-3.0,2.0,2.2814290523529053
2324.0,1351.0,2323.571,1351.6299,-4.0,3.0,2.3212499618530273
2322.0,1354.0,2323.36,1351.9833,-2.0,0.0,2.3676071166992188
