model_uncertainty,measurement_uncertainty,error_x,error_y,sane_rate
1e-06,0.01,12.011674,3.9436705,0.458
1e-06,0.1,0.494052,0.40482825,0.996
1e-06,1.0,91.98406,87.840416,0.493
1e-06,10.0,3.7344465,2.7896435,0.999
1e-06,100.0,4.806106,3.3592157,0.999
1e-05,0.01,17.81129,45.78587,0.579
1e-05,0.1,1.1278296,0.92294145,0.838
1e-05,1.0,6.1206055,4.439969,0.741
1e-05,10.0,3.412502,2.5140464,0.999
1e-05,100.0,129.8363,85.66441,0.826
0.0001,0.01,0.23073804,0.23448388,0.881
0.0001,0.1,0.8500435,0.70112526,0.972
0.0001,1.0,1.1428672,0.92389137,0.999
0.0001,10.0,2.5752637,1.9524841,0.999
0.0001,100.0,7.460416,4.9842257,0.999
0.001,0.01,7.6553836,8.037886,0.743
0.001,0.1,0.38960302,0.35679358,0.993
0.001,1.0,60.590305,50.655766,0.437
0.001,10.0,92.03449,66.48928,0.578
0.001,100.0,7.3294344,5.443667,0.999
0.01,0.01,0.18104224,0.16405243,0.902
0.01,0.1,0.31842944,0.30288953,0.995
0.01,1.0,17.052742,14.766756,0.893
0.01,10.0,1.550031,1.2080264,0.999
0.01,100.0,6.810736,5.07172,0.994
0.0020000000949949026,0.004999999888241291,4.774425,3.520725,0.707
0.0020000000949949026,0.007499999832361937,8.988133,6.1675496,0.611
0.0020000000949949026,0.009999999776482582,0.24276148,0.2324491,0.859
0.0020000000949949026,0.012500000186264515,0.33907226,0.31496233,0.854
0.0020000000949949026,0.014999999664723873,0.21366699,0.20455047,0.922
0.006000000052154064,0.004999999888241291,0.25681615,0.21827514,0.748
0.006000000052154064,0.007499999832361937,3.9649103,8.76468,0.81
0.006000000052154064,0.009999999776482582,0.24579394,0.22341162,0.868
0.006000000052154064,0.012500000186264515,0.31982276,0.2741338,0.858
0.006000000052154064,0.014999999664723873,7.4603825,5.349044,0.806
0.009999999776482582,0.004999999888241291,0.10317749,0.097402036,0.876
0.009999999776482582,0.007499999832361937,0.64861476,0.4893015,0.934
0.009999999776482582,0.009999999776482582,0.07613159,0.084646605,0.979
0.009999999776482582,0.012500000186264515,0.12810108,0.12911206,0.948
0.009999999776482582,0.014999999664723873,5.5440054,3.2201402,0.772
0.014000000432133675,0.004999999888241291,0.647166,0.5558853,0.783
0.014000000432133675,0.007499999832361937,1.0106374,1.1696714,0.863
0.014000000432133675,0.009999999776482582,0.14208765,0.13423261,0.922
0.014000000432133675,0.012500000186264515,4.1672616,7.0596523,0.853
0.014000000432133675,0.014999999664723873,0.18675464,0.17697302,0.948
0.017999999225139618,0.004999999888241291,4.178108,2.2919943,0.723
0.017999999225139618,0.007499999832361937,0.12175537,0.10953888,0.91
0.017999999225139618,0.009999999776482582,3.4315321,1.3028684,0.814
0.017999999225139618,0.012500000186264515,0.17371021,0.15807562,0.941
0.017999999225139618,0.014999999664723873,5.7774863,2.7143364,0.84
0.001999999862164259,0.004999999888241291,7.0474033,3.6392775,0.742
0.001999999862164259,0.007499999832361937,0.19032812,0.18303302,0.855
0.001999999862164259,0.009999999776482582,6.308875,1.937654,0.585
0.001999999862164259,0.01249999925494194,22.432669,13.934699,0.634
0.001999999862164259,0.014999999664723873,26.404867,54.219173,0.701
0.006000000052154064,0.004999999888241291,4.185109,2.7565606,0.667
0.006000000052154064,0.007499999832361937,0.13565797,0.13026026,0.898
0.006000000052154064,0.009999999776482582,4.938309,3.6943545,0.792
0.006000000052154064,0.01249999925494194,7.263891,4.809524,0.814
0.006000000052154064,0.014999999664723873,0.2203706,0.21129902,0.926
0.009999999776482582,0.004999999888241291,0.10308838,0.09833582,0.862
0.009999999776482582,0.007499999832361937,0.17985255,0.16183448,0.865
0.009999999776482582,0.009999999776482582,6.015936,4.7887306,0.737
0.009999999776482582,0.01249999925494194,0.17700586,0.16806243,0.914
0.009999999776482582,0.014999999664723873,0.27011207,0.23700348,0.928
0.0139999995008111,0.004999999888241291,0.08574512,0.07394446,0.926
0.0139999995008111,0.007499999832361937,2.2497435,1.32849,0.763
0.0139999995008111,0.009999999776482582,10.458244,4.095721,0.755
0.0139999995008111,0.01249999925494194,0.23096338,0.19717512,0.917
0.0139999995008111,0.014999999664723873,3.6774962,2.278926,0.877
0.017999999225139618,0.004999999888241291,0.12031128,0.104343265,0.86
0.017999999225139618,0.007499999832361937,0.6222854,0.42571685,0.845
0.017999999225139618,0.009999999776482582,1.1286418,1.7876724,0.827
0.017999999225139618,0.01249999925494194,2.496496,2.7282057,0.839
0.017999999225139618,0.014999999664723873,1.5530381,1.3509798,0.852
