measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2321.0,1353.0,2321.0,1353.0,-1.0,2.0,0.10045719146728516
2320.0,1354.0,2320.0098,1353.9902,0.0,1.0,0.1466820240020752
2320.0,1355.0,2320.0022,1354.5465,0.0,0.0,0.186539888381958
2320.0,1355.0,2319.9988,1354.805,0.0,0.0,0.26520705223083496
2320.0,1354.0,2319.9958,1354.424,0.0,1.0,0.33289599418640137
2320.0,1355.0,2319.9963,1354.7169,0.0,0.0,0.3749699592590332
2320.0,1355.0,2319.9968,1354.8683,0.0,0.0,0.4177219867706299
2319.0,1356.0,2319.5972,1355.3583,1.0,-1.0,0.464008092880249
2322.0,1352.0,2320.4436,1354.2008,-2.0,3.0,0.5223879814147949
2320.0,1354.0,2320.3547,1354.0414,0.0,1.0,0.5823819637298584
2320.0,1355.0,2320.2695,1354.3148,0.0,0.0,0.6274368762969971
2320.0,1355.0,2320.1968,1354.529,0.0,0.0,0.6692500114440918
2320.0,1354.0,2320.1409,1354.357,0.0,1.0,0.7122321128845215
2320.0,1355.0,2320.0967,1354.5427,0.0,0.0,0.7600429058074951
2320.0,1354.0,2320.0571,1354.3715,0.0,1.0,0.8298542499542236
2322.0,1353.0,2320.758,1353.8424,-2.0,2.0,0.877795934677124
2321.0,1354.0,2320.9292,1353.8136,-1.0,1.0,0.920910120010376
2321.0,1354.0,2321.0364,1353.8087,-1.0,1.0,0.9639441967010498
2321.0,1354.0,2321.1199,1353.8046,-1.0,1.0,1.0223679542541504
2321.0,1354.0,2321.207,1353.7933,-1.0,1.0,1.0823290348052979
2321.0,1354.0,2321.25,1353.8035,-1.0,1.0,1.135693073272705
2321.0,1354.0,2321.252,1353.8287,-1.0,1.0,1.1857051849365234
2321.0,1354.0,2321.2498,1353.8524,-1.0,1.0,1.2515099048614502
2321.0,1355.0,2321.2385,1354.2439,-1.0,0.0,1.307554006576538
2322.0,1353.0,2321.5483,1353.8492,-2.0,2.0,1.350088119506836
2322.0,1353.0,2321.753,1353.5704,-2.0,2.0,1.392798900604248
2321.0,1354.0,2321.6133,1353.6565,-1.0,1.0,1.4718530178070068
2322.0,1354.0,2321.8767,1353.7295,-2.0,1.0,1.5385398864746094
2322.0,1353.0,2321.9873,1353.4738,-2.0,2.0,1.592900037765503
2322.0,1353.0,2322.076,1353.2787,-2.0,2.0,1.6502509117126465
2323.0,1352.0,2322.464,1352.8005,-3.0,3.0,1.7149600982666016
2323.0,1353.0,2322.7788,1352.7368,-3.0,2.0,1.7626450061798096
2323.0,1352.0,2322.9695,1352.4155,-3.0,3.0,1.8052420616149902
2322.0,1353.0,2322.8044,1352.4783,-2.0,2.0,1.843034029006958
2322.0,1353.0,2322.6653,1352.5375,-2.0,2.0,1.892469882965088
2323.0,1353.0,2322.8357,1352.5708,-3.0,2.0,1.9544720649719238
2324.0,1350.0,2323.2825,1351.7184,-4.0,5.0,2.001779794692993
2323.0,1353.0,2323.3096,1351.9338,-3.0,2.0,2.044804096221924
2324.0,1351.0,2323.6064,1351.5541,-4.0,4.0,2.0925941467285156
2324.0,1351.0,2323.8262,1351.268,-4.0,4.0,2.1470398902893066
2324.0,1352.0,2324.034,1351.2748,-4.0,3.0,2.211822032928467
2323.0,1352.0,2323.9045,1351.3041,-3.0,3.0,2.2581229209899902
2323.0,1352.0,2323.746,1351.3846,-3.0,3.0,2.3000149726867676
2324.0,1352.0,2323.8767,1351.4618,-4.0,3.0,2.3401429653167725
2324.0,1352.0,2323.9744,1351.531,-4.0,3.0,2.395653009414673
2323.0,1353.0,2323.7976,1351.8524,-3.0,2.0,2.468435049057007
2324.0,1352.0,2323.911,1351.8794,-4.0,3.0,2.5138049125671387
2325.0,1349.0,2324.2375,1351.1003,-5.0,6.0,2.554744005203247
2324.0,1352.0,2324.2302,1351.2645,-4.0,3.0,2.6139681339263916
2324.0,1352.0,2324.233,1351.3982,-4.0,3.0,2.6724560260772705
2324.0,1352.0,2324.215,1351.5314,-4.0,3.0,2.7146570682525635
2324.0,1352.0,2324.1836,1351.6475,-4.0,3.0,2.7546610832214355
2324.0,1352.0,2324.1528,1351.7432,-4.0,3.0,2.7950801849365234
2325.0,1351.0,2324.3508,1351.5986,-5.0,4.0,2.8408820629119873
2325.0,1351.0,2324.5186,1351.4808,-5.0,4.0,2.9022231101989746
2324.0,1352.0,2324.431,1351.6199,-4.0,3.0,2.9583449363708496
2324.0,1352.0,2324.3384,1351.7434,-4.0,3.0,3.0022430419921875
2325.0,1352.0,2324.4841,1351.842,-5.0,3.0,3.0424880981445312
2325.0,1351.0,2324.5996,1351.7063,-5.0,4.0,3.1022260189056396
2325.0,1351.0,2324.7017,1351.6042,-5.0,4.0,3.163214921951294
2325.0,1351.0,2324.7822,1351.509,-5.0,4.0,3.207714080810547
2325.0,1351.0,2324.841,1351.4252,-5.0,4.0,3.248811960220337
2326.0,1351.0,2325.0967,1351.3564,-6.0,4.0,3.3142480850219727
2326.0,1351.0,2325.336,1351.308,-6.0,4.0,3.369939088821411
2326.0,1350.0,2325.5315,1351.0406,-6.0,5.0,3.4174399375915527
2325.0,1351.0,2325.465,1351.0328,-5.0,4.0,3.4668798446655273
2326.0,1351.0,2325.6162,1351.0297,-6.0,4.0,3.525118827819824
2326.0,1351.0,2325.7566,1351.0326,-6.0,4.0,3.59102201461792
2326.0,1350.0,2325.8667,1350.8193,-6.0,5.0,3.6309380531311035
2326.0,1350.0,2325.9375,1350.6447,-6.0,5.0,3.677804946899414
2326.0,1350.0,2325.9917,1350.5026,-6.0,5.0,3.7437539100646973
2326.0,1351.0,2326.0566,1350.5741,-6.0,4.0,3.8024091720581055
2327.0,1349.0,2326.3,1350.2341,-7.0,6.0,3.8451008796691895
2327.0,1350.0,2326.4834,1350.1581,-7.0,5.0,3.888493061065674
2327.0,1348.0,2326.645,1349.7074,-7.0,7.0,3.950666904449463
2326.0,1350.0,2326.6113,1349.6708,-6.0,5.0,4.015361070632935
2327.0,1350.0,2326.7515,1349.6641,-7.0,5.0,4.056169033050537
2327.0,1350.0,2326.8457,1349.6799,-7.0,5.0,4.097377061843872
2327.0,1349.0,2326.925,1349.5148,-7.0,6.0,4.152766942977905
2328.0,1348.0,2327.1958,1349.1655,-8.0,7.0,4.2140820026397705
2328.0,1350.0,2327.429,1349.2233,-8.0,5.0,4.2615320682525635
2327.0,1350.0,2327.4343,1349.2931,-7.0,5.0,4.300403118133545
2327.0,1350.0,2327.4226,1349.3654,-7.0,5.0,4.355325222015381
2328.0,1349.0,2327.6042,1349.244,-8.0,6.0,4.414915084838867
2328.0,1349.0,2327.7612,1349.1394,-8.0,6.0,5.007714033126831
2329.0,1348.0,2328.9666,1348.15,-9.0,7.0,5.092173099517822
2329.0,1348.0,2329.065,1348.0226,-9.0,7.0,5.144186973571777
2328.0,1349.0,2328.8052,1348.2656,-8.0,6.0,5.192409992218018
2328.0,1349.0,2328.6472,1348.4135,-8.0,6.0,5.237832069396973
2328.0,1349.0,2328.5422,1348.5117,-8.0,6.0,5.361815929412842
2328.0,1349.0,2328.4917,1348.562,-8.0,6.0,5.405851125717163
2329.0,1348.0,2328.6162,1348.4293,-9.0,7.0,5.456544876098633
2329.0,1347.0,2328.716,1348.133,-9.0,8.0,5.526335000991821
2329.0,1348.0,2328.8062,1348.0579,-9.0,7.0,5.58387017250061
2330.0,1347.0,2329.0447,1347.8329,-10.0,8.0,5.624775171279907
2329.0,1348.0,2329.0674,1347.8225,-9.0,7.0,5.668118000030518
2329.0,1348.0,2329.0925,1347.8047,-9.0,7.0,5.738348007202148
2330.0,1348.0,2329.277,1347.7781,-10.0,7.0,5.80545711517334
2330.0,1347.0,2329.431,1347.6136,-10.0,8.0,5.855240821838379
2330.0,1348.0,2329.5579,1347.6246,-10.0,7.0,5.91048789024353
2330.0,1348.0,2329.6707,1347.6343,-10.0,7.0,5.989048004150391
2331.0,1347.0,2329.9434,1347.4807,-11.0,8.0,6.0432350635528564
2330.0,1347.0,2330.0068,1347.3693,-10.0,8.0,6.089213132858276
2330.0,1347.0,2330.0532,1347.279,-10.0,8.0,6.141627073287964
2330.0,1348.0,2330.0986,1347.3324,-10.0,7.0,6.211199998855591
2330.0,1348.0,2330.1648,1347.3661,-10.0,7.0,6.268406867980957
2331.0,1347.0,2330.3203,1347.2881,-11.0,8.0,6.310894012451172
2331.0,1346.0,2330.4546,1347.0884,-11.0,9.0,6.3563759326934814
2331.0,1346.0,2330.5757,1346.9094,-11.0,9.0,6.4134440422058105
2331.0,1347.0,2330.709,1346.8562,-11.0,8.0,6.506114959716797
2332.0,1346.0,2330.9885,1346.6577,-12.0,9.0,6.556055068969727
