measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2321.0,1355.0,2321.0,1355.0,1.0,0.0,0.10334491729736328
2321.0,1356.0,2321.0,1355.9902,1.0,-1.0,0.15037918090820312
2321.0,1355.0,2321.0,1355.447,1.0,0.0,0.19076013565063477
2321.0,1355.0,2321.0,1355.1925,1.0,0.0,0.25217604637145996
2321.0,1357.0,2321.0,1356.0817,1.0,-2.0,0.3227982521057129
2321.0,1356.0,2321.0,1356.1624,1.0,-1.0,0.3693509101867676
2322.0,1354.0,2321.471,1355.217,0.0,1.0,0.41446709632873535
2322.0,1353.0,2321.754,1354.2295,0.0,2.0,0.4572761058807373
2322.0,1354.0,2321.9333,1353.9714,0.0,1.0,0.5263628959655762
2322.0,1354.0,2322.1204,1353.685,0.0,1.0,0.6084423065185547
2323.0,1353.0,2322.6265,1353.1542,-1.0,2.0,0.6521401405334473
2322.0,1355.0,2322.5117,1353.6663,0.0,0.0,0.7128162384033203
2322.0,1355.0,2322.4504,1354.0396,0.0,0.0,0.7809340953826904
2322.0,1356.0,2322.3591,1354.7733,0.0,-1.0,0.8243610858917236
2323.0,1354.0,2322.6167,1354.5746,-1.0,1.0,0.8644039630889893
2323.0,1354.0,2322.794,1354.4377,-1.0,1.0,0.9080371856689453
2323.0,1354.0,2322.9287,1354.3402,-1.0,1.0,0.9646711349487305
2324.0,1353.0,2323.3928,1353.9218,-2.0,2.0,1.0258231163024902
2323.0,1354.0,2323.397,1353.9283,-1.0,1.0,1.0729269981384277
2322.0,1356.0,2323.0037,1354.6368,0.0,-1.0,1.1147270202636719
2322.0,1356.0,2322.697,1355.1705,0.0,-1.0,1.157865047454834
2324.0,1352.0,2323.0833,1354.3203,-2.0,3.0,1.2088730335235596
2323.0,1354.0,2323.08,1354.2623,-1.0,1.0,1.272874116897583
2323.0,1354.0,2323.0657,1354.2145,-1.0,1.0,1.320014238357544
2323.0,1354.0,2323.0437,1354.1699,-1.0,1.0,1.3613100051879883
2323.0,1354.0,2323.0225,1354.1359,-1.0,1.0,1.403818130493164
2323.0,1354.0,2323.0015,1354.1108,-1.0,1.0,1.4593400955200195
2324.0,1353.0,2323.2803,1353.7855,-2.0,2.0,1.552475929260254
2325.0,1352.0,2323.9187,1353.0884,-3.0,3.0,1.5983948707580566
2325.0,1352.0,2324.345,1352.634,-3.0,3.0,1.6445882320404053
2324.0,1354.0,2324.3467,1352.9196,-2.0,1.0,1.6960980892181396
2324.0,1354.0,2324.3535,1353.139,-2.0,1.0,1.7678160667419434
2324.0,1353.0,2324.3628,1353.0012,-2.0,2.0,1.811582088470459
2324.0,1354.0,2324.3196,1353.2399,-2.0,1.0,1.849006175994873
2324.0,1354.0,2324.2783,1353.4221,-2.0,1.0,1.8902699947357178
2324.0,1354.0,2324.2466,1353.5652,-2.0,1.0,1.937124252319336
2325.0,1352.0,2324.485,1353.1545,-3.0,3.0,2.0020339488983154
2324.0,1354.0,2324.4236,1353.346,-2.0,1.0,2.0479021072387695
2324.0,1354.0,2324.3413,1353.5209,-2.0,1.0,2.08793306350708
2324.0,1354.0,2324.2686,1353.6573,-2.0,1.0,2.126303195953369
2324.0,1354.0,2324.208,1353.7677,-2.0,1.0,2.172369956970215
2326.0,1352.0,2324.6729,1353.3518,-4.0,3.0,2.237384080886841
2326.0,1350.0,2325.113,1352.3905,-4.0,5.0,2.287950277328491
2326.0,1350.0,2325.4417,1351.6215,-4.0,5.0,2.3313779830932617
2327.0,1350.0,2325.958,1351.0172,-5.0,5.0,2.3757500648498535
2326.0,1352.0,2326.1199,1351.0388,-4.0,3.0,2.4254701137542725
2325.0,1352.0,2326.0212,1351.0209,-3.0,3.0,2.4898602962493896
2326.0,1351.0,2326.1797,1350.7645,-4.0,4.0,2.5339550971984863
2326.0,1351.0,2326.2622,1350.6228,-4.0,4.0,2.573085069656372
2326.0,1352.0,2326.3088,1350.7833,-4.0,3.0,2.611631155014038
2326.0,1351.0,2326.3447,1350.6787,-4.0,4.0,2.6551601886749268
2326.0,1351.0,2326.3875,1350.5687,-4.0,4.0,2.7114391326904297
2326.0,1353.0,2326.4373,1350.9363,-4.0,2.0,2.765434980392456
2326.0,1353.0,2326.4404,1351.3069,-4.0,2.0,2.805744171142578
2326.0,1352.0,2326.4207,1351.4015,-4.0,3.0,2.846755266189575
2327.0,1352.0,2326.631,1351.4806,-5.0,3.0,2.8924241065979004
2327.0,1352.0,2326.8025,1351.5536,-5.0,3.0,2.952813148498535
2326.0,1352.0,2326.753,1351.6167,-4.0,3.0,3.0105862617492676
2327.0,1351.0,2326.9104,1351.4503,-5.0,4.0,3.0647990703582764
2327.0,1352.0,2327.0415,1351.5487,-5.0,3.0,3.1124460697174072
2328.0,1350.0,2327.3438,1351.1824,-6.0,5.0,3.171855926513672
2328.0,1350.0,2327.6345,1350.8535,-6.0,5.0,3.22367000579834
2327.0,1351.0,2327.6199,1350.8187,-5.0,4.0,3.262387990951538
2327.0,1351.0,2327.577,1350.8083,-5.0,4.0,3.303194999694824
2327.0,1350.0,2327.5442,1350.5928,-5.0,5.0,3.353858232498169
2327.0,1351.0,2327.5278,1350.6012,-5.0,4.0,3.413778066635132
2327.0,1351.0,2327.513,1350.6088,-5.0,4.0,3.458482027053833
2327.0,1351.0,2327.47,1350.6393,-5.0,4.0,3.4976301193237305
2328.0,1351.0,2327.618,1350.6736,-6.0,4.0,3.5412380695343018
2328.0,1351.0,2327.7483,1350.7012,-6.0,4.0,3.5879430770874023
2328.0,1350.0,2327.8716,1350.5323,-6.0,5.0,3.6543571949005127
2328.0,1351.0,2327.9897,1350.5743,-6.0,4.0,3.7027111053466797
2328.0,1351.0,2328.0562,1350.6302,-6.0,4.0,3.740924119949341
2328.0,1351.0,2328.099,1350.6827,-6.0,4.0,3.7797000408172607
