measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2323.0,1356.0,2323.0,1356.0,0.0,0.0,0.09887290000915527
2323.0,1355.0,2323.0,1355.0098,0.0,1.0,0.1468517780303955
2323.0,1355.0,2323.0,1355.0022,0.0,1.0,0.18564105033874512
2323.0,1355.0,2323.0,1354.9989,0.0,1.0,0.23163080215454102
2323.0,1356.0,2323.0,1355.4781,0.0,0.0,0.28705596923828125
2323.0,1355.0,2323.0,1355.3289,0.0,1.0,0.3352677822113037
2323.0,1355.0,2323.0,1355.2074,0.0,1.0,0.37432289123535156
2323.0,1355.0,2323.0,1355.1272,0.0,1.0,0.4246218204498291
2323.0,1356.0,2323.0,1355.473,0.0,0.0,0.47590184211730957
2323.0,1355.0,2323.0,1355.3354,0.0,1.0,0.5281920433044434
2323.0,1356.0,2323.0,1355.6023,0.0,0.0,0.5777149200439453
2323.0,1355.0,2323.0,1355.4362,0.0,1.0,0.6167697906494141
2323.0,1355.0,2323.0,1355.3093,0.0,1.0,0.6703009605407715
2323.0,1355.0,2323.0,1355.2037,0.0,1.0,0.7246799468994141
2323.0,1355.0,2323.0,1355.1134,0.0,1.0,0.7807679176330566
2323.0,1355.0,2323.0,1355.0383,0.0,1.0,0.8254098892211914
2323.0,1355.0,2323.0,1354.9913,0.0,1.0,0.863574743270874
2323.0,1355.0,2323.0,1354.9608,0.0,1.0,0.9046590328216553
2323.0,1355.0,2323.0,1354.9354,0.0,1.0,0.9514617919921875
2323.0,1355.0,2323.0,1354.914,0.0,1.0,1.0067389011383057
2323.0,1355.0,2323.0,1354.8936,0.0,1.0,1.0604889392852783
2323.0,1355.0,2323.0,1354.8904,0.0,1.0,1.1015980243682861
2323.0,1355.0,2323.0,1354.899,0.0,1.0,1.1402478218078613
2323.0,1355.0,2323.0,1354.906,0.0,1.0,1.1867380142211914
2323.0,1355.0,2323.0,1354.9094,0.0,1.0,1.2422027587890625
2323.0,1355.0,2323.0,1354.9146,0.0,1.0,1.291759967803955
2323.0,1355.0,2323.0,1354.9247,0.0,1.0,1.3420910835266113
2323.0,1355.0,2323.0,1354.9354,0.0,1.0,1.3882009983062744
2323.0,1355.0,2323.0,1354.9468,0.0,1.0,1.4666147232055664
2323.0,1355.0,2323.0,1354.958,0.0,1.0,1.5386948585510254
2323.0,1355.0,2323.0,1354.9725,0.0,1.0,1.582244873046875
2323.0,1355.0,2323.0,1354.984,0.0,1.0,1.6239397525787354
2323.0,1355.0,2323.0,1354.9933,0.0,1.0,1.663343906402588
2323.0,1355.0,2323.0,1355.0011,0.0,1.0,1.7134389877319336
2323.0,1355.0,2323.0,1355.0103,0.0,1.0,1.7725508213043213
2323.0,1355.0,2323.0,1355.0198,0.0,1.0,1.8202788829803467
2323.0,1355.0,2323.0,1355.0255,0.0,1.0,1.8625128269195557
2323.0,1355.0,2323.0,1355.0299,0.0,1.0,1.902735948562622
2323.0,1355.0,2323.0,1355.0325,0.0,1.0,1.9497838020324707
2323.0,1355.0,2323.0,1355.0374,0.0,1.0,2.0059499740600586
2324.0,1355.0,2323.2776,1355.0428,-1.0,1.0,2.052767038345337
2323.0,1355.0,2323.2336,1355.0444,0.0,1.0,2.090430974960327
2323.0,1355.0,2323.1934,1355.0436,0.0,1.0,2.133547782897949
2324.0,1355.0,2323.4177,1355.0446,-1.0,1.0,2.1839640140533447
