measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2321.0,1352.0,2321.0,1352.0,-2.0,2.0,0.08412384986877441
2321.0,1351.0,2321.0,1351.0002,-2.0,3.0,0.13193297386169434
2321.0,1351.0,2321.0,1350.9998,-2.0,3.0,0.17432594299316406
2319.0,1354.0,2319.4187,1353.3716,0.0,0.0,0.21418976783752441
2319.0,1354.0,2318.862,1354.2068,0.0,0.0,0.2539079189300537
2319.0,1354.0,2318.661,1354.5087,0.0,0.0,0.32106590270996094
2320.0,1354.0,2319.2974,1354.5927,-1.0,0.0,0.3981790542602539
2319.0,1355.0,2319.0977,1355.061,0.0,-1.0,0.4581749439239502
2320.0,1354.0,2319.7107,1354.4509,-1.0,0.0,0.4981508255004883
2320.0,1354.0,2320.0044,1354.11,-1.0,0.0,0.5455169677734375
2321.0,1352.0,2320.7656,1352.7253,-2.0,2.0,0.6144168376922607
2321.0,1352.0,2321.2876,1351.7382,-2.0,2.0,0.6700360774993896
2320.0,1355.0,2320.8274,1353.2009,-1.0,-1.0,0.7177119255065918
2321.0,1353.0,2321.097,1352.909,-2.0,1.0,0.7678258419036865
2321.0,1353.0,2321.2415,1352.7405,-2.0,1.0,0.8329169750213623
2320.0,1355.0,2320.7344,1353.7963,-1.0,-1.0,0.8899950981140137
2322.0,1351.0,2321.4858,1352.2488,-3.0,3.0,0.9332389831542969
2322.0,1351.0,2321.8699,1351.4172,-3.0,3.0,0.9764809608459473
2322.0,1351.0,2322.0786,1350.9429,-3.0,3.0,1.0355918407440186
2322.0,1351.0,2322.2224,1350.5914,-3.0,3.0,1.1100549697875977
2321.0,1353.0,2321.6628,1351.6371,-2.0,1.0,1.1678268909454346
2321.0,1353.0,2321.2717,1352.3733,-2.0,1.0,1.2270019054412842
2321.0,1353.0,2321.0017,1352.8715,-2.0,1.0,1.30181884765625
2320.0,1354.0,2320.2188,1353.8158,-1.0,0.0,1.3460900783538818
2320.0,1354.0,2319.9011,1354.1866,-1.0,0.0,1.3878657817840576
2321.0,1354.0,2320.1726,1354.4268,-2.0,0.0,1.429306983947754
2321.0,1354.0,2320.3433,1354.5815,-2.0,0.0,1.4816138744354248
2321.0,1354.0,2320.437,1354.7433,-2.0,0.0,1.5446100234985352
2322.0,1352.0,2321.035,1353.7938,-3.0,2.0,1.5896861553192139
2322.0,1351.0,2321.4392,1352.6315,-3.0,3.0,1.6297259330749512
2323.0,1350.0,2322.1375,1351.4657,-4.0,4.0,1.6695177555084229
2323.0,1350.0,2322.5847,1350.7185,-4.0,4.0,1.7157840728759766
2322.0,1351.0,2322.4465,1350.6523,-3.0,3.0,1.776932954788208
2322.0,1353.0,2322.3413,1351.5581,-3.0,1.0,1.829035997390747
2322.0,1352.0,2322.2375,1351.7438,-3.0,2.0,1.8715870380401611
2323.0,1352.0,2322.6035,1351.8694,-4.0,2.0,1.9200959205627441
2323.0,1352.0,2322.8489,1351.9645,-4.0,2.0,1.9714350700378418
2323.0,1351.0,2323.0032,1351.5894,-4.0,3.0,2.0326027870178223
2323.0,1351.0,2323.1055,1351.332,-4.0,3.0,2.081026077270508
2323.0,1352.0,2323.1392,1351.6211,-4.0,2.0,2.1230411529541016
2322.0,1352.0,2322.72,1351.8083,-3.0,2.0,2.172646999359131
2322.0,1352.0,2322.4226,1351.9607,-3.0,2.0,2.247846841812134
2323.0,1351.0,2322.6555,1351.619,-4.0,3.0,2.2915749549865723
2324.0,1351.0,2323.2373,1351.3857,-5.0,3.0,2.3326380252838135
2324.0,1351.0,2323.589,1351.2428,-5.0,3.0,2.372166872024536
2323.0,1352.0,2323.4282,1351.5438,-4.0,2.0,2.422146797180176
2323.0,1352.0,2323.3206,1351.7809,-4.0,2.0,2.4904918670654297
2323.0,1352.0,2323.2263,1351.9607,-4.0,2.0,2.5322508811950684
2323.0,1352.0,2323.1484,1352.0526,-4.0,2.0,2.572972059249878
2324.0,1350.0,2323.482,1351.334,-5.0,4.0,2.6140780448913574
2324.0,1351.0,2323.7058,1351.2299,-5.0,3.0,2.663058042526245
2324.0,1351.0,2323.8687,1351.1619,-5.0,3.0,2.7300291061401367
2323.0,1352.0,2323.5735,1351.5406,-4.0,2.0,2.7758889198303223
2323.0,1352.0,2323.3538,1351.7777,-4.0,2.0,2.8164150714874268
2324.0,1351.0,2323.5898,1351.5472,-5.0,3.0,2.856313943862915
2324.0,1352.0,2323.7468,1351.7665,-5.0,2.0,2.905320882797241
2324.0,1352.0,2323.8596,1351.9443,-5.0,2.0,2.963897943496704
2324.0,1350.0,2323.9373,1351.2855,-5.0,4.0,3.011857032775879
2324.0,1351.0,2323.9802,1351.2041,-5.0,3.0,3.0536551475524902
2325.0,1350.0,2324.379,1350.7747,-6.0,4.0,3.1010918617248535
2326.0,1349.0,2325.0342,1350.1005,-7.0,5.0,3.1548280715942383
