measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2323.0,1356.0,2323.0,1356.0,0.0,0.0,0.9085619449615479
2323.0,1356.0,2323.0,1356.0,0.0,0.0,1.665389060974121
2325.0,1356.0,2324.923,1356.0,-2.0,0.0,1.8855328559875488
2345.0,1355.0,2338.8616,1355.3169,-22.0,1.0,2.0599119663238525
2341.0,1356.0,2342.3516,1355.6215,-18.0,0.0,2.151965856552124
2333.0,1356.0,2339.311,1355.7938,-10.0,0.0,2.2148098945617676
2339.0,1355.0,2339.8435,1355.4781,-16.0,1.0,2.2721469402313232
2299.0,1354.0,2325.6152,1354.9171,24.0,2.0,2.346519947052002
2322.0,1355.0,2322.8977,1354.8379,1.0,1.0,2.4028849601745605
2345.0,1355.0,2329.1045,1354.8096,-22.0,1.0,2.4722208976745605
2308.0,1355.0,2321.2957,1354.7826,15.0,1.0,2.548233985900879
2311.0,1355.0,2315.8345,1354.7699,12.0,1.0,2.644558906555176
2320.0,1355.0,2314.4448,1354.766,3.0,1.0,2.927541971206665
2298.0,1353.0,2298.8667,1353.5471,25.0,3.0,3.010390043258667
2340.0,1355.0,2315.2764,1354.0806,-17.0,1.0,3.0692291259765625
2300.0,1354.0,2308.7202,1353.9824,23.0,2.0,3.1304240226745605
2323.0,1355.0,2312.0164,1354.241,0.0,1.0,3.2571589946746826
2309.0,1354.0,2308.9126,1354.0658,14.0,2.0,3.3220009803771973
2311.0,1354.0,2308.4111,1353.9927,12.0,2.0,3.3954360485076904
2346.0,1354.0,2318.525,1353.936,-23.0,2.0,3.470345973968506
2321.0,1354.0,2319.2544,1353.8934,2.0,2.0,3.521735906600952
2302.0,1353.0,2314.762,1353.6205,21.0,3.0,3.5765509605407715
2342.0,1354.0,2321.2976,1353.6542,-19.0,2.0,3.642319917678833
2332.0,1354.0,2324.4656,1353.6738,-9.0,2.0,3.7175049781799316
2299.0,1352.0,2318.799,1353.1877,24.0,4.0,3.841292142868042
2342.0,1354.0,2326.0627,1353.2646,-19.0,2.0,3.897858142852783
2302.0,1353.0,2320.2134,1353.1338,21.0,3.0,3.9736440181732178
2347.0,1354.0,2328.1135,1353.2883,-24.0,2.0,4.040625810623169
2311.0,1353.0,2324.626,1353.1735,12.0,3.0,4.091326951980591
2311.0,1353.0,2321.8887,1353.0931,12.0,3.0,4.141195058822632
2311.0,1353.0,2319.751,1353.028,12.0,3.0,4.209640979766846
2347.0,1353.0,2326.305,1352.9651,-24.0,3.0,4.257781982421875
2323.0,1353.0,2326.2107,1352.9364,0.0,3.0,4.3057191371917725
2303.0,1352.0,2322.0645,1352.7043,20.0,4.0,4.3520660400390625
2343.0,1353.0,2326.5408,1352.7128,-20.0,3.0,4.420682907104492
2334.0,1353.0,2329.0854,1352.7037,-11.0,3.0,4.48654580116272
2300.0,1351.0,2324.0564,1352.291,23.0,5.0,4.541290998458862
2334.0,1353.0,2326.5315,1352.3645,-11.0,3.0,4.607049942016602
2344.0,1353.0,2331.1006,1352.4183,-21.0,3.0,4.6886091232299805
2303.0,1352.0,2326.3103,1352.2598,20.0,4.0,4.738931894302368
2324.0,1353.0,2326.333,1352.3641,-1.0,3.0,4.890765905380249
2312.0,1352.0,2323.9512,1352.1569,11.0,4.0,5.019585132598877
2324.0,1352.0,2324.5361,1352.0282,-1.0,4.0,5.064611911773682
2324.0,1352.0,2324.625,1351.9899,-1.0,4.0,5.117124795913696
2304.0,1351.0,2320.1597,1351.7244,19.0,5.0,5.188666820526123
2344.0,1352.0,2325.4973,1351.7134,-21.0,4.0,5.243083953857422
2335.0,1352.0,2327.7825,1351.7296,-12.0,4.0,5.286264896392822
2301.0,1351.0,2323.019,1351.5537,22.0,5.0,5.335162878036499
