measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2321.0,1355.0,2321.0,1355.0,0.0,0.0,0.06583499908447266
2321.0,1356.0,2321.0,1355.9436,0.0,-1.0,0.11179995536804199
2321.0,1356.0,2321.0,1355.973,0.0,-1.0,0.15013694763183594
2322.0,1354.0,2321.3547,1355.2753,-1.0,1.0,0.1911768913269043
2321.0,1355.0,2321.2659,1355.1564,0.0,0.0,0.23172307014465332
2321.0,1355.0,2321.1985,1355.0697,0.0,0.0,0.28925085067749023
2322.0,1355.0,2321.462,1354.9788,-1.0,0.0,0.3559150695800781
2321.0,1355.0,2321.3438,1354.9236,0.0,0.0,0.41187095642089844
2332.0,1351.0,2325.0322,1353.522,-11.0,4.0,0.4612598419189453
2292.0,1357.0,2314.7268,1354.4524,29.0,-2.0,0.5032730102539062
2326.0,1354.0,2317.425,1354.2523,-5.0,1.0,0.5622589588165283
2349.0,1346.0,2326.5166,1351.649,-28.0,9.0,0.6211879253387451
2298.0,1357.0,2318.694,1352.8445,23.0,-2.0,0.6627447605133057
2298.0,1357.0,2312.752,1353.8401,23.0,-2.0,0.7033071517944336
2312.0,1357.0,2311.8389,1354.6075,9.0,-2.0,0.7576448917388916
2349.0,1350.0,2320.5815,1353.4325,-28.0,5.0,0.8192648887634277
2311.0,1356.0,2318.1597,1354.0215,10.0,-1.0,0.8625569343566895
2300.0,1356.0,2313.3997,1354.5212,21.0,-1.0,0.9001898765563965
2300.0,1356.0,2309.6064,1354.9259,21.0,-1.0,0.9419238567352295
2345.0,1352.0,2317.16,1354.3147,-24.0,3.0,0.9858438968658447
2325.0,1353.0,2318.966,1354.0287,-4.0,2.0,1.0443909168243408
2294.0,1356.0,2312.7798,1354.5314,27.0,-1.0,1.0981090068817139
2339.0,1350.0,2319.0835,1353.408,-18.0,5.0,1.1379778385162354
2339.0,1350.0,2324.2368,1352.5055,-18.0,5.0,1.1785240173339844
2338.0,1351.0,2328.3054,1351.9965,-17.0,4.0,1.2325608730316162
2293.0,1355.0,2320.784,1352.5168,28.0,0.0,1.29538893699646
2327.0,1353.0,2322.8582,1352.4883,-6.0,2.0,1.3388469219207764
2327.0,1353.0,2324.4106,1352.5205,-6.0,2.0,1.3784689903259277
2347.0,1349.0,2330.5886,1351.563,-26.0,6.0,1.4194540977478027
2301.0,1355.0,2324.5747,1352.2258,20.0,0.0,1.4686698913574219
2313.0,1355.0,2322.3188,1352.8054,8.0,0.0,1.5388717651367188
2354.0,1344.0,2331.2375,1350.3931,-33.0,11.0,1.584522008895874
2354.0,1344.0,2338.1692,1348.4999,-33.0,11.0,1.6268129348754883
2314.0,1354.0,2333.8289,1349.4584,7.0,1.0,1.6712720394134521
2301.0,1356.0,2327.1406,1350.728,20.0,-1.0,1.7253661155700684
2348.0,1349.0,2332.8894,1350.1055,-27.0,6.0,1.788619041442871
2328.0,1350.0,2332.913,1349.8204,-7.0,5.0,1.8325440883636475
2295.0,1354.0,2324.4087,1350.6578,26.0,1.0,1.8744430541992188
