measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2321.0,1355.0,2321.0,1355.0,0.0,0.0,0.07001018524169922
2320.0,1355.0,2320.0564,1355.0,1.0,0.0,0.12218093872070312
2321.0,1355.0,2320.5254,1355.0,0.0,0.0,0.1615281105041504
2321.0,1355.0,2320.7058,1355.0,0.0,0.0,0.20282697677612305
2321.0,1355.0,2320.8162,1355.0,0.0,0.0,0.2444930076599121
2322.0,1353.0,2321.1924,1354.4137,-1.0,2.0,0.2852489948272705
2322.0,1353.0,2321.5002,1353.9277,-1.0,2.0,0.36623597145080566
2321.0,1356.0,2321.4817,1354.4819,0.0,-1.0,0.4243619441986084
2321.0,1355.0,2321.3867,1354.6481,0.0,0.0,0.474837064743042
2321.0,1355.0,2321.3013,1354.7719,0.0,0.0,0.5244748592376709
2321.0,1356.0,2321.2344,1355.177,0.0,-1.0,0.5871191024780273
2321.0,1355.0,2321.1814,1355.1979,0.0,0.0,0.6376979351043701
2322.0,1353.0,2321.431,1354.6052,-1.0,2.0,0.6760690212249756
2321.0,1355.0,2321.3396,1354.7034,0.0,0.0,0.7137148380279541
2321.0,1355.0,2321.2693,1354.778,0.0,0.0,0.7614898681640625
2321.0,1355.0,2321.2107,1354.8412,0.0,0.0,0.8188858032226562
2321.0,1355.0,2321.1565,1354.8973,0.0,0.0,0.8649818897247314
2322.0,1354.0,2321.3606,1354.6896,-1.0,1.0,0.9053571224212646
2322.0,1354.0,2321.527,1354.5172,-1.0,1.0,0.9468040466308594
2321.0,1355.0,2321.4287,1354.6091,0.0,0.0,0.9933419227600098
2301.0,1357.0,2316.497,1355.1737,20.0,-2.0,1.0524420738220215
2307.0,1357.0,2313.4006,1355.7041,14.0,-2.0,1.1018118858337402
2347.0,1352.0,2321.2043,1354.857,-26.0,3.0,1.1392078399658203
2347.0,1352.0,2327.6392,1354.1549,-26.0,3.0,1.183701992034912
2315.0,1356.0,2325.3489,1354.5303,6.0,-1.0,1.2328479290008545
2296.0,1356.0,2318.551,1354.864,25.0,-1.0,1.2888460159301758
2343.0,1352.0,2324.7373,1354.1056,-22.0,3.0,1.3395469188690186
2329.0,1352.0,2326.2903,1353.4729,-8.0,3.0,1.3810360431671143
2329.0,1352.0,2327.4373,1352.9879,-8.0,3.0,1.4207899570465088
2291.0,1356.0,2319.2317,1353.5527,30.0,-1.0,1.4720818996429443
2334.0,1352.0,2322.6777,1353.0034,-13.0,3.0,1.5482449531555176
2339.0,1353.0,2327.353,1352.7759,-18.0,2.0,1.5941030979156494
2294.0,1356.0,2319.1548,1353.4674,27.0,-1.0,1.6324269771575928
2294.0,1356.0,2312.7378,1354.0215,27.0,-1.0,1.6733009815216064
2321.0,1354.0,2313.8604,1353.9985,0.0,1.0,1.72576904296875
2347.0,1351.0,2320.9883,1353.2463,-26.0,4.0,1.7865300178527832
2303.0,1357.0,2316.4912,1354.0735,18.0,-2.0,1.8306629657745361
2306.0,1357.0,2313.476,1354.7905,15.0,-2.0,1.8718578815460205
2306.0,1357.0,2311.1667,1355.3615,15.0,-2.0,1.9117310047149658
2346.0,1353.0,2318.1223,1354.948,-25.0,2.0,1.9557580947875977
2316.0,1355.0,2317.4475,1355.0554,5.0,0.0,2.0230720043182373
2316.0,1355.0,2316.794,1355.169,5.0,0.0,2.0742011070251465
2296.0,1356.0,2311.6504,1355.4581,25.0,-1.0,2.114287853240967
2342.0,1353.0,2317.8408,1355.0084,-21.0,2.0,2.1556410789489746
2330.0,1353.0,2320.405,1354.6354,-9.0,2.0,2.2077298164367676
2292.0,1356.0,2314.1184,1354.9906,29.0,-1.0,2.2743449211120605
2333.0,1353.0,2318.0396,1354.6016,-12.0,2.0,2.3151838779449463
2333.0,1353.0,2321.4084,1354.2601,-12.0,2.0,2.358367919921875
2341.0,1352.0,2325.9617,1353.758,-20.0,3.0,2.397473096847534
2294.0,1356.0,2319.8633,1354.1816,27.0,-1.0,2.4533791542053223
2320.0,1355.0,2320.0696,1354.3462,1.0,0.0,2.518541097640991
2348.0,1350.0,2326.8254,1353.331,-27.0,5.0,2.5672459602355957
2348.0,1350.0,2332.3137,1352.4962,-27.0,5.0,2.6066298484802246
2304.0,1355.0,2327.2896,1352.8964,17.0,0.0,2.6469459533691406
2306.0,1357.0,2323.5303,1353.6406,15.0,-2.0,2.692509889602661
2306.0,1357.0,2320.274,1354.2906,15.0,-2.0,2.753877878189087
2317.0,1354.0,2319.6096,1354.2515,4.0,1.0,2.805561065673828
2317.0,1354.0,2319.0332,1354.21,4.0,1.0,2.847609043121338
2296.0,1356.0,2314.231,1354.5873,25.0,-1.0,2.890601873397827
2343.0,1352.0,2319.5654,1354.1073,-22.0,3.0,2.97265887260437
2332.0,1351.0,2322.4321,1353.3942,-11.0,4.0,3.042163848876953
2292.0,1355.0,2315.5864,1353.6896,29.0,0.0,3.0956637859344482
2332.0,1353.0,2318.991,1353.4968,-11.0,2.0,3.1371750831604004
2341.0,1352.0,2323.7295,1353.133,-20.0,3.0,3.1787030696868896
2341.0,1352.0,2327.61,1352.8351,-20.0,3.0,3.229443073272705
2295.0,1356.0,2321.6729,1353.3796,26.0,-1.0,3.2865657806396484
2320.0,1354.0,2321.5044,1353.4558,1.0,1.0,3.329850912094116
2352.0,1345.0,2327.6687,1351.7476,-31.0,10.0,3.371997833251953
2305.0,1356.0,2323.8906,1352.4054,16.0,-1.0,3.4211950302124023
2305.0,1356.0,2320.5654,1352.9767,16.0,-1.0,3.4808719158172607
2306.0,1356.0,2317.7278,1353.5002,15.0,-1.0,3.5302960872650146
2349.0,1350.0,2323.5,1352.818,-28.0,5.0,3.57157301902771
2319.0,1353.0,2322.8845,1352.7958,2.0,2.0,3.6127097606658936
2319.0,1353.0,2322.3572,1352.776,2.0,2.0,3.658641815185547
2296.0,1356.0,2317.81,1353.2886,25.0,-1.0,3.7199931144714355
2343.0,1350.0,2322.1462,1352.6643,-22.0,5.0,3.770242929458618
2331.0,1352.0,2323.8823,1352.4785,-10.0,3.0,3.8094940185546875
2292.0,1355.0,2318.5222,1352.8585,29.0,0.0,3.847769021987915
2292.0,1355.0,2313.9248,1353.1858,29.0,0.0,3.8990137577056885
2333.0,1352.0,2316.5923,1352.9707,-12.0,3.0,3.958838939666748
2343.0,1351.0,2320.862,1352.5879,-22.0,4.0,4.006953954696655
2296.0,1356.0,2316.6033,1353.1271,25.0,-1.0,4.050734996795654
2320.0,1354.0,2316.9175,1353.2659,1.0,1.0,4.089265823364258
2320.0,1354.0,2317.2188,1353.3872,1.0,1.0,4.138084173202515
2348.0,1350.0,2322.0195,1352.8466,-27.0,5.0,4.207162141799927
