measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2320.0,1355.0,2320.0,1355.0,0.0,0.0,0.07913494110107422
2320.0,1354.0,2320.0,1354.0563,0.0,1.0,0.12108993530273438
2321.0,1354.0,2320.4946,1354.0269,-1.0,1.0,0.15920782089233398
2321.0,1354.0,2320.684,1354.0149,-1.0,1.0,0.20163202285766602
2320.0,1355.0,2320.4966,1354.3115,0.0,0.0,0.25351715087890625
2320.0,1354.0,2320.3398,1354.2449,0.0,1.0,0.31919217109680176
2320.0,1355.0,2320.2017,1354.5162,0.0,0.0,0.3863952159881592
2320.0,1354.0,2320.0854,1354.3865,0.0,1.0,0.43598008155822754
2320.0,1354.0,2320.017,1354.2723,0.0,1.0,0.48526787757873535
2321.0,1354.0,2320.293,1354.1866,-1.0,1.0,0.5279741287231445
2321.0,1354.0,2320.5034,1354.1218,-1.0,1.0,0.6024870872497559
2321.0,1354.0,2320.702,1354.0569,-1.0,1.0,0.665499210357666
2321.0,1354.0,2320.831,1354.0204,-1.0,1.0,0.7059230804443359
2321.0,1354.0,2320.9136,1353.9987,-1.0,1.0,0.7480471134185791
2321.0,1354.0,2320.981,1353.9801,-1.0,1.0,0.8024392127990723
2295.0,1353.0,2314.2275,1353.6982,25.0,2.0,0.8567969799041748
2330.0,1354.0,2317.6428,1353.7242,-10.0,1.0,0.8959898948669434
2330.0,1354.0,2320.5312,1353.7583,-10.0,1.0,0.9379608631134033
2338.0,1354.0,2324.8127,1353.7883,-18.0,1.0,0.987328052520752
2296.0,1353.0,2318.333,1353.5657,24.0,2.0,1.0456440448760986
2319.0,1354.0,2318.2563,1353.6204,1.0,1.0,1.093770980834961
2344.0,1353.0,2324.793,1353.4216,-24.0,2.0,1.1353888511657715
2344.0,1353.0,2330.0454,1353.2732,-24.0,2.0,1.174901008605957
2306.0,1353.0,2325.1829,1353.1516,14.0,2.0,1.2218201160430908
2306.0,1353.0,2320.9614,1353.038,14.0,2.0,1.2797789573669434
2306.0,1353.0,2316.9883,1352.9309,14.0,2.0,1.3352551460266113
2344.0,1353.0,2323.6587,1352.8629,-24.0,2.0,1.3744750022888184
2318.0,1353.0,2322.479,1352.8325,2.0,2.0,1.414412021636963
2297.0,1352.0,2316.4165,1352.5677,23.0,3.0,1.465343952178955
2339.0,1353.0,2321.5435,1352.5592,-19.0,2.0,1.5270981788635254
2330.0,1353.0,2323.8787,1352.5715,-10.0,2.0,1.5715539455413818
2330.0,1353.0,2325.6895,1352.6166,-10.0,2.0,1.6159100532531738
2294.0,1352.0,2318.3923,1352.4093,26.0,3.0,1.6589341163635254
2330.0,1353.0,2320.8647,1352.4794,-10.0,2.0,1.7090659141540527
2330.0,1353.0,2323.0603,1352.5349,-10.0,2.0,1.7798731327056885
2297.0,1352.0,2316.4006,1352.3254,23.0,3.0,1.8282480239868164
2319.0,1353.0,2316.5708,1352.441,1.0,2.0,1.8692028522491455
2319.0,1353.0,2316.7769,1352.5419,1.0,2.0,1.9089038372039795
2345.0,1353.0,2322.895,1352.624,-25.0,2.0,1.9700112342834473
2307.0,1353.0,2319.3442,1352.699,13.0,2.0,2.026599168777466
2306.0,1352.0,2315.893,1352.5288,14.0,3.0,2.067318916320801
2306.0,1352.0,2313.189,1352.3955,14.0,3.0,2.107132911682129
2345.0,1352.0,2319.6035,1352.2896,-25.0,3.0,2.154762029647827
2320.0,1353.0,2319.6194,1352.4165,0.0,2.0,2.215709924697876
2298.0,1352.0,2314.455,1352.3037,22.0,3.0,2.2718331813812256
2340.0,1352.0,2319.8564,1352.2131,-20.0,3.0,2.3107850551605225
2340.0,1352.0,2324.362,1352.1473,-20.0,3.0,2.352185010910034
2331.0,1353.0,2326.162,1352.3096,-11.0,2.0,2.402869939804077
2295.0,1352.0,2320.035,1352.2367,25.0,3.0,2.460231065750122
2330.0,1353.0,2322.2595,1352.3988,-10.0,2.0,2.5073258876800537
2341.0,1352.0,2326.6963,1352.3207,-21.0,3.0,2.552541971206665
2341.0,1352.0,2330.2625,1352.2563,-21.0,3.0,2.59244704246521
2298.0,1352.0,2324.3555,1352.2045,22.0,3.0,2.642908811569214
2319.0,1353.0,2323.5828,1352.3723,1.0,2.0,2.7039389610290527
2346.0,1352.0,2328.835,1352.3125,-26.0,3.0,2.759114980697632
2309.0,1352.0,2325.1995,1352.2584,11.0,3.0,2.7992000579833984
2309.0,1352.0,2322.0432,1352.2124,11.0,3.0,2.840658187866211
2306.0,1352.0,2318.7761,1352.1755,14.0,3.0,2.8905069828033447
2346.0,1352.0,2324.0679,1352.1456,-26.0,3.0,2.9464619159698486
2321.0,1352.0,2323.669,1352.121,-1.0,3.0,2.9937620162963867
2321.0,1352.0,2323.2534,1352.1001,-1.0,3.0,3.034022092819214
2298.0,1351.0,2318.328,1351.8853,22.0,4.0,3.0767579078674316
2340.0,1352.0,2322.2278,1351.8954,-20.0,3.0,3.122406244277954
2340.0,1352.0,2325.6917,1351.9052,-20.0,3.0,3.180285930633545
2333.0,1352.0,2327.5273,1351.9155,-13.0,3.0,3.229222059249878
2296.0,1351.0,2321.7573,1351.7308,24.0,4.0,3.271785020828247
2331.0,1352.0,2323.4717,1351.7661,-11.0,3.0,3.312167167663574
2342.0,1351.0,2326.981,1351.6127,-22.0,4.0,3.3533430099487305
2342.0,1351.0,2330.0283,1351.4802,-22.0,4.0,3.410252094268799
