measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2320.0,1356.0,2320.0,1356.0,0.0,0.0,0.12159609794616699
2320.0,1356.0,2320.0,1356.0,0.0,0.0,0.18496108055114746
2320.0,1356.0,2320.0,1356.0,0.0,0.0,0.24056792259216309
2320.0,1356.0,2320.0,1356.0,0.0,0.0,0.31003904342651367
2320.0,1356.0,2320.0,1356.0,0.0,0.0,0.35893797874450684
2320.0,1356.0,2320.0,1356.0,0.0,0.0,0.4022550582885742
2320.0,1356.0,2320.0,1356.0,0.0,0.0,0.4454340934753418
2320.0,1356.0,2320.0,1356.0,0.0,0.0,0.5044698715209961
2320.0,1356.0,2320.0,1356.0,0.0,0.0,0.5632979869842529
2320.0,1356.0,2320.0,1356.0,0.0,0.0,0.6089189052581787
2320.0,1356.0,2320.0,1356.0,0.0,0.0,0.653770923614502
2320.0,1356.0,2320.0,1356.0,0.0,0.0,0.7062909603118896
2320.0,1356.0,2320.0,1356.0,0.0,0.0,0.7666070461273193
2320.0,1355.0,2320.0,1355.7125,0.0,1.0,0.8081560134887695
2320.0,1355.0,2320.0,1355.494,0.0,1.0,0.8522648811340332
2320.0,1356.0,2320.0,1355.5781,0.0,0.0,0.9059791564941406
2320.0,1356.0,2320.0,1355.6451,0.0,0.0,0.96504807472229
2320.0,1356.0,2320.0,1355.7094,0.0,0.0,1.0162220001220703
2320.0,1356.0,2320.0,1355.7706,0.0,0.0,1.064164161682129
2320.0,1356.0,2320.0,1355.8246,0.0,0.0,1.1048409938812256
2320.0,1356.0,2320.0,1355.8695,0.0,0.0,1.1582770347595215
2320.0,1356.0,2320.0,1355.9113,0.0,0.0,1.2176299095153809
2321.0,1356.0,2320.2712,1355.9501,-1.0,0.0,1.2696120738983154
2320.0,1356.0,2320.2307,1355.9814,0.0,0.0,1.3138401508331299
2320.0,1356.0,2320.1912,1356.0035,0.0,0.0,1.3534820079803467
2320.0,1356.0,2320.1575,1356.02,0.0,0.0,1.4049179553985596
2321.0,1356.0,2320.3872,1356.0391,-1.0,0.0,1.4662251472473145
2320.0,1355.0,2320.3286,1355.7869,0.0,1.0,1.515066146850586
2321.0,1355.0,2320.532,1355.5719,-1.0,1.0,1.5581910610198975
2321.0,1355.0,2320.6921,1355.4,-1.0,1.0,1.5981628894805908
2321.0,1355.0,2320.8171,1355.2642,-1.0,1.0,1.6537761688232422
2321.0,1355.0,2320.946,1355.1287,-1.0,1.0,1.7204289436340332
2320.0,1355.0,2320.7957,1355.0039,0.0,1.0,1.768009901046753
2321.0,1356.0,2320.9006,1355.1906,-1.0,0.0,1.8098468780517578
2320.0,1355.0,2320.7292,1355.1024,0.0,1.0,1.8566830158233643
2321.0,1355.0,2320.8315,1355.0239,-1.0,1.0,1.910093069076538
2321.0,1355.0,2320.9263,1354.9485,-1.0,1.0,1.9687089920043945
2321.0,1356.0,2320.9978,1355.1458,-1.0,0.0,2.016080141067505
2321.0,1356.0,2321.0461,1355.3203,-1.0,0.0,2.0608298778533936
2321.0,1355.0,2321.0835,1355.2324,-1.0,1.0,2.1246910095214844
2321.0,1355.0,2321.1296,1355.1482,-1.0,1.0,2.1842260360717773
2321.0,1355.0,2321.1526,1355.0825,-1.0,1.0,2.228179931640625
2321.0,1355.0,2321.159,1355.0356,-1.0,1.0,2.2738962173461914
2321.0,1355.0,2321.157,1355.0026,-1.0,1.0,2.334712028503418
2321.0,1355.0,2321.165,1354.9651,-1.0,1.0,2.3950588703155518
2321.0,1355.0,2321.163,1354.9387,-1.0,1.0,2.4409849643707275
2321.0,1355.0,2321.1497,1354.928,-1.0,1.0,2.4848670959472656
2321.0,1355.0,2321.1367,1354.9203,-1.0,1.0,2.543170928955078
2321.0,1355.0,2321.127,1354.9092,-1.0,1.0,2.6045029163360596
2321.0,1355.0,2321.1113,1354.9069,-1.0,1.0,2.6437249183654785
2321.0,1355.0,2321.0933,1354.9128,-1.0,1.0,2.6858532428741455
2321.0,1355.0,2321.077,1354.9182,-1.0,1.0,2.7377500534057617
2321.0,1355.0,2321.0608,1354.922,-1.0,1.0,2.8046340942382812
2321.0,1355.0,2321.042,1354.9272,-1.0,1.0,2.8474180698394775
2321.0,1355.0,2321.0261,1354.9375,-1.0,1.0,2.8853931427001953
2321.0,1355.0,2321.0127,1354.9474,-1.0,1.0,2.9357240200042725
2321.0,1355.0,2320.9958,1354.9569,-1.0,1.0,2.994235038757324
2321.0,1355.0,2320.977,1354.968,-1.0,1.0,3.0419859886169434
2321.0,1355.0,2320.9646,1354.9784,-1.0,1.0,3.085887908935547
2321.0,1355.0,2320.9531,1354.9884,-1.0,1.0,3.1245689392089844
2321.0,1355.0,2320.9443,1354.9972,-1.0,1.0,3.179323196411133
2321.0,1355.0,2320.928,1355.0093,-1.0,1.0,3.2388219833374023
2321.0,1355.0,2320.9133,1355.0211,-1.0,1.0,3.2837328910827637
2321.0,1355.0,2320.9053,1355.0298,-1.0,1.0,3.3248932361602783
2321.0,1355.0,2320.9,1355.0369,-1.0,1.0,3.3695669174194336
2321.0,1355.0,2320.8943,1355.0438,-1.0,1.0,3.421649217605591
2321.0,1355.0,2320.8823,1355.0544,-1.0,1.0,3.486631155014038
2321.0,1355.0,2320.8672,1355.0673,-1.0,1.0,3.5319788455963135
2321.0,1355.0,2320.8652,1355.0719,-1.0,1.0,3.573251962661743
2321.0,1355.0,2320.865,1355.0752,-1.0,1.0,3.615868091583252
2321.0,1355.0,2320.8643,1355.0787,-1.0,1.0,3.665879011154175
2321.0,1355.0,2320.8574,1355.0863,-1.0,1.0,3.729843854904175
2321.0,1355.0,2320.8452,1355.0978,-1.0,1.0,3.779865026473999
2321.0,1355.0,2320.8442,1355.1013,-1.0,1.0,3.8324899673461914
2321.0,1355.0,2320.837,1355.1095,-1.0,1.0,3.9177331924438477
2321.0,1355.0,2320.8247,1355.1216,-1.0,1.0,4.0010271072387695
2321.0,1355.0,2320.8154,1355.132,-1.0,1.0,4.046064138412476
2321.0,1355.0,2320.8281,1355.1248,-1.0,1.0,4.086189031600952
2321.0,1355.0,2320.839,1355.1184,-1.0,1.0,4.126535177230835
2321.0,1355.0,2320.8455,1355.1155,-1.0,1.0,4.1808180809021
2321.0,1355.0,2320.8455,1355.1174,-1.0,1.0,4.240351915359497
2321.0,1355.0,2320.8452,1355.1198,-1.0,1.0,4.286599159240723
2321.0,1355.0,2320.8499,1355.1179,-1.0,1.0,4.326088905334473
2321.0,1355.0,2320.8555,1355.1149,-1.0,1.0,4.381131887435913
2321.0,1355.0,2320.8533,1355.1187,-1.0,1.0,4.4425928592681885
2321.0,1355.0,2320.8518,1355.1217,-1.0,1.0,4.488260984420776
2321.0,1355.0,2320.8584,1355.1173,-1.0,1.0,4.530637979507446
2321.0,1355.0,2320.8633,1355.1145,-1.0,1.0,4.582575082778931
2321.0,1355.0,2320.8643,1355.1152,-1.0,1.0,4.640754222869873
2321.0,1355.0,2320.8645,1355.1165,-1.0,1.0,4.685965061187744
2321.0,1355.0,2320.8684,1355.1143,-1.0,1.0,4.725507020950317
2321.0,1355.0,2320.8748,1355.1097,-1.0,1.0,4.766960144042969
2321.0,1355.0,2320.8792,1355.1069,-1.0,1.0,4.8160340785980225
2322.0,1355.0,2321.027,1355.1077,-2.0,1.0,4.875985145568848
2321.0,1355.0,2321.0154,1355.1117,-1.0,1.0,4.932937860488892
2321.0,1355.0,2321.007,1355.1091,-1.0,1.0,4.97374701499939
2321.0,1355.0,2321.0007,1355.1047,-1.0,1.0,5.020524024963379
2321.0,1355.0,2320.9944,1355.102,-1.0,1.0,5.076472043991089
2321.0,1355.0,2320.9866,1355.103,-1.0,1.0,5.13724422454834
2321.0,1355.0,2320.9802,1355.1022,-1.0,1.0,5.185590982437134
2321.0,1355.0,2320.9756,1355.0994,-1.0,1.0,5.225489139556885
2321.0,1355.0,2320.9727,1355.0951,-1.0,1.0,5.285154104232788
2321.0,1355.0,2320.9675,1355.0948,-1.0,1.0,5.347760200500488
2322.0,1355.0,2321.1094,1355.0934,-2.0,1.0,5.39236307144165
2322.0,1355.0,2321.2373,1355.0891,-2.0,1.0,5.4327778816223145
2322.0,1355.0,2321.3503,1355.0848,-2.0,1.0,5.487648963928223
2322.0,1355.0,2321.463,1355.0844,-2.0,1.0,5.5565900802612305
2321.0,1355.0,2321.4236,1355.0825,-1.0,1.0,5.603381872177124
2321.0,1355.0,2321.3828,1355.0787,-1.0,1.0,5.6473069190979
2322.0,1355.0,2321.4812,1355.0748,-2.0,1.0,5.708558082580566
2322.0,1355.0,2321.5818,1355.0736,-2.0,1.0,5.766392946243286
2321.0,1355.0,2321.5298,1355.0706,-1.0,1.0,5.813482046127319
2322.0,1355.0,2321.615,1355.0669,-2.0,1.0,5.862652063369751
2322.0,1355.0,2321.6936,1355.0638,-2.0,1.0,5.918450832366943
2322.0,1355.0,2321.7698,1355.0613,-2.0,1.0,5.972676992416382
2322.0,1355.0,2321.8374,1355.0585,-2.0,1.0,6.019374132156372
2322.0,1355.0,2321.8916,1355.0549,-2.0,1.0,6.065194845199585
2322.0,1355.0,2321.9414,1355.0516,-2.0,1.0,6.121758937835693
2321.0,1354.0,2321.8684,1354.9211,-1.0,2.0,6.183979034423828
2322.0,1354.0,2321.9287,1354.7972,-2.0,2.0,6.22973895072937
2322.0,1355.0,2321.9714,1354.8135,-2.0,1.0,6.26789402961731
2322.0,1355.0,2322.0044,1354.829,-2.0,1.0,6.319180011749268
2322.0,1354.0,2322.0454,1354.7195,-2.0,2.0,6.377096891403198
2322.0,1354.0,2322.0923,1354.6119,-2.0,2.0,6.430418014526367
2322.0,1354.0,2322.121,1354.5187,-2.0,2.0,6.475292205810547
2322.0,1354.0,2322.1443,1354.4353,-2.0,2.0,6.5212562084198
2322.0,1354.0,2322.167,1354.3579,-2.0,2.0,6.577579021453857
2322.0,1354.0,2322.1973,1354.2782,-2.0,2.0,6.640686988830566
2322.0,1354.0,2322.2239,1354.2039,-2.0,2.0,6.6875388622283936
2322.0,1354.0,2322.2375,1354.1447,-2.0,2.0,6.738951921463013
2322.0,1354.0,2322.255,1354.085,-2.0,2.0,6.799187898635864
2322.0,1354.0,2322.2722,1354.0272,-2.0,2.0,6.852770090103149
2322.0,1354.0,2322.2834,1353.9785,-2.0,2.0,6.895912170410156
2322.0,1354.0,2322.2861,1353.9424,-2.0,2.0,6.937294960021973
2322.0,1354.0,2322.2874,1353.9106,-2.0,2.0,6.991055011749268
2322.0,1355.0,2322.2974,1353.9812,-2.0,1.0,7.05404806137085
2322.0,1354.0,2322.3108,1353.932,-2.0,2.0,7.09660792350769
2322.0,1354.0,2322.308,1353.9033,-2.0,2.0,7.138803958892822
2322.0,1354.0,2322.3057,1353.8768,-2.0,2.0,7.178709030151367
2322.0,1354.0,2322.302,1353.8546,-2.0,2.0,7.225879907608032
2322.0,1354.0,2322.303,1353.828,-2.0,2.0,7.285878896713257
2322.0,1354.0,2322.3113,1353.7928,-2.0,2.0,7.336519002914429
2322.0,1354.0,2322.3108,1353.7704,-2.0,2.0,7.375117063522339
2322.0,1354.0,2322.3037,1353.7592,-2.0,2.0,7.4193971157073975
2322.0,1354.0,2322.2996,1353.745,-2.0,2.0,7.471143007278442
2322.0,1354.0,2322.3008,1353.724,-2.0,2.0,7.535102844238281
2322.0,1354.0,2322.3064,1353.6962,-2.0,2.0,7.581279993057251
2322.0,1354.0,2322.3003,1353.6879,-2.0,2.0,7.6203508377075195
2322.0,1354.0,2322.2915,1353.6854,-2.0,2.0,7.662700891494751
2322.0,1354.0,2322.285,1353.68,-2.0,2.0,7.710930824279785
2322.0,1354.0,2322.2827,1353.6681,-2.0,2.0,7.774137020111084
2322.0,1354.0,2322.284,1353.6506,-2.0,2.0,7.822875022888184
2322.0,1354.0,2322.2793,1353.6437,-2.0,2.0,7.865671873092651
2322.0,1354.0,2322.2695,1353.6467,-2.0,2.0,7.906966924667358
2322.0,1354.0,2322.2615,1353.6477,-2.0,2.0,7.9566850662231445
2322.0,1354.0,2322.257,1353.6426,-2.0,2.0,8.018877029418945
2323.0,1354.0,2322.3525,1353.6293,-3.0,2.0,8.065704107284546
2322.0,1354.0,2322.3406,1353.6295,-2.0,2.0,8.108093976974487
2322.0,1354.0,2322.3257,1353.6357,-2.0,2.0,8.14903712272644
2322.0,1354.0,2322.3125,1353.6404,-2.0,2.0,8.19831395149231
2322.0,1354.0,2322.3042,1353.6368,-2.0,2.0,8.259562969207764
2322.0,1354.0,2322.2986,1353.6289,-2.0,2.0,8.31175708770752
2322.0,1354.0,2322.287,1353.6324,-2.0,2.0,8.353455066680908
2322.0,1354.0,2322.2734,1353.6414,-2.0,2.0,8.393095016479492
2322.0,1354.0,2322.261,1353.6492,-2.0,2.0,8.44091796875
2322.0,1354.0,2322.2532,1353.6478,-2.0,2.0,8.50611400604248
2322.0,1354.0,2322.2458,1353.6458,-2.0,2.0,8.552012920379639
2322.0,1354.0,2322.2349,1353.6528,-2.0,2.0,8.592864990234375
2322.0,1354.0,2322.2234,1353.662,-2.0,2.0,8.632493019104004
2322.0,1354.0,2322.2126,1353.6705,-2.0,2.0,8.682653188705444
2322.0,1354.0,2322.2046,1353.6724,-2.0,2.0,8.743215084075928
2322.0,1354.0,2322.1978,1353.6713,-2.0,2.0,8.792330026626587
2322.0,1354.0,2322.1882,1353.6783,-2.0,2.0,8.836253881454468
2323.0,1354.0,2322.2642,1353.6866,-3.0,2.0,8.877173900604248
2323.0,1354.0,2322.3342,1353.6953,-3.0,2.0,8.932516098022461
2322.0,1354.0,2322.3213,1353.6958,-2.0,2.0,9.004163980484009
2322.0,1354.0,2322.308,1353.6967,-2.0,2.0,9.050813913345337
2322.0,1354.0,2322.2917,1353.7042,-2.0,2.0,9.091799020767212
2322.0,1354.0,2322.2744,1353.7151,-2.0,2.0,9.132162094116211
2322.0,1354.0,2322.2585,1353.7244,-2.0,2.0,9.188693046569824
2323.0,1354.0,2322.3293,1353.7283,-3.0,2.0,9.252171993255615
2323.0,1354.0,2322.3987,1353.7317,-3.0,2.0,9.294833183288574
2323.0,1354.0,2322.46,1353.7405,-3.0,2.0,9.336929082870483
2323.0,1354.0,2322.5156,1353.7502,-3.0,2.0,9.376693964004517
2323.0,1354.0,2322.5671,1353.7595,-3.0,2.0,9.43141508102417
2322.0,1354.0,2322.5405,1353.7645,-2.0,2.0,9.489772081375122
2323.0,1354.0,2322.5972,1353.7689,-3.0,2.0,9.539517164230347
2323.0,1354.0,2322.6475,1353.776,-3.0,2.0,9.584867000579834
2323.0,1354.0,2322.691,1353.785,-3.0,2.0,9.623723983764648
2323.0,1354.0,2322.7307,1353.7938,-3.0,2.0,9.67243480682373
2323.0,1354.0,2322.773,1353.8,-3.0,2.0,9.735477924346924
2323.0,1354.0,2322.8184,1353.8044,-3.0,2.0,9.785283088684082
2323.0,1354.0,2322.855,1353.8115,-3.0,2.0,9.823994159698486
2323.0,1354.0,2322.8843,1353.82,-3.0,2.0,9.86384892463684
2323.0,1354.0,2322.9124,1353.8276,-3.0,2.0,9.914929151535034
2323.0,1354.0,2322.9475,1353.8329,-3.0,2.0,9.982855796813965
2323.0,1354.0,2322.9844,1353.8375,-3.0,2.0,10.03014588356018
2323.0,1354.0,2323.0085,1353.8448,-3.0,2.0,10.07059907913208
2323.0,1354.0,2323.0283,1353.8523,-3.0,2.0,10.113493919372559
2323.0,1354.0,2323.0483,1353.8591,-3.0,2.0,10.166345834732056
2323.0,1354.0,2323.075,1353.8646,-3.0,2.0,10.233282089233398
2323.0,1354.0,2323.1025,1353.8699,-3.0,2.0,10.278143882751465
2323.0,1354.0,2323.1206,1353.8762,-3.0,2.0,10.320597887039185
2323.0,1354.0,2323.1316,1353.883,-3.0,2.0,10.360224962234497
2323.0,1354.0,2323.143,1353.8894,-3.0,2.0,10.407597064971924
2323.0,1354.0,2323.161,1353.895,-3.0,2.0,10.470093011856079
2323.0,1354.0,2323.1807,1353.9005,-3.0,2.0,10.52348518371582
2323.0,1354.0,2323.1948,1353.9062,-3.0,2.0,10.568151950836182
2323.0,1354.0,2323.2021,1353.9122,-3.0,2.0,10.611924886703491
2323.0,1354.0,2323.21,1353.9178,-3.0,2.0,10.665196895599365
2323.0,1354.0,2323.2227,1353.9233,-3.0,2.0,10.72350001335144
2323.0,1354.0,2323.2356,1353.9288,-3.0,2.0,10.768659830093384
2323.0,1354.0,2323.241,1353.9342,-3.0,2.0,10.81112289428711
2323.0,1354.0,2323.2444,1353.9393,-3.0,2.0,10.854065179824829
2323.0,1354.0,2323.2478,1353.9442,-3.0,2.0,10.905106782913208
2323.0,1354.0,2323.2551,1353.9492,-3.0,2.0,10.971099138259888
2323.0,1354.0,2323.2683,1353.9547,-3.0,2.0,11.021798133850098
2323.0,1354.0,2323.2725,1353.9596,-3.0,2.0,11.063815832138062
2323.0,1354.0,2323.2715,1353.964,-3.0,2.0,11.107988834381104
2323.0,1353.0,2323.2722,1353.8992,-3.0,3.0,11.162140130996704
2323.0,1354.0,2323.2783,1353.9064,-3.0,2.0,11.221614122390747
2323.0,1354.0,2323.2834,1353.9136,-3.0,2.0,11.269192934036255
2323.0,1353.0,2323.2827,1353.8511,-3.0,3.0,11.309525966644287
2323.0,1353.0,2323.2795,1353.7922,-3.0,3.0,11.359802007675171
2323.0,1353.0,2323.282,1353.7351,-3.0,3.0,11.420664072036743
2323.0,1353.0,2323.2847,1353.6797,-3.0,3.0,11.468904256820679
2324.0,1353.0,2323.3513,1353.6278,-4.0,3.0,11.51448392868042
2323.0,1353.0,2323.346,1353.5787,-3.0,3.0,11.554934024810791
