measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2322.0,1357.0,2322.0,1357.0,0.0,0.0,0.10911321640014648
2322.0,1357.0,2322.0,1357.0,0.0,0.0,0.18100619316101074
2322.0,1357.0,2322.0,1357.0,0.0,0.0,0.29199695587158203
2322.0,1357.0,2322.0,1357.0,0.0,0.0,0.34904026985168457
2322.0,1357.0,2322.0,1357.0,0.0,0.0,0.39188718795776367
2322.0,1357.0,2322.0,1357.0,0.0,0.0,0.4301950931549072
2322.0,1357.0,2322.0,1357.0,0.0,0.0,0.47356128692626953
2322.0,1356.0,2322.0,1356.7041,0.0,1.0,0.5201170444488525
2322.0,1357.0,2322.0,1356.7551,0.0,0.0,0.5752131938934326
2322.0,1357.0,2322.0,1356.8004,0.0,0.0,0.6297543048858643
2322.0,1357.0,2322.0,1356.8436,0.0,0.0,0.670058012008667
2323.0,1356.0,2322.2764,1356.6036,-1.0,1.0,0.7106692790985107
2323.0,1356.0,2322.4922,1356.4167,-1.0,1.0,0.7564821243286133
2323.0,1356.0,2322.6848,1356.2493,-1.0,1.0,0.8495533466339111
2323.0,1356.0,2322.9004,1356.0615,-1.0,1.0,0.8976151943206787
2323.0,1356.0,2322.999,1355.9801,-1.0,1.0,0.9429352283477783
2323.0,1356.0,2323.0735,1355.9192,-1.0,1.0,0.9957282543182373
2323.0,1356.0,2323.1448,1355.8608,-1.0,1.0,1.0768232345581055
2323.0,1356.0,2323.2188,1355.8008,-1.0,1.0,1.1220521926879883
2323.0,1356.0,2323.224,1355.7999,-1.0,1.0,1.1676323413848877
2323.0,1356.0,2323.2202,1355.8065,-1.0,1.0,1.2279341220855713
2323.0,1356.0,2323.23,1355.802,-1.0,1.0,1.3132250308990479
2324.0,1355.0,2323.5513,1355.4857,-2.0,2.0,1.3638899326324463
2324.0,1355.0,2323.7483,1355.2853,-2.0,2.0,1.4048850536346436
2324.0,1355.0,2323.885,1355.1453,-2.0,2.0,1.4455323219299316
2324.0,1355.0,2323.9897,1355.0378,-2.0,2.0,1.4989089965820312
2324.0,1355.0,2324.1042,1354.9226,-2.0,2.0,1.559185266494751
2324.0,1355.0,2324.1846,1354.8405,-2.0,2.0,1.6020350456237793
2324.0,1355.0,2324.2073,1354.8143,-2.0,2.0,1.6429240703582764
2324.0,1355.0,2324.2266,1354.7922,-2.0,2.0,1.691850185394287
2324.0,1355.0,2324.2512,1354.7653,-2.0,2.0,1.751096248626709
2325.0,1355.0,2324.5222,1354.7465,-3.0,2.0,1.7962172031402588
2325.0,1355.0,2324.7188,1354.7559,-3.0,2.0,1.8348212242126465
2325.0,1355.0,2324.8628,1354.7731,-3.0,2.0,1.8751771450042725
2325.0,1354.0,2324.983,1354.5616,-3.0,3.0,1.9207942485809326
2325.0,1354.0,2325.0967,1354.3729,-3.0,3.0,1.9806311130523682
2325.0,1354.0,2325.2034,1354.1981,-3.0,3.0,2.030668258666992
2325.0,1354.0,2325.2554,1354.076,-3.0,3.0,2.0726892948150635
2325.0,1354.0,2325.282,1353.9877,-3.0,3.0,2.112856149673462
2326.0,1354.0,2325.5168,1353.9214,-4.0,3.0,2.1560189723968506
2326.0,1354.0,2325.7283,1353.8585,-4.0,3.0,2.2152462005615234
2326.0,1354.0,2325.923,1353.8011,-4.0,3.0,2.2656161785125732
2326.0,1354.0,2326.0647,1353.7712,-4.0,3.0,2.305063247680664
2326.0,1354.0,2326.1504,1353.7662,-4.0,3.0,2.3423962593078613
2326.0,1354.0,2326.2144,1353.7668,-4.0,3.0,2.3874220848083496
2326.0,1354.0,2326.2803,1353.7638,-4.0,3.0,2.4461209774017334
2326.0,1353.0,2326.354,1353.5382,-4.0,4.0,2.4953243732452393
2326.0,1353.0,2326.3787,1353.3605,-4.0,4.0,2.5353951454162598
2326.0,1353.0,2326.3823,1353.2203,-4.0,4.0,2.576073169708252
2326.0,1353.0,2326.3699,1353.1158,-4.0,4.0,2.620561361312866
2326.0,1353.0,2326.3682,1353.013,-4.0,4.0,2.6827971935272217
2327.0,1353.0,2326.5862,1352.9078,-5.0,4.0,2.7328951358795166
2327.0,1353.0,2326.7476,1352.8488,-5.0,4.0,2.7753610610961914
2327.0,1353.0,2326.8687,1352.8136,-5.0,4.0,2.814535140991211
2327.0,1353.0,2326.9604,1352.7926,-5.0,4.0,2.863394260406494
2327.0,1353.0,2327.054,1352.764,-5.0,4.0,2.9223649501800537
2327.0,1352.0,2327.1384,1352.529,-5.0,5.0,2.970522165298462
