measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2366.0,1345.0,2366.0,1345.0,0.0,0.0,0.06404399871826172
2367.0,1343.0,2366.335,1344.3302,-1.0,2.0,0.11941814422607422
2367.0,1343.0,2366.504,1343.9922,-1.0,2.0,0.16721200942993164
2366.0,1345.0,2366.4026,1344.1946,0.0,0.0,0.21097612380981445
2367.0,1343.0,2366.507,1343.9856,-1.0,2.0,0.26598024368286133
2367.0,1343.0,2366.5864,1343.8268,-1.0,2.0,0.32575201988220215
2366.0,1345.0,2366.5083,1343.9828,0.0,0.0,0.36741137504577637
2366.0,1345.0,2366.444,1344.1115,0.0,0.0,0.40941619873046875
2366.0,1345.0,2366.39,1344.2203,0.0,0.0,0.46357297897338867
2366.0,1345.0,2366.3408,1344.3185,0.0,0.0,0.5236642360687256
2365.0,1345.0,2366.175,1344.4108,1.0,0.0,0.5675861835479736
2367.0,1343.0,2366.2607,1344.2561,-1.0,2.0,0.6090631484985352
2367.0,1343.0,2366.3403,1344.114,-1.0,2.0,0.648090124130249
2366.0,1345.0,2366.2996,1344.2114,0.0,0.0,0.6943831443786621
2367.0,1343.0,2366.3757,1344.073,-1.0,2.0,0.7572321891784668
2367.0,1343.0,2366.4531,1343.9309,-1.0,2.0,0.808866024017334
2367.0,1343.0,2366.526,1343.8007,-1.0,2.0,0.8485941886901855
2366.0,1345.0,2366.4692,1343.929,0.0,0.0,0.8876473903656006
2367.0,1344.0,2366.5383,1343.9265,-1.0,1.0,0.9358611106872559
2367.0,1344.0,2366.607,1343.9215,-1.0,1.0,1.0184540748596191
2367.0,1343.0,2366.6846,1343.7725,-1.0,2.0,1.06691312789917
2366.0,1345.0,2366.6072,1343.9221,0.0,0.0,1.1041371822357178
2366.0,1345.0,2366.534,1344.0604,0.0,0.0,1.1470520496368408
2366.0,1345.0,2366.4678,1344.1868,0.0,0.0,1.200942039489746
2366.0,1345.0,2366.4048,1344.3086,0.0,0.0,1.2579410076141357
2367.0,1343.0,2366.4858,1344.1418,-1.0,2.0,1.295842170715332
2367.0,1343.0,2366.5596,1343.9866,-1.0,2.0,1.3379032611846924
2367.0,1343.0,2366.6257,1343.8467,-1.0,2.0,1.385000228881836
2366.0,1345.0,2366.5513,1343.9902,0.0,0.0,1.4471180438995361
2366.0,1344.0,2366.479,1343.9857,0.0,1.0,1.49623703956604
2367.0,1343.0,2366.5547,1343.8385,-1.0,2.0,1.534297227859497
2367.0,1343.0,2366.6216,1343.709,-1.0,2.0,1.576308250427246
2367.0,1343.0,2366.6826,1343.5906,-1.0,2.0,1.6234800815582275
2367.0,1343.0,2366.743,1343.4731,-1.0,2.0,1.6884090900421143
2366.0,1345.0,2366.654,1343.6533,0.0,0.0,1.7350881099700928
2367.0,1343.0,2366.7148,1343.5349,-1.0,2.0,1.7769081592559814
2367.0,1343.0,2366.7666,1343.4344,-1.0,2.0,1.8168351650238037
2366.0,1345.0,2366.6711,1343.6282,0.0,0.0,1.865922212600708
2366.0,1345.0,2366.5833,1343.806,0.0,0.0,1.926856279373169
2366.0,1344.0,2366.4963,1343.8285,0.0,1.0,1.973546028137207
2366.0,1344.0,2366.4177,1343.8516,0.0,1.0,2.013352155685425
2366.0,1345.0,2366.3481,1344.0188,0.0,0.0,2.052229166030884
2367.0,1343.0,2366.429,1343.8822,-1.0,2.0,2.0963943004608154
2367.0,1343.0,2366.5022,1343.7561,-1.0,2.0,2.1570160388946533
2367.0,1343.0,2366.5725,1343.6333,-1.0,2.0,2.2077841758728027
2368.0,1343.0,2366.7893,1343.5227,-2.0,2.0,2.2476673126220703
2368.0,1342.0,2366.982,1343.2795,-2.0,3.0,2.287696123123169
2368.0,1342.0,2367.155,1343.061,-2.0,3.0,2.3339691162109375
2366.0,1346.0,2367.0276,1343.4385,0.0,-1.0,2.4011712074279785
2368.0,1343.0,2367.2263,1343.3352,-2.0,2.0,2.4552581310272217
2367.0,1343.0,2367.231,1343.2561,-1.0,2.0,2.4954311847686768
2368.0,1343.0,2367.3813,1343.1906,-2.0,2.0,2.536311149597168
2368.0,1343.0,2367.5232,1343.1272,-2.0,2.0,2.59692120552063
2368.0,1343.0,2367.667,1343.0613,-2.0,2.0,2.653120994567871
2368.0,1343.0,2367.793,1343.0059,-2.0,2.0,2.695603370666504
2367.0,1344.0,2367.7288,1343.1235,-1.0,1.0,2.735253095626831
2366.0,1344.0,2367.5247,1343.2272,0.0,1.0,2.7868812084198
2368.0,1343.0,2367.6528,1343.165,-2.0,2.0,2.8531181812286377
2367.0,1343.0,2367.618,1343.1061,-1.0,2.0,2.8953821659088135
2367.0,1343.0,2367.5623,1343.0676,-1.0,2.0,2.936866044998169
2366.0,1344.0,2367.3655,1343.1816,0.0,1.0,2.9762370586395264
2368.0,1343.0,2367.4775,1343.1398,-2.0,2.0,3.017634153366089
2368.0,1343.0,2367.584,1343.099,-2.0,2.0,3.07867431640625
2368.0,1343.0,2367.6902,1343.0576,-2.0,2.0,3.1340463161468506
2367.0,1344.0,2367.6335,1343.1719,-1.0,1.0,3.1759471893310547
2366.0,1345.0,2367.4285,1343.4243,0.0,0.0,3.2184183597564697
2367.0,1345.0,2367.3855,1343.6512,-1.0,0.0,3.2702012062072754
2367.0,1345.0,2367.3484,1343.8688,-1.0,0.0,3.331179141998291
2368.0,1343.0,2367.4585,1343.7809,-2.0,2.0,3.373711109161377
2366.0,1345.0,2367.2646,1343.9795,0.0,0.0,3.4147751331329346
2367.0,1345.0,2367.2312,1344.1559,-1.0,0.0,3.4632961750030518
2367.0,1343.0,2367.1997,1344.05,-1.0,2.0,3.525158166885376
2367.0,1343.0,2367.1685,1343.95,-1.0,2.0,3.568530321121216
2367.0,1343.0,2367.1409,1343.8453,-1.0,2.0,3.610168218612671
2367.0,1343.0,2367.1157,1343.7532,-1.0,2.0,3.6495871543884277
2368.0,1343.0,2367.2266,1343.67,-2.0,2.0,3.6941633224487305
2368.0,1343.0,2367.3276,1343.597,-2.0,2.0,3.7528281211853027
2368.0,1342.0,2367.4238,1343.3921,-2.0,3.0,3.8055412769317627
2368.0,1343.0,2367.511,1343.3374,-2.0,2.0,3.8455092906951904
2368.0,1343.0,2367.587,1343.2891,-2.0,2.0,3.8876612186431885
2368.0,1343.0,2367.6562,1343.245,-2.0,2.0,3.937009334564209
2368.0,1343.0,2367.7224,1343.2034,-2.0,2.0,3.9965732097625732
2367.0,1344.0,2367.6516,1343.2979,-1.0,1.0,4.04889702796936
2368.0,1342.0,2367.716,1343.1184,-2.0,3.0,4.094948053359985
2368.0,1343.0,2367.7712,1343.0892,-2.0,2.0,4.136470079421997
2367.0,1343.0,2367.6897,1343.0636,-1.0,2.0,4.191824197769165
2367.0,1343.0,2367.6155,1343.0367,-1.0,2.0,4.247767210006714
2368.0,1343.0,2367.6775,1343.0122,-2.0,2.0,4.293259143829346
2368.0,1343.0,2367.7302,1342.9951,-2.0,2.0,4.332348346710205
2367.0,1344.0,2367.6487,1343.1088,-1.0,1.0,4.371159076690674
2367.0,1344.0,2367.5752,1343.2109,-1.0,1.0,4.4138031005859375
2368.0,1343.0,2367.6301,1343.1819,-2.0,2.0,4.472265243530273
2368.0,1342.0,2367.6836,1343.0276,-2.0,3.0,4.520420074462891
2368.0,1343.0,2367.7305,1343.0115,-2.0,2.0,4.560429096221924
2368.0,1343.0,2367.7717,1342.9983,-2.0,2.0,4.600482225418091
2368.0,1343.0,2367.8076,1342.9879,-2.0,2.0,4.645543336868286
2368.0,1343.0,2367.8425,1342.9763,-2.0,2.0,4.704047203063965
2368.0,1343.0,2367.8784,1342.9624,-2.0,2.0,4.756256103515625
