measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2366.0,1345.0,2366.0,1345.0,0.0,0.0,0.0755453109741211
2366.0,1345.0,2366.0,1345.0,0.0,0.0,0.1252591609954834
2367.0,1343.0,2366.253,1344.4943,-1.0,2.0,0.16438627243041992
2365.0,1345.0,2365.9983,1344.5952,1.0,0.0,0.202789306640625
2365.0,1345.0,2365.8254,1344.6633,1.0,0.0,0.25423431396484375
2365.0,1346.0,2365.6963,1344.8656,1.0,-1.0,0.3147761821746826
2366.0,1345.0,2365.732,1344.8877,0.0,0.0,0.3580660820007324
2365.0,1345.0,2365.6333,1344.905,1.0,0.0,0.39897608757019043
2365.0,1345.0,2365.55,1344.9197,1.0,0.0,0.4435760974884033
2365.0,1345.0,2365.4746,1344.9335,1.0,0.0,0.5026471614837646
2366.0,1345.0,2365.521,1344.9463,0.0,0.0,0.551422119140625
2367.0,1343.0,2365.682,1344.7258,-1.0,2.0,0.5886342525482178
2367.0,1343.0,2365.83,1344.5253,-1.0,2.0,0.6252541542053223
2367.0,1343.0,2365.965,1344.3424,-1.0,2.0,0.6707801818847656
2367.0,1343.0,2366.0957,1344.1642,-1.0,2.0,0.7256381511688232
2367.0,1343.0,2366.2278,1343.9839,-1.0,2.0,0.773273229598999
2382.0,1343.0,2368.1272,1343.822,-16.0,2.0,0.811772346496582
2382.0,1343.0,2369.8801,1343.6819,-16.0,2.0,0.8519470691680908
2338.0,1346.0,2366.352,1343.9037,28.0,-1.0,0.8965740203857422
2372.0,1343.0,2367.04,1343.7537,-6.0,2.0,0.951585054397583
2388.0,1342.0,2369.752,1343.4701,-22.0,3.0,1.005505084991455
2388.0,1342.0,2372.352,1343.2112,-22.0,3.0,1.0451462268829346
2344.0,1345.0,2369.0652,1343.3749,22.0,0.0,1.0833101272583008
2358.0,1345.0,2367.801,1343.5275,8.0,0.0,1.128904104232788
2358.0,1345.0,2366.6113,1343.664,8.0,0.0,1.1952300071716309
2392.0,1341.0,2370.0547,1343.2472,-26.0,4.0,1.2407219409942627
2356.0,1344.0,2368.335,1343.2913,10.0,1.0,1.2820522785186768
2346.0,1345.0,2365.395,1343.473,20.0,0.0,1.321892261505127
2390.0,1341.0,2368.5713,1343.109,-24.0,4.0,1.36366605758667
2390.0,1341.0,2371.5068,1342.7717,-24.0,4.0,1.42205810546875
2369.0,1342.0,2371.5303,1342.559,-3.0,3.0,1.4785993099212646
2339.0,1345.0,2367.1997,1342.8042,27.0,0.0,1.5205721855163574
2383.0,1342.0,2369.3948,1342.6296,-17.0,3.0,1.563535213470459
2381.0,1342.0,2371.1348,1342.4683,-15.0,3.0,1.6161012649536133
2381.0,1342.0,2372.7979,1342.3097,-15.0,3.0,1.6744053363800049
2338.0,1346.0,2368.0093,1342.7494,28.0,-1.0,1.7223162651062012
2372.0,1342.0,2368.5728,1342.5912,-6.0,3.0,1.7623240947723389
2388.0,1342.0,2371.388,1342.457,-22.0,3.0,1.8110673427581787
2345.0,1345.0,2367.6995,1342.76,21.0,0.0,1.8720190525054932
2359.0,1343.0,2366.266,1342.7502,7.0,2.0,1.9182453155517578
2359.0,1343.0,2365.0156,1342.7584,7.0,2.0,1.9596621990203857
2392.0,1341.0,2368.774,1342.4746,-26.0,4.0,1.998993158340454
2357.0,1344.0,2367.0847,1342.6553,9.0,1.0,2.0394351482391357
2357.0,1344.0,2365.543,1342.8193,9.0,1.0,2.097226142883301
2346.0,1345.0,2362.3801,1343.1226,20.0,0.0,2.1504101753234863
2390.0,1341.0,2366.0537,1342.8126,-24.0,4.0,2.1879513263702393
2370.0,1342.0,2366.5015,1342.6843,-4.0,3.0,2.225156307220459
2370.0,1342.0,2366.899,1342.5714,-4.0,3.0,2.2872421741485596
2339.0,1345.0,2362.374,1342.9126,27.0,0.0,2.3763389587402344
2382.0,1341.0,2365.0273,1342.5989,-16.0,4.0,2.421020984649658
2339.0,1344.0,2360.5054,1342.8157,27.0,1.0,2.4781529903411865
2339.0,1344.0,2356.3535,1343.0155,27.0,1.0,2.545391321182251
2372.0,1342.0,2357.9585,1342.8668,-6.0,3.0,2.6135470867156982
2346.0,1344.0,2354.9355,1343.0834,20.0,1.0,2.657130002975464
2346.0,1344.0,2352.722,1343.2623,20.0,1.0,2.702298164367676
2358.0,1345.0,2352.779,1343.5806,8.0,0.0,2.7404611110687256
2393.0,1340.0,2358.356,1343.0697,-27.0,5.0,2.7847812175750732
2393.0,1340.0,2363.2095,1342.6234,-27.0,5.0,2.849424362182617
2358.0,1344.0,2362.1956,1342.8383,8.0,1.0,2.8943560123443604
2346.0,1345.0,2359.5195,1343.1838,20.0,0.0,2.933664083480835
2391.0,1340.0,2363.912,1342.7396,-25.0,5.0,2.973581075668335
2391.0,1340.0,2367.7893,1342.3489,-25.0,5.0,3.015334367752075
2372.0,1341.0,2368.5645,1342.1422,-6.0,4.0,3.071103096008301
2340.0,1344.0,2364.7183,1342.3771,26.0,1.0,3.121880292892456
2383.0,1341.0,2367.365,1342.1656,-17.0,4.0,3.1647751331329346
2383.0,1341.0,2369.751,1341.9781,-17.0,4.0,3.202204942703247
2383.0,1341.0,2371.832,1341.8169,-17.0,4.0,3.244028329849243
2340.0,1344.0,2367.9019,1342.0758,26.0,1.0,3.3082351684570312
2371.0,1343.0,2368.6057,1342.1772,-5.0,2.0,3.3556182384490967
2392.0,1340.0,2372.1294,1341.8563,-26.0,5.0,3.393522024154663
2392.0,1340.0,2375.2212,1341.5748,-26.0,5.0,3.4339520931243896
2347.0,1344.0,2371.967,1341.8594,19.0,1.0,3.480273962020874
2358.0,1345.0,2370.5056,1342.2528,8.0,0.0,3.540908098220825
2394.0,1340.0,2374.263,1341.9331,-28.0,5.0,3.5924081802368164
2361.0,1341.0,2372.9312,1341.7832,5.0,4.0,3.631864070892334
2361.0,1341.0,2371.658,1341.6558,5.0,4.0,3.6706702709198
2346.0,1344.0,2368.558,1341.937,20.0,1.0,3.7148072719573975
