measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.10190081596374512
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.14726519584655762
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.18474721908569336
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.22687911987304688
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.28446388244628906
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.33359599113464355
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.37060999870300293
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.40935301780700684
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.45546603202819824
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.5182480812072754
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.5706510543823242
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.6185939311981201
2323.0,1354.0,2322.117,1354.0,-1.0,0.0,0.66109299659729
2323.0,1354.0,2322.2256,1354.0,-1.0,0.0,0.7119719982147217
2323.0,1354.0,2322.3325,1354.0,-1.0,0.0,0.7710490226745605
2323.0,1354.0,2322.4368,1354.0,-1.0,0.0,0.813291072845459
2323.0,1354.0,2322.5278,1354.0,-1.0,0.0,0.8519089221954346
2323.0,1353.0,2322.6082,1353.8783,-1.0,1.0,0.8946800231933594
2323.0,1353.0,2322.6873,1353.7628,-1.0,1.0,0.9550909996032715
2323.0,1353.0,2322.773,1353.6453,-1.0,1.0,1.0045359134674072
2323.0,1353.0,2322.8445,1353.5369,-1.0,1.0,1.0436439514160156
2323.0,1353.0,2322.897,1353.4458,-1.0,1.0,1.0836498737335205
2323.0,1353.0,2322.9463,1353.3612,-1.0,1.0,1.1307458877563477
2323.0,1353.0,2323.0034,1353.2717,-1.0,1.0,1.1932759284973145
2324.0,1353.0,2323.2034,1353.179,-2.0,1.0,1.2420711517333984
2324.0,1353.0,2323.3616,1353.1154,-2.0,1.0,1.281592845916748
2324.0,1353.0,2323.5005,1353.061,-2.0,1.0,1.3200268745422363
2324.0,1353.0,2323.623,1353.014,-2.0,1.0,1.3637590408325195
2324.0,1353.0,2323.749,1352.9626,-2.0,1.0,1.4283759593963623
2324.0,1352.0,2323.9077,1352.7452,-2.0,2.0,1.4806020259857178
2324.0,1352.0,2323.9917,1352.5873,-2.0,2.0,1.5214581489562988
2324.0,1352.0,2324.0654,1352.4462,-2.0,2.0,1.5607080459594727
2324.0,1352.0,2324.1277,1352.3223,-2.0,2.0,1.6034870147705078
2324.0,1352.0,2324.1934,1352.2,-2.0,2.0,1.6628801822662354
2325.0,1352.0,2324.4226,1352.0602,-3.0,2.0,1.7137060165405273
2325.0,1352.0,2324.5984,1351.9658,-3.0,2.0,1.7527918815612793
2325.0,1352.0,2324.7397,1351.8958,-3.0,2.0,1.7908580303192139
2325.0,1352.0,2324.8645,1351.8347,-3.0,2.0,1.8358778953552246
2325.0,1352.0,2324.9902,1351.7695,-3.0,2.0,1.891767978668213
2325.0,1352.0,2325.126,1351.6951,-3.0,2.0,1.9391489028930664
2325.0,1351.0,2325.2207,1351.5055,-3.0,3.0,1.9776160717010498
