measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2367.0,1344.0,2367.0,1344.0,0.0,0.0,0.07947301864624023
2366.0,1345.0,2366.6653,1344.3348,1.0,-1.0,0.12660694122314453
2367.0,1343.0,2366.749,1343.9983,0.0,1.0,0.17630410194396973
2365.0,1346.0,2366.39,1344.4077,2.0,-2.0,0.216094970703125
2365.0,1346.0,2366.1448,1344.687,2.0,-2.0,0.28052401542663574
2367.0,1343.0,2366.2673,1344.4347,0.0,1.0,0.343015193939209
2366.0,1345.0,2366.2231,1344.5173,1.0,-1.0,0.4022078514099121
2366.0,1345.0,2366.1855,1344.5874,1.0,-1.0,0.45636606216430664
2367.0,1343.0,2366.2837,1344.3866,0.0,1.0,0.5254209041595459
2367.0,1343.0,2366.3738,1344.2026,0.0,1.0,0.5666921138763428
2367.0,1343.0,2366.4536,1344.0426,0.0,1.0,0.6053848266601562
2367.0,1343.0,2366.5244,1343.9015,0.0,1.0,0.6434438228607178
2367.0,1343.0,2366.588,1343.7748,0.0,1.0,0.685230016708374
2367.0,1343.0,2366.6487,1343.6532,0.0,1.0,0.7457330226898193
2368.0,1343.0,2366.8357,1343.5236,-1.0,1.0,0.7978489398956299
2367.0,1344.0,2366.8813,1343.5411,0.0,0.0,0.8368518352508545
2368.0,1343.0,2367.0405,1343.4429,-1.0,1.0,0.8759210109710693
2368.0,1343.0,2367.1873,1343.3529,-1.0,1.0,0.9168481826782227
2368.0,1343.0,2367.3267,1343.2668,-1.0,1.0,0.9724671840667725
2367.0,1344.0,2367.344,1343.3016,0.0,0.0,1.0207128524780273
2367.0,1344.0,2367.3494,1343.346,0.0,0.0,1.0599050521850586
2367.0,1344.0,2367.3445,1343.3959,0.0,0.0,1.098201036453247
2368.0,1344.0,2367.462,1343.4446,-1.0,0.0,1.1395361423492432
2367.0,1344.0,2367.4485,1343.4889,0.0,0.0,1.1929152011871338
2368.0,1344.0,2367.58,1343.5266,-1.0,0.0,1.2481870651245117
2369.0,1342.0,2367.826,1343.3014,-2.0,2.0,1.2878272533416748
2369.0,1342.0,2368.0347,1343.1025,-2.0,2.0,1.325984001159668
2369.0,1343.0,2368.2231,1343.0531,-2.0,1.0,1.3688750267028809
2369.0,1343.0,2368.4072,1343.003,-2.0,1.0,1.4256210327148438
2369.0,1342.0,2368.6077,1342.8065,-2.0,2.0,1.4773049354553223
2368.0,1344.0,2368.6252,1342.9165,-1.0,0.0,1.5206260681152344
