measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2366.0,1346.0,2366.0,1346.0,0.0,0.0,0.05492091178894043
2366.0,1346.0,2366.0,1346.0,0.0,0.0,0.0939488410949707
2366.0,1346.0,2366.0,1346.0,0.0,0.0,0.1367647647857666
2366.0,1346.0,2366.0,1346.0,0.0,0.0,0.17719173431396484
2366.0,1346.0,2366.0,1346.0,0.0,0.0,0.21953082084655762
2366.0,1345.0,2366.0,1345.7097,0.0,1.0,0.2765979766845703
2366.0,1345.0,2366.0,1345.4386,0.0,1.0,0.3309359550476074
2366.0,1345.0,2366.0,1345.224,0.0,1.0,0.36812400817871094
2366.0,1345.0,2366.0,1345.0929,0.0,1.0,0.4071688652038574
2366.0,1345.0,2366.0,1344.9933,0.0,1.0,0.452988862991333
2366.0,1345.0,2366.0,1344.9052,0.0,1.0,0.5200209617614746
2367.0,1345.0,2366.3105,1344.8191,-1.0,1.0,0.570936918258667
2367.0,1345.0,2366.552,1344.7917,-1.0,1.0,0.6127839088439941
2367.0,1345.0,2366.7207,1344.7909,-1.0,1.0,0.6527841091156006
2367.0,1345.0,2366.8508,1344.7911,-1.0,1.0,0.7025599479675293
2367.0,1345.0,2366.9734,1344.7838,-1.0,1.0,0.7698788642883301
2367.0,1345.0,2367.088,1344.7795,-1.0,1.0,0.8210740089416504
2367.0,1344.0,2367.1526,1344.5272,-1.0,2.0,0.8621737957000732
2367.0,1344.0,2367.1765,1344.3474,-1.0,2.0,0.9070730209350586
2367.0,1344.0,2367.2021,1344.1942,-1.0,2.0,0.9686770439147949
2367.0,1344.0,2367.24,1344.0337,-1.0,2.0,1.0541229248046875
2368.0,1344.0,2367.5618,1343.8977,-2.0,2.0,1.1014440059661865
2368.0,1344.0,2367.7612,1343.8551,-2.0,2.0,1.1422078609466553
2368.0,1344.0,2367.9026,1343.8333,-2.0,2.0,1.192178726196289
2368.0,1344.0,2368.0325,1343.8081,-2.0,2.0,1.2480690479278564
2368.0,1344.0,2368.1448,1343.791,-2.0,2.0,1.304603099822998
2368.0,1344.0,2368.2095,1343.7961,-2.0,2.0,1.3424270153045654
2368.0,1344.0,2368.2278,1343.8171,-2.0,2.0,1.3811488151550293
2368.0,1344.0,2368.2437,1343.8354,-2.0,2.0,1.43516206741333
2368.0,1344.0,2368.2754,1343.8495,-2.0,2.0,1.5238151550292969
2369.0,1344.0,2368.6055,1343.872,-3.0,2.0,1.5705499649047852
2369.0,1344.0,2368.793,1343.9048,-3.0,2.0,1.6145429611206055
2369.0,1343.0,2368.939,1343.6697,-3.0,3.0,1.656214952468872
2369.0,1343.0,2369.0364,1343.4899,-3.0,3.0,1.7206029891967773
2369.0,1343.0,2369.162,1343.3198,-3.0,3.0,1.7744660377502441
2369.0,1343.0,2369.2244,1343.1932,-3.0,3.0,1.8137037754058838
2369.0,1343.0,2369.2446,1343.1078,-3.0,3.0,1.8523061275482178
2369.0,1343.0,2369.2583,1343.0409,-3.0,3.0,1.8996789455413818
2369.0,1343.0,2369.2788,1342.9774,-3.0,3.0,1.9616618156433105
2369.0,1343.0,2369.2974,1342.9182,-3.0,3.0,2.009321928024292
2370.0,1343.0,2369.5208,1342.8892,-4.0,3.0,2.0518410205841064
2369.0,1343.0,2369.4663,1342.8732,-3.0,3.0,2.0889408588409424
2369.0,1343.0,2369.411,1342.8672,-3.0,3.0,2.134333848953247
2370.0,1343.0,2369.5862,1342.8572,-4.0,3.0,2.1969618797302246
2370.0,1342.0,2369.7493,1342.6182,-4.0,4.0,2.2427010536193848
2370.0,1342.0,2369.8635,1342.4297,-4.0,4.0,2.282576084136963
2370.0,1342.0,2369.9465,1342.2826,-4.0,4.0,2.3266990184783936
2370.0,1342.0,2370.0166,1342.1559,-4.0,4.0,2.373878002166748
2370.0,1342.0,2370.0776,1342.0414,-4.0,4.0,2.4324488639831543
2371.0,1342.0,2370.3574,1341.9325,-5.0,4.0,2.4810869693756104
2370.0,1342.0,2370.3518,1341.8679,-4.0,4.0,2.520042896270752
2370.0,1342.0,2370.3315,1341.8301,-4.0,4.0,2.5603439807891846
2371.0,1342.0,2370.5178,1341.7985,-5.0,4.0,2.61139178276062
2371.0,1342.0,2370.6946,1341.7582,-5.0,4.0,2.6773858070373535
2371.0,1341.0,2370.863,1341.495,-5.0,5.0,2.727139949798584
2371.0,1341.0,2370.9746,1341.2974,-5.0,5.0,2.766447067260742
2371.0,1341.0,2371.0452,1341.1566,-5.0,5.0,2.8063228130340576
2371.0,1341.0,2371.1025,1341.0391,-5.0,5.0,2.8566858768463135
2371.0,1341.0,2371.1694,1340.9094,-5.0,5.0,2.9233179092407227
2371.0,1341.0,2371.2253,1340.7915,-5.0,5.0,2.9726459980010986
2372.0,1341.0,2371.4631,1340.7247,-6.0,5.0,3.014286994934082
2372.0,1341.0,2371.6367,1340.6993,-6.0,5.0,3.0576658248901367
2372.0,1341.0,2371.7896,1340.6702,-6.0,5.0,3.116368055343628
2372.0,1341.0,2371.9507,1340.622,-6.0,5.0,3.1868929862976074
2372.0,1341.0,2372.0947,1340.5845,-6.0,5.0,3.2323508262634277
2372.0,1341.0,2372.1582,1340.6025,-6.0,5.0,3.2747199535369873
2372.0,1341.0,2372.211,1340.6183,-6.0,5.0,3.3157401084899902
2372.0,1341.0,2372.2402,1340.6423,-6.0,5.0,3.3687920570373535
2372.0,1340.0,2372.29,1340.4524,-6.0,6.0,3.4378459453582764
2373.0,1340.0,2372.5386,1340.2749,-7.0,6.0,3.482635974884033
2373.0,1340.0,2372.709,1340.1572,-7.0,6.0,3.526681900024414
2373.0,1340.0,2372.8508,1340.0597,-7.0,6.0,3.566344738006592
2373.0,1340.0,2372.9556,1339.9889,-7.0,6.0,3.6164567470550537
2373.0,1340.0,2373.07,1339.9098,-7.0,6.0,3.6779918670654297
2373.0,1340.0,2373.1787,1339.8348,-7.0,6.0,3.7234930992126465
2373.0,1339.0,2373.2322,1339.6171,-7.0,7.0,3.764075994491577
2373.0,1339.0,2373.2683,1339.4387,-7.0,7.0,3.802891969680786
2373.0,1340.0,2373.2937,1339.4608,-7.0,6.0,3.8491828441619873
2373.0,1339.0,2373.3274,1339.299,-7.0,7.0,3.9117119312286377
2374.0,1339.0,2373.5442,1339.1339,-8.0,7.0,3.963273763656616
2374.0,1339.0,2373.7117,1339.0149,-8.0,7.0,4.004489898681641
2374.0,1339.0,2373.8389,1338.9302,-8.0,7.0,4.048626899719238
2374.0,1339.0,2373.9475,1338.8582,-8.0,7.0,4.106259822845459
2374.0,1339.0,2374.0713,1338.7676,-8.0,7.0,4.171828985214233
2374.0,1339.0,2374.1782,1338.691,-8.0,7.0,4.215940952301025
2375.0,1339.0,2374.3992,1338.6656,-9.0,7.0,4.256494045257568
2375.0,1339.0,2374.5854,1338.6483,-9.0,7.0,4.298637866973877
2375.0,1338.0,2374.739,1338.4797,-9.0,8.0,4.348085880279541
2375.0,1338.0,2374.8945,1338.315,-9.0,8.0,4.410804986953735
2375.0,1338.0,2375.0574,1338.1461,-9.0,8.0,4.457499980926514
2375.0,1338.0,2375.1533,1338.0358,-9.0,8.0,4.496134996414185
2375.0,1338.0,2375.2207,1337.9531,-9.0,8.0,4.5377960205078125
2375.0,1338.0,2375.28,1337.8804,-9.0,8.0,4.587476968765259
2376.0,1338.0,2375.5034,1337.798,-10.0,8.0,4.653126955032349
2375.0,1338.0,2375.5762,1337.7064,-9.0,8.0,4.699033975601196
2375.0,1338.0,2375.589,1337.667,-9.0,8.0,4.73764181137085
2375.0,1338.0,2375.5828,1337.6475,-9.0,8.0,4.780062913894653
2376.0,1338.0,2375.7249,1337.627,-10.0,8.0,4.830848932266235
2376.0,1338.0,2375.876,1337.5924,-10.0,8.0,4.8941590785980225
2376.0,1337.0,2376.0166,1337.4128,-10.0,9.0,4.939305782318115
2377.0,1337.0,2376.2563,1337.2769,-11.0,9.0,4.979557037353516
2377.0,1337.0,2376.4468,1337.173,-11.0,9.0,5.020939826965332
2377.0,1337.0,2376.6208,1337.0774,-11.0,9.0,5.073330879211426
2377.0,1336.0,2376.8103,1336.8291,-11.0,10.0,5.13470196723938
2377.0,1336.0,2376.9905,1336.5924,-11.0,10.0,5.1832358837127686
2377.0,1336.0,2377.1145,1336.4083,-11.0,10.0,5.225109815597534
2377.0,1336.0,2377.1985,1336.2667,-11.0,10.0,5.2660839557647705
2377.0,1336.0,2377.2764,1336.1377,-11.0,10.0,5.315363883972168
2378.0,1336.0,2377.509,1335.9937,-12.0,10.0,5.38007378578186
2378.0,1336.0,2377.7314,1335.8556,-12.0,10.0,5.429157972335815
