measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2366.0,1346.0,2366.0,1346.0,0.0,0.0,0.06321406364440918
2366.0,1346.0,2366.0,1346.0,0.0,0.0,0.12504100799560547
2366.0,1346.0,2366.0,1346.0,0.0,0.0,0.17350196838378906
2366.0,1346.0,2366.0,1346.0,0.0,0.0,0.2188868522644043
2366.0,1346.0,2366.0,1346.0,0.0,0.0,0.2885410785675049
2366.0,1345.0,2366.0,1345.8435,0.0,1.0,0.3430910110473633
2366.0,1345.0,2366.0,1345.7192,0.0,1.0,0.39287400245666504
2367.0,1345.0,2366.1333,1345.6162,-1.0,1.0,0.43649888038635254
2367.0,1345.0,2366.248,1345.5273,-1.0,1.0,0.4948458671569824
2367.0,1345.0,2366.352,1345.4462,-1.0,1.0,0.5541398525238037
2367.0,1345.0,2366.4475,1345.3717,-1.0,1.0,0.5973150730133057
2367.0,1345.0,2366.53,1345.3094,-1.0,1.0,0.6424429416656494
2367.0,1345.0,2366.6077,1345.2502,-1.0,1.0,0.7098939418792725
2367.0,1345.0,2366.6934,1345.1833,-1.0,1.0,0.7760698795318604
2367.0,1345.0,2366.7688,1345.1262,-1.0,1.0,0.8181509971618652
2368.0,1345.0,2366.9578,1345.0842,-2.0,1.0,0.8710877895355225
2368.0,1345.0,2367.144,1345.0398,-2.0,1.0,0.9433889389038086
2367.0,1345.0,2367.2007,1344.988,-1.0,1.0,1.0124280452728271
2368.0,1345.0,2367.381,1344.952,-2.0,1.0,1.0700600147247314
2368.0,1345.0,2367.5461,1344.9221,-2.0,1.0,1.1591360569000244
2368.0,1344.0,2367.7395,1344.7133,-2.0,2.0,1.2295072078704834
2368.0,1344.0,2367.8755,1344.5397,-2.0,2.0,1.2774221897125244
2368.0,1344.0,2367.966,1344.4048,-2.0,2.0,1.3229680061340332
2368.0,1344.0,2368.0403,1344.2908,-2.0,2.0,1.3719110488891602
2368.0,1344.0,2368.1128,1344.1843,-2.0,2.0,1.44028902053833
2368.0,1344.0,2368.208,1344.0609,-2.0,2.0,1.5050771236419678
2368.0,1344.0,2368.2612,1343.9757,-2.0,2.0,1.5492889881134033
2368.0,1344.0,2368.2861,1343.9198,-2.0,2.0,1.5969548225402832
2368.0,1344.0,2368.3127,1343.8657,-2.0,2.0,1.6572120189666748
2368.0,1344.0,2368.3474,1343.8052,-2.0,2.0,1.7110631465911865
2369.0,1344.0,2368.5195,1343.7678,-3.0,2.0,1.7513210773468018
2369.0,1344.0,2368.6528,1343.7511,-3.0,2.0,1.7917640209197998
2369.0,1344.0,2368.7708,1343.736,-3.0,2.0,1.8425321578979492
2369.0,1343.0,2368.8958,1343.5586,-3.0,3.0,1.9093818664550781
2369.0,1343.0,2369.0215,1343.3833,-3.0,3.0,1.959312915802002
2369.0,1343.0,2369.1057,1343.2474,-3.0,3.0,2.002346992492676
2369.0,1343.0,2369.1648,1343.1404,-3.0,3.0,2.0424680709838867
2369.0,1343.0,2369.2112,1343.0511,-3.0,3.0,2.090165138244629
2370.0,1343.0,2369.419,1342.9547,-4.0,3.0,2.156486988067627
2370.0,1343.0,2369.636,1342.847,-4.0,3.0,2.2012670040130615
2370.0,1343.0,2369.7778,1342.7975,-4.0,3.0,2.2441859245300293
2370.0,1343.0,2369.904,1342.7538,-4.0,3.0,2.2833590507507324
2370.0,1343.0,2370.0063,1342.7225,-4.0,3.0,2.3304619789123535
2370.0,1343.0,2370.115,1342.6831,-4.0,3.0,2.4019429683685303
2370.0,1343.0,2370.2517,1342.6238,-4.0,3.0,2.4465081691741943
2370.0,1343.0,2370.3113,1342.6154,-4.0,3.0,2.485363006591797
2370.0,1343.0,2370.3486,1342.6182,-4.0,3.0,2.5235750675201416
2370.0,1343.0,2370.3813,1342.6212,-4.0,3.0,2.578176975250244
2371.0,1343.0,2370.5908,1342.6082,-5.0,3.0,2.639600992202759
2370.0,1342.0,2370.631,1342.442,-4.0,4.0,2.6895220279693604
2371.0,1342.0,2370.7874,1342.3118,-5.0,4.0,2.731070041656494
2371.0,1342.0,2370.909,1342.2073,-5.0,4.0,2.768510103225708
2371.0,1342.0,2371.005,1342.1228,-5.0,4.0,2.8146770000457764
2371.0,1342.0,2371.1104,1342.0342,-5.0,4.0,2.8789620399475098
2371.0,1342.0,2371.2422,1341.9286,-5.0,4.0,2.9281139373779297
2372.0,1342.0,2371.4575,1341.8716,-6.0,4.0,2.969449043273926
2371.0,1342.0,2371.4932,1341.8257,-5.0,4.0,3.009643077850342
2371.0,1342.0,2371.5073,1341.7966,-5.0,4.0,3.059386968612671
2372.0,1341.0,2371.6873,1341.6108,-6.0,5.0,3.127148151397705
2372.0,1341.0,2371.8926,1341.4093,-6.0,5.0,3.1763241291046143
2372.0,1341.0,2372.021,1341.2667,-6.0,5.0,3.219748020172119
2372.0,1341.0,2372.1208,1341.1503,-6.0,5.0,3.2568981647491455
2372.0,1341.0,2372.1914,1341.0612,-6.0,5.0,3.3054609298706055
2372.0,1341.0,2372.2822,1340.9587,-6.0,5.0,3.3657150268554688
2372.0,1341.0,2372.3774,1340.8536,-6.0,5.0,3.4084789752960205
2372.0,1341.0,2372.4167,1340.797,-6.0,5.0,3.4454338550567627
2372.0,1341.0,2372.441,1340.7556,-6.0,5.0,3.4912571907043457
2372.0,1341.0,2372.4763,1340.7062,-6.0,5.0,3.543513774871826
